"lang"
{ 
	"Language" "vietnamese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"ƯU ĐÃI!"
		"examine_chest_unlock"			"Mở kho báu"
		"examine_chest_unusual_courier"			"Thú vận chuyển lạ"
		"examine_chest_unusual_courier_desc"	"Một thú vận chuyển ngẫu nhiên với màu và ngọc hiệu ứng ngẫu nhiên."
		"DOTA_ShowCraftingUI"			"Chế tạo"
		"DOTA_ShowSocketingUI"			"Đục lỗ"
		"RecoverGems"					"Thu hồi ngọc"
		"SocketItem"					"Đục lỗ cho vật phẩm"

		"Econ_Tool_CrateKey_Title"		"Mở kho báu"
		"OpenPack"				"Mở gói"
		"ExpandUse"				"Mở rộng"
		"UnlockUse"				"Mở khóa"
		"GiftUse"				"Quà"
		"OpenGift"				"Mở quà"
		"CreateGem"				"Tạo ngọc"
		"OpenBundle"			"Mở gói"
		"OpenBundleAndEquip"	"Mở gói và trang bị"
		"OpenPresent"			"Mở quà"
		"ToolActionCancel"		"Hủy"
		"InfuseEgg"				"Yểm vào trứng"
		"CompendiumPoints"		"Dùng điểm"
		"BattlePassLevels"		"Dùng cấp"
		"UnlockEmoticons"		"Mở khóa biểu tượng cảm xúc"
		"UsingTool"				"Đang sử dụng %s1 lên %s2."
		"AutographItem"			"Gắn chữ ký"
		"ResetMMR"				"Làm mới MMR"
		"SubscriptionPrepaidTime"	"Áp dụng thời lượng"
		"ToolUseReminder"		"Lưu ý, khi bạn sử dụng xong công cụ, nó sẽ biến mất!"
		"RenameTool_CurrentName" "Tên vật phẩm hiện tại: %s1"
		"RenameTool_NewName"	"Tên vật phẩm mới:"
		"RenameTool_Confirm"	"Bạn có chắc là muốn đổi tên vật phẩm '%s1'?"
		"RenameTool_Invalid"	"Tên không được phép chứa khoảng trắng ở đầu và cuối."
		"DedicateGift_Title"	"Gói món quà này"
		"DedicateGift_Text"		"Thêm lời gửi tặng cá nhân:"
		"DedicateGift_Confirm"	"Bạn có chắc muốn đề tặng quà này với thông điệp '%s1'?"
		"DedicateGift_Invalid"	"Lời đề tặng không được phép có khoảng trống ở đầu hoặc cuối câu."
		"Gift_Creator_Hint"		"\nBạn đã gói món quà này."
		"Gift_Dedication"		"Lời đề tặng: %s1"
		"DescTool_CurrentDesc"  "Mô tả hiện tại: %s1"
		"DescTool_NewDesc"		"Mô tả mới:"
		"DescTool_Confirm"		"Bạn có chắc muốn dùng mô tả '%s1' cho vật phẩm?"
		"DescTool_Invalid"		"Mô tả không được phép chứa khoảng trắng ở đầu và cuối."
		"DOTA_UseFail_NotInGame" "Bạn phải ở trong một trận đấu và dùng phím 'vật phẩm hành động' của bạn để dùng vật phẩm này."
		"DOTA_UseFail_FantasyTicket" "Vé Fantasy sẽ được tự động dùng khi bạn gia nhập hay tạo giải Fantasy."
		"DOTA_BackpackExpander_Confirm" "Bạn có chắc muốn mở rộng kho đồ của mình không? Công cụ mở rộng kho đồ sẽ biến mất sau khi dùng."
		"DOTA_XPBonus_Confirm" "Bạn có chắc muốn sử dụng Gói tăng điểm chiến đấu? Mức điểm của bạn sẽ tăng %s1 trong %s2 ngày. Bạn sẽ được báo khi nào điểm thưởng kết thúc. Vật phẩm sẽ bị hủy sau khi sử dụng."
		"DOTA_XPBonus_Confirm_Hours" "Bạn có chắc muốn sử dụng Gói tăng điểm chiến đấu? Mức điểm của bạn sẽ tăng %s1 trong %s2 giờ. Bạn sẽ được báo khi nào điểm thưởng kết thúc. Vật phẩm sẽ bị hủy sau khi sử dụng."
		"DOTA_XPBonus_Confirm_Date" "Bạn có chắc muốn sử dụng Gói tăng điểm chiến đấu? Mức điểm của bạn sẽ tăng %s1 cho đến khi %s2. Vật phẩm sẽ bị hủy sau khi sử dụng."
		"DOTA_XPBonus_Confirm_Points" "Bạn có chắc muốn sử dụng Gói tăng điểm chiến đấu? Mức điểm của bạn sẽ tăng %s1 trong %s2 chơi game. Vật phẩm sẽ bị hủy sau khi sử dụng."
		"DOTA_XPBonus_Confirm_Single_Game" "Bạn có chắc muốn sử dụng Gói tăng điểm chiến đấu? Mức điểm của bạn sẽ tăng %s1 trong ván đấu tiếp theo. Vật phẩm sẽ bị hủy sau khi sử dụng."
		"DOTA_FragmentBooster_Confirm" "Bạn có chắc mình muốn kích hoạt Wraith King's Favor? Khi bạn kích hoạt vật phẩm này, bạn sẽ nhận được Shining Fragment khi chơi chế độ Wraith-Night. Vật phẩm sẽ bị mất khi sử dụng."
		"DOTA_Gift_Confirm"		"Bạn có chắc muốn sử dụng vật phẩm quà này?"
		"DOTA_LeagueViewPass"	"Kích hoạt giải đấu này?"
		"DOTA_LeagueViewPassEnabled" "Giải đấu được kích hoạt! Bạn có thể tìm nó dưới thẻ Xem/Giải đấu."
		"DOTA_LeagueViewPassNoNeed" "Bạn đã có quyền xem giải này rồi."
		"DOTA_EventTicket"	"Bạn có chắc muốn kích hoạt vé sự kiện này? Làm thế sẽ khiến thông tin người dùng trên tài khoản Steam này đăng ký với sự kiện. Hãy nhớ cập nhật email mới nhất của mình trước nhé!"
		"DOTA_EventTicketEnabled" "Đăng ký sự kiện thành công! Bạn sẽ nhận một email trong một tới hai tuần với hướng dẫn bổ sung."
		"DOTA_InternationalTicketButton"			"Chúc mừng!"
		"DOTA_InternationalTicketButton_Desc"		"Bạn đã xác nhận tới The International.\nBạn có thể yêu cầu thông tin vé gửi tới địa chỉ email liên kết với Steam bằng cách ấn bên dưới."
		"DOTA_InternationalTicketButton1"			"Yêu cầu email"
		"DOTA_InternationalTicketButton2"			"Xong"
		"DOTA_StrangePart_Confirm"		"Bạn có chắc chắn muốn gắn ngọc thống kê vào vật phẩm này?"
		"DOTA_PennantUpgrade_Confirm"	"Bạn có chắc muốn nâng cấp cờ hiệu này không?"
		"DOTA_EggEssence_Confirm"		"Bạn có chắc muốn ép nguyên tố (essence) này vào trứng không? Hành động này không thể hoàn tác!"
		"DOTA_UnusualPaint_Confirm"		"Bạn có chắc muốn dùng <font color='#%s1'>màu này</font> lên vật phẩm lạ của mình không? Màu gốc sẽ bị thay thế. Hành động này không thể hoàn tác!"
		"DOTA_LeagueNoOwnership"		"Không có quyền truy cập giải"
		"DOTA_LeagueNoOwnership_Desc"	"Không có quyền truy cập giải đấu này. Bạn có muốn mua vé không?"
		"DOTA_CompendiumNoOwnership_Desc"	"Bạn không thể sử dụng compendium của giải này nếu chưa mua vé. Bạn có muốn mua vé không?"
		"DOTA_TournamentProgram_Confirm"	"Bạn có chắc muốn kích hoạt {g:dota_item_name:activate_item_def} của mình?"
		"DOTA_TournamentProgram_ConfirmAsPoints"	"Bạn đã sở hữu Battle Pass này rồi. Thay vào đó, bạn có muốn dùng nó để thêm <b>%s1 điểm</b> vào Battle Pass của mình không?"
		"DOTA_TournamentProgram_ConfirmAsLevels"	"Bạn đã sở hữu Battle Pass này rồi. Thay vào đó, bạn có muốn dùng vật phẩm này để thêm <b>%s1  cấp Battle Pass</b>?"
		"DOTA_Autograph_Confirm"		"Bạn có chắc rằng mình muốn gắn chữ ký vào vật phẩm này?"
		"DOTA_Event_Points_Confirm"		"Bạn có chắc mình muốn thêm số điểm này vào tài khoản của mình?"
		"DOTA_TournamentProgram_AlreadyActivated"	"Bạn đã kích hoạt Battle Pass."
		"DOTA_TournamentProgram_CantCheckOwnership"	"Không thể kiểm tra quyền sở hữu sự kiện. Vui lòng thử lại sau."
		"DOTA_Emoticon_Unlock_Confirm_Title"		"Xác nhận mở khóa biểu tượng"
		"DOTA_Emoticon_Unlock_Confirm"		"Bạn có chắc muốn dùng gói biểu tượng cảm xúc này và mở khóa biểu tượng cho tài khoản của mình?"

		"DOTA_ItemAboutToExpire"		"Vật phẩm sắp hết hạn!"
		"DOTA_ItemAboutToExpire_Desc"	"Bạn có một hòm kho báu Frosty Frostivus sắp hết hạn. Bạn có muốn đến cửa hàng và mua một chìa khóa?"

		"DOTA_VTraceRequired_Header"	"Cần có VTrace!"
		"DOTA_VTraceRequired_Body"		"Bạn đang chạy trò chơi với lệnh 'vprof_vtrace' kích hoạt, nhưng bạn không chạy VTrace. Hãy chạy VTrace trước khi tiếp tục!"

		"DOTA_ItemPack"		"Mở gói vật phẩm này?"

		"DOTA_Subscription_Watched" "Đã xem"
		"DOTA_Subscription_Teams"	"Các đội"
		"DOTA_Subscription_TeamsVS"	"%s1  VS  %s2"
		"DOTA_Subscription_Website"	"Trang web giải đấu"
		"DOTA_Subscription_Match"	"Trận đấu"
		"DOTA_Subscription_Time"	"Thời gian"
		"DOTA_Subscription_Rating"	"Đánh giá"
		"DOTA_Subscription_Viewers"	"Người xem"
		"DOTA_Partial_Team"			"Đã dùng một phần đội"
		"DOTA_MatchNoRating"		"Không có bầu chọn"
		"DOTA_MatchRatingLike"		"thích"
		"DOTA_MatchRatingLikes"		"thích"
		"DOTA_MatchRatingDislike"		"không thích"
		"DOTA_MatchRatingDislikes"		"không thích"
		"DOTA_MatchRatingText"		"%s1 - %s2"

		"ti_winners_bracket_view"	"Nhánh thắng"
		"ti_losers_bracket_view"	"Nhánh thua"
		"ti_schedule_view"			"Hiển thị lịch"
		"ti_prelim_view"			"Sơ loại"
		"dota_schedule_live_tournaments"		"GIẢI ĐẤU TRỰC TIẾP"
		"dota_schedule_month_tournaments"		"%s1 - GIẢI ĐẤU"
		"dota_schedule_empty"					"Hiện tại không có trận giải đấu nào được lên lịch cho tháng này."
		"dota_schedule_day_empty"					"Hiện tại không có trận giải đấu nào được lên lịch cho hôm nay."
		"dota_vs"				"VS"	// versus

		"DOTA_NewItem"			"Nhận được vật phẩm mới!"

		"DOTA_GiftedItems"				"%s1 đã trao một món quà cho %s2!"
		"DOTA_GifterText_Random"		"%recipient% được chọn ngẫu nhiên làm người may mắn nhận quà từ %giver%!"
		"DOTA_GifterText_All"			"%giver% vừa phát ra một núi quà!"
		"DOTA_GifterText_SelfOpen"		"%giver% đã mở một gói hàng!"
		"DOTA_GifterText_Title"			"Quà đã được gửi!"

		"DOTA_TournamentDrop"				"%s1 nhận một phần thưởng vì chứng kiến %s2!"
		"DOTA_TournamentDropCountSingle"	"%s1 người xem đã nhận phần thưởng vì chứng kiến %s2!"
		"DOTA_TournamentDropCountMultiple"	"%s1 người xem đã nhận phần thưởng vì chứng kiến %s2!"
		"DOTA_TournamentDrop_FirstBlood"	"chiến công đầu"
		"DOTA_TournamentDrop_GameEnd"		"chiến thắng khải hoàn"
		"DOTA_TournamentDrop_KillStreak"	"một pha giết người hàng loạt"
		"DOTA_TournamentDrop_HeroDeny"		"một pha chối bỏ đồng đội"
		"DOTA_TournamentDrop_AegisDeny"		"một pha phá Aegis of the Immortal"
		"DOTA_TournamentDrop_AegisStolen"	"một pha trộm Aegis of the Immortal"
		"DOTA_TournamentDrop_GodLike"	"một chuỗi liên sát thần thánh"
		"DOTA_TournamentDrop_CourierKill"	"thú vận chuyển bị giết"
		"DOTA_TournamentDrop_EchoSlam"	"một cú Echo Slam năm tướng"
		"DOTA_TournamentDrop_Rapier"	"Divine Rapier được mua"
		"DOTA_TournamentDrop_EarlyRoshan"	"một màn giết Roshan sớm"

		"DOTA_UseItem_MiniGameAlreadyStarted" "Trò chơi phụ này đã bắt đầu rồi."
		"DOTA_UseItem_Success"	"Sử dụng vật phẩm thành công!"
		"DOTA_UseItem_Error"	"Vật phẩm không thể sử dụng ngay lúc này! Bạn chưa đạt đủ điều kiện để sử dụng nó."
		"DOTA_UseItem_GiftNoPlayers" "Không còn người chơi nào để tặng nữa rồi!"
		"DOTA_UseItemNotification_Title_Success" "Dùng vật phẩm thành công"
		"DOTA_UseItemNotification_Title" "Dùng vật phẩm thất bại"
		"DOTA_UseItemNotification_ButtonOne" "OK"
		"DOTA_UseItemNotification_ButtonTwo" "Phớt lờ"
		"DOTA_UseItem_DropRateBonusAlreadyGranted" "Bạn đang có mức tăng điểm thưởng cao hơn ở tài khoản này. Gói tăng điểm chiến đấu của bạn chưa được sử dụng."
		"DOTA_UseItem_NotInLowPriorityPool" "Bạn không còn bị phạt ở hàng chờ ưu tiên thấp. Bạn không cần phải hối lỗi nữa."
		"DOTA_UseItem_NotHighEnoughLevel" "Hồ sơ Dota của bạn chưa đủ cấp để dùng vật phẩm này."
		"DOTA_UseItem_EventPointsGranted"	"Bạn đã thêm điểm thành công."
		"DOTA_UseItem_PointsAdded"			"Đã thêm điểm thành công!"
		"DOTA_UseItem_Failed_Requirement"	"Bạn phải sở hữu Battle Pass để thực hiện hành động này."
		"DOTA_UseItem_Compendium"			"Đã kích hoạt Battle Pass thành công!"
		"DOTA_UseItem_EmoticonUnlock_NoNew"			"Bạn đã mở khóa toàn bộ các biểu tượng cảm xúc đó rồi."
		"DOTA_UseItem_EmoticonUnlock_Complete"		"Đã mở khóa thành công biểu tượng cảm xúc!"

		"Econ_Revolving_Loot_List"						"Kho báu này chứa một trong những vật phẩm sau:"
		"Econ_Revolving_Loot_List_Also"					"Kho báu này cũng chứa một trong các vật phẩm sau:"
		"Econ_Revolving_Loot_List_Multi"				"Kho báu này chứa một trong các vật phẩm sau:"
		"Econ_Revolving_Loot_List_Several"				"Kho báu này chứa %s1 vật phẩm từ danh sách sau:"
		"Econ_Revolving_Loot_List_Duplicates"			"Kho báu chứa một trong các vật phẩm sau, và sẽ cho vật phẩm trùng lặp nếu bạn mở nhiều hòm:"
		"Econ_Crate_Locks_Remaining"					"Số khóa còn lại: %s1"
		"Econ_Crate_Hero_Items"							"   %s1"
		"Econ_Guaranteed_Crate_Drop"					"Mở kho báu này bạn sẽ có:"
		"Econ_Additional_Crate_Drop"					"Thêm vào đó, kho báu này còn có cơ hội chứa:"

		"Econ_NoEquipToUse_Msg"							"Bùa này cho phép bạn dự đoán chiến trong chế độ Chọn tự do để nhận phần thưởng.\n\nKhông cần trang bị để nhận phần thưởng."

		"DOTA_UnusualCourier"							"Thú vận chuyển lạ"
		"DOTA_UnusualCourier_Desc"						"Thú vận chuyển ngẫu nhiên với màu và hiệu ứng đặc biệt."

		"DOTA_UnusualCourier_International_2014"		"Thú vận chuyển International 2014"
		"DOTA_UnusualCourier_International_2014_Desc"	"Bạn có thể tìm thấy một trong ba thú vận chuyển cho giải International 2014 được thêm ngẫu nhiên vào kho báu của mình."

		"DOTA_SortBackpack"	"Phân loại kho vũ khí:"
		"DOTA_SortBackpack_Position" "theo Vị trí"
		"DOTA_SortBackpack_Rarity" " theo độ hiếm"
		"DOTA_SortBackpack_Quality" " theo phẩm chất"
		"DOTA_SortBackpack_Hero" " theo tướng"
		"DOTA_SortBackpack_Type" " theo loại"
		"DOTA_SortBackpack_Slot" " theo ô"
		"DOTA_SortBackpack_Name" " theo tên"
		"DOTA_SortBackpack_Newness" " theo gần đây nhất"

		"AddToCollection" 		"Thu thập vật phẩm"
		"WrapGift"				"Gói quà"
		"UnwrapGift"			"Mở quà"
		"DeliverGift"			"Gửi quà"

		"DOTA_MultipleHeroes"			"Nhiều tướng"
		"DOTA_AnyHero"					"Tướng bất kỳ"
		"DOTA_NoHero"					"N/A"
		"DOTA_NoSlot"					"N/A"

		// Quality
		"base"							"Cơ bản"
		"unique"						"Tiêu chuẩn"
		"vintage"						"Cổ lão"			// TF: Vintage
		"community"						"Cộng đồng"
		"developer"						"Valve"
		"selfmade"						"Tự làm"		// TF: Self-Made
		"customized"					"Tùy chỉnh"
		"genuine"						"Chính hãng"
		"unusual"						"Lạ thường"		// TF: Unusual
		"strange"						"Lưu danh"		// TF: Strange
		"completed"						"Đã hoàn thành"
		"haunted"						"Nguyền Rủa"		// TF: Haunted
		"tournament"					"Hùng dũng"		// TF: Tournament
		"favored"						"Ưu ái"
		"autographed"					"Có chữ ký"
		"ascendant"						"Thăng thiên"
		"legacy"						"Di sản"
		"exalted"						"Exalted"
		"frozen"						"Băng giá"
		"corrupted"						"Corrupted"
		"lucky"							"Điềm lành"

		// Prefabs
		"bundle"						"Gói"
		"misc"							"Khác"
		"wearable"						"Mặc được"
		"default_item"					"Nguyên bản"
		"misc_item"						"Khác"
		"tool"							"Công cụ"
		"emoticon_tool"					"Công cụ biểu tượng cảm xúc"
		"league"						"Giải đấu"
		"courier"						"Thú vận chuyển"
		"treasure_chest"				"Kho báu"
		"courier_wearable"				"Trang bị thú vận chuyển"
		"ward"							"Mắt"
		"pennant"						"Cờ hiệu"
		"announcer"						"Phát thanh viên"
		"modifier"						"Đặc hiệu"
		"hud_skin"						"Giao diện HUD"
		"key"							"Chìa khóa kho báu"
		"player_card"					"Thẻ người chơi"
		"passport_fantasy_team"			"Đội Fantasy Compendium"
		"loading_screen"				"Màn hình chờ"
		"taunt"							"Khiêu khích"
		"dynamic_recipe"				"Công thức"
		"socket_gem"					"Ngọc / Rune"
		"music"							"Âm nhạc"
		"retired_treasure_chest"		"Hòm không còn dùng"
		"cursor_pack"					"Gói con trỏ"
		"teleport_effect"				"Hiệu ứng dịch chuyển"
		"blink_effect"					"Hiệu ứng Blink"
		"summons"						"Hiệu ứng nền đơn vị triệu hồi"
		"terrain"						"Địa hình"
		"emblem"						"Chiến huy"
		"direcreeps"					"Quái Dire"
		"radiantcreeps"					"Quái Radiant "
		"diresiegecreeps"					"Xe bắn đá Dire"
		"radiantsiegecreeps"					"Xe bắn đá Radiant"
		"diretowers"					"Trụ Dire"
		"radianttowers"					"Trụ Radiant"
		"versus_screen"					"Màn hình thách đấu"
		"head_effect"					"Hiệu ứng đầu"
		"map_effect"					"Hiệu ứng bản đồ"
		"courier_effect"				"Hiệu ứng thú vận chuyển"


		// Tool Types
		"tool_type_none"					"Không"
		"tool_type_hero_taunt"				"Khiêu khích của tướng"
		"tool_type_name"					"Nhãn tên"
		"tool_type_league_view_pass"		"Vé xem giải"
		"tool_type_hero_ability"			"Kỹ năng tướng"
		"tool_type_item_pack"				"Gói vật phẩm"
		"tool_type_consumable_ability"		"Kỹ năng tiêu thụ"

		// Test Item
		"IT_MDL_Files"						"Tệp MDL (*.mdl)"
		"IT_TestingFiles"					"Tệp thử nghiệm (*.itf)"
		"TestItemCustomizeMDLTitle"			"Chọn mdl tùy biến..."
		"TestItemSaveSetupTitle"			"Xuất cài đặt thử nghiệm vật phẩm..."
		"TestItemLoadSetupTitle"			"Nhập cài đặt thử nghiệm vật phẩm..."

		// UI
		"DOTA_DeleteItemConfirmText"				"Xóa vật phẩm? Xóa vật phẩm này sẽ vĩnh viễn phá hủy nó. Hành động này không thể hoàn tác được."
		"DOTA_DeleteItemConfirmText_Recycle"		"Xóa vật phẩm? Xóa vật phẩm này sẽ vĩnh viễn phá hủy nó. Hành động này không thể hoàn tác được. Mỗi khi bạn phá hủy vật phẩm %s1 bạn sẽ có một cơ hội nhỏ để ngay lập tức nhận được một vật phẩm %s2."
		"DOTA_DeleteItemConfirmText_UltraRare"		"Xóa vật phẩm? Xóa vật phẩm này sẽ vĩnh viễn phá hủy nó. Hành động này không thể hoàn tác được. <i><b><font color='#FF2222'>Đây là một vật phẩm cực kỳ hiếm. Có thể bạn sẽ không muốn phá hủy nó.</font></b></i> Không có cơ hội nhận được vật phẩm mới nào khi bạn xóa vật phẩm này."

		"DOTA_MakeOfferingConfirmText"				"Bạn có chắc mình muốn cống vật phẩm này vào Aegis? Hành động này không thể hoàn tác được."
		"DOTA_ItemRecycleConfirmText_TI5Immortal"	"Bạn có chắc mình muốn phá hủy vật phẩm này để đổi lấy 2 cấp Compendium? Hành động này không thể hoàn tác được."
		"DOTA_ItemRecycleConfirmText_TI5Trove"		"Bạn có chắc mình muốn tái chế vật phẩm này để có cơ hội nhận được Trove Carafe 2015? Bạn sẽ vẫn được một Recycling Charm nếu bạn không gặp may mắn. Hành động này không thể hoàn tác được."
		"DOTA_ItemRecycleConfirmText_TI5Luckvase"	"Bạn có chắc mình muốn tái chế vật phẩm này để có cơ hội nhận được Lockless Luckvase 2015? Bạn sẽ vẫn được một Recycling Charm nếu bạn không gặp may mắn. Hành động này không thể hoàn tác được."
		"DOTA_ItemRecycle_Failure"					"Vật phẩm hiện không thể tái chế vào lúc này."
		"DOTA_ItemRecycle_Disabled"					"Tùy chọn tái chế này hiện không được bật. Nó có thể không còn khả dụng."

		"DOTA_PlayerLoadout"								"Phòng đồ người chơi"
		"DOTA_CustomizePlayerLoadout"						"Chỉnh trang bị người chơi"

		// Drop Rate Modifiers
		"DOTA_DropRateModifiersNone"						"Bạn đang nhận được <font color='#FFD700'>Điểm chiến đấu</font> ở mức bình thường. Bạn sẽ nhận được Điểm chiến đấu sau khi hoàn thành một ván đấu qua chức năng tìm trận đấu. Bạn sẽ nhận được vật phẩm miễn phí mỗi lần <font color='#FFD700'>Cấp độ chiến đấu</font> của bạn tăng. Có rất nhiều vật phẩm giúp bạn gia tăng mức Điểm chiến đấu nhận được."
		"DOTA_DropRateModifiers"							"Điểm chiến đấu thay đổi:"
		"DOTA_DropRateModifier_Bonus"						"Tỷ lệ hiện tại: <font color='#FFFFFF'>%s1</font>"
		"DOTA_DropRateModifier_DaysRemaining"					"Còn lại: <font color='#FFFFFF'>%s1 ngày</font>"
		"DOTA_DropRateModifier_MinuteRemaining"					"Còn lại: <font color='#FFFFFF'>%s1 phút</font>"
		"DOTA_DropRateModifier_OneGame"							"Còn lại: <font color='#FFFFFF'>1 trận</font>"
		"DOTA_DropRateModifier_ExpiredHeader"						"Gói tăng điểm Battle của bạn đã hết hạn!"
		"DOTA_DropRateModifier_ExpiredDesc"						"Gói tăng điểm chiến đấu trước đây của bạn đã hết hạn, bạn có muốn dùng gói mới không?"
		"DOTA_ShiningBoosterPurchaseHeader"						"Mua và kích hoạt Wraith King's Favor?"
		"DOTA_ShiningBoosterPurchaseDesc"						"Sử dụng một Wraith King's Favor để được nhận thêm Shining Fragment cùng với Phantom Fragment."

		"DOTA_PartyLeaderWatchGame"							"Xem trận cùng cả nhóm"
		"DOTA_PartyLeaderWatchGameDesc"						"Trưởng nhóm muốn xem một trận đấu trực tiếp, bạn có muốn tham gia không?"

		// Loadout Slots
		"LoadoutSlot_None"									"N/A"
		"LoadoutSlot_Weapon"								"Vũ khí"
		"LoadoutSlot_OffHand_Weapon"						"Tay nghịch"
		"LoadoutSlot_Head"									"Đầu"
		"LoadoutSlot_Shoulder"								"Vai"
		"LoadoutSlot_Arms"									"Cánh tay"
		"LoadoutSlot_Armor"									"Giáp"
		"LoadoutSlot_Belt"									"Đai lưng"
		"LoadoutSlot_Back"									"Lưng"
		"LoadoutSlot_Neck"									"Cổ"
		"LoadoutSlot_Legs"									"Chân"
		"LoadoutSlot_Gloves"								"Bao tay"
		"LoadoutSlot_Tail"									"Đuôi"
		"LoadoutSlot_Taunt"									"Khiêu khích"
		"LoadoutSlot_Costume"								"Trang phục"
		"LoadoutSlot_Emblem"								"Chiến huy"
		"LoadoutSlot_Courier"								"Thú vận chuyển"
		"LoadoutSlot_Announcer"								"Phát thanh viên"
		"LoadoutSlot_Heroic_Statue"							"Tượng"
		"LoadoutSlot_Mega_Kills"							"Phát thanh liên sát"
		"LoadoutSlot_Fan"									"Hâm mộ"
		"LoadoutSlot_Action_Item"							"Vật phẩm hành động"
		"LoadoutSlot_Fan_Item"								"Vật phẩm hâm mộ"
		"LoadoutSlot_Weather"								"Thời tiết"
		"LoadoutSlot_Terrain"								"Địa hình"
		"LoadoutSlot_MultiKill_Banner"						"Biểu trưng Multikill"
		"LoadoutSlot_Music"									"Âm nhạc"
		"LoadoutSlot_Ability_Attack"						"Tấn công mặc định"
		"LoadoutSlot_Ability1"								"Kỹ năng 1"
		"LoadoutSlot_Ability2"								"Kỹ năng 2"
		"LoadoutSlot_Ability3"								"Kỹ năng 3"
		"LoadoutSlot_Ability4"								"Kỹ năng 4"
		"LoadoutSlot_AbilityUltimate"						"Tuyệt kỹ"
		"LoadoutSlot_Ability_Ultimate"						"Tuyệt kỹ"
		"LoadoutSlot_Body_Head"								"Thân - Đầu"
		"LoadoutSlot_Mount"									"Thú cưỡi"
		"LoadoutSlot_Custom_Hex"							"Hiệu ứng hóa thú"
		"LoadoutSlot_Misc"									"Khác"
		"LoadoutSlot_Summon"								"Quái triệu hồi"
		"LoadoutSlot_ward"									"Mắt"
		"LoadoutSlot_hud_skin"								"HUD"
		"LoadoutSlot_Shapeshift"							"Dạng sói"
		"LoadoutSlot_Wolves"								"Sói"
		"LoadoutSlot_loading_screen"						"Màn hình chờ"
		"LoadoutSlot_Elder_Dragon"							"Dạng rồng"
		"LoadoutSlot_Head_Accessory"						"Đầu"
		"LoadoutSlot_Shield"								"Khiên"
		"LoadoutSlot_Wings"									"Cánh"
		"LoadoutSlot_Quiver"								"Ống tên"
		"LoadoutSlot_Beard"									"Râu"
		"LoadoutSlot_Heads"									"Đầu"
		"LoadoutSlot_LeftArm"								"Cánh tay trái"
		"LoadoutSlot_RightArm"								"Cánh tay phải"
		"LoadoutSlot_Body"									"Thân"
		"LoadoutSlot_Claws"									"Vuốt"
		"LoadoutSlot_ambient_effects"						"Hiệu ứng nền"
		"LoadoutSlot_cursor_pack"							"Gói con trỏ"
		"LoadoutSlot_teleport_effect"						"Hiệu ứng Teleport"
		"LoadoutSlot_blink_effect"							"Hiệu ứng tốc biến"
		"LoadoutSlot_Voice"									"Giọng"
 		"LoadoutSlot_Pet"									"Thú nuôi"
		"LoadoutSlot_Visage_Familiar"						"Quỷ thú"
		"LoadoutSlot_Phoenix_Supernova"						"Mặt Trời"
		"LoadoutSlot_Radiant_Creeps"						"Quái Radiant"
		"LoadoutSlot_Dire_Creeps"							"Quái Dire"
		"LoadoutSlot_Radiant_Siege_Creeps"					"Xe bắn đá Radiant"
		"LoadoutSlot_Dire_Siege_Creeps"						"Xe bắn đá Dire"
		"LoadoutSlot_Radiant_Towers"						"Trụ Radiant"
		"LoadoutSlot_Dire_Towers"							"Trụ Dire"
		"LoadoutSlot_Versus_Screen"							"Màn hình thách đấu"
		"LoadoutSlot_Head_Effect"							"Hiệu ứng đầu"
		"LoadoutSlot_Map_Effect"							"Hiệu ứng bản đồ"
		"LoadoutSlot_Courier_Effect"						"Hiệu ứng thú vận chuyển"
 		"LoadoutSlot_Persona_Selector"						"Nhân cách"
		"LoadoutSlot_Head_Invoker_Kid"						"Đầu (Nhóc)"
		"LoadoutSlot_Shoulder_Invoker_Kid"					"Vai (Nhóc)"
		"LoadoutSlot_Arms_Invoker_Kid"						"Cánh tay (Nhóc)"
		"LoadoutSlot_Armor_Invoker_Kid"						"Giáp (Nhóc)"
		"LoadoutSlot_Invoker_ForgeSpirit_Invoker_Kid"		"Tinh linh (Nhóc)"
		"LoadoutSlot_Taunt_Invoker_Kid"						"Khiêu khích (Nhóc)"
		"LoadoutSlot_Voice_Invoker_Kid"						"Giọng (Trẻ trâu)"
		"LoadoutSlot_Back_Invoker_Kid"						"Lưng (Nhóc)"
		"LoadoutSlot_Clinkz_Army"							"Cung thủ"
		"LoadoutSlot_Tiny_Body_0"							"Tiny"
		"LoadoutSlot_Tiny_Body_1"							"Nhỏ"
		"LoadoutSlot_Tiny_Body_2"							"Vừa"
		"LoadoutSlot_Tiny_Body_3"							"Lớn"
		//PUDGE PERSONA CUTE
		"npc_dota_hero_pudge_persona1"									"Pudge (Nhân cách)"
		"LoadoutSlot_Taunt_Pudge_Persona"								"Khiêu khích (Nhân cách)"
		"LoadoutSlot_Weapon_Pudge_Persona"								"Vũ khí (Nhân cách)"
		"LoadoutSlot_Offhand_Weapon_Pudge_Persona"							"Tay nghịch (Nhân cách)"
		"LoadoutSlot_Armor_Pudge_Persona"								"Giáp (Nhân cách)"
		"LoadoutSlot_Head_Pudge_Persona"								"Đầu (Nhân cách)"
		//ANTIMAGE PERSONA
		"LoadoutSlot_Taunt_Antimage_Persona"								"Khiêu khích (Nhân cách)"
		//Hero Loadoutslots
