"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"AKCIÓ!"
		"LoadoutSlot_Gyrocopter_Guns"						"Ágyúk"
		"LoadoutSlot_Gyrocopter_Propeller"					"Propeller"
		"LoadoutSlot_Gyrocopter_MissileCompartment"				"Rakétatároló"
		"LoadoutSlot_Gyrocopter_HomingMissile"					"Homing Missile"
		"LoadoutSlot_Invoker_ForgeSpirit"					"Forge Spirit"
		"LoadoutSlot_Juggernaut_HealingWard"					"Healing Ward"
		"LoadoutSlot_LegionCommander_Banners"					"Lobogók"
		"LoadoutSlot_LoneDruid_TrueForm"					"True Form"
		"LoadoutSlot_LoneDruid_SpiritBear"					"Spirit Bear"
		"LoadoutSlot_NaturesProphet_Treants"					"Treantok"
		"LoadoutSlot_Pugna_NetherWard"						"Nether Ward"
		"LoadoutSlot_ShadowShaman_SerpentWards"					"Serpent Wardok"
		"LoadoutSlot_Techies_Cart"						"Kocsi"
		"LoadoutSlot_Techies_Bazooka"						"Rakétavető"
		"LoadoutSlot_Techies_Squee"						"Squee"
		"LoadoutSlot_Techies_Spoon"						"Spoon"
		"LoadoutSlot_Techies_Spleen"						"Spleen"
		"LoadoutSlot_Techies_RemoteMines"					"Sticky Bomb"
		"LoadoutSlot_TerrorBlade_Demon"						"Démon"
		"LoadoutSlot_TrollWarlord_OffHand_Weapon_Melee"				"Tartalék közelharc-fegyver"
		"LoadoutSlot_TrollWarlord_Weapon_Melee"					"Közelharc-fegyver"
		"LoadoutSlot_Tusk_Tusks"						"Agyarak"
		"LoadoutSlot_Tusk_Fist"							"Ököl"
		"LoadoutSlot_Tusk_FrozenSigil"						"Frozen Sigil"
		"LoadoutSlot_Undying_Tombstone"						"Tombstone"
		"LoadoutSlot_Undying_Flesh_Golem"					"Flesh Golem"
		"LoadoutSlot_Venomancer_StingerLimbs"					"Fullánk végtagok"
		"LoadoutSlot_Venomancer_PlagueWard"					"Plague Wardok"
		"LoadoutSlot_Warlock_Golem"						"Gólem"
		"LoadoutSlot_Warlock_Lantern"						"Lámpás"
		"LoadoutSlot_Warlock_EvilPurse"						"Gonosz erszény"
		"LoadoutSlot_Weaver_Antennae"						"Csápok"
		"LoadoutSlot_WitchDoctor_DeathWard"					"Death Ward"
		"LoadoutSlot_Techies_Sign"						"Tábla"
		"LoadoutSlot_Jakiro_Head_Left"                  "Bal fej"
		"LoadoutSlot_Jakiro_Head_Right"                  "Jobb fej"
		"LoadoutSlot_None_Persona_1"						"Nincs"
		"LoadoutSlot_Weapon_Persona_1"						"Fegyver"
		"LoadoutSlot_OffHand_Weapon_Persona_1"				"Tartalék"
		"LoadoutSlot_Head_Persona_1"						"Fej"
		"LoadoutSlot_Shoulder_Persona_1"					"Váll"
		"LoadoutSlot_Arms_Persona_1"						"Karok"
		"LoadoutSlot_Armor_Persona_1"						"Páncél"
		"LoadoutSlot_Belt_Persona_1"						"Öv"
		"LoadoutSlot_Back_Persona_1"						"Hát"
		"LoadoutSlot_Neck_Persona_1"						"Nyak"
		"LoadoutSlot_Legs_Persona_1"						"Lábak"
		"LoadoutSlot_Gloves_Persona_1"						"Kesztyű"
		"LoadoutSlot_voice_persona_1"						"Beszéd"

		"DOTA_LobbyAllowSpectating"							"A játékot nézhetőre kell állítani, míg nézők vannak a váróban. Engedélyezd a megfigyelést a Beállítások panelben."

		"TF_Style_Desc"										"Stílus: %s1" // Yes, it should be prefixed "TF_"
		"DOTA_UnlockStyle"									"Stílus feloldása"
		"DOTA_UseStyle"										"Válassz stílust"
		"DOTA_Style_Subtitle"								"Stílusok böngészése és feloldása"

		"DOTA_Item_Unnamed_New_Item"						"Névtelen új tárgy"

		"DOTA_Item_Shadow_Flame_Genuine"					"Eredeti Árnyláng"
		"DOTA_Item_Shadow_Flame_Genuine_Desc"				"Az Árnyláng egy eredeti változata Dazzle számára."


		// Economy UI
		"DOTA_Loadout_SelectHero"							"Válassz hőst"

		// Store UI
		"Store_New_Items"			"Új!"
		"Store_Heroes"				"Hősszettek"
		"Store_Gear"				"Ruha"
		"Store_Tools"				"Eszközök"
		"Store_Charms"				"Talizmánok"
		"Store_Taunts"				"Gúnyolódások"
		"Store_Effects"				"Effektek"
		"Store_Abilities"			"Képességek"
		"Store_Featured"			"Kiemeltek"
		"Store_Items"				"Tárgyak"
		"Store_Treasure_Keys"		"Kincsek"
		"Store_Autographed_Immortals"	"Aláírt Kincsek"
		"Store_Announcers"			"Bemondók"
		"Store_Music"				"Zene"
		"Store_Couriers"			"Futárok"
		"Store_Wards"				"Wardok"
		"Store_DOTA_Access"			"DOTA 2 hozzáférés"
		"Store_Home"				"Kiemelt"
		"Store_International"		"The International"
		"Store_ProShop"				"Profi-áruház"
		"Store_Tournaments"			"Bajnokságok"
		"Store_Teams"				"Csapatok"
		"Store_HUD_Skins"			"HUD-külsők"
		"Store_Loading_Screens"		"Betöltőképernyők"
		"Store_ProGear"				"Profi-felszerelés"
		"Store_Emoticons"			"Csevegés-hangulatjelek"
		"Store_Terrain"				"Terep"
		"Store_Weather"				"Időjárás"
		"Store_Effigies"			"Képmások"
		"Store_Cursor_Packs"		"Kurzorcsomagok"

		// Store dropdown labels
		"Store_FilterType_Heroes"	"Hős:"
		"Store_FilterType_Contributors" "Alkotó:"
		"Store_FilterType_Rarities"	"Ritkaság:"
		"Store_SortBy"				"Rendezés:"

		// Used by filter dropdowns in the store
		"Store_FilterElement_All"				"Mind"
		"Store_FilterElement_ValveContributor"	"Valve"

		// Used by sorting dropdowns
		"Store_Sorter_ReleaseNewest"	"Megjelenés: legújabb"
		"Store_Sorter_ReleaseOldest"	"Megjelenés: legrégebbi"
		"Store_Sorter_PriceHighest"		"Ár: legmagasabb"
		"Store_Sorter_PriceLowest"		"Ár: legalacsonyabb"
		"Store_Sorter_Alphabetical"		"Betűrendben"
		"Store_Sorter_HeroName"			"Hős"

		"Store_ViewCart"			"Bevásárlókocsi"

		"Store_Backpack"			"Fegyvertár"
		"Store_Loadout"				"Tárgykiosztás"

		"Store_CartWarning_Emoticon_AllUnlocked" "Ebből a csomagból már az összes hangulatjel fel van oldva a fiókodon."
		"Store_CartWarning_Emoticon_SomeUnlocked" "Néhány hangulatjel ebből csomagból már fel van oldva a fiókodon."
		"Store_CartWarning_League_Unlocked"		"A tárgy által adott hozzáférés a ligához már fel van oldva a fiókodon."

		// Store banners -- also used for Playtab
		"StoreBanner_Header_Compendium"				"A The International Interaktív Összefoglaló"
		"StoreBanner_Text_Compendium"				"Már tartalmazza a Hősiesség HUD-külsőt, 125% Csatabónuszt, Halhatatlan tárgyat és sok mást!"
		"StoreBanner_Header_ArcticHunter"			"A Sarkvidéki Vadász Szett"
		"StoreBanner_Text_ArcticHunter"				"Harcra készen!"
		"StoreBanner_Header_PyrionFlax"				"Pyrion Flax Bemondó-csomag"
		"StoreBanner_Text_PyrionFlax"				"Boosh!"
		"StoreBanner_Header_Itsy"					"Pici"
		"StoreBanner_Text_Itsy"						"Szemesnek áll a világ"
		"StoreBanner_Header_Shagbark"				"Bozontbütyök"
		"StoreBanner_Text_Shagbark"					"Amelyik kutya ugat, nem harap."
		"StoreBanner_Header_SkywrathRetribution"	"Bosszúálló Szett"
		"StoreBanner_Text_SkywrathRetribution"		"Hallgass a jobb angyalaidra."
		"StoreBanner_Header_Raidcall3"				"RaidCall Dota 2 League Season 3"
		"StoreBanner_Text_Raidcall3"				"Tartalmazza a Maximilian, a Bogármedve exkluzív futárt."
		"StoreBanner_Header_CompendiumHUD"			"3. magasabb célkitűzés elérve, megjelent a Hősiesség HUD-külső"
		"StoreBanner_Text_CompendiumHUD"			"Már tartalmazza a The International Összefoglaló"
		"StoreBanner_Header_TuskFrostiron"			"Jégacél Fosztogató Szett"
		"StoreBanner_Text_TuskFrostiron"			"A havas vadonból!"
		"StoreBanner_Header_CMFrostiron"			"Jégacél Varázslónő Szett"
		"StoreBanner_Text_CMFrostiron"				"A nagy fehér észak ajándéka."
		"StoreBanner_Header_MedusaForsaken"			"A Hátrahagyott Szépség Szett"
		"StoreBanner_Text_MedusaForsaken"			"Szépsége állítsa el a lélegzetüket."
		"StoreBanner_Header_ChenGemmedArmor"		"A Papkirályok Drágaköves Páncélja Szett"
		"StoreBanner_Text_ChenGemmedArmor"			"Ítélkezz ellenségeid fölött!"
		"StoreBanner_Header_EnchantressAspects"		"Nyár Jegyei Szett"
		"StoreBanner_Text_EnchantressAspects"		"Sütkérezz a napsütésben!"
		"StoreBanner_Header_Pudge_Mad_Harvester"		"Az Őrült Arató Eszközei Szett"
		"StoreBanner_Text_Pudge_Mad_Harvester"			"Az Őrült Aratás kezdetét veszi."
		"StoreBanner_Header_SNK_Dreadknight"			"A Rémlovag Maradványai Szett"
		"StoreBanner_Text_SNK_Dreadknight"				"Eljő a Csontkirály."
		"StoreBanner_Header_Centaur_Steppe"				"A Sztyeppe Harcosa Szett"
		"StoreBanner_Text_Centaur_Steppe"				"Itt vér fog fröcsögni!"
		"StoreBanner_Header_Slardar_Deep_Vault"			"A Mélységi Kamraőrök Fegyverzete Szett"
		"StoreBanner_Text_Slardar_Deep_Vault"			"A Mélységlakók vezessenek."
		"StoreBanner_Header_Faceless_Clasz"				"Clasz Akolitusa Szett"
		"StoreBanner_Text_Faceless_Clasz"				"Ideje szembenézni ellenfeleiddel."
		"StoreBanner_Header_AMD_Premier_2"				"AMD Premier League Season 2"
		"StoreBanner_Header_Corsair_Summer_2013"		"Corsair Gaming Summer Tournament"
		"StoreBanner_Header_GEST_June_July"				"Gigabyte E-Sports Tournament June & July"
		"StoreBanner_Header_El_Gato"					"Beyond The Summit El Gato futárja"
		"StoreBanner_Text_El_Gato"						"Fogadd be e szőrös barátot és figyeld, ahogy szintet lép a Beyond The Summit követése közben."
		"StoreBanner_Header_Defense_Grid"				"Defense Grid Bemondó-csomag"
		"StoreBanner_Text_Defense_Grid"					"Ősök vagy hálózatok, mindkettő védelemre szorul!"
		"StoreBanner_Header_Quirts_Summer_Bundle"		"Quirt Nyári Csomagja"
		"StoreBanner_Text_Quirts_Summer_Bundle"			"Kilenc teljes, vadi új tárgyszett, és a Dire Tekintete ward. Hősiesen értékes!"
		"StoreBanner_Header_Quirts_Summer_Key"			"Quirt Nyári Zsákmány Kulcsa"
		"StoreBanner_Text_Quirts_Summer_Key"			"<p style='color:#a93827; font-size:14px;'>Az akció és a kinyitatlan ládák hétfőn, szeptember 16-án eltűnnek!</p>"
		"StoreBanner_Header_International_2013_Key"			"Bajnokok Kincse 2013 Ládakulcs"
		"StoreBanner_Text_International_2013_Key"			"Az örökkön való bajnokság."
		"StoreBanner_Header_Alchemist_CranialClapTrap"			"Koponyatető-tető"
		"StoreBanner_Text_Alchemist_CranialClapTrap"			"Alchemist páncél, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Skywrath_Vengencebound_Wings"			"Bosszú-kötötte Szárnyak"
		"StoreBanner_Text_Skywrath_Vengencebound_Wings"			"Skywrath Mage szárnyak, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_DS_Craniomancer"			"Koponyágus"
		"StoreBanner_Text_DS_Craniomancer"			"Dark Seer fej, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_CK_HelmofInfernalDespair"			"A Pokoli Kétségbeesés Sisakja"
		"StoreBanner_Text_CK_HelmofInfernalDespair"			"Chaos Knight sisak, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Spectre_PossessedBlade"			"A megszállott Penge"
		"StoreBanner_Text_Spectre_PossessedBlade"			"Spectre fegyver, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_WD_TribalMegadonMask"			"Törzsi Megadon Maszk"
		"StoreBanner_Text_WD_TribalMegadonMask"			"Witchdoctor maszk, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Sven_RadiantClaive"			"Radiant Pallos"
		"StoreBanner_Text_Sven_RadiantClaive"			"Sven kard, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Clinkz_Heat"			"Hőség"
		"StoreBanner_Text_Clinkz_Heat"			"Clinkz íj, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Tide_BitofBoat"			"Egy Kis Hajó"
		"StoreBanner_Text_Tide_BitofBoat"			"Tidehunter buzogány, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Rubick_CrystallineInitio"			"Kristályos Kezdemény"
		"StoreBanner_Text_Rubick_CrystallineInitio"			"Rubick bot, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Axe_Corruptor"			"Megrontó"
		"StoreBanner_Text_Axe_Corruptor"			"Axe fejsze, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_Spectre_SpectralLight"			"Spektrális Fény"
		"StoreBanner_Text_Spectre_SpectralLight"			"Spectre fej, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_KotL_OneHorn"			"Az Egy Szarv"
		"StoreBanner_Text_KotL_OneHorn"			"Keeper of the Light páncél, kizárólag a Bajnokok Kincse 2013-as ládában."
		"StoreBanner_Header_CM_HeartoftheNorthSet"			"Az Észak Szíve Szett"
		"StoreBanner_Text_CM_HeartoftheNorthSet"			"S eljő a jégkorszak."
		"StoreBanner_Header_CK_EmbersofEndlessHavocSet"			"A Végtelen Pusztítás Zsarátnoka Szett"
		"StoreBanner_Text_CK_EmbersofEndlessHavocSet"			"Lásd, ahogy szétszóródnak s elégnek!"
		"StoreBanner_Header_QoP_BondsofVincereSet"			"Na'Vi Vincere Kötései Szett"
		"StoreBanner_Text_QoP_BondsofVincereSet"			"A fájdalom a legjobb tanár."
		"StoreBanner_Header_LD_AtniwsFurySet"			"Az Atniw Dühe Szett"
		"StoreBanner_Text_LD_AtniwsFurySet"			"A medveklán felemelkedik!"
		"StoreBanner_Header_Nyx_AlphaPredatorSet"			"Csúcsragadozó Szett"
		"StoreBanner_Text_Nyx_AlphaPredatorSet"			"Nyx, nyx, nyx, nyx."
		"StoreBanner_Header_TA_WhisperingDeadSet"			"Suttogó Holtak Szett"
		"StoreBanner_Text_TA_WhisperingDeadSet"			"Fedd fel a halál rejtelmeit!"
		"StoreBanner_Header_TA_DreadedBravoSet"			"Rettegett Bérgyilkos Szett"
		"StoreBanner_Text_TA_DreadedBravoSet"			"A sivatagi szelek rejtett titkot fednek fel."
		"StoreBanner_Header_Kunkka_CladdishVoyagerSet"			"A Kladd Hajóutas Eszközei Szett"
		"StoreBanner_Text_Kunkka_CladdishVoyagerSet"			"Vitorlát bonts, irány hódítani!"
		"StoreBanner_Header_Kunkka_SteadfastVoyagerSet"			"Az Állhatatos Utazó Szett"
		"StoreBanner_Text_Kunkka_SteadfastVoyagerSet"			"Versolvasás, sósvíz-ivás és néha hallucinálás. Ez a szett többféle kardstílust tartalmaz!"
		"StoreBanner_Header_Drow_BorealWatchSet"			"Az Északi Őrség Szett"
		"StoreBanner_Text_Drow_BorealWatchSet"			"Egy nyíl keresi célpontját."
		"StoreBanner_Header_OD_DragonForgedSet"			"Sárkány-kovácsolta Szett"
		"StoreBanner_Text_OD_DragonForgedSet"			"A legsötétebb mélységből új rend kovácsoltatott."
		"StoreBanner_Header_Riki_TahlinOccultSet"			"A Tahlin Okkult Szett"
		"StoreBanner_Text_Riki_TahlinOccultSet"			"Amit nem látsz, az meg fog ölni."
		"StoreBanner_Header_Spectre_EternalLightSet"			"Örök Fény Szett"
		"StoreBanner_Text_Spectre_EternalLightSet"			"Nincsenek szavak rá melyek leírnák."
		"StoreBanner_Header_WR_NorthernWindSet"			"Az Északi Szél Szett"
		"StoreBanner_Text_WR_NorthernWindSet"			"Vedd célba nyilaiddal a valódi északot."
		"StoreBanner_Header_Lina_ScorchingPrincessSet"			"A Perzselő Hercegnő Szett"
		"StoreBanner_Text_Lina_ScorchingPrincessSet"			"A tűz hatalma!"
		"StoreBanner_Header_Mirana_StarlightSet"			"Csillagfény Szett"
		"StoreBanner_Text_Mirana_StarlightSet"			"Az Esthajnalcsillag a földre érkezett."
		"StoreBanner_Header_KotL_FirstLightSet"			"Az Első Fény Szett"
		"StoreBanner_Text_KotL_FirstLightSet"			"Az Első Fény egy öszvér árnyékát varázsolja. Ez a szett többféle kalapstílust tartalmaz!"
		"StoreBanner_Header_Siren_SlithereenKnightSet"			"A Slithereen Lovag"
		"StoreBanner_Text_Siren_SlithereenKnightSet"			"Slithereen nem bukhat el."
		"StoreBanner_Header_Courier_Deathripper"			"Halálmetsző"
		"StoreBanner_Text_Courier_Deathripper"			"A fekete mágia és egy rosszul sikerült kísérlet félelmetes kombinációja. A Halálmetsző a Privateer Press első kirándulása a szállítási vállalkozás világába."
		"StoreBanner_Header_Courier_Blotto"			"Blotto és Bot"
		"StoreBanner_Text_Courier_Blotto"			"Egykori szerencsejátékos és zugprókátor, aki most a jó útra térés lassú útját járva futárszolgálatba kezdett, hogy összeügyeskedjen egy kis extra zsetont, és magával hozta a jó öreg Botot is a mókába!"
		"StoreBanner_Header_Courier_Alphid"			"Lecaciidai Alphid"
		"StoreBanner_Text_Courier_Alphid"			"Kolóniájától távol keresve saját sorsát, Alphid meg van győződve róla, hogy kivételes gyorsaságának és odaadásának jó hasznát lehet venni a csatatéren."
		"StoreBanner_Header_Courier_Tinkbot"			"Tinkbot"
		"StoreBanner_Text_Courier_Tinkbot"			"Megelégelve a hagyományos szállítási módszereket, Tinker munkához látott valamin, amiről úgy érezte, kicsit megbízhatóbb."
		"StoreBanner_Header_Premier_League_5"			"Nézd a döntőket ezen a héten!"
		"StoreBanner_Text_Premier_League_5"				"Tartalmazza a Bűnös Succubus fejlődő szettet és a Kőomladék HUD-ot."
		"StoreBanner_Header_DROW_JeweloftheForestSet"		"Drow: Az Erdő Ékköve Szett"
		"StoreBanner_Text_DROW_JeweloftheForestSet"		"Ékkövek az ékességnek."
		"StoreBanner_Header_SNK_RegaliaoftheBonelordSet"		"Wraith King: A Csontlord Koronázási Jelvényei Szett"
		"StoreBanner_Text_SNK_RegaliaoftheBonelordSet"		"A csontok királya jövend!"
		"StoreBanner_Header_PUDGE_TheOlChopperSet"		"Pudge: A Vén Aprító Szett"
		"StoreBanner_Text_PUDGE_TheOlChopperSet"		"Nincs, amit valami élessel ne lehetne megoldani!"
		"StoreBanner_Header_SPECTRE_TheMaliciousEfflorescenceSet"		"Spectre: A Gonosz Virágzás Szett"
		"StoreBanner_Text_SPECTRE_TheMaliciousEfflorescenceSet"		"A legsötétebb éterből kísérteties hatalom kél."
		"StoreBanner_Header_PA_DarkWraithSet"		"Phantom Assassin: Sötét Lidérc Szett"
		"StoreBanner_Text_PA_DarkWraithSet"		"Kevesebb, de látványosabb."
		"StoreBanner_Header_NYX_SacredOrbSet"		"Nyx Assassin: Szent Gömb Szett"
		"StoreBanner_Text_NYX_SacredOrbSet"		"Az Istennő akarja, hogy a tiéd legyen!"
		"StoreBanner_Header_SLARK_DeepWardenHaulSet"		"Slark: A Mélység Őrének Zsákmánya Szett"
		"StoreBanner_Text_SLARK_DeepWardenHaulSet"		"Karok a mélyből!"
		"StoreBanner_Header_RIKI_ArmsoftheBladebreakerOrderSet"		"Riki: A Pengetörő Rend Fegyverzete Szett"
		"StoreBanner_Text_RIKI_ArmsoftheBladebreakerOrderSet"		"Soha nem fogják megtudni, mi vágta le őket!"
		"StoreBanner_Header_OM_AncestralLuckSet"		"Ogre Magi: Ősi Szerencse Szett"
		"StoreBanner_Text_OM_AncestralLuckSet"		"Neked szerencse. Nekik balszerencse."
		"StoreBanner_Header_TA_RedmoonAssassinsSecretFinerySet"		"Templar Assassin: A Vöröshold Orgyilkosok Titkos Öltözete Szett"
		"StoreBanner_Text_TA_RedmoonAssassinsSecretFinerySet"		"Amikor Vöröshold Rend hív, válaszolsz-e?"
		"StoreBanner_Header_BS_TheGallowsUnderstudySet"		"Bloodseeker: A Bitóhelyettesítő Szett"
		"StoreBanner_Text_BS_TheGallowsUnderstudySet"		"Távol a Nyúzott Ikrektől, mégis otthon."
		"StoreBanner_Header_QoP_ChainedMistressSet"		"Queen of Pain: A Megláncolt Úrnő Szett"
		"StoreBanner_Text_QoP_ChainedMistressSet"		"Vigyázz a megláncolt fájdalommal."
		"StoreBanner_Header_MORPHLING_GiftoftheSeaSet"		"Morphling: A Tenger Ajándéka Szett"
		"StoreBanner_Text_MORPHLING_GiftoftheSeaSet"		"Ajándék morph-nak ne nézd a fogát."
		"StoreBanner_Header_HUD_DragonScale"		"HUD: Sárkánypikkely"
		"StoreBanner_Text_HUD_DragonScale"		"Láss sárkány-perspektívából!"
		"StoreBanner_Header_HUD_Curiosity"		"HUD: Kíváncsiság"
		"StoreBanner_Text_HUD_Curiosity"		"Fedezd fel, mit kell még felfedezned!"
		"StoreBanner_Header_HUD_IronCage"		"HUD: Vasketrec"
		"StoreBanner_Text_HUD_IronCage"		"Engedd szabadjára ügyességed!"
		"StoreBanner_Header_COURIER_Waldi"		"Futár: Waldi, a hűséges"
		"StoreBanner_Text_COURIER_Waldi"		"Engedd el a kopót!"
		"StoreBanner_Header_WARD_OculatheObserver"		"Ward: Ocula a Megfigyelő"
		"StoreBanner_Text_WARD_OculatheObserver"		"A kémed a csatatéren!"
		"StoreBanner_Header_Rubiline_Sheen_Key"			"Ragyogó Rubilin Kulcs"
		"StoreBanner_Text_Rubiline_Sheen_Key"			"Árnyrés legkiválóbb rubilinjéből faragták."
		"StoreBanner_Header_Emerald_Polycount_Key"			"Smaragd Polycount Kulcs"
		"StoreBanner_Text_Emerald_Polycount_Key"			"A Polycount mesterei által valóra váltott álmok."
		"StoreBanner_Header_EmeraldPolycount_EyeofNiuhi"			"Niuhi Szeme"
		"StoreBanner_Text_EmeraldPolycount_EyeofNiuhi"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_MeadowsMercy"			"A Rét Irgalma"
		"StoreBanner_Text_EmeraldPolycount_MeadowsMercy"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_ShadowBrand"			"Árnykard"
		"StoreBanner_Text_EmeraldPolycount_ShadowBrand"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_PunderoftheHighSeas"			"A Nyílt Tengerek Zsákmánya"
		"StoreBanner_Text_EmeraldPolycount_PunderoftheHighSeas"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_KrakensBane"			"A Kraken Veszte"
		"StoreBanner_Text_EmeraldPolycount_KrakensBane"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_GrievousGrapnel"			"Fájdalmas Csáklya"
		"StoreBanner_Text_EmeraldPolycount_GrievousGrapnel"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_LamentsoftheDead"			"A Holtak Siralmai"
		"StoreBanner_Text_EmeraldPolycount_LamentsoftheDead"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_TridentoftheDeepOne"			"A Mélységlakó Háromágú Szigonya"
		"StoreBanner_Text_EmeraldPolycount_TridentoftheDeepOne"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_StaffofInfernalChaos"			"A Pokoli Káosz Botja"
		"StoreBanner_Text_EmeraldPolycount_StaffofInfernalChaos"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_ShatteredAxeoftheVanquished"			"A Legyőzött Összezúzott Fejszéje"
		"StoreBanner_Text_EmeraldPolycount_ShatteredAxeoftheVanquished"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_AshbornHorns"			"Hamubanszületett Szarvak"
		"StoreBanner_Text_EmeraldPolycount_AshbornHorns"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_EmeraldPolycount_FrozenSteinoftheBarBrawler"			"A Kocsmai Bunyós Fagyott Söröskorsója"
		"StoreBanner_Text_EmeraldPolycount_FrozenSteinoftheBarBrawler"			"<span style='color:#42b479; font-size:14px; font-weight:bold;'>Smaragd Polycount Láda</span> - Csak ebben található 1 a 12 lehetséges tárgyból."
		"StoreBanner_Header_MORPHLING_AncientArmorSet"		"Morphling: Ősi Páncél Szett"
		"StoreBanner_Text_MORPHLING_AncientArmorSet"		"Néha az ős módszer a legjobb."
		"StoreBanner_Header_SNIPER_TheHareHuntSet"		"Sniper: A Nyúlvadász Szett"
		"StoreBanner_Text_SNIPER_TheHareHuntSet"		"Légy nagyon csendben, vadászik."
		"StoreBanner_Header_LION_HellsAmbassadorSet"		"Lion: A Pokol Nagykövete Szett"
		"StoreBanner_Text_LION_HellsAmbassadorSet"		"Olyan gyakran jár a pokolba, hogy szállást kelljen ott fenntartania."
		"StoreBanner_Header_KUNKKA_ArmamentsOfLeviathanSet"		"Kunkka: Leviatán Fegyverzete Szett"
		"StoreBanner_Text_KUNKKA_ArmamentsOfLeviathanSet"		"Kunkka legendája gyarapszik... legalábbis Kunkka szerint."
		"StoreBanner_Header_SB_BarathrumsFurySet"		"Spirit Breaker: Barathrum Dühe Szett"
		"StoreBanner_Text_SB_BarathrumsFurySet"		"Megtörhetetlen düh."
		"StoreBanner_Header_FV_ViridiInanitasSet"		"Faceless Void: Viridi Inanitas Szett"
		"StoreBanner_Text_FV_ViridiInanitasSet"		"Claszureme templomában csak az őrület létezik..."
		"StoreBanner_Header_HUD_GoldenTreasures"		"HUD: Aranykincs"
		"StoreBanner_Text_HUD_GoldenTreasures"		"A vagyont a csatatéren nyered."
		"StoreBanner_Header_HUD_Omen"		"HUD: Ómen"
		"StoreBanner_Text_HUD_Omen"		"A sötét hírek kéretlenül érkeznek."
		"StoreBanner_Header_HUD_Tremor"		"HUD: Remegés"
		"StoreBanner_Text_HUD_Tremor"		"A háború minden alapot megráz."
		"StoreBanner_Header_AM_TheClergyAsceticSet"		"Anti-Mage: A Klérus Aszkéta Szett"
		"StoreBanner_Text_AM_TheClergyAsceticSet"		"Megtagadál magadtól minden örömöket, az divatéit kivéve!"
		"StoreBanner_Header_SHADOWSHAMAN_EkiSet"		"Shadow Shaman: Eki Spirituális Eszközei Szett"
		"StoreBanner_Text_SHADOWSHAMAN_EkiSet"		"Küldd őket a nagy elmúltak közé!"
		"StoreBanner_Header_BLOODSEEKER_ScarletRavenSet"		"Bloodseeker: A Skarlát Holló Hevülete Szett"
