"lang"
{ 
	"Language" "spanish" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"¡OFERTA!"
		"DOTA_Chat_AD_BanCount1"		"<font color='#FFFFFF'>%s1</font> héroe ha sido elegido y vetado aleatoriamente."
		"DOTA_Chat_RiverPainted1"		"¡%s1 ha teñido el río con el Frasco de Río: Cromado!"
		"DOTA_Chat_RiverPainted2"		"¡%s1 ha teñido el río con el Frasco de Río: Seco!"
		"DOTA_Chat_RiverPainted3"		"¡%s1 ha teñido el río con el Frasco de Río: Moco!"
		"DOTA_Chat_RiverPainted4"		"¡%s1 ha teñido el río con el Frasco de Río: Aceite!"
		"DOTA_Chat_RiverPainted5"		"¡%s1 ha teñido el río con el Frasco de Río: Electrificado!"
		"DOTA_Chat_RiverPainted6"		"¡%s1 ha teñido el río con el Frasco de Río: Poción!"
		"DOTA_Chat_RiverPainted7"		"¡%s1 ha teñido el río con el Frasco de Río: Sangre!"
		"DOTA_Chat_RoshanWantsCandy"	"¡Roshan quiere <font color='#7FFF00'>CARAMELOS</font> de %s1!"
		"DOTA_Chat_CandyObtained2"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por la primera sangre!"
		"DOTA_Chat_CandyObtained3"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por matar a Roshan!"
		"DOTA_Chat_CandyObtained4"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por destruir la primera torre!"
		"DOTA_Chat_CandyObtained5"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por destruir un Espantapájaros!"
		"DOTA_Chat_CandyObtained6"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por destruir un Pozo de Caramelos!"
		"DOTA_Chat_CandyObtained7"		"¡%s1 ha obtenido <font color='#E980E9'>puntos del Despertar Dire</font> por robar un caramelo!"


		"DOTA_Chat_SocialSettings_Filtered_Warning"		"Actualmente tienes algunos mensajes de chat ignorados. Puedes cambiar este ajuste en la pestaña «Social» en la pantalla de ajustes."

		"DOTA_Chat_ShrineKilled"		"Santuario destruido"

		"DOTA_LaneNameNone"				"base"
		"DOTA_LaneNameTop"				"senda superior"
		"DOTA_LaneNameMiddle"			"senda central"
		"DOTA_LaneNameBottom"			"senda inferior"

		// Can't use item reasons.
		"DOTA_Chat_ActionItemReason_Unknown"	"ahora no es un buen momento"
		"DOTA_Chat_ActionItemReason_Dead"	"estás muerto"
		"DOTA_Chat_ActionItemReason_Cooldown"	"en recarga (%s1)"
		"DOTA_Chat_ActionItemReason_GamemodeRestricted"	"el objeto no se puede utilizar en este modo"
		"DOTA_Chat_ActionItemReason_HornBlown"	"el objeto debe usarse antes de que se escuche el sonido del cuerno"
		
		"DOTA_MiniKillCam_KillerInfo"	"ASESINADO POR\n%s1"
		"DOTA_MiniKillCam_ReadytoRespawn" "¡Prepárate para reaparecer!"
		"DOTA_MiniKillcam_TotalDamage"	"%s1 Daño"
		"DOTA_MiniKillcam_OtherDamage"	"Daño por creeps"
		"DOTA_MiniKillcam_KilledByGood"	"ASESINADO POR\n¡Los Radiant!"
		"DOTA_MiniKillcam_KilledByBad"	"ASESINADO POR\n¡Los Dire!"
		"DOTA_MiniKillcam_KilledByNeutral"	"ASESINADO POR\nNeutrales"
		"DOTA_MiniKillcam_KilledByRoshan"	"ASESINADO POR\nRoshan"
		"DOTA_MiniKillcam_Timer"		"%s1:%s2"
		"DOTA_MiniKillcam_TellMeMore"		"Cuéntame más"
		"DOTA_MiniKillcam_Wielding"		"%s1 lleva:"
		"DOTA_MiniKillcam_Recent_Title"	"Daño recibido recientemente"
		"DOTA_MiniKillcam_DMG"	"%s1 de daño"
		"dota_killcam_generic_damage"	"Daño"
		"dota_killcam_generic_damage_subtitle"	"Ataques cuerpo a cuerpo o a distancia"
		
		"DOTA_Chat_Good"				"los Radiant"
		"DOTA_Chat_Bad"					"los Dire"
		"DOTA_Chat_Melee"				"cuerpo a cuerpo"
		"DOTA_Chat_Ranged"				"a distancia"
		"DOTA_Chat_LaneTop"				"la senda superior"
		"DOTA_Chat_LaneMid"				"la senda central"
		"DOTA_Chat_LaneBot"				"la senda inferior"

		// Pause
		"DOTA_Chat_CantPause"		"No puedes pausar."
		"DOTA_Chat_NoPausesLeft"	"No te quedan pausas restantes."
		"DOTA_Chat_CantPauseYet"	"No puedes pausar durante %s1 segundos."
		"DOTA_Chat_PauseCountdown"	"%s1 pausará en %s2..."
		"DOTA_Chat_Paused"			"%s1 ha pausado la partida."
		"DOTA_Chat_UnpauseCountdown"	"Reanudando en %s1..."
		"DOTA_Chat_Unpaused"		"%s1 ha reanudado la partida."
		"DOTA_Chat_AutoUnpaused"	"La partida se ha reanudado automáticamente."
		"DOTA_Chat_YouPaused"		"Has pausado la partida, te quedan %s1 pausas."
		"DOTA_Chat_CantUnpauseTeam"	"Aún no puedes reanudar la partida en este equipo."

		"DOTA_Notification_Paused_Title"		"En pausa"
		"DOTA_Notification_Paused_Message"		"El juego se ha puesto en pausa"
		"DOTA_Notification_Unpaused_Title"		"Continuar partida"
		"DOTA_Notification_Unpaused_Message"	"La partida va a continuar."

		"DOTA_Notification_ReadyCheck_Title"		"Todos listos"
		"DOTA_Notification_ReadyCheck_Message"		"Tu grupo ha solicitado una verificación de «¿Preparados?»."

		"DOTA_Winner_GoodGuys"			"Victoria Radiant"
		"DOTA_Winner_BadGuys"			"Victoria Dire"
		"DOTA_Winner_Teamname"			"Victoria %s1"
		"DOTA_Roshan_Killed"			"Roshan ha sido asesinado"
		"DOTA_Roshan_Wins"			"Roshan es el vencedor"
		"DOTA_Finish_Game"			"Terminar partida"

		"DOTA_Halloween_EndGame_Title"	"Roshan ha sido asesinado"
		"DOTA_Match_Details"			"Detalles de la partida"

		"DOTA_Halloween_MidGame_Radiant"	"Los Radiant han recolectado más caramelos"
		"DOTA_Halloween_MidGame_Dire"		"Los Dire han recolectado más caramelos"
		
		"DOTA_LearnAbilities"			"Aprender habilidades"

		"DOTA_ReactiveHintTitle_TowerDamage"	"Daño causado por las torres"
		"DOTA_ReactiveHintBody_TowerDamage"		"Las torres infligen MUCHO daño - si recibes aunque solo sean unos pocos impactos, puede que tengas que regresar a la fuente para curarte. Solo es recomendable luchar cerca de una torre cuando tus creeps ya la están atacando."

		"DOTA_ReactiveHintTitle_Death"		"Muerte"
		"DOTA_ReactiveHintBody_Death"		"Al morir reaparecerás en tu fuente. El tiempo que tardas en reaparecer aumenta con tu nivel, por lo que es imperativo que intentes NO MORIR. Si tienes poca vida, regresa a tu fuente para curarte."
		
		"DOTA_Laning_Mid"					"SENDA CENTRAL"
		
		"DOTA_New_Player_Key_Config"		"Selecciona una configuración inicial (puedes modificar los parámetros en cualquier momento)"

		"DOTA_PauseScriptedDemo_Title"		"Pausado"
		"DOTA_PauseScriptedDemo_Question"	"¿Quieres seguir viendo esta partida?"
		"DOTA_PauseScriptedDemo_Resume"		"Sí"
		"DOTA_PauseScriptedDemo_Exit"		"No"

		"DOTA_Tutorial_Experience_Title"	"Una pregunta rápida"
		"DOTA_Tutorial_Experience_Question"	"¿Cómo de familiarizado estás con los juegos de estrategia en tiempo real?"
		"DOTA_Tutorial_Experience_Yes"		"He jugado a un montón"
		"DOTA_Tutorial_Experience_No"		"No he jugado a muchos"

		"DOTA_Tutorial_Minimap_Side_Title"	"¿En qué lado del HUD debería aparecer el minimapa?"
		"DOTA_Tutorial_Minimap_Side_Subtitle"	"Puedes cambiar esto en cualquier momento en Ajustes"

		"DOTA_Tutorial_Quests"				"MISIONES"
		"DOTA_Tutorial_TaskCompleted"		"¡Completado!"
		"DOTA_Tutorial_TaskFailed"			"¡Has fracasado!"

		"DOTA_Tutorial_M1_IntroRazor"		"¡Traigo la chispa de la muerte!"
		"DOTA_Tutorial_M1_IntroRazorWin"	"Jajajaaaa..."
		"DOTA_Tutorial_M1_Move"				"¡Eh, tú! ¡Dragon Knight, por aquí!"
		"DOTA_Tutorial_M1_MoveHow"			"Haz <font color='#006697' face='Dota Hypatia Bold'><b>clic derecho</b></font> para moverte hasta el lugar donde quieras ir. Dirígete a la ubicación indicada."
		"DOTA_Tutorial_M1_MoveCam"			"¡Necesitamos tu ayuda! ¡Pasado el puente! Dirígete al norte y sigue el camino."
		"DOTA_Tutorial_M1_MoveCamHow"		"Puedes desplazar la cámara de diferentes formas:\n- <font color='#006697' face='Dota Hypatia Bold'><b>Acercando el ratón</b></font> al borde de la pantalla.\n- Manteniendo pulsado el <font color='#006697' face='Dota Hypatia Bold'><b>botón central del ratón</b></font> y arrastrando."
		"DOTA_Tutorial_M1_MoveCamHowNoEdge"	"Puedes mover la cámara de distintas formas:\n- Con las teclas <font color='#006697' face='Dota Hypatia Bold'><b>%+forward% %+moveleft% %back% %+moveright%</b></font>.\n- Manteniendo pulsado el <font color='#006697' face='Dota Hypatia Bold'><b>botón central del ratón</b></font> y arrastrando."
		"DOTA_Tutorial_M1_Warning"			"¡Dragon Knight! <font color='#006697' face='Dota Hypatia Bold'><b>Razor</b></font>, nuestro viejo rival Dire, está atacando nuestros puestos avanzados. <font color='#006697' face='Dota Hypatia Bold'><b>Keeper of the Light</b></font> ya ha ido tras él. Dijo que te enviáramos cuando aparecieras."
		"DOTA_Tutorial_M1_Attack"			"Ataca a este creep Dire haciendo <font color='#006697' face='Dota Hypatia Bold' face='Dota Hypatia Bold'><b>clic derecho</b></font> en él. ¡Mátalo! ¡Mátalo!"
		"DOTA_Tutorial_M1_AttackWave"		"¡Más creeps! ¡Préstanos tu espada, Dragon Knight!"
		"DOTA_Tutorial_M1_Camp"				"Dragon Knight, síguenos hasta la torre de vigilancia. ¡Protégenos! Podría haber más creeps enemigos en camino."
		"DOTA_Tutorial_M1_CampLevel"		"¡Anda, has subido de nivel! Te estás volviendo aún más fuerte."
		"DOTA_Tutorial_M1_CampLevelHint"	"Haz clic en el botón <font color='#006697' face='Dota Hypatia Bold'><b>NIVEL</b></font> que se encuentra encima de tu retrato y selecciona tu primera habilidad, <font color='#006697' face='Dota Hypatia Bold'><b>Aliento de Fuego</b></font>."
		"DOTA_Tutorial_M1_CampInvade"		"¡Más creeps! ¡Rápido, lanza Aliento de Fuego sobre ellos! ¡Quémalos! ¡Quémalos!"
		"DOTA_Tutorial_M1_CampUseBreath"	"¡Pulsa la tecla <font color='#006697' face='Dota Hypatia Bold'><b>%dota_ability_execute 0%</b></font> para seleccionar <font color='#006697' face='Dota Hypatia Bold'><b>Aliento de Fuego</b></font> y luego haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en un enemigo para lanzarlo!"
		"DOTA_Tutorial_M1_CampFinish"		"¡Nos has salvado! Por eso eres un héroe y nosotros solo creeps. Deja que defendamos esta torre de vigilancia. Avanza y encuentra a Keeper of the Light para que puedas unirte a él y enfrentarte a Razor."
		"DOTA_Tutorial_M1_ShopAttract"		"¡Ah, Dragon Knight! ¡Un auténtico héroe!"
		"DOTA_Tutorial_M1_ShopOpen"			"Saludos, amigo mío, y bienvenido a mi tienda. ¡Pulsa <font color='#006697' face='Dota Hypatia Bold'><b>%toggleshoppanel%</b></font> para abrir y cerrar el menú!\n\nPermíteme hacerte unas recomendaciones. Para ti, te sugeriría un Bálsamo curativo y tal vez, hm, sí... un Escudo Robusto. Creo que tienes suficiente oro."
		"DOTA_Tutorial_M1_BuyShield"		"Haz <font color='#006697' face='Dota Hypatia Bold'><b>clic derecho</b></font> sobre el <font color='#006697' face='Dota Hypatia Bold'><b>Escudo Robusto</b></font> para comprarlo. Puedes encontrar el <font color='#006697' face='Dota Hypatia Bold'><b>Escudo Robusto</b></font> en la pestaña de Armamentos."
		"DOTA_Tutorial_M1_InspectShield"	"El <font color='#006697' face='Dota Hypatia Bold'><b>Escudo Robusto</b></font> es un objeto pasivo, así que no tienes que usarlo para obtener sus beneficios. <font color='#006697' face='Dota Hypatia Bold'><b>Pasa el ratón sobre</b></font> el escudo en tu inventario para ver sus bonificaciones.\n\nCompra el <font color='#006697' face='Dota Hypatia Bold'><b>Bálsamo Curativo</b></font> cuando estés listo para continuar. Puedes encontrarlo bajo la <font color='#006697' face='Dota Hypatia Bold'><b>pestaña Consumibles</b></font>."
		"DOTA_Tutorial_M1_UsePotion"		"Los Bálsamos Curativos son <font color='#006697' face='Dota Hypatia Bold'><b>objetos activos</b></font>, lo que significa que deben ser activados para usarse. Haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en el Bálsamo de tu inventario para obtener un cursor de objetivo y luego haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en ti mismo para aplicarlo.\n\nPruébalo ahora para ver cómo funciona."
		"DOTA_Tutorial_M1_PostPotion"		"Ten cuidado. Si recibes daño mientras el bálsamo hace efecto, la curación se detendrá."
		"DOTA_Tutorial_M1_BuyClarity"		"Compra una poción de <font color='#006697' face='Dota Hypatia Bold'><b>Claridad</b></font> también, te permitirá regenerar maná rápidamente durante un periodo de tiempo.\n\nAl igual que el Bálsamo Curativo, la regeneración se detendrá si recibes daño antes de que finalice el efecto."
		"DOTA_Tutorial_M1_UseClarity"		"Ahora, usa la <font color='#006697' face='Dota Hypatia Bold'><b>Claridad</b></font> y restaura tu maná. En vez de hacer clic en ella, intenta pulsar <font color='#006697' face='Dota Hypatia Bold'><b>%!item_clarity%</b></font> para usarla. Cada espacio del inventario tiene una tecla asignada a él. Pulsando <font color='#006697' face='Dota Hypatia Bold'><b>%!item_clarity%</b></font> dos veces la usará inmediatamente en ti.\n\nDespués de usarla, verás el efecto positivo de regeneración sobre tu barra de vida. Puedes pasar el ratón sobre un icono de efecto positivo para ver una descripción de lo que proporciona el efecto."
		"DOTA_Tutorial_M1_GoCreepingFollow"	"Ahora que lo dices, he visto varios campamentos de creeps neutrales en el bosque que se encuentra hacia el sur. Hay una buena recompensa por sus cabezas. Te mostraré dónde empezar a buscar."
		"DOTA_Tutorial_M1_GoCreeping"		"Bien hecho, caballero. Mira, tengo otro objeto pensado para la batalla que se aproxima, pero tendrás que ganar algo más de oro primero. Roquelaire, ¿dónde podría nuestro caballeroso amigo encontrar un trabajo lucrativo para su espada?"
		"DOTA_Tutorial_M1_CreepLevel"		"¡Has obtenido otro nivel! Haz clic en el botón <font color='#006697' face='Dota Hypatia Bold'><b>NIVEL</b></font> y selecciona <font color='#006697' face='Dota Hypatia Bold'><b>Sangre Dracónica</b></font>. Esta habilidad aumenta tu armadura, la cual reduce el daño infligido por los ataques enemigos y mejora tu regeneración de vida."
		"DOTA_Tutorial_M1_CreepLevelForce"	"¡No olvides subir de nivel!\n\nHaz clic en el botón <font color='#006697' face='Dota Hypatia Bold'><b>NIVEL</b></font> y selecciona <font color='#006697' face='Dota Hypatia Bold'><b>Sangre Dracónica</b></font>. Esta habilidad mejora la regeneración de vida y la armadura, reduciendo el daño infligido por los enemigos."
		"DOTA_Tutorial_M1_GoldEarned"		"¡Ya tienes suficiente oro, Dragon Knight! Vuelve con el mercader y démosle un buen uso."
		"DOTA_Tutorial_M1_CreepingAllDead"	"¡Bien hecho! Has obtenido oro en abundancia y destruido la amenaza. Volvamos con el mercader y preguntémosle por ese objeto nuevo."
		"DOTA_Tutorial_M1_BuyGauntlets"		"¡Has vuelto! Y con oro recién obtenido por despejar esos campamentos. Será un placer para mí ofrecerte el precio de cliente habitual por estos <font color='#006697' face='Dota Hypatia Bold'><b>Guantes de Fuerza</b></font>.\n\nRecuerda que puedes abrir la tienda pulsando <font color='#006697' face='Dota Hypatia Bold'><b>%toggleshoppanel%</b></font>."
		"DOTA_Tutorial_M1_BoughtGauntlets"	"Tengo más objetos para ti, buen caballero. Pero al igual que antes, necesitarás más oro."
		"DOTA_Tutorial_M1_KeeperIntro"		"¡Ah, pero si es mi viejo amigo Dragon Knight! Hemos tenido una pelea con creeps invasores, así que si nos prestas tu espada, te mantendré abastecido con <font color='#006697' face='Dota Hypatia Bold'><b>maná</b></font>."
		"DOTA_Tutorial_M1_LastHitIntro"		"Hay una <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font> en la tienda para aumentar aún más tus atributos. He visto una batalla hacia el oeste en la que podemos obtener suficiente oro para comprar la <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font>."
		"DOTA_Tutorial_M1_LastHitHowTo"		"En combate, tendrás que asestar el <font color='#006697' face='Dota Hypatia Bold'><b>Último Golpe</b></font> a un creep para obtener oro adicional. ¡Demasiado pronto o demasiado tarde y no obtendrás nada!"
		"DOTA_Tutorial_M1_LastHitReminder"	"Recuerda, es el golpe definitivo lo que importa. Solo obtienes oro si das el <font color='#006697' face='Dota Hypatia Bold'><b>Último Golpe</b></font> a un creep."
		"DOTA_Tutorial_M1_LastHitFollow"	"¡Por aquí!"
		"DOTA_Tutorial_M1_LastHitGold185"	"Bien hecho, has obtenido suficiente oro para la <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font>. ¡Volvamos con el mercader!"
		"DOTA_Tutorial_M1_LastHitCirclet"	"¡Bienvenido de nuevo! Compra la <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font> para aumentar aún más tus atributos. ¿Por qué no te la pones? Pasa tu ratón por encima de los atributos al lado de tu retrato para ver los beneficios de tu compra."
		"DOTA_Tutorial_M1_LastHitBracer"	"Seguramente necesitarás más antes de enfrentarte a Razor. Te recomendaría comprar algunos <font color='#006697' face='Dota Hypatia Bold'><b>Brazaletes</b></font>.\n\nUn Brazalete es un <font color='#006697' face='Dota Hypatia Bold'><b>Objeto Mejorado</b></font> que requiere uno o más objetos y una <font color='#006697' face='Dota Hypatia Bold'><b>Receta</b></font>. Vuelve cuando hayas obtenido 210 de oro y te mostraré cómo hacerlo."
		"DOTA_Tutorial_M1_LastHitAgain"		"¡De vuelta a la batalla, Dragon Knight!"
		"DOTA_Tutorial_M1_LastHitAttack"	"¡El último golpe! ¡Acuérdate de coordinar tus ataques! Moverse a medio blandir tu espada para cancelar un ataque es una buena forma de acertar un <font color='#006697' face='Dota Hypatia Bold'><b>Último Golpe</b></font>."
		"DOTA_Tutorial_M1_LastHitGold190"	"¡Has obtenido suficiente oro para comprar los <font color='#006697' face='Dota Hypatia Bold'><b>Brazaletes</b></font>! Busquemos al mercader para gastar tu dinero."
		"DOTA_Tutorial_M1_LastHitRecipe"	"¡Ah, el caballero ha regresado! Recuerda que algunos objetos se fabrican por combinación. En este caso, tienes tu <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font> y tus <font color='#006697' face='Dota Hypatia Bold'><b>Guantes</b></font>, los cuales pueden usarse para fabricar unos <font color='#006697' face='Dota Hypatia Bold'><b>Brazaletes</b></font>.\n\nAbre la tienda y haz clic en <font color='#006697' face='Dota Hypatia Bold'><b>Mejoras</b></font>. Después haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en los <font color='#006697' face='Dota Hypatia Bold'><b>Brazaletes</b></font> para mostrar todos los objetos necesarios para fabricar el brazalete."
		"DOTA_Tutorial_M1_LastHitRecipeBuy"	"Los objetos necesarios para los Brazaletes se muestran cerca de la parte inferior de la ventana de la tienda. Ya tienes dos de ellos, así que todo lo que te hace falta es la <font color='#006697' face='Dota Hypatia Bold'><b>Receta</b></font> que se puede comprar automáticamente haciendo <font color='#006697' face='Dota Hypatia Bold'><b>clic derecho</b></font> en el <font color='#006697' face='Dota Hypatia Bold'><b>Brazalete</b></font>. También puedes comprarla directamente."
		"DOTA_Tutorial_M1_LastHitComplete"	"¡Estupendo! Tu <font color='#006697' face='Dota Hypatia Bold'><b>Tiara</b></font> y tus <font color='#006697' face='Dota Hypatia Bold'><b>Guantes</b></font> se han combinado para crear el <font color='#006697' face='Dota Hypatia Bold'><b>Brazalete</b></font> mejorado, que proporciona mayor cantidad de atributos y libera algo de espacio en tu inventario."
		"DOTA_Tutorial_M1_UltBegin"			"Una cosa más, debes alcanzar el <font color='#006697' face='Dota Hypatia Bold'><b>nivel seis</b></font> para acceder a tu habilidad <font color='#006697' face='Dota Hypatia Bold'><b>definitiva</b></font>, <font color='#006697' face='Dota Hypatia Bold'><b>Forma del Dragón Ancestral</b></font> para enfrentarnos a Razor. ¡Vamos a buscar creeps para poder subir de nivel!"
		"DOTA_Tutorial_M1_DragonTail"		"¡Ah, estás en el nivel cinco! Elige tu habilidad <font color='#006697' face='Dota Hypatia Bold'><b>Cola de Dragón</b></font> y pruébala en algunos creeps. Se trata de un <font color='#006697' face='Dota Hypatia Bold'><b>Aturdimiento</b></font> a corta distancia que te hace más fácil el derrotar a héroes enemigos."
		"DOTA_Tutorial_M1_UseDragonTail"	"¡Pulsa la tecla <font color='#006697' face='Dota Hypatia Bold'><b>%dota_ability_execute 1%</b></font> para seleccionar <font color='#006697' face='Dota Hypatia Bold'><b>Cola de Dragón</b></font> y luego haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en un enemigo para lanzarla!"
		"DOTA_Tutorial_M1_UltLevel"			"¡Eso bastará! Sube de nivel y elige tu habilidad definitiva, <font color='#006697' face='Dota Hypatia Bold'><b>Forma de Dragón Ancestral</b></font>."
		"DOTA_Tutorial_M1_RazorBegin"		"Huelo la electricidad en el aire...¡Viene Razor! ¡Usa tu <font color='#006697' face='Dota Hypatia Bold'><b>Forma de Dragón Ancestral</b></font> y prepárate a luchar!"
		"DOTA_Tutorial_M1_RazorIncoming"	"¡Viene Razor!"
		"DOTA_Tutorial_M1_RazorArrive"		"Arrasaré con mis enemigos."
		"DOTA_Tutorial_M1_RazorDead"		"Bien hecho, noble caballero. ¡Has derrotado a Razor!"
		"DOTA_Tutorial_M1_LaneTip_1"		"Obtienes <font color='#006697' face='Dota Hypatia Bold'><b>experiencia</b></font> estando <font color='#006697' face='Dota Hypatia Bold'><b>cerca</b></font> de un enemigo cuando muere. El último golpe solo se necesita para obtener oro."
		"DOTA_Tutorial_M1_LaneTip_2"		"Permanece detrás de tus creeps y deja que se enfrenten al enemigo primero. Es una buena forma de evitar recibir daño."
		"DOTA_Tutorial_M1_LaneTip_3"		"Deja que tus creeps debiliten a los creeps enemigos y acércate para darles el <font color='#006697' face='Dota Hypatia Bold'><b>último golpe</b></font>."
		"DOTA_Tutorial_M2_Intro"			"¡Sniper! ¡Por fin te encuentro! La base está siendo atacada y necesitamos tu ayuda. Han avistado a <font color='#006697' face='Dota Hypatia Bold'><b>Tidehunter</b></font> con algunos creeps intentando debilitar nuestras defensas."
		"DOTA_Tutorial_M2_CallOver"			"¡Por aquí, Sniper!"
		"DOTA_Tutorial_M2_TangoIntro"		"Oh, estás algo bajo de vida. ¿Qué has estado haciendo? Toma, usa estos <font color='#006697' face='Dota Hypatia Bold'><b>Tangos</b></font>. Tengo de sobra."
		"DOTA_Tutorial_M2_TangoUse"			"Puedes utilizar tangos para recuperar parte de tu vida. Pulsa <font color='#006697' face='Dota Hypatia Bold'><b>%!item_tango%</b></font> y después haz <font color='#006697' face='Dota Hypatia Bold'><b>clic izquierdo</b></font> en un árbol."
		"DOTA_Tutorial_M2_TangoRestore"		"Utilizar un tango aumentará el ritmo al que recuperas vida durante un corto periodo de tiempo.\n\n¡Vamos!"
		"DOTA_Tutorial_M2_RangedCreep"		"Recuerda, tu <font color='#006697' face='Dota Hypatia Bold'><b>arma a distancia</b></font> te permite escudarte detrás de tus creeps e infligir daño desde una distancia segura."
		"DOTA_Tutorial_M2_RangedLevelTwo"	"Probablemente haya más de donde ha venido. Explora un poco a ver que encuentras. Cuanto más luches, más experiencia obtendrás para alcanzar el <font color='#006697' face='Dota Hypatia Bold'><b>nivel dos</b></font>."
		"DOTA_Tutorial_M2_AreaAssign"		"¡Les has demostrado quién manda! Sube de nivel y elige <font color='#006697' face='Dota Hypatia Bold'><b>Metralla</b></font> cuando puedas."
		"DOTA_Tutorial_M2_AreaLearn"		"<font color='#006697' face='Dota Hypatia Bold'><b>Metralla</b></font> es una habilidad con <font color='#006697' face='Dota Hypatia Bold'><b>área de efecto</b></font>. Dañará a los enemigos dentro de su radio."
		"DOTA_Tutorial_M2_AreaIncoming"		"¡Cuidado!"
		"DOTA_Tutorial_M2_AreaUse"			"¡Sniper! ¡Utiliza <font color='#006697' face='Dota Hypatia Bold'><b>Metralla</b></font> pulsando <font color='#006697' face='Dota Hypatia Bold'><b>%dota_ability_execute 0%</b></font> y haz clic izquierdo para lanzarla sobre estos tipos!"
		"DOTA_Tutorial_M2_AreaFriendly"		"No te preocupes, <font color='#006697' face='Dota Hypatia Bold'><b>Metralla</b></font> no dañará a aliados."
		"DOTA_Tutorial_M2_TowerHelp"		"¡Por aquí! ¡Nuestra torre está en peligro! <font color='#006697' face='Dota Hypatia Bold'><b>Tidehunter</b></font> se aproxima y no podemos aguantar mucho más. ¡Ayúdanos! ¡Ayúdanos!"
		"DOTA_Tutorial_M2_MapIntro"			"¡Aquí tienes un mapa con la ubicación de la torre!"
		"DOTA_Tutorial_M2_MapExplain"		"El <font color='#006697' face='Dota Hypatia Bold'><b>minimapa</b></font> contiene un montón de información útil. Podrás ver tu posición así como la de las torres y los creeps. Incluso te mostrará a tus enemigos, siempre y cuando alguno de tus aliados los tenga a la vista."
		"DOTA_Tutorial_M2_TowerGoTo"		"¡La torre está cerca!"
		"DOTA_Tutorial_M2_TowerDefend"		"¡Defiende la torre!"
		"DOTA_Tutorial_M2_TowerLevel"		"Durante el combate has obtenido otro nivel. Sube de nivel tu <font color='#006697' face='Dota Hypatia Bold'><b>Disparo a la Cabeza</b></font> para tener la oportunidad de parar en seco a tu enemigo."
		"DOTA_Tutorial_M2_TowerRetreat"		"Si ves que te atacan, intenta retroceder hasta tus creeps y deja que ellos te protejan."
		"DOTA_Tutorial_M2_TowerThanks"		"Vaya, ha estado cerca. Gracias, Sniper. <font color='#006697' face='Dota Hypatia Bold'><b>Tidehunter</b></font> nos lo estaba haciendo pasar mal, pero parece que estaba bajo de vida y le has ahuyentado."
		"DOTA_Tutorial_M2_TowerLevelAny"	"Has obtenido otro nivel. Sube de nivel y elige otra habilidad. Lee la información de cada habilidad para saber qué hacen y escoge una."
		"DOTA_Tutorial_M2_TowerExplain"		"Suerte que teníamos esta <font color='#006697' face='Dota Hypatia Bold'><b>torre</b></font> ayudando a defender contra el enemigo. Las <font color='#006697' face='Dota Hypatia Bold'><b>torres</b></font> son importantes a la hora de defender.\n\nSi hoy ha sido señal de algo, es de que seguramente hay más creeps cerca."
		"DOTA_Tutorial_M2_StashBuyBoots"	"Hemos obtenido algo de oro de esos creeps. ¿Sabías que puedes comprar objetos fuera de la tienda? Al comprarlos, se guardarán en tu <font color='#006697' face='Dota Hypatia Bold'><b>reserva</b></font> para que puedas recogerlos más tarde.\n\nAbre la tienda con <font color='#006697' face='Dota Hypatia Bold'><b>%toggleshoppanel%</b></font>  y compra las <font color='#006697' face='Dota Hypatia Bold'><b>Botas de Velocidad</b></font>."
		"DOTA_Tutorial_M2_StashViewStash"	"Fíjate que las <font color='#006697' face='Dota Hypatia Bold'><b>Botas de Velocidad</b></font> han sido colocadas en tu <font color='#006697' face='Dota Hypatia Bold'><b>reserva</b></font>. La reserva muestra los objetos que tienes guardados en la base.\n\n<font color='#006697' face='Dota Hypatia Bold'><b>Pasa el ratón</b></font> sobre las Botas de Velocidad en tu reserva para ver qué harán cuando las recojas."
		"DOTA_Tutorial_M2_StashBuyRing"		"Ya que estamos, un poco de armadura vendría bien así que, ¿por qué no compramos un <font color='#006697' face='Dota Hypatia Bold'><b>Anillo de Protección</b></font>? La armadura reduce el daño de los ataques."
		"DOTA_Tutorial_M2_StashGo"			"La base no está muy lejos de aquí, ¡vayamos a recoger tus objetos!"
