"lang"
{ 
	"Language" "danish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"helbred"					// $health
		"dota_ability_variable_mana"				"mana"						// $mana
		"dota_ability_variable_armor"				"rustning"						// $armor
		"dota_ability_variable_damage"				"skade"					// $damage
		"dota_ability_variable_str"					"styrke"					// $str
		"dota_ability_variable_int"					"intelligens"				// $int
		"dota_ability_variable_agi"					"agilitet"					// $agi
		"dota_ability_variable_all"					"alle attributter"			// $all
		"dota_ability_variable_primary_attribute"	"primær attribut"			// $primary_attribute
		"dota_ability_variable_attack"				"angrebshastighed"				// $attack
		"dota_ability_variable_hp_regen"			"HP-regenerering"		// $hp_regen
		"dota_ability_variable_lifesteal"			"livsstjæl"					// $lifesteal
		"dota_ability_variable_mana_regen"			"mana-regenerering"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"mana-regenerering som aura"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"evneskade"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"debuff-varighed"			// $debuff_amp
		"dota_ability_variable_move_speed"			"bevægelseshastighed"			// $move_speed
		"dota_ability_variable_evasion"				"undvigelse"					// $evasion
		"dota_ability_variable_spell_resist"		"magisk resistens"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"evnelivsstjæl"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"evnelivsstjæl (kryb)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"evnelivsstjæl (helte)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"valgt attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"angrebsrækkevidde <font color='#7d7d7d'>(kun afstandshelte)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"angrebsrækkevidde <font color='#7d7d7d'>(kun nærkamp)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"kasterækkevidde"				// $cast_range
		"dota_ability_variable_status_resist"		"statusresistens"			// $status_resist
		"dota_ability_variable_projectile_speed"	"projektilhastighed"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"reduceret mana-omkostning"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"nedkølingsreduktion"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"ekstra maks. mana"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"skade (intelligenshelte)"
		"DOTA_Tooltip_ability_morphling_morph_str_Note1"								"Et level til Strength Gain giver også et level til Agility Gain."
		"DOTA_Tooltip_ability_morphling_morph_str_morph_rate_tooltip"					"SKIFTEHASTIGHED:"
		"DOTA_Tooltip_ability_morphling_morph_str_bonus_attributes"						"BONUSSTYRKE:"
		"DOTA_Tooltip_ability_morphling_morph_str_mana_cost"							"MANA-OMKOSTNING PER SEKUND:"
		"DOTA_Tooltip_ability_morphling_replicate"										"Morph"
		"DOTA_Tooltip_ability_morphling_replicate_Description"							"Morphling skifter form, så han replikerer den valgte fjende og dermed kan anvende dens basisevner. Morphling kan skifte mellem sin egen og fjendens form, så længe evnen er aktiv."
		"DOTA_Tooltip_ability_morphling_replicate_scepter_description"					"Morphling stjæler attributter fra den replikerede helt. Hvis den replikerede helts primære attribut er styrke, stjæles der også statusresistens. Hvis det er agilitet, stjæles der også angrebshastighed. Hvis det er intelligens, stjæles der også evneamplifikation."
		"DOTA_Tooltip_ability_morphling_replicate_Lore"									"Stirren ind i Morphling frembringer en refleksion, der efterligner beskuerens."
		"DOTA_Tooltip_ability_morphling_replicate_Note0"								"Du kan ikke vælge dig selv med Morph."
		"DOTA_Tooltip_ability_morphling_replicate_duration"								"VARIGHED:"
		"DOTA_Tooltip_ability_morphling_replicate_abilitycastrange"						"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_morphling_morph_replicate"								"Morph Replicate"
		"DOTA_Tooltip_ability_morphling_morph_replicate_Description"					"Morphling skifter form mellem sin egen og den replikerede fjende."
		"DOTA_Tooltip_ability_morphling_hybrid"							"Hybrid"
		"DOTA_Tooltip_ability_morphling_hybrid_duration"						"VARIGHED:"
		
		"DOTA_Tooltip_modifier_morphling_morph_str"				"Attribute Shift (Strength)"
		"DOTA_Tooltip_modifier_morphling_morph_str_Description"	"Opnår styrke på bekostning af agilitet"
		"DOTA_Tooltip_modifier_morphling_morph_agi"				"Attribute Shift (Agility)"
		"DOTA_Tooltip_modifier_morphling_morph_agi_Description"	"Opnår agilitet på bekostning af styrke"
		"DOTA_Tooltip_modifier_morphling_morph"					"Attribute Shift"
		"DOTA_Tooltip_modifier_morphling_morph_Description"		"STYRKE: %-dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%\nAGILITET: %-dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%"
		"DOTA_Tooltip_modifier_morphling_replicate_timer"						"Timer for Morphlings klon"
		"DOTA_Tooltip_modifier_morphling_replicate_timer_Description"			"Timer for kloner skabt af Morphlings evner"
		"DOTA_Tooltip_modifier_morphling_replicate_manager"					"Timer for Morph-evnen"
		"DOTA_Tooltip_modifier_morphling_replicate_manager_Description"		"Angiver hvornår Morphling transformerer tilbage til sin naturlige form."
		"DOTA_Tooltip_modifier_morphling_waveform_charge_counter"	"Waveform – antal ladninger"
		"DOTA_Tooltip_modifier_morphling_adaptive_strike"					"Adaptive Strike"
		"DOTA_Tooltip_modifier_morphling_adaptive_strike_Description"		"Lammet."

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_buff_Description"				"Modtager %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% styrke, %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% agilitet, %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligens og %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% statusresistens."
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_strength_debuff_Description"			"Mister %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS_PERCENTAGE%%% egenskaber og %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% statusresistens."

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_buff_Description"				"Modtager %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% styrke, %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% agilitet, %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligens og %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% angrebshastighed."
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_agility_debuff_Description"			"Mister %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS_PERCENTAGE%%% egenskaber og %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% angrebshastighed."

		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_buff_Description"			"Modtager %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% styrke, %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% agilitet, %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% intelligens og %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% evneamplifikation."
		"DOTA_Tooltip_modifier_morphling_scepter_stats_drain_intelligence_debuff_Description"		"Mister %dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS_PERCENTAGE%%% egenskaber og %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% evneamplifikation."

		//BLOOD SEEKER
		"DOTA_Tooltip_ability_bloodseeker_bloodrage"									"Bloodrage"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_Description"						"Presser Bloodseeker ud i et blodtørstigt raseri, hvilket får ham til at angribe hurtigere og gøre mere besværgelsesskade på bekostning af en procentdel af sit HP per sekund. Giver halv angrebshastighed til allierede helte."
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_Lore"								"Strygwyr deler sin dyriske tørst efter blodsudgydelse."
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_duration"							"VARIGHED:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_attack_speed"						"ANGREBSHASTIGHED:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_spell_amp"							"%EVNEAMPLIFIKATION:"
		"DOTA_Tooltip_ability_bloodseeker_bloodrage_damage_pct"							"%MAKS. HP SOM SKADE PER SEKUND:"

		"DOTA_Tooltip_ability_bloodseeker_bloodrage_shard_description"				    "Angreb med Bloodrage giver nu %shard_max_health_dmg_pct%%% af målets maksimale helbred som ren skade og heler Bloodseeker med samme mængde. Virker kun for Bloodseeker."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath"									"Blood Rite"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Description"						"Bloodseeker døber et område i helligt blod. Efter %delay_plus_castpoint_tooltip% sekunder gennemføres ritualet, hvilket får enhver fjende, der befinder sig i det afmærkede område, til at tage skade og blive undertrykt."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Lore"								"De Afpillede Tvillinger er altid villige til at hjælpe dem, der spilder blod på slagets mark."
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_silence_duration"					"UNDERTRYKKELSESVARIGHED:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_damage"			"SKADE:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_radius"			"OMRÅDESTØRRELSE:"
		"DOTA_Tooltip_ability_bloodseeker_blood_bath_Note0"			"Samlet tid er %delay% sekunders forsinkelse samt %abilitycastpoint% sekunders kastetid."
		
		"DOTA_Tooltip_ability_bloodseeker_thirst"										"Thirst"
		"DOTA_Tooltip_ability_bloodseeker_thirst_Description"							"Bloodseeker oplives af sine fjenders sår og gendanner noget af sit liv, når han dræber en enhed. Han gendanner halvdelen af sine værdier ved nægtning, eller hvis en allieret dræber en fjendtlig helt i nærheden. Han får også ekstra bevægelseshastighed, når en fjendtlig helts helbred ryger under %min_bonus_pct%%%, hvoraf bonusserne stiger idet fjendernes helbred yderligere falder. Hvis en fjendtlig helts helbred ryger under %invis_threshold_pct%%%, så får Bloodseeker også udsyn og True Sight over den helt. Bonusser stabler pr. helt. Fjender begrænsningen på Bloodseekers maksimale bevægelseshastighed."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Lore"									"Strygwyr bliver vanvittig, når der udgydes blod."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note0"									"Udløses ikke af illusioner."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note1"									"Den maksimale bonus til bevægelseshastighed forekommer, når en fjendens helbred er ved eller under %max_bonus_pct%%%."
		"DOTA_Tooltip_ability_bloodseeker_thirst_Note2"									"Effekten forbliver i %linger_duration% sekunder, hvis et mål dør."
		"DOTA_Tooltip_ability_bloodseeker_thirst_bonus_movement_speed"					"%MAKS. BEVÆGELSESHASTIGHED"
		"DOTA_Tooltip_ability_bloodseeker_thirst_hero_kill_heal"					"%MAKS. HP HELET (HELTE):"			
		"DOTA_Tooltip_ability_bloodseeker_thirst_creep_kill_heal"					"%MAKS. HP HELET (KRYB):"			
		"DOTA_Tooltip_ability_bloodseeker_thirst_half_bonus_aoe"					"RADIUS FOR HALV HELING:"			
		"DOTA_Tooltip_ability_bloodseeker_rupture"										"Rupture"
		"DOTA_Tooltip_ability_bloodseeker_rupture_Description"							"Får en fjendtlig enheds hud til at briste, hvilket øjeblikkeligt gør skade baseret på dens nuværende HP. Hvis enheden bevæger sig, tager den skade, afhængigt af hvor langt den bevæger sig."

		"DOTA_Tooltip_ability_bloodseeker_rupture_Lore"									"Når Bloodseeker jager dig, bliver skader til dødsfald."
		"DOTA_Tooltip_ability_bloodseeker_rupture_duration"								"VARIGHED:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_movement_damage_pct"					"%BEVÆGELSESSKADE:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_hp_pct"					"%HP SOM SKADE:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_abilitycastrange"					"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_bloodseeker_rupture_max_charges_scepter"					        "LADNINGER (SCEPTER):"
		"DOTA_Tooltip_ability_bloodseeker_rupture_charge_restore_time_scepter"					"TID FØR NY LADNING (SCEPTER):"
		
		"DOTA_Tooltip_ability_bloodseeker_blood_mist"										"Blood Mist"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_Description"							"Bloodseeker sprøjter kontinuerligt sit blod i området omkring sig og skader sig selv og hæmmer sine fjender. Heling fra Thirst er øget, mens evnen er aktiv. Kan ikke deaktiveres, mens den er på nedkøling."
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_bloodseeker_blood_mist_thirst_bonus_pct"						"%THIRST – EKSTRA HELING:"

		"DOTA_Tooltip_modifier_bloodseeker_blood_mist"									"Blood Mist"
		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_Description"						"Sprøjter blod, der skader og hæmmer fjender i nærheden. Thirst-heling forøget."

		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_slow"								"Blood Mist"
		"DOTA_Tooltip_modifier_bloodseeker_blood_mist_slow_Description"					"Hæmmet med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% af blodet fra Bloodseeker."

		"DOTA_Tooltip_modifier_bloodseeker_bloodrage"					"Bloodrage"
		"DOTA_Tooltip_modifier_bloodseeker_bloodrage_Description"		"Øger angrebshastighed og evne-amplifikation, men tager skade over tid."
		"DOTA_Tooltip_modifier_bloodseeker_blood_bath"					"Blood Bath"
		"DOTA_Tooltip_modifier_bloodseeker_blood_bath_Description"		"Regenerer HP når du dræber en enhed"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_speed"				"Thirst-hastighed"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_speed_Description"	"Du fornemmer en skadet fjende. Din bevægelseshastighed er øget."
		"DOTA_Tooltip_modifier_bloodseeker_thirst_vision"				"Thirst"
		"DOTA_Tooltip_modifier_bloodseeker_thirst_vision_Description"				"Bloodseeker sanser dine sår og ved præcis, hvor du er."
		"DOTA_Tooltip_modifier_bloodseeker_rupture"						"Rupture"
		"DOTA_Tooltip_modifier_bloodseeker_rupture_Description"			"Gør en procentdel af den afstand, du bevæger dig, som skade"		
		
		"DOTA_Tooltip_modifier_bloodseeker_rupture_charge_counter"	"Rupture – antal ladninger"
		"DOTA_Tooltip_modifier_bloodseeker_rupture_charge_counter_Description"	"Du kan bruge Rupture, når der er en ladning tilgængelig."

		//AXE
		"DOTA_Tooltip_ability_axe_berserkers_call"										"Berserker's Call"
		"DOTA_Tooltip_ability_axe_berserkers_call_Description"							"Axe spotter fjendtlige enheder i nærheden. Dette tvinger dem til at angribe ham, alt imens han opnår bonus-rustning under varigheden."
		"DOTA_Tooltip_ability_axe_berserkers_call_abilitydraft_note"  				    "<span class=\"ADWarning\">For at Scepter-opgraderingen skal fungere, skal evnen <b>Battle Hunger</b> også vælges.</span>"
		"DOTA_Tooltip_ability_axe_berserkers_call_Lore"									"Mogul Khans krigsråb spotter fjender, således at de går i en uvindelig kamp mod Axe."
		"DOTA_Tooltip_ability_axe_berserkers_call_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_axe_berserkers_call_bonus_armor"							"BONUS-RUSTNING:"
		"DOTA_Tooltip_ability_axe_berserkers_call_duration"								"VARIGHED:"
		"DOTA_Tooltip_ability_axe_berserkers_call_scepter_cooldown_reduction"			"NEDKØLINGSREDUKTION:"
		"DOTA_Tooltip_ability_axe_battle_hunger"										"Battle Hunger"
		"DOTA_Tooltip_ability_axe_battle_hunger_Note0"									"At ødelægge bygninger vil også fjerne debuff'en."
		"DOTA_Tooltip_ability_axe_battle_hunger_Lore"									"Almindelige helte kan ikke modstå Mogul Khans kamp-raseri, hvorfor det skader dem indtil raseriet er tilfredsstillet."
		"DOTA_Tooltip_ability_axe_battle_hunger_duration"								"VARIGHED:"
		"DOTA_Tooltip_ability_axe_battle_hunger_slow"									"%BEVÆGELSESHÆMNING:"
		"DOTA_Tooltip_ability_axe_battle_hunger_damage_per_second"						"SKADE PER SEKUND:"
		"DOTA_Tooltip_ability_axe_battle_hunger_abilitycastrange"						"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_axe_battle_hunger_scepter_armor_change"					"RUSTNINGSÆNDRING:"
		"DOTA_Tooltip_ability_axe_battle_hunger_scepter_description"					"Battle Hunger reducerer også fjenders rustning og giver Axe rustning per ramte mål."
		"DOTA_Tooltip_ability_axe_counter_helix"										"Counter Helix"
		"DOTA_Tooltip_ability_axe_counter_helix_Description"							"Når Axe bliver angrebet, har han en chance for at udføre et spiralformet modangreb, hvilket gør ren skade på alle fjender i nærheden."
		"DOTA_Tooltip_ability_axe_counter_helix_shard_description"						"Counter Helix påfører en stablende debuff på fjender, som rammes af den, som får dem til at gøre mindre samlet skade på Axe. Øger chancen for Counter Helix."
		"DOTA_Tooltip_ability_axe_counter_helix_shard_debuff_duration"					"DEBUFF-VARIGHED:"
		"DOTA_Tooltip_ability_axe_counter_helix_shard_damage_reduction"					"%ANGREBSREDUKTION:"
		"DOTA_Tooltip_ability_axe_counter_helix_shard_max_stacks"						"MAKS. ANTAL STABLINGER:"	
		"DOTA_Tooltip_ability_axe_counter_helix_Note0"									"Counter Helix udløses, når angrebet rammer."
		"DOTA_Tooltip_ability_axe_counter_helix_Lore"									"Axe er den eneste forstærkning, som denne hær har brug for."
		"DOTA_Tooltip_ability_axe_counter_helix_damage"									"SKADE:"
		"DOTA_Tooltip_ability_axe_counter_helix_radius"									"RADIUS:"
		"DOTA_Tooltip_ability_axe_counter_helix_trigger_chance"							"%CHANCE FOR HELIX:"
		"DOTA_Tooltip_ability_axe_culling_blade"										"Culling Blade"
		"DOTA_Tooltip_ability_axe_culling_blade_Lore"									"Mogul Khan er legemliggørelsen af kamp og raseri, som kaster sig ind i et grusomt dødsfald mod dem, som vover at gå i kamp mod Axe."
		"DOTA_Tooltip_ability_axe_culling_blade_damage"									"SKADE:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_bonus"							"%HASTIGHEDSBONUS VED DRAB:"
		"DOTA_Tooltip_ability_axe_culling_blade_atk_speed_bonus"						"ANGREBSHASTIGHED VED DRAB:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_aoe"								"HASTIGHEDSRADIUS VED DRAB:"
		"DOTA_Tooltip_ability_axe_culling_blade_speed_duration"							"HASTIGHEDSVARIGHED VED DRAB:"
		"DOTA_Tooltip_ability_axe_culling_blade_armor_per_stack"						"RUSTNING PER DRAB:"

		"DOTA_Tooltip_modifier_axe_culling_blade_permanent_PostGame"					"Fjender dræbt med Culling Blade."
		
		"DOTA_Tooltip_modifier_axe_berserkers_call"					"Berserker's Call"
		"DOTA_Tooltip_modifier_axe_berserkers_call_Description"		"Du bliver tvunget til at angribe Axe"
		"DOTA_Tooltip_modifier_axe_berserkers_call_armor"			"Berserker's Call-rustning"
		"DOTA_Tooltip_modifier_axe_berserkers_call_armor_Description"	"%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonus-rustning"
		"DOTA_Tooltip_modifier_axe_battle_hunger"					"Battle Hunger"
		"DOTA_Tooltip_modifier_axe_battle_hunger_Description"		"Gør %dMODIFIER_PROPERTY_TOOLTIP% skade per sekund og reducerer bevægelseshastighed med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_axe_battle_hunger_self"					"Battle Hunger"
		"DOTA_Tooltip_modifier_axe_battle_hunger_self_Description"		"Opnår %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonusrustning."
		"DOTA_Tooltip_modifier_axe_battle_hunger_self_movespeed"					"Battle Hunger"
		"DOTA_Tooltip_modifier_axe_counter_helix"					"Counter Helix"
		"DOTA_Tooltip_modifier_axe_counter_helix_Description"		"%trigger_chance%%% chance for at udføre et spiralformet modangreb"
		"DOTA_Tooltip_modifier_axe_culling_blade_boost"					"Culling Blade"
		"DOTA_Tooltip_modifier_axe_culling_blade_boost_Description"		"Axe frigiver et krigsråb, hvilket giver alle allierede i nærheden %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% bonus-bevægelseshastighed og %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% bonus-angrebshastighed"
		"DOTA_Tooltip_modifier_axe_counter_helix_damage_reduction_Description"		"Gør %dMODIFIER_PROPERTY_TOOLTIP%%% reduceret skade på Axe."


		//PHANTOM LANCER
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance"								"Spirit Lance"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_Description"					"Sender en magisk ånde-lanse imod en valgt fjendtlig enhed, hvilket gør skade og hæmmer. Et illusorisk fantom fremmanes også til at angribe enheden."
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_shard_description"			"Spirit Lance hopper én gang til en fjende og prioriterer helte. Øger illusionsskaden for Spirit Lance."
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_Lore"							"Azwraiths færdighed i at spidde hans families fiskemåltider viser sig ret brugbart i slagmarken."
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_Note0"						"Illusioner i nærheden efterligner kasteanimationen."
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_duration"						"HÆMNINGSVARIGHED:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_movement_speed_pct"			"%BEVÆGELSESHÆMNING:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_lance_damage"					"LANSESKADE:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_illusion_duration"			"ILLUSIONSVARIGHED:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_abilitycastrange"						"KASTERÆKKEVIDDE:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_tooltip_illusion_damage"		"%ILLUSIONSSKADE:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_tooltip_illusion_total_damage_in_pct"		"%ILLUSIONSSKADE TAGET:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_scepter_cooldown"		"NEDKØLING (SCEPTER):"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_scepter_illusion_duration"		"VARIGHED (SCEPTER):"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_scepter_cast_range_bonus"		"BONUSRÆKKEVIDDE (SCEPTER):"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_shard_bounce_radius"			"HOPPERADIUS:"
		"DOTA_Tooltip_ability_phantom_lancer_spirit_lance_shard_bonus_illusion_damage"	"%EKSTRA ILLUSIONSSKADE:"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk"								"Doppelganger"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_Description"					"Phantom Lancer forsvinder kortvarigt fra slagmarken. Efter %delay% sekund genopstår Phantom Lancer, og enhver illusion i nærheden, i en tilfældig position inden for det valgte område med yderligere to ekstra dobbeltgængere. Forlænger alle illusioners varighed. De to ekstra dobbeltgængere har forskellige egenskaber: Den ene tager normal skade og gør ingen skade, mens den anden tager %illusion_2_damage_in_pct%%% ekstra skade og gør %illusion_2_damage_out_pct%%% mindre skade.\n\nDISPEL-TYPE: Simpel dispel"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_Lore"							"Skrækmagusen Vorns død besjælede Phantom Lancer med evnen til at bøje og bryde alle lysets spektrummer."
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_target_aoe"		"STØRRELSE AF MÅLOMRÅDE:"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_search_radius"	"RADIUS HVORVED ILLUSIONER OPSAMLES:"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_delay"			"FORSINKELSE PÅ GENOPSTÅEN:"		
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_illusion_duration"						"DOPPELGANGER-VARIGHED:"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_illusion_extended_duration"						"FORLÆNGELSE AF ILLUSIONSVARIGHED:"
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_Note0"				"Denne evne kan bruges til at undvige projektiler og fjerne debuffs."
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_Note1"				"Træer nær en enhed, der genopstår, bliver ødelagt."
		"DOTA_Tooltip_ability_phantom_lancer_doppelwalk_Note2"				"Phantom Lancer og hans allierede kan se, hvilken illusion er den med 100% skade."
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge"								"Phantom Rush"
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_Description"					"Når Phantom Lancer angriber en fjende, farer han hurtigt i rækkevidde af målet og modtager en midlertidig forøgelse til sin agilitet. Phantom Lancers illusioner har også denne evne."
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_Lore"							"Azwraith ved, at på slagets mark betyder fart alting."
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_min_distance"			"MIN. RUSH-AFSTAND:"
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_max_distance"	    "MAKS. RUSH-AFSTAND:"
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_bonus_agility"	    "BONUSAGILITET:"
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_agility_duration"	    "VARIGHED PÅ BONUSAGILITET:"
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_Note0"				"Hvis angrebskommandoen annulleres, går bevægelseshastighed-bonussen tabt."
		"DOTA_Tooltip_ability_phantom_lancer_phantom_edge_Note1"				"Rush-bevægelseshastighed er %bonus_speed%."
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose"									"Juxtapose"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_scepter_description"				"Øger maks. antal illusioner og giver Juxtapose en aktiv evne. Ødelægger Phantom Lancers andre illusioner fra Juxtapose og skaber hurtigt det maksimale antal illusioner med ekstra varighed."
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_Lore"							"Hver af Azwraiths lanseangreb føles som to fra en normal kriger; eller tre; eller fire..."
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_max_illusions"					"MAKS. ANTAL ILLUSIONER:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_proc_chance_pct"					"%HELTE-AKTIVERINGSCHANCE:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_illusion_proc_chance_pct"					"%ILLUSION-AKTIVERINGSCHANCE:"		
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_tooltip_illusion_damage"			"%ILLUSIONSSKADE:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_tooltip_total_illusion_damage_in_pct"			"%ILLUSIONSSKADE TAGET:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_scepter_bonus_illusions"				"EKSTRA ILLUSIONER:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_scepter_bonus_duration"				"EKSTRA VARIGHED:"
		"DOTA_Tooltip_ability_phantom_lancer_juxtapose_Note0"			"Illusioner skabt af Juxtapose vil angribe målet, som evnen blev udløst på."

		"DOTA_Tooltip_modifier_phantom_lancer_spirit_lance"					"Spirit Lance"
		"DOTA_Tooltip_modifier_phantom_lancer_spirit_lance_Description"		"Bevægelseshastighed reduceret med %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_phantom_lancer_juxtapose_illusion"			"Phantom"
