"lang"
{ 
	"Language" "german" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"Lebenspunkte"					// $health
		"dota_ability_variable_mana"				"Mana"						// $mana
		"dota_ability_variable_armor"				"Rüstung"						// $armor
		"dota_ability_variable_damage"				"Schaden"					// $damage
		"dota_ability_variable_str"					"Stärke"					// $str
		"dota_ability_variable_int"					"Intelligenz"				// $int
		"dota_ability_variable_agi"					"Agilität"					// $agi
		"dota_ability_variable_all"					"Alle Attribute"			// $all
		"dota_ability_variable_primary_attribute"	"Primärattribut"			// $primary_attribute
		"dota_ability_variable_attack"				"Angriffstempo"				// $attack
		"dota_ability_variable_hp_regen"			"Lebensregeneration"		// $hp_regen
		"dota_ability_variable_lifesteal"			"Lebensraub"					// $lifesteal
		"dota_ability_variable_mana_regen"			"Manaregeneration"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"Manaregeneration (Aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"Zauberschaden"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"Schwächungsdauer"			// $debuff_amp
		"dota_ability_variable_move_speed"			"Bewegungstempo"			// $move_speed
		"dota_ability_variable_evasion"				"Ausweichen"					// $evasion
		"dota_ability_variable_spell_resist"		"Magieresistenz"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"Zauberlebensraub"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"Zauberlebensraub (Diener)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"Zauberlebensraub (Helden)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"Ausgewähltes Attribut"		// $selected_attribute
		"dota_ability_variable_attack_range"		"Angriffsreichweite <font color='#7d7d7d'>(nur Fernkampf)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"Angriffsreichweite <font color='#7d7d7d'>(Nur Nahkampf)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"Zauberreichweite"				// $cast_range
		"dota_ability_variable_status_resist"		"Statusresistenz"			// $status_resist
		"dota_ability_variable_projectile_speed"	"Projektiltempo"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"Manakostenreduzierung"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Abklingzeitreduzierung"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"Max. Manabonus"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"Schaden (Intelligenzheld)"
		"DOTA_Tooltip_ability_venomancer_latent_poison_duration_damage"					"SCHADEN PRO SEKUNDE:"
		"DOTA_Tooltip_ability_venomancer_latent_poison_movement_slow"					"%VERLANGSAMUNG:"
		"DOTA_Tooltip_ability_venomancer_latent_poison_duration"						"DAUER:"
		"DOTA_Tooltip_ability_venomancer_latent_poison_explosion_damage"						"SCHADEN (ENTZAUBERUNG):"
		"DOTA_Tooltip_ability_venomancer_latent_poison_explosion_stun_duration"				"BETÄUBUNGSDAUER (ENTZAUBERUNG):"

		"DOTA_Tooltip_modifier_venomancer_latent_poison"					"Latent giftig"
		"DOTA_Tooltip_modifier_venomancer_latent_poison_Description"		"Wird dieses Gift auf irgendeine Weise entzaubert, erleidet das Ziel großen Schaden und wird betäubt."
		
		"DOTA_Tooltip_modifier_venomancer_venomous_gale"					"Venomous Gale"
		"DOTA_Tooltip_modifier_venomancer_venomous_gale_Description"		"Verlangsamt und fügt regelmäßig %dMODIFIER_PROPERTY_TOOLTIP% Schaden zu."
		"DOTA_Tooltip_modifier_venomancer_poison_sting"						"Giftiger Stich"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_Description"			"Um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt und erleidet %dMODIFIER_PROPERTY_TOOLTIP% Schaden pro Sekunde."
		"DOTA_Tooltip_modifier_venomancer_poison_sting_fake"				"Giftiger Stich"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_fake_Description"	"Um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt und erleidet %dMODIFIER_PROPERTY_TOOLTIP% Schaden pro Sekunde."
		"DOTA_Tooltip_modifier_venomancer_poison_sting_ward"				"Giftiger Stich"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_ward_Description"	"Um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt und erleidet %dMODIFIER_PROPERTY_TOOLTIP% Schaden pro Sekunde."
		"DOTA_Tooltip_modifier_venomancer_poison_nova"						"Giftnova"
		"DOTA_Tooltip_modifier_venomancer_poison_nova_Description"			"Fügt alle drei Sekunden %dMODIFIER_PROPERTY_TOOLTIP% Schaden zu."

		//FACELESS VOID
		"DOTA_Tooltip_ability_faceless_void_time_walk"									"Time Walk"
		"DOTA_Tooltip_ability_faceless_void_time_walk_Description"						"Stürmt zum Zielort und negiert allen in den letzten %backtrack_duration% Sekunden erlittenen Schaden."
		"DOTA_Tooltip_ability_faceless_void_time_walk_scepter_description"				"Wendet bei der Landung am Zielort Time Lock auf alle nahen Einheiten an."
		"DOTA_Tooltip_ability_faceless_void_time_walk_Lore"								"Darkterror reißt ein Loch in die Zeit, reist durch Claszureme und erscheint sofort wieder."
		"DOTA_Tooltip_ability_faceless_void_time_walk_Note0"							"Faceless Void ist unverwundbar, während er Time Walk benutzt."
		"DOTA_Tooltip_ability_faceless_void_time_walk_range"					        "REICHWEITE:"
		"DOTA_Tooltip_ability_faceless_void_time_walk_backtrack_duration"				"BACKTRACK-ZEITRAUM:"
		"DOTA_Tooltip_ability_faceless_void_time_walk_radius_scepter"					"RADIUS (TIME LOCK):"
		"DOTA_Tooltip_ability_faceless_void_time_walk_reverse"							"Reverse Time Walk"
		"DOTA_Tooltip_ability_faceless_void_time_walk_reverse_Description"				"Kann nach dem Wirken von Time Walk und Ladung am Zielort 1,5 Sekunden lang aktiviert werden, um an den Ursprungsort zurückzukehren. Beeinflusst weder die Lebenspunkte noch löst es Time Lock durch die Zepter-Verbesserung aus."
		"DOTA_Tooltip_ability_faceless_void_time_walk_shard_description"				"Erhöht die Zauberreichweite von Time Walk um %shard_bonus_range%."
		"DOTA_Tooltip_ability_faceless_void_time_dilation"								"Time Dilation"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_Description"					"Faceless Void erzeugt in seiner Nähe ein Zeitdilatationsfeld, welches die Abklingzeiten aller betroffenen Gegner um %duration% Sekunden verlängert. Außerdem wird während dieser Zeit ihr Bewegungs- und Angriffstempo pro verlängerter Abklingzeit um %slow% %% reduziert. Verursacht pro Abklingzeit Bonusschaden pro Sekunde."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_lore"							"Für diejenigen, die sich mit Darkterror anlegen, fühlt sich jeder Moment wie eine Ewigkeit an."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_Note0"						"Hat keinen Einfluss auf Abklingzeiten von Gegenständen."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_radius"					    "RADIUS:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_duration"					    "DAUER:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_slow"					        "%VERLANGSAMUNG PRO ABKLINGZEIT:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_cooldown_percentage"			"%ABKLINGZEITVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_damage_per_stack"		        "BONUSSCHADEN PRO SEKUNDE UND ABKLINGZEIT:"
		"DOTA_Tooltip_ability_faceless_void_time_lock"									"Time Lock"
		"DOTA_Tooltip_ability_faceless_void_time_lock_Description"						"Gewährt Angriffen die Chance, das Ziel kurz in der Zeit einzufrieren und einen zweiten Treffer zu landen."
		"DOTA_Tooltip_ability_faceless_void_time_lock_Lore"								"Die Schläge von Faceless Void treffen mit dimensionserschütternder Wucht."
		"DOTA_Tooltip_ability_faceless_void_time_lock_Note1"							"Wirkt nicht gemeinsam mit Skull Basher."
		"DOTA_Tooltip_ability_faceless_void_time_lock_abilitydraft_note"				"<b>Wirkt gemeinsam</b> mit Skull Basher im Ability Draft."
		"DOTA_Tooltip_ability_faceless_void_time_lock_chance_pct"						"%CHANCE:"
		"DOTA_Tooltip_ability_faceless_void_time_lock_duration"							"DAUER:"
		"DOTA_Tooltip_ability_faceless_void_time_lock_bonus_damage"						"BONUSSCHADEN:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere"								"Chronosphere"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Description"					"Erzeugt eine Blase in der Raumzeit, die alle Einheiten in ihrem Wirkungsbereich in der Zeit einfriert. Nur Faceless Void und von ihm kontrollierte Einheiten werden davon nicht beeinflusst. Faceless Void kann sich innerhalb von Chronosphere sehr schnell und durch Einheiten hindurch bewegen. Unsichtbare Einheiten in der Sphäre werden enthüllt."
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Lore"							"Wenn sich ein Spalt nach Claszureme öffnet, kehren die darin gefangen Seelen wahrscheinlich nie mehr zurück."
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Note0"							"Friert alle nicht von Faceless Void kontrollierten Einheiten und Gebäude ein, sowohl gegnerische als auch verbündete."
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Note1"							"Faceless Void wird unter keinen Umständen von einer Chronosphere beeinträchtigt."
		"DOTA_Tooltip_ability_faceless_void_chronosphere_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_duration"						"DAUER:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_abilitydraft_note"				"Faceless Void kann sich in einer Chronosphere immer frei bewegen, egal ob er selbst die Fähigkeit besitzt oder die Chronosphere vom Gegnerteam stammt."
		
		"DOTA_Tooltip_modifier_faceless_void_time_walk_slow"					"Verlangsamung durch Time Walk"
		"DOTA_Tooltip_modifier_faceless_void_time_walk_slow_Description"		"Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verringert."
		"DOTA_Tooltip_modifier_faceless_void_time_walk_shardbuff"				"Zeitsprung"
		"DOTA_Tooltip_modifier_faceless_void_time_walk_shardbuff_Description"	"Reverse Time Walk ist einsatzbereit."
		"DOTA_Tooltip_modifier_faceless_void_time_dilation_slow"				"Verlangsamung durch Time Dilation"
		"DOTA_Tooltip_modifier_faceless_void_time_dilation_Description"		    "Bewegungstempo um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% und Angriffstempo um %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% verringert."
		"DOTA_Tooltip_modifier_faceless_void_timelock_freeze"					"Time Lock"
		"DOTA_Tooltip_modifier_faceless_void_timelock_freeze_Description"		"Sie werden von Faceless Void in der Zeit festgehalten!"
		"DOTA_Tooltip_modifier_faceless_void_chronosphere_freeze"				"Chronosphere"
		"DOTA_Tooltip_modifier_faceless_void_chronosphere_freeze_Description"	"In der Raumzeit gefangen. Unfähig sich zu bewegen oder zu handeln."
	
		//DEATH PROPHET
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm"								"Crypt Swarm"
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Description"					"Sendet einen Schwarm von geflügelten Bestien, die über gegnerische Einheiten vor Death Prophet herfallen."
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Lore"							"Krobelus' zahlreiche Abstecher ins Grab versammeln eine Schar Verdammter."
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Note0"						"Trifft Einheiten in einer Entfernung von bis zu 1110."
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_range"						"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_death_prophet_silence"									"Silence"
		"DOTA_Tooltip_ability_death_prophet_silence_Description"						"Wirft ein Projektil, das gegnerische Einheiten im Zielgebiet davon abhält, Zauber zu wirken."
		"DOTA_Tooltip_ability_death_prophet_silence_Lore"								"Krobelus sieht eine stumme Zukunft hinter dem Schleier des Schicksals ihrer Gegner."
		"DOTA_Tooltip_ability_death_prophet_silence_Note0"								"Verhindert nicht den Gebrauch von Gegenständen."
		"DOTA_Tooltip_ability_death_prophet_silence_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_death_prophet_silence_duration"							"DAUER:"
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon"								"Spirit Siphon"
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon_Description"					"Death Prophet stellt eine geisterhafte Verbindung mit einer gegnerischen Einheit her, was dieser Lebenspunkte entzieht."
        "DOTA_Tooltip_ability_death_prophet_spirit_siphon_shard_description"		    "Erhöht Aufladungen von Spirit Siphon um %shard_bonus_charges%. Nach %shard_consecutive_siphon_duration% Sekunden durchgehendem Lebensentzug werden Gegner außerdem %shard_fear_duration% Sekunden lang in Furcht versetzt."
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon_Note0"                        "Nur ein Link pro Ziel möglich."
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon_lore"                        	"Krobelus zeigt anderen allzu gerne den Pfad, dem sie selbst nicht zu folgen vermag."
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon_damage"                       "SCHADEN:"
	    //"DOTA_Tooltip_ability_death_prophet_spirit_siphon_movement_steal"                "%SPEED STEAL:"
	    "DOTA_Tooltip_ability_death_prophet_spirit_siphon_haunt_duration"                "DAUER:"
		"DOTA_Tooltip_ability_death_prophet_exorcism"									"Exorcism"
		"DOTA_Tooltip_ability_death_prophet_exorcism_Description"						"Entfesselt böse Geister, die in der Nähe befindlichen gegnerischen Einheiten und Gebäuden Lebenspunkte entziehen. Wenn der Zauber endet, werden Death Prophet Lebenspunkte proportional zum verursachten Schaden gutgeschrieben. Fügt Gebäuden 50 % des Schadens zu. Hält %abilityduration% Sekunden an.<br/>Erhöht passiv das Bewegungstempo."
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_description"				"Immer wenn ein Gegner von Death Prophets Zaubern oder einem ihrer Angriffe getroffen wird, fliegt ein Geist in dessen Richtung. Der Geist verursacht mehr Schaden als gewöhnlich, verlangsamt das Ziel und heilt bei seiner Rückkehr."
		"DOTA_Tooltip_ability_death_prophet_exorcism_Lore"								"Mit der Zeit kehren die Banshee-Überreste ihrer vorherigen Leben zurück, um das gegenwärtige heimzusuchen."
		"DOTA_Tooltip_ability_death_prophet_exorcism_Note0"								"Der Radius stellt das Gebiet um Death Prophet herum dar, in dem die Geister ihre Ziele auswählen."
		"DOTA_Tooltip_ability_death_prophet_exorcism_Note1"								"Geistschaden wird nicht durch Damage Block reduziert."
		"DOTA_Tooltip_ability_death_prophet_exorcism_radius"							"RADIUS:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_spirits"							"GEISTER:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_heal_percent"						"%LEBENSRAUB:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_average_damage"					"GEISTSCHADEN:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_movespeed_slow"				"%BEWEGUNGSVERLANGSAMUNG:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_movespeed_debuff_duration"					"VERLANGSAMUNGSDAUER:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_scepter_spirit_bonus_damage"					"%BONUSSCHADEN (GEISTER):"
		"DOTA_Tooltip_ability_death_prophet_exorcism_movement_bonus"						"%BEWEGUNGSTEMPOBONUS (AKTIV):"
		"DOTA_Tooltip_ability_death_prophet_exorcism_movement_base"							"%BEWEGUNGSTEMPOBONUS (PASSIV):"

		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_charge_counter"  			"Spirit-Siphon-Aufladungen"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_charge_counter_Description"  "Sie können Spirit Siphon jederzeit einsetzen, wenn eine Aufladung verfügbar ist."
		"DOTA_Tooltip_modifier_death_prophet_exorcism"					                "Exorcism"
		"DOTA_Tooltip_modifier_death_prophet_exorcism_description"		                " "
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_slow"						"Spirit Siphon"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_slow_Description"			""
		"DOTA_Tooltip_modifier_death_prophet_silence"			"Verstummt"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon"								"Spirit Siphon"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_Description"					""
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_buff"						"Entzogene Rüstung"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_buff_Description"			"Rüstung durch Spirit Siphon erhöht."
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_debuff"						"Entzogene Rüstung"
		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_debuff_Description"			"Rüstung durch Spirit Siphon reduziert."

		"DOTA_Tooltip_modifier_death_prophet_spirit_siphon_fear"						"Furcht durch Spirit Siphon"
		//PUGNA
		"DOTA_Tooltip_ability_pugna_nether_blast"										"Nether Blast"
		"DOTA_Tooltip_ability_pugna_nether_blast_Description"							"Ein explodierender Impuls fügt Gegnern und Gebäuden in einem Gebiet Schaden zu. Verursacht halben Schaden an Gebäuden."
		"DOTA_Tooltip_ability_pugna_nether_blast_Lore"									"Teil der Künste der Vergessenheit ist eine ohrenbetäubende Feuersbrunst aus smaragdfarbenen Flammen, welche aus den Flüssen der Unterwelt stammen."
		"DOTA_Tooltip_ability_pugna_nether_blast_Note0"									"Der Schaden wird um %delay% Sekunden verzögert."
		"DOTA_Tooltip_ability_pugna_nether_blast_radius"								"RADIUS:"
		"DOTA_Tooltip_ability_pugna_nether_blast_delay"									"BLAST-VERZÖGERUNG:"
		"DOTA_Tooltip_ability_pugna_nether_blast_blast_damage"							"EXPLOSIONSSCHADEN:"
		"DOTA_Tooltip_ability_pugna_decrepify"											"Decrepify"
		"DOTA_Tooltip_ability_pugna_decrepify_Description"								"Ein mächtiger Bannzauber, der eine Einheit verlangsamt und es ihr unmöglich macht, anzugreifen oder angegriffen zu werden. Betroffene Einheiten erleiden zusätzlichen magischen Schaden. Kann während einer Kanalisierung gewirkt werden."
		"DOTA_Tooltip_ability_pugna_decrepify_Lore"										"Pugna macht es großen Spaß, andere in die Netherebene zu verbannen, ganz gleich ob mit guten Absichten, bösem Willen oder einfach zum Vergnügen."
		"DOTA_Tooltip_ability_pugna_decrepify_Note0"									"Nur magischer und reiner Schaden können auf eine Einheit wirken, die von Decrepify betroffen ist."
		"DOTA_Tooltip_ability_pugna_decrepify_Note1"									"Verlangsamt verbündete Einheiten nicht."
		"DOTA_Tooltip_ability_pugna_decrepify_Note2"									"Kann auch auf Ihren Nether Ward angewendet werden."
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_spell_damage_pct"					"%MAGIESCHADENERHÖHUNG (GEGNER):"
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_spell_damage_pct_allies"			"%MAGIESCHADENERHÖHUNG (VERBÜNDETE):"
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_movement_speed"						"%BEWEGUNGSVERLANGSAMUNG (GEGNER):"
		"DOTA_Tooltip_ability_pugna_decrepify_abilityduration"							"DAUER:"
		"DOTA_Tooltip_ability_pugna_decrepify_abilitycastrange"							"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_pugna_nether_ward"										"Nether Ward"
		"DOTA_Tooltip_ability_pugna_nether_ward_Description"							"Pugna stellt am ausgewählten Ort ein Totem auf, welches in seinem Einflussgebiet alle gegnerischen Helden angreift, wenn diese einen Zauber wirken. Der durch den Angriff verursachte Schaden ist abhängig vom verbrauchten Mana des Gegners plus einem Grundbetrag."
		"DOTA_Tooltip_ability_pugna_nether_ward_Lore"									"Während seiner Zeit im Kloster der Künste der Vergessenheit, lernte Pugna seine Klosterbrüder mit einem einfachen Totem zu dominieren, welchen er mit der Magie der Unterwelt durchsetzt hatte."
		"DOTA_Tooltip_ability_pugna_nether_ward_shard_description"						"Erhöht die Zauberreichweite um %shard_ward_bonus_cast_range%."		
		"DOTA_Tooltip_ability_pugna_nether_ward_Note0"									"Nether Ward verursacht Schaden bevor die auslösende Fähigkeit gezaubert wurde. Stirbt der Zaubernde, hat die Fähigkeit also keinen Effekt. "
		"DOTA_Tooltip_ability_pugna_nether_ward_Note1"									"Sie können Decrepify auf Nether Wards anwenden."
		"DOTA_Tooltip_ability_pugna_nether_ward_Note2"									"Illusionen und Diener fügen dem Nether Ward 25 % des Schadens zu."
		"DOTA_Tooltip_ability_pugna_nether_ward_radius"									"WARD-ANGRIFFSREICHWEITE:"
		"DOTA_Tooltip_ability_pugna_nether_ward_base_damage"							"GRUNDSCHADEN:"
		"DOTA_Tooltip_ability_pugna_nether_ward_mana_multiplier"						"SCHADEN PRO MANA:"
		"DOTA_Tooltip_ability_pugna_nether_ward_attacks_to_destroy_tooltip"				"TREFFERPUNKTE:"
		"DOTA_Tooltip_ability_pugna_nether_ward_abilityduration"						"DAUER (WARD):"
		"DOTA_Tooltip_ability_pugna_life_drain"											"Life Drain"
		"DOTA_Tooltip_ability_pugna_life_drain_Description"								"KANALISIEREND – Bei Anwendung auf einen Gegner entzieht Pugna diesem Leben, heilt sich damit selbst und gewährt Sicht auf das Ziel. Hat Pugna volles Leben und das Ziel ist ein gegnerischer Held, wird stattdessen Mana wiederhergestellt.\n\nBei Anwendung auf einen Verbündeten entzieht Pugna sich selbst Leben, um diesen zu heilen."
		"DOTA_Tooltip_ability_pugna_life_drain_shard_description"						"Life Drain kann auf den Nether Ward angewendet werden und trifft dann alle gegnerischen Helden im Umkreis von %abilitycastrange% Einheiten um das Totem. Verursacht %shard_damage_pct_from_ward% %% des normalen Schadens. Der Effekt wird unterbrochen, wenn das Totem zerstört wird."
		"DOTA_Tooltip_ability_pugna_life_drain_scepter_description"						"Reduziert die Abklingzeit um %abilitycooldown% s. Wenn das Ziel ein gegnerischer Held ist, wird dessen ausgehender Zauberschaden jede Sekunde um %spell_amp_drain_rate% %% bis zu einem Maximum von %spell_amp_drain_max% %% reduziert und Pugnas bis zu einem Maximum von %max_spell_amp_drain_pct% %% erhöht. Profitiert Pugna vom Splitterbonus und erfolgt der Lebensentzug durch einen Nether Ward, beträgt die Rate %spell_amp_drain_rate_ward% %%. Effekt hält %spell_amp_drain_duration% Sekunden lang an."
		"DOTA_Tooltip_ability_pugna_life_drain_Lore"									"Pugna ist wahrlich mächtiger geworden als selbst der Großmeister der Vergessenheit."
		"DOTA_Tooltip_ability_pugna_life_drain_Note0"									"Die erlangten Lebenspunkte basieren auf dem tatsächlich verursachten Schaden."
		"DOTA_Tooltip_ability_pugna_life_drain_Note1"									"Illusionen werden vom ersten Schadenstick zerstört."
		"DOTA_Tooltip_ability_pugna_life_drain_health_drain"							"RAUB PRO SEKUNDE:"
		"DOTA_Tooltip_ability_pugna_life_drain_abilitycastrange"							"ZAUBERREICHWEITE:"
		"DOTA_Tooltip_ability_pugna_life_drain_abilitychanneltime"							"MAX. DAUER:"


		"DOTA_Tooltip_modifier_pugna_decrepify"							"Decrepify"
		"DOTA_Tooltip_modifier_pugna_decrepify_Description"				"Bewegung um %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE% %% verlangsamt und Zauberschaden um %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE% %% erhöht."
		"DOTA_Tooltip_modifier_pugna_nether_ward_aura"					"Nether Ward"
		"DOTA_Tooltip_modifier_pugna_nether_ward_aura_Description"		"Einfluss des Niflwächters"
		"DOTA_Tooltip_modifier_pugna_life_drain"						"Life Drain"
		"DOTA_Tooltip_modifier_pugna_life_drain_Description"			"Lebensraub."

		"DOTA_Tooltip_modifier_pugna_life_drain_spell_amp"						"Zauberschadensänderung durch Life Drain"
		"DOTA_Tooltip_modifier_pugna_life_drain_spell_amp_Description"			"Zauberschaden um %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE% %% geändert."


		//TEMPLAR ASSASSIN
		"DOTA_Tooltip_ability_templar_assassin_refraction"								"Refraction"
		"DOTA_Tooltip_ability_templar_assassin_refraction_Lore"							"Durch die Manipulation ihres psionischen Schleiers beugt Lanaya die Gesetze der Natur nach ihrem Willen."
		"DOTA_Tooltip_ability_templar_assassin_refraction_Description"					"Templar Assassins Form verschwimmt, wodurch sie Schaden vermeidet und einen Bonusschaden verursacht. Diese Effekte sind voneinander unabhängig und in ihrer Anzahl limitiert."
		"DOTA_Tooltip_ability_templar_assassin_refraction_Note0"						"Schaden, der als LP-Entzug wirkt, umgeht Refraction (und verringert die Ladungen nicht)."
		"DOTA_Tooltip_ability_templar_assassin_refraction_Note1"						"Nur Instanzen von %damage_threshold% oder mehr Schaden lösen Refraction aus."
		"DOTA_Tooltip_ability_templar_assassin_refraction_Note2"						"Refraction ist für Gegner sichtbar."
		"DOTA_Tooltip_ability_templar_assassin_refraction_instances"					"INSTANZEN:"
		"DOTA_Tooltip_ability_templar_assassin_refraction_bonus_damage"					"BONUSSCHADEN:"
		"DOTA_Tooltip_ability_templar_assassin_refraction_duration"						"DAUER:"
		"DOTA_Tooltip_ability_templar_assassin_meld"									"Meld"
		"DOTA_Tooltip_ability_templar_assassin_meld_Lore"								"Lanaya ist so flüchtig wie ihr Schwur auf den Verborgenen Tempel."
		"DOTA_Tooltip_ability_templar_assassin_meld_Description"						"Templar Assassin verbirgt sich vor fremden Blicken und wird unsichtbar, solange sie stillsteht. Bricht Lanaya die Unsichtbarkeit durch einen Angriff, so verursacht dieser Bonusschaden und reduziert die Rüstung des getroffenen Gegners für %abilityduration% Sekunden."
		"DOTA_Tooltip_ability_templar_assassin_meld_Note0"								"Meld wird durch jede Aktion oder Bewegung unterbrochen."
		"DOTA_Tooltip_ability_templar_assassin_meld_Note1"								"Melds Rüstungsreduzierung wirkt nicht bei Türmen."
		"DOTA_Tooltip_ability_templar_assassin_meld_bonus_damage"						"BONUSSCHADEN:"
		"DOTA_Tooltip_ability_templar_assassin_meld_bonus_armor"						"RÜSTUNGSREDUZIERUNG:"
		"DOTA_Tooltip_ability_templar_assassin_meld_abilityduration"						"DAUER DER RÜSTUNGSREDUZIERUNG:"		
		"DOTA_Tooltip_ability_templar_assassin_psi_blades"								"Psi Blades"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_Lore"							"Ihre Klingen durchlöchern die Haut ebenso wie den Geist, stets mit dem Ziel ihr Verständnis des Mysteriums, welches Realität genannt wird, zu verstehen."
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_Description"					"Templar Assassins Psiklingen durchbohren die angegriffene Einheit, wobei gegnerische Einheiten dahinter aufgeschlitzt werden und Schaden erleiden. Pro getroffener Einheit nimmt der Schaden um einen Prozentwert ab. Erhöht außerdem die Angriffsreichweite."
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_Note0"						"Der Splitterschaden trifft auch unsichtbare Einheiten."
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_Note1"						"Angriffseffekte wirken nur auf das primäre Ziel."
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_bonus_attack_range"			"BONUSANGRIFFSREICHWEITE:"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_attack_spill_range"			"STREUWEITE (PSI BLADES):"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_attack_spill_pct"				"%STREUANTEIL:"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_attack_spill_penalty"			"%SCHADENSREDUZIERUNG PRO ZIEL:"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap"							"Psionic Trap"
