"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"พลังชีวิต"					// $health
		"dota_ability_variable_mana"				"มานา"						// $mana
		"dota_ability_variable_armor"				"เกราะป้องกัน"						// $armor
		"dota_ability_variable_damage"				"พลังโจมตี"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"ค่าคุณสมบัติทั้งหมด"			// $all
		"dota_ability_variable_primary_attribute"	"ค่าสถานะหลัก"			// $primary_attribute
		"dota_ability_variable_attack"				"ความเร็วในการโจมตี"				// $attack
		"dota_ability_variable_hp_regen"			"อัตราการฟื้นฟูพลังชีวิต"		// $hp_regen
		"dota_ability_variable_lifesteal"			"ดูดพลังชีวิต"					// $lifesteal
		"dota_ability_variable_mana_regen"			"อัตราฟื้นฟูมานา"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"ออราอัตราฟื้นฟูมานา"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"ความเสียหายสกิล"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"ระยะเวลาดีบัฟ"			// $debuff_amp
		"dota_ability_variable_move_speed"			"ความเร็วในการเคลื่อนที่"			// $move_speed
		"dota_ability_variable_evasion"				"อัตราหลบหลีก"					// $evasion
		"dota_ability_variable_spell_resist"		"ความต้านทานเวทมนตร์"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"สกิลดูดพลังชีวิต"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"สกิลดูดพลังชีวิต (ครีป)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"สกิลดูดพลังชีวิต (ฮีโร่)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ค่าคุณสมบัติที่เลือก"		// $selected_attribute
		"dota_ability_variable_attack_range"		"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะไกล)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"ระยะการโจมตี <font color='#7d7d7d'>(เฉพาะระยะประชิด)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"ระยะร่าย"				// $cast_range
		"dota_ability_variable_status_resist"		"ความต้านทานสถานะ"			// $status_resist
		"dota_ability_variable_projectile_speed"	"ความเร็วกระสุน"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"ลดมานาที่ใช้"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"ลดคูลดาวน์"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"เพิ่มมานาสูงสุด"			// $max_mana_percentage

		"dota_ability_variable_damage_int_hero"	"พลังโจมตี (ฮีโร่ Intelligence)"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_aura_damage"			"ความเสียหาย:"
		"DOTA_Tooltip_ability_warlock_golem_permanent_immolation_aura_radius"			"รัศมีของออรา:"
		
		"DOTA_Tooltip_modifier_warlock_fatal_bonds"										"Fatal Bonds"
		"DOTA_Tooltip_modifier_warlock_fatal_bonds_Description"							"กระจาย %dMODIFIER_PROPERTY_TOOLTIP%%% ของความเสียหายทั้งหมดไปยังยูนิตที่ถูกผูก"
		"DOTA_Tooltip_modifier_warlock_shadow_word"										"Shadow Word"
		"DOTA_Tooltip_modifier_warlock_shadow_word_Description"							"สร้างความเสียหายระยะเวลาหนึ่งเมื่อร่ายใส่ศัตรู ฟื้นฟูพลังชีวิตระยะเวลาหนึ่งเมื่อร่ายใส่ฝ่ายเดียวกัน"
		"DOTA_Tooltip_modifier_warlock_upheaval"										"Upheaval"
		"DOTA_Tooltip_modifier_warlock_upheaval_Description"							"ความเร็วในการเคลื่อนที่ลดลง"
		"DOTA_Tooltip_modifier_warlock_upheaval_ally"									"Upheaval"
		"DOTA_Tooltip_modifier_warlock_upheaval_ally_Description"						"ความเร็วในการโจมตีเพิ่มขึ้น %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% หน่วย"
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation_debuff"				"Immolation"
		"DOTA_Tooltip_modifier_warlock_golem_permanent_immolation_debuff_Description"	"ได้รับความเสียหายเมื่ออยู่ใกล้โกเลม"

		//ZEUS
		"DOTA_Tooltip_ability_zuus_arc_lightning"										"Arc Lightning"
		"DOTA_Tooltip_ability_zuus_arc_lightning_Description"							"ปล่อยพลังสายฟ้าที่ชิ่งไปมาระหว่างศัตรู"
		"DOTA_Tooltip_ability_zuus_arc_lightning_Lore"									"Arc Lightning คือคาถาโปรดของ Zeus ที่ใช้กับพวกไม่อมตะที่อ่อนแอ"
		"DOTA_Tooltip_ability_zuus_arc_lightning_jump_count"							"จำนวนการชิ่ง:"
		"DOTA_Tooltip_ability_zuus_arc_lightning_arc_damage"							"ความเสียหาย:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt"										"Lightning Bolt"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Description"							"เรียกสายฟ้าลงมาจู่โจมใส่ยูนิตศัตรูหนึ่งตัว สร้างความเสียหายและทำให้ติดมินิสตัน นอกจากนี้ Lightning Bolt ยังทำให้มองเห็น True Sight และมองเห็นทะลุสิ่งกีดขวางเป็นรัศมี %sight_radius_night% หน่วยรอบเป้าหมาย และสามารถร่ายสกิลนี้ลงบนพื้นได้ โดยสายฟ้าจะจู่โจมฮีโร่ศัตรูที่อยู่ใกล้มากที่สุดภายในระยะ %spread_aoe% หน่วย"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_abilitycastrange"					"ระยะร่าย:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_sight_radius_day"						"รัศมีการมองเห็น:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_sight_duration"						"ระยะเวลาการมองเห็น:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_ministun_duration"					"ระยะเวลามินิสตัน:"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Lore"									"สายฟ้าฟาดสำหรับผู้ที่เป็นกบฏนอกรีต"
		"DOTA_Tooltip_ability_zuus_lightning_bolt_Note0"								"คุณสามารถขัดขวางการยืนร่ายสกิลและไอเท็มด้วยสกิลนี้ได้"
		"DOTA_Tooltip_ability_zuus_static_field"										"Static Field"
		"DOTA_Tooltip_ability_zuus_static_field_Description"							"Zeus ช็อตยูนิตศัตรูที่เขาโจมตีหรือโดนสกิลของเขา สร้างความเสียหายเป็นจำนวน %damage_health_pct%%% ของพลังชีวิตที่เหลืออยู่ของศัตรูขณะนั้น"
		"DOTA_Tooltip_ability_zuus_static_field_Lore"									"ท้องฟ้าคำรามและเกิดฟ้าผ่าเมื่อ Thundergod เดินทางมายังโลก"
		"DOTA_Tooltip_ability_zuus_static_field_abilitydraft_note"						"Static Field จะผูกกับสกิลนี้และไม่ส่งผลต่อสกิลอื่นนอกเหนือจากสกิลของ Zeus"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath"									"Thundergod's Wrath"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_Description"						"โจมตีฮีโร่ของศัตรูทุกตัวในแผนที่ด้วยสายฟ้าฟาด นอกจากนี้สกิล Thundergod's Wrath จะทำให้มองเห็น True Sight ในพื้นที่บริเวณโดยรอบของฮีโร่ที่โดนสกิล ถ้าฮีโร่ศัตรูล่องหนจะไม่ได้รับความเสียหาย แต่ยังคงทำให้มองเห็น True Sight ในบริเวณฮีโร่ดังกล่าว"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_Lore"								"ประมุขแห่งสรวงสวรรค์จะลงโทษทุกคนที่เป็นปฏิปักษ์ต่อเขา ไม่ว่าจะอยู่ใกล้หรือไกลก็ตาม"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_damage"							"ความเสียหาย:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_sight_radius_day"					"รัศมี TRUE SIGHT:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_sight_duration"					"ระยะเวลา:"
		"DOTA_Tooltip_ability_zuus_thundergods_wrath_abilitydraft_note"					"<span class=\"ADWarning\">Nimbus ต้องดราฟต์สกิล <b>Lightning Bolt</b> ด้วยเพื่อสร้างความเสียหาย</span>"
		"DOTA_Tooltip_ability_zuus_cloud"                                               "Nimbus"
		"DOTA_Tooltip_ability_zuus_cloud_Description"                                   "สร้างเมฆฝนที่ใดก็ได้บนแผนที่ซึ่งจะร่าย Lightning Bolt ใส่ศัตรูที่อยู่ใกล้เคียงโดยอัตโนมัติ"
		"DOTA_Tooltip_ability_zuus_cloud_cloud_duration"                                "ระยะเวลา:"
		"DOTA_Tooltip_ability_zuus_cloud_cloud_bolt_interval"                           "คูลดาวน์เริ่มต้นของ LIGHTNING BOLT:"
		"DOTA_Tooltip_ability_zuus_cloud_hits_to_kill_tooltip"				"จำนวนการโจมตีที่จะทำลาย:"
		"DOTA_Tooltip_ability_zuus_cloud_creep_hits_to_kill_tooltip"			"จำนวนการโจมตีโดยครีปที่จะทำลาย:"
		"DOTA_Tooltip_ability_zuus_cloud_cloud_radius"										"รัศมี:"
		"DOTA_Tooltip_ability_zuus_cloud_Note0"											"มอบ %cloud_bounty_tooltip% โกลด์หากถูกทำลายโดยฮีโร่ศัตรู"
		"DOTA_Tooltip_ability_zuus_cloud_Note1"											"โจมตียูนิตฝ่ายศัตรูที่อยู่ใกล้ที่สุดด้วยสายฟ้าจากสกิล Lightning Bolt เลเวลปัจจุบันของ Zeus"
		"DOTA_Tooltip_ability_zuus_cloud_Note2"											"ป้อมและครีปสร้างความเสียหายต่อ Nimbus เพียงครึ่งหนึ่ง"
		"DOTA_Tooltip_ability_zuus_cloud_lore"											"ยามใดที่เทพเจ้าแห่งสายฟ้าทรงพิโรธ ยามนั้นปกคลุมไปด้วยเมฆาพายุอย่างรวดเร็ว"
		"DOTA_Tooltip_ability_zuus_heavenly_jump"                   "Heavenly Jump"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_Description"       "Zeus พุ่งตัวกระโดด Heavenly Jump ช็อตศัตรูที่มองเห็นและอยู่ใกล้ที่สุดในระยะสกิล (เลือกเป้าหมายเป็นฮีโร่ก่อน) ซึ่งจะสร้างความเสียหาย ลดความเร็วในการเคลื่อนที่และโจมตี และเพิ่มเวลาร่ายของศัตรู หาก Zeus กำลังเดินไปข้างหน้า เขาจะกระโดดไปยังทิศทางนั้น นอกจากนี้ Zeus ได้รับการมองเห็นทะลุสิ่งกีดขวางในพื้นที่ 900 หน่วยเป็นเวลา 3 วินาที"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_hop_distance"      "ระยะทาง:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_damage"								"ความเสียหาย:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_move_slow"								"%เคลื่อนที่ช้าลง:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_aspd_slow"								"โจมตีช้าลง:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_cast_slow"								"%เพิ่มเวลาร่าย:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_range"									"ระยะทาง:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_duration"								"ระยะเวลา:"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_targets"								"จำนวนเป้าหมาย:"

		"DOTA_Tooltip_modifier_zuus_static_field"				"Static Field"
		"DOTA_Tooltip_modifier_zuus_static_field_Description"	"เมื่อใดก็ตามที่ Zeus โจมตีหรือร่ายสกิลใส่ศัตรูจะสร้างความเสียหายเป็นเปอร์เซ็นต์ของพลังชีวิตศัตรูขณะนั้น"
		"DOTA_Tooltip_modifier_zuus_static_field_slow"			"Heavenly Jump"
		"DOTA_Tooltip_modifier_zuus_static_field_slow_Description"	"ความเร็วในการเคลื่อนที่ลดลง %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		"DOTA_Tooltip_modifier_zuus_heavenly_jump_boost"								"Heavenly Jump เพิ่มความเร็ว"
		"DOTA_Tooltip_modifier_zuus_heavenly_jump_boost_Description"					"ความเร็วในการเคลื่อนที่เพิ่มขึ้น %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT% หน่วย"


		//TINY
		"DOTA_Tooltip_ability_tiny_avalanche"											"Avalanche"
		"DOTA_Tooltip_ability_tiny_avalanche_Description"								"โจมตีด้วยหินถล่มใส่พื้นที่ สร้างความเสียหายและสตันยูนิตศัตรูเป็นช่วงสั้น ๆ อย่างต่อเนื่อง Avalanche สร้างความเสียหาย %toss_multiplier% เท่าต่อยูนิตที่กำลังถูก Toss"
		"DOTA_Tooltip_ability_tiny_avalanche_Lore"										"ก้อนหินที่ไม่มีชีวิตจะมีชีวิตขึ้นมาเมื่อถูกเรียกโดย Stone Giant"
		"DOTA_Tooltip_ability_tiny_avalanche_radius"									"รัศมี:"
		"DOTA_Tooltip_ability_tiny_avalanche_total_duration"							"ระยะเวลา AVALANCHE:"
		"DOTA_Tooltip_ability_tiny_avalanche_avalanche_damage"							"ความเสียหาย AVALANCHE:"
		"DOTA_Tooltip_ability_tiny_craggy_exterior"										"Craggy Exterior"
		"DOTA_Tooltip_ability_tiny_craggy_exterior_Description"							"ศัตรูที่โจมตี Tiny มีโอกาส %stun_chance%%% ที่จะถูกสตันเป็นเวลา %stun_duration% วินาทีและได้รับความเสียหาย %damage% หน่วย ส่งผลต่อศัตรูที่อยู่ในระยะ 400 หน่วยจากเขา โดยจะทำงานหลังจากการโจมตีปะทะโดนเขา และไม่ส่งผลต่อศัตรูที่ป้องกันเวทโดยสมบูรณ์"
		"DOTA_Tooltip_ability_tiny_craggy_exterior_stun_chance"							"%โอกาสสตัน:"
		"DOTA_Tooltip_ability_tiny_craggy_exterior_stun_duration"						"ระยะเวลาสตัน:"
		"DOTA_Tooltip_ability_tiny_craggy_exterior_damage"						        "ความเสียหาย:"
		"DOTA_Tooltip_ability_tiny_toss"												"Toss"
		"DOTA_Tooltip_ability_tiny_toss_Description"									"จับยูนิตที่อยู่ใกล้ Tiny ที่สุดในรัศมี %grab_radius% หน่วย ไม่ว่าจะเป็นฝ่ายเดียวกันหรือฝ่ายศัตรู แล้วโยนไปยังยูนิตเป้าหมายหรือรูน สร้างความเสียหายในบริเวณนั้น"
		"DOTA_Tooltip_ability_tiny_toss_Lore"											"ด้วยร่างกายที่สูงใหญ่ของ Tiny แม้แต่นักรบที่แข็งแกร่งที่สุดก็สามารถถูกโยนขึ้นฟ้าอย่างง่ายดาย"
		"DOTA_Tooltip_ability_tiny_toss_Note0"											"คุณสามารถโยนเพื่อนร่วมทีมได้ แต่พวกเขาจะไม่ได้รับความเสียหาย"
		"DOTA_Tooltip_ability_tiny_toss_Note1"											"Toss สร้างความเสียหายแก่สิ่งก่อสร้าง 33%"
		"DOTA_Tooltip_ability_tiny_toss_Note2"											"ยูนิตที่ป้องกันเวทโดยสมบูรณ์สามารถเลือกเป็นเป้าหมายได้ แต่ไม่สามารถถูกโยนหรือได้รับความเสียหาย"
		"DOTA_Tooltip_ability_tiny_toss_radius"											"รัศมี:"
		"DOTA_Tooltip_ability_tiny_toss_abilitycastrange"								"ระยะร่าย:"
		"DOTA_Tooltip_ability_tiny_toss_toss_damage"									"ความเสียหาย:"
		"DOTA_Tooltip_modifier_tiny_toss_charge_counter"								"ชาร์จ Toss"
		"DOTA_Tooltip_modifier_tiny_toss_charge_counter_Description"					"จำนวนชาร์จที่เหลือของ Toss"
		"DOTA_Tooltip_ability_tiny_tree_grab"										"Tree Grab"
		"DOTA_Tooltip_ability_tiny_tree_grab_lore"								"หินกับไม้ทำให้กระดูกหักได้ ทำไมป้อมกับฐานจะไม่หักไปตามกัน"
		"DOTA_Tooltip_ability_tiny_tree_grab_Description"							"คว้าต้นไม้เพื่อมาฟาดศัตรูเข้าที่หัวโดยจำกัดจำนวนครั้ง เพิ่มระยะการโจมตี การโจมตีสร้างความเสียหายมากขึ้น และกระจายความเสียหายไปยัง ยูนิตที่อยู่ในเส้นทางการโจมตีโดยสมบูรณ์ ต้นไม้ที่คว้ามาสามารถโยนออกไปได้ เพื่อสร้างความเสียหายแก่เป้าหมายจากระยะไกล"
		"DOTA_Tooltip_ability_tiny_tree_grab_shard_description"							"ทำให้ Tree Grab ไม่มีการจำกัดจำนวนชาร์จ"
		"DOTA_Tooltip_ability_tiny_tree_grab_abilitydraft_note"							"<span class=\"ADBlue\">Scepter:</span> ใช้ <span class=\"ADWhite\"><b>Tree Volley</b></span> โดยการเปิดการร่ายอัตโนมัติสกิล <span class=\"ADWhite\"><b>Tree Grab</b></span>"
		"DOTA_Tooltip_ability_tiny_tree_grab_attack_count"				"จำนวนครั้งการโจมตี:"
		"DOTA_Tooltip_ability_tiny_tree_grab_bonus_damage"				"เพิ่มพลังโจมตีพื้นฐาน:"
		"DOTA_Tooltip_ability_tiny_tree_grab_bonus_damage_buildings"				"%เพิ่มพลังโจมตีต่อสิ่งก่อสร้าง:"
		"DOTA_Tooltip_ability_tiny_tree_grab_splash_pct"				"%ความเสียหายกระจาย:"
		"DOTA_Tooltip_ability_tiny_tree_grab_stun_duration"						"ระยะเวลามินิสตัน:"
		"DOTA_Tooltip_ability_tiny_tree_grab_attack_range"						        "ระยะการโจมตี:"
		//"DOTA_Tooltip_ability_tiny_tree_grab_throw_splash_pct"						 "%THROW SPLASH:"
		//"DOTA_Tooltip_ability_tiny_tree_grab_bat_increase"						"BASE ATTACK TIME PENALTY:"
		"DOTA_Tooltip_ability_tiny_tree_grab_Note0"								"คูลดาวน์จะเริ่มนับเมื่อโยนต้นไม้ออกไป"
		"DOTA_Tooltip_ability_tiny_toss_tree"											"Tree Throw"
		"DOTA_Tooltip_ability_tiny_toss_tree_Description"								"โยนต้นไม้ไปยังยูนิตเป้าหมาย สร้างความเสียหายเหมือนการโจมตีของคุณ และกระจายความเสียหายรอบเป้าหมาย"
		"DOTA_Tooltip_ability_tiny_toss_tree_Lore"										"แม้แต่ศัตรูยังได้รับส่วนแบ่งจากต้นไม้อันรุ่มร้อนของ Tiny"
		"DOTA_Tooltip_ability_tiny_toss_tree_range"										"ระยะร่าย:"
		"DOTA_Tooltip_ability_tiny_toss_tree_splash_radius"								"รัศมีกระจาย:"	
		"DOTA_Tooltip_ability_tiny_toss_tree_movement_slow"								"%เคลื่อนที่ช้าลง:"	
		"DOTA_Tooltip_ability_tiny_toss_tree_slow_duration"								"ระยะเวลาช้าลง:"	
		"DOTA_Tooltip_ability_tiny_toss_tree_splash_pct"								"%ความเสียหายกระจาย:"
		"DOTA_Tooltip_ability_tiny_grow"												"Grow"
		"DOTA_Tooltip_ability_tiny_grow_Description"									"Tiny ขยายร่าง ทำให้พลังโจมตี เกราะป้องกัน และความรุนแรง Toss ของเขาเพิ่มขึ้น แต่ความเร็วในการโจมตีของเขาลดลง"
		"DOTA_Tooltip_ability_tiny_grow_Lore"											"การได้เห็นเนินเขายกตัวขึ้นกลายเป็นภูเขานั้นเป็นอะไรที่ให้ความรู้สึกน่าเกรงขามมาก โดยเฉพาะถ้าเขาลูกนั้นลุกขึ้นแล้วเริ่มออกไล่กระทืบศัตรูของมัน"
		"DOTA_Tooltip_ability_tiny_grow_bonus_armor"									"เพิ่มเกราะป้องกัน:"
		"DOTA_Tooltip_ability_tiny_grow_bonus_damage"									"เพิ่มพลังโจมตี:"
		"DOTA_Tooltip_ability_tiny_grow_toss_bonus_damage"								"เพิ่มความเสียหาย TOSS:"
		"DOTA_Tooltip_ability_tiny_grow_tree_bonus_damage_pct"							"%อัตราคูณเพิ่มพลังโจมตีเมื่อถือต้นไม้:"
		"DOTA_Tooltip_ability_tiny_grow_attack_speed_reduction"							"%ลดความเร็วในการโจมตี:"
		
		"DOTA_Tooltip_ability_tiny_tree_channel"                                        "Tree Volley"
		"DOTA_Tooltip_ability_tiny_tree_channel_Description"							"สกิลยืนร่าย - Tiny ยืนร่ายเพื่อโยนต้นไม้สุ่มในระยะไปยังพื้นที่เป้าหมาย สร้างความเสียหายแก่ศัตรูในพื้นที่ดังกล่าวตามพลังโจมตีของ Tiny ด้วยต้นไม้ที่โยนแต่ละต้น"
		"DOTA_Tooltip_ability_tiny_tree_channel_Lore"							"ท่อนไม้ที่ถูกก้อนหินปาออกไปน่าจะทำให้กระดูกหลายท่อนหักได้"
        "DOTA_Tooltip_ability_tiny_tree_channel_splash_radius"                          "รัศมีเป้าหมาย:"
        "DOTA_Tooltip_ability_tiny_tree_channel_abilitychanneltime"			       		"ระยะเวลายืนร่ายสูงสุด:"
		"DOTA_Tooltip_ability_tiny_tree_channel_tree_grab_radius"   			    	"รัศมี TREE GRAB:"
		"DOTA_Tooltip_ability_tiny_tree_channel_interval"			        			"เวลาเว้นช่วงการโยน:"
		
		
		
		"DOTA_Tooltip_modifier_tiny_avalanche_stun"				"Avalanche"
		"DOTA_Tooltip_modifier_tiny_avalanche_stun_Description"	"ถูกสตันโดยหินที่ถล่มลงมา"
		"DOTA_Tooltip_modifier_tiny_tree_grab"			"Tree Grab"
		"DOTA_Tooltip_modifier_tiny_tree_grab_Description"	"การโจมตีสร้างความเสียหายเพิ่มขึ้นและกระจาย ระยะเพิ่มขึ้น %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS% หน่วย"
		"DOTA_Tooltip_modifier_tiny_tosstree_slow"		"Tree Throw"
		"DOTA_Tooltip_modifier_tiny_tosstree_slow_Description"		"ได้รับบาดเจ็บจากต้นไม้ ความเร็วในการเคลื่อนที่ลดลง %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

		//PUCK
		"DOTA_Tooltip_ability_puck_illusory_orb"										"Illusory Orb"
		"DOTA_Tooltip_ability_puck_illusory_orb_Description"							"Puck ปล่อยลูกแก้วเวทมนตร์ลอยตรงไปข้างหน้า และสร้างความเสียหายไปตลอดทาง ในระหว่างนั้น Puck สามารถเคลื่อนย้ายตนเองไปยังลูกแก้วเวทมนตร์นั้นได้โดยใช้สกิล Ethereal Jaunt"
		"DOTA_Tooltip_ability_puck_illusory_orb_abilitydraft_note"						"สำหรับ Ability Draft เท่านั้น สกิล Illusory Orb จะสลับเป็น Ethereal Jaunt ระหว่างลูกแก้วกำลังลอย"
		"DOTA_Tooltip_ability_puck_illusory_orb_Lore"									"Faerie Dragon แสนซนชอบทำให้ผู้อื่นสับสนโดยการหายตัวแล้วไปโผล่ยังตำแหน่งที่ไม่มีใครคาดถึง"
		"DOTA_Tooltip_ability_puck_illusory_orb_Note0"									"Illusory Orb จะมอบการมองเห็นทะลุสิ่งกีดขวางในบริเวณรอบ ๆ ตำแหน่งที่ลอยผ่าน"
		"DOTA_Tooltip_ability_puck_illusory_orb_Note1"									"การย้ายตำแหน่งไปยังลูกแก้วสามารถหลบการโจมตีที่ติดตามได้"
		"DOTA_Tooltip_ability_puck_illusory_orb_max_distance"							"ระยะทางสูงสุด:"
		"DOTA_Tooltip_ability_puck_illusory_orb_damage"									"ความเสียหาย:"
		"DOTA_Tooltip_ability_puck_waning_rift"											"Waning Rift"
		"DOTA_Tooltip_ability_puck_waning_rift_Description"								"Puck เทเลพอร์ตไปยังตำแหน่งเป้าหมาย และปล่อยผงฝุ่นวิเศษออกมารอบ ๆ ตัว สร้างความเสียหายและใบ้ศัตรูที่อยู่ใกล้เคียง"
		"DOTA_Tooltip_ability_puck_waning_rift_scepter_description"						"Waning Rift ต่อจากนี้มีรัศมีและระยะ %scepter_radius% หน่วย และผลักศัตรูกลับไปเป็นระยะ %scepter_pushback% หน่วยในช่วงเวลา %scepter_pushback_duration% วินาที (ไม่ขัดจังหวะศัตรู) เปิดเผยยูนิตศัตรูและ Ward ที่ล่องหนในพื้นที่เป็นเวลา %scepter_vision_duration% วินาที"
		"DOTA_Tooltip_ability_puck_waning_rift_Lore"									"Puck ระเบิดพลังผงวิเศษร่ายมนตร์ที่จะก่อกวนพลังเวทมนตร์ของผู้อื่น พร้อมด้วยรอยยิ้มอันยียวน"
		"DOTA_Tooltip_ability_puck_waning_rift_radius"									"รัศมี:"
		"DOTA_Tooltip_ability_puck_waning_rift_max_distance"							"ระยะทางสูงสุด:"
		"DOTA_Tooltip_ability_puck_waning_rift_silence_duration"						"ระยะเวลา:"
		"DOTA_Tooltip_ability_puck_waning_rift_damage"									"ความเสียหาย:"
		"DOTA_Tooltip_ability_puck_phase_shift"											"Phase Shift"
		"DOTA_Tooltip_ability_puck_phase_shift_Description"								"สกิลยืนร่าย - Puck ย้ายไปยังมิติอื่นที่ซึ่งมันจะได้รับการป้องกันจาก อันตรายต่าง ๆ ชั่วขณะ"
		"DOTA_Tooltip_ability_puck_phase_shift_shard_description"						"Puck โจมตีศัตรูทั้งหมดที่อยู่ในระยะการโจมตีบวกกับอีก %shard_attack_range_bonus% หน่วยในแต่ละครั้งที่ร่าย Phase Shift"
		"DOTA_Tooltip_ability_puck_phase_shift_Lore"									"Puck สามารถเคลื่อนย้ายตัวเองไปยังมิติที่มันเคยอยู่อาศัยได้ในชั่วพริบตา"
		"DOTA_Tooltip_ability_puck_phase_shift_Note0"									"Puck จะถูกป้องกันจากการปะทะทุกชนิด ในขณะที่ได้รับผลจาก Phase Shift"
		"DOTA_Tooltip_ability_puck_phase_shift_Note1"									"การให้คำสั่งการกระทำใด ๆ จะยกเลิก Phase Shift"
		"DOTA_Tooltip_ability_puck_phase_shift_Note2"									"Puck ไม่ได้รับความเสียหายใดๆ ในระหว่างที่ Phase Shift"
		"DOTA_Tooltip_ability_puck_phase_shift_duration"								"ระยะเวลา:"
		"DOTA_Tooltip_ability_puck_dream_coil"											"Dream Coil"
		"DOTA_Tooltip_ability_puck_dream_coil_Description"								"สร้างขดม้วนเวทมนตร์ผันผวนซึ่งพันธนาการฮีโร่ฝ่ายศัตรูไว้ขึ้นมา สร้างความเสียหายและรั้งศัตรู หากฮีโร่ฝ่ายศัตรูยืดขดเวทโดยการเคลื่อนห่างมากไป ขดเวทจะขาดแล้วสตันและสร้างความเสียหายเพิ่มเติม"
		"DOTA_Tooltip_ability_puck_dream_coil_Lore"										"Faerie Dragon สร้างความสับสนให้แก่ศัตรูของมันด้วยการทำให้พวกเขาเหล่านั้นฝันเห็นตัวเองตายเสมือนกับเกิดขึ้นจริง"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_duration"							"ระยะเวลาของขดเวท:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_initial_damage"							"ความเสียหายเริ่มต้น:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_break_radius"						"รัศมีการขาด:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_stun_duration"						"ระยะเวลาสตันเมื่อขาด:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_break_damage"						"ความเสียหายเมื่อขาด:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_duration_scepter"					"ระยะเวลาของขดเวทโดย SCEPTER:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_stun_duration_scepter"				"ระยะเวลาสตันเมื่อขาดโดย SCEPTER:"
		"DOTA_Tooltip_ability_puck_dream_coil_coil_break_damage_scepter"				"ความเสียหายเมื่อขาดโดย SCEPTER:"
		"DOTA_Tooltip_ability_puck_ethereal_jaunt"										"Ethereal Jaunt"
		"DOTA_Tooltip_ability_puck_ethereal_jaunt_Description"							"เคลื่อนย้าย Puck ไปยังตำแหน่งที่ Illusory Orb ลอยอยู่"
		
		"DOTA_Tooltip_modifier_puck_phase_shift"				"Phase Shift"
		"DOTA_Tooltip_modifier_puck_phase_shift_Description"	"หายไปยังมิติอื่นชั่วคราว"
		"DOTA_Tooltip_modifier_puck_coiled"						"Dream Coiled"
