"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"dota_chatwheel_message_vengefulspirit_4"	"จงเตรียมใจรับคลื่นอันน่าสะพรึงกลัวเสียเถอะ: บู!"
"[english]dota_chatwheel_message_vengefulspirit_4"	"Prepare for the wave of terror: boo!"
"dota_chatwheel_label_vengefulspirit_4"	"จงเตรียมใจรับคลื่นอันน่าสะพรึงกลัวเสียเถอะ: บู!"
"[english]dota_chatwheel_label_vengefulspirit_4"	"Prepare for the wave of terror: boo!"
"dota_chatwheel_message_vengefulspirit_5"	"ความเจ็บปวดของเหล่าศัตรูของข้า เป็นสิ่งเดียวที่หลงเหลือให้ข้าปิติ"
"[english]dota_chatwheel_message_vengefulspirit_5"	"The pain of my enemies is the only pleasure left to me."
"dota_chatwheel_label_vengefulspirit_5"	"ความเจ็บปวดของเหล่าศัตรูของข้า..."
"[english]dota_chatwheel_label_vengefulspirit_5"	"The pain of my enemies..."
"dota_chatwheel_message_windrunner_laugh"	"ฮ่าา-ฮ่า-ฮ่า-ฮ่า-ฮ่า!"
"[english]dota_chatwheel_message_windrunner_laugh"	"Hah-ha-ha-ha-ha!"
"dota_chatwheel_label_windrunner_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_windrunner_laugh"	"Laugh"
"dota_chatwheel_message_windrunner_thank"	"สดชื่นราบรื่นจังเลย"
"[english]dota_chatwheel_message_windrunner_thank"	"Easy breezy"
"dota_chatwheel_label_windrunner_thank"	"สดชื่นราบรื่นจังเลย"
"[english]dota_chatwheel_label_windrunner_thank"	"Easy breezy"
"dota_chatwheel_message_windrunner_deny"	"ฉันไม่คิดอย่างนั้นนะ"
"[english]dota_chatwheel_message_windrunner_deny"	"I don't think so."
"dota_chatwheel_label_windrunner_deny"	"ฉันไม่คิดอย่างนั้นนะ"
"[english]dota_chatwheel_label_windrunner_deny"	"I don't think so."
"dota_chatwheel_message_windrunner_1"	"อาจจะแย่หน่อยนะ โอ้ ช้าก่อน ไม่ ก็ไม่แย่เลยนะ"
"[english]dota_chatwheel_message_windrunner_1"	"Could be worse. Oh, wait, no it couldn't."
"dota_chatwheel_label_windrunner_1"	"อาจจะแย่หน่อยนะ..."
"[english]dota_chatwheel_label_windrunner_1"	"Could be worse..."
"dota_chatwheel_message_windrunner_2"	"เธอจะไปไหนไม่ได้ทั้งนั้น"
"[english]dota_chatwheel_message_windrunner_2"	"You're not going anywhere."
"dota_chatwheel_label_windrunner_2"	"เธอจะไปไหนไม่ได้ทั้งนั้น"
"[english]dota_chatwheel_label_windrunner_2"	"You're not going anywhere."
"dota_chatwheel_message_windrunner_3"	"ถ้าเธอยังไม่ยอมตายซะโดยดี ฉันจะระดมยิงเธออีกระลอก"
"[english]dota_chatwheel_message_windrunner_3"	"If you weren't so damned dead, I'd shoot you again."
"dota_chatwheel_label_windrunner_3"	"ถ้าเธอยังไม่ยอมตายซะโดยดี..."
"[english]dota_chatwheel_label_windrunner_3"	"If you weren't so damned dead..."
"dota_chatwheel_message_windrunner_4"	"บอกฉันทีว่านี่มันไม่ใช่เรื่องจริง"
"[english]dota_chatwheel_message_windrunner_4"	"Tell me this did not just happen."
"dota_chatwheel_label_windrunner_4"	"บอกฉันทีว่านี่มันไม่ใช่เรื่องจริง"
"[english]dota_chatwheel_label_windrunner_4"	"Tell me this did not just happen."
"dota_chatwheel_message_windrunner_5"	"ฉันส่งจูบให้เธอนะ"
"[english]dota_chatwheel_message_windrunner_5"	"I blow you a kiss."
"dota_chatwheel_label_windrunner_5"	"ฉันส่งจูบให้เธอนะ"
"[english]dota_chatwheel_label_windrunner_5"	"I blow you a kiss."
"dota_chatwheel_message_zuus_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_zuus_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_zuus_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_zuus_laugh"	"Laugh"
"dota_chatwheel_message_zuus_thank"	"ด้วยเกียรติแห่งข้า เจ้าทำได้ดี!"
"[english]dota_chatwheel_message_zuus_thank"	"By my whiskers, that's good stuff!"
"dota_chatwheel_label_zuus_thank"	"เจ้าทำได้ดี!"
"[english]dota_chatwheel_label_zuus_thank"	"That's good stuff!"
"dota_chatwheel_message_zuus_deny"	"ฮึ ฮะ ฮ่ะ ฮ่ะ ฮ่า แล้วเจ้าคิดไว้ว่าจะเป็นเช่นไรรึ?"
"[english]dota_chatwheel_message_zuus_deny"	"Ha ha ha ha ha. Well what did you expect?"
"dota_chatwheel_label_zuus_deny"	"แล้วเจ้าคิดไว้ว่าจะเป็นเช่นไรรึ?"
"[english]dota_chatwheel_label_zuus_deny"	"Well what did you expect?"
"dota_chatwheel_message_zuus_1"	"รอสักนิด!"
"[english]dota_chatwheel_message_zuus_1"	"Wait for it!"
"dota_chatwheel_label_zuus_1"	"รอสักนิด!"
"[english]dota_chatwheel_label_zuus_1"	"Wait for it!"
"dota_chatwheel_message_zuus_2"	"โดนแค่นี้ก็ตายแล้วหรือ?"
"[english]dota_chatwheel_message_zuus_2"	"That's all it takes to kill you?"
"dota_chatwheel_label_zuus_2"	"โดนแค่นี้ก็..?"
"[english]dota_chatwheel_label_zuus_2"	"That's all it takes..?"
"dota_chatwheel_message_zuus_3"	"โอ้...นี่ท่าจะไม่ดีเสียแล้ว"
"[english]dota_chatwheel_message_zuus_3"	"Oh...this can't be good."
"dota_chatwheel_label_zuus_3"	"นี่ท่าจะไม่ดีเสียแล้ว"
"[english]dota_chatwheel_label_zuus_3"	"This can't be good"
"dota_chatwheel_message_zuus_4"	"เสียงฟ้าผ่าดังสนั่นลั่นทุ่ง!"
"[english]dota_chatwheel_message_zuus_4"	"Thund'rous applause!"
"dota_chatwheel_label_zuus_4"	"เสียงฟ้าผ่าดังสนั่นลั่นทุ่ง!"
"[english]dota_chatwheel_label_zuus_4"	"Thund'rous applause!"
"dota_chatwheel_message_zuus_5"	"เจ้าคิดว่าจะหลบซ่อนจากเทพเจ้าได้งั้นรึ?"
"[english]dota_chatwheel_message_zuus_5"	"Did you think you could hide from a god?"
"dota_chatwheel_label_zuus_5"	"เจ้าคิดว่าจะหลบซ่อนได้งั้นรึ?"
"[english]dota_chatwheel_label_zuus_5"	"Did you think you could hide?"
"dota_chatwheel_message_kunkka_laugh"	"ฮี่-ฮู่-ฮู่-ฮู่-ฮู่-ฮื้อฮู่ฮ่า!"
"[english]dota_chatwheel_message_kunkka_laugh"	"He-hu-hu-hu-hu-huhhuha!"
"dota_chatwheel_label_kunkka_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_kunkka_laugh"	"Laugh"
"dota_chatwheel_message_kunkka_thank"	"เจ้าเป็นผู้ช่วยนายเรือที่ไว้วางใจได้!"
"[english]dota_chatwheel_message_kunkka_thank"	"You're a trusty mate!"
"dota_chatwheel_label_kunkka_thank"	"เจ้าเป็นผู้ช่วยนายเรือที่ไว้วางใจได้!"
"[english]dota_chatwheel_label_kunkka_thank"	"You're a trusty mate!"
"dota_chatwheel_message_kunkka_deny"	"จมดิ่งลงก้นมหาสมุทรไปซะ!"
"[english]dota_chatwheel_message_kunkka_deny"	"Straight to the bottom with ya!"
"dota_chatwheel_label_kunkka_deny"	"จมดิ่งลงก้นมหาสมุทรไปซะ!"
"[english]dota_chatwheel_label_kunkka_deny"	"Straight to the bottom with ya!"
"dota_chatwheel_message_kunkka_1"	"เจ้ามันไม่มีความอาจหาญ"
"[english]dota_chatwheel_message_kunkka_1"	"You don't have the sand."
"dota_chatwheel_label_kunkka_1"	"เจ้ามันไม่มีความอาจหาญ"
"[english]dota_chatwheel_label_kunkka_1"	"You don't have the sand."
"dota_chatwheel_message_kunkka_2"	"เหอะ! มีคนตกเรือ!"
"[english]dota_chatwheel_message_kunkka_2"	"Heh! Man overboard!"
"dota_chatwheel_label_kunkka_2"	"เหอะ! มีคนตกเรือ!"
"[english]dota_chatwheel_label_kunkka_2"	"Heh! Man overboard!"
"dota_chatwheel_message_kunkka_3"	"พวกเจ้าล้วนตกกระป๋อง!"
"[english]dota_chatwheel_message_kunkka_3"	"You're all washed up!"
"dota_chatwheel_label_kunkka_3"	"พวกเจ้าล้วนตกกระป๋อง!"
"[english]dota_chatwheel_label_kunkka_3"	"You're all washed up!"
"dota_chatwheel_message_kunkka_4"	"เข้าใจตรงกันนะว่าที่ข้าเรียกเจ้าว่าสหาย ข้าไม่ได้หมายถึงว่าเจ้าเป็นสหายข้าจริง ๆ"
"[english]dota_chatwheel_message_kunkka_4"	"Just to be clear, if I call you mate, I don't mean it literally."
"dota_chatwheel_label_kunkka_4"	"เข้าใจตรงกันนะ..."
"[english]dota_chatwheel_label_kunkka_4"	"Just to be clear..."
"dota_chatwheel_message_kunkka_5"	"เจ้ารนหาที่ตายเองนะ"
"[english]dota_chatwheel_message_kunkka_5"	"You set sail for fail."
"dota_chatwheel_label_kunkka_5"	"เจ้ารนหาที่ตายเองนะ"
"[english]dota_chatwheel_label_kunkka_5"	"You set sail for fail."
"dota_chatwheel_message_lina_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_lina_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_lina_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_lina_laugh"	"Laugh"
"dota_chatwheel_message_lina_thank"	"นั่นแหละคือความเร่าร้อน!"
"[english]dota_chatwheel_message_lina_thank"	"That was hot!"
"dota_chatwheel_label_lina_thank"	"นั่นแหละคือความเร่าร้อน!"
"[english]dota_chatwheel_label_lina_thank"	"That was hot!"
"dota_chatwheel_message_lina_deny"	"แสบ ๆ ร้อน ๆ สินะ?"
"[english]dota_chatwheel_message_lina_deny"	"Burns, doesn't it?"
"dota_chatwheel_label_lina_deny"	"แสบ ๆ ร้อน ๆ สินะ?"
"[english]dota_chatwheel_label_lina_deny"	"Burns, doesn't it?"
"dota_chatwheel_message_lina_1"	"ก็ไม่ค่อยสว่างสักเท่าไรเนาะ"
"[english]dota_chatwheel_message_lina_1"	"That wasn't too bright."
"dota_chatwheel_label_lina_1"	"ก็ไม่ค่อยสว่างสักเท่าไรเนาะ"
"[english]dota_chatwheel_label_lina_1"	"That wasn't too bright."
"dota_chatwheel_message_lina_2"	"อยากจะเล่นกับไฟเรอะ?"
"[english]dota_chatwheel_message_lina_2"	"Wanna play with fire?"
"dota_chatwheel_label_lina_2"	"อยากจะเล่นกับไฟเรอะ?"
"[english]dota_chatwheel_label_lina_2"	"Wanna play with fire?"
"dota_chatwheel_message_lina_3"	"กากจริง ๆ"
"[english]dota_chatwheel_message_lina_3"	"What a punk."
"dota_chatwheel_label_lina_3"	"กากจริง ๆ"
"[english]dota_chatwheel_label_lina_3"	"What a punk."
"dota_chatwheel_message_lina_4"	"มีสิ่งใดอยู่ภายในเปลวเพลิงกันนะ?"
"[english]dota_chatwheel_message_lina_4"	"What in the blazes?"
"dota_chatwheel_label_lina_4"	"มีสิ่งใดอยู่ภายในเปลวเพลิงกันนะ?"
"[english]dota_chatwheel_label_lina_4"	"What in the blazes?"
"dota_chatwheel_message_lina_5"	"มาหาแม่มา!"
"[english]dota_chatwheel_message_lina_5"	"Come to mama!"
"dota_chatwheel_label_lina_5"	"มาหาแม่มา!"
"[english]dota_chatwheel_label_lina_5"	"Come to mama!"
"dota_chatwheel_message_lion_laugh"	"ฮั้ว-ฮ่า-ฮ่า-ฮ่า-ฮ่า-ฮ่า-ฮ่า-ฮี่-ฮ่าาฮ่า!"
"[english]dota_chatwheel_message_lion_laugh"	"Who-ha-ha-ha-ha-ha-ha-he-hawha!"
"dota_chatwheel_label_lion_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_lion_laugh"	"Laugh"
"dota_chatwheel_message_lion_thank"	"โอ้ แหล่มเลย"
"[english]dota_chatwheel_message_lion_thank"	"Oh, hell yes."
"dota_chatwheel_label_lion_thank"	"โอ้ แหล่มเลย"
"[english]dota_chatwheel_label_lion_thank"	"Oh, hell yes."
"dota_chatwheel_message_lion_deny"	"อ้า ขออภัยที่ทำให้เจ้าต้องผิดหวังนะ"
"[english]dota_chatwheel_message_lion_deny"	"Ah, sorry to disappoint you."
"dota_chatwheel_label_lion_deny"	"อ้า ขออภัยที่ทำให้เจ้าต้องผิดหวังนะ"
"[english]dota_chatwheel_label_lion_deny"	"Ah, sorry to disappoint you."
"dota_chatwheel_message_lion_1"	"เจ้าคิดว่าจะทำให้ Lion ผู้นี้สิ้นฤทธิ์ได้งั้นรึ?"
"[english]dota_chatwheel_message_lion_1"	"You thought to tame the lion?"
"dota_chatwheel_label_lion_1"	"เจ้าคิดว่าจะทำให้ Lion ผู้นี้สิ้นฤทธิ์ได้งั้นรึ?"
"[english]dota_chatwheel_label_lion_1"	"You thought to tame the lion?"
"dota_chatwheel_message_lion_2"	"จงรู้ซึ้งถึงความโกรธเกรี้ยวของนักเวทซะ!"
"[english]dota_chatwheel_message_lion_2"	"Feel the rage of a mage!"
"dota_chatwheel_label_lion_2"	"จงรู้ซึ้งถึงความโกรธเกรี้ยวของนักเวทซะ!"
"[english]dota_chatwheel_label_lion_2"	"Feel the rage of a mage!"
"dota_chatwheel_message_lion_3"	"ไปลงนรกเสียเถิด!"
"[english]dota_chatwheel_message_lion_3"	"To hell with you!"
"dota_chatwheel_label_lion_3"	"ไปลงนรกเสียเถิด!"
"[english]dota_chatwheel_label_lion_3"	"To hell with you!"
"dota_chatwheel_message_lion_4"	"ข้าถือครองพลังวิเศษเชียวนะ"
"[english]dota_chatwheel_message_lion_4"	"I've got the magic touch."
"dota_chatwheel_label_lion_4"	"ข้าถือครองพลังวิเศษเชียวนะ"
"[english]dota_chatwheel_label_lion_4"	"I've got the magic touch."
"dota_chatwheel_message_lion_5"	"ข้าเคยไปเยือนนรกและกลับมา และกลับไปเยือนนรก...และกลับมา"
"[english]dota_chatwheel_message_lion_5"	"I've been to hell and back, and back to hell...and back."
"dota_chatwheel_label_lion_5"	"ข้าเคยไปเยือนนรกและกลับมา..."
"[english]dota_chatwheel_label_lion_5"	"I've been to hell and back..."
"dota_chatwheel_message_shadow_shaman_laugh"	"ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_shadow_shaman_laugh"	"Ha ha ha!"
"dota_chatwheel_label_shadow_shaman_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_shadow_shaman_laugh"	"Laugh"
"dota_chatwheel_message_shadow_shaman_thank"	"คำอธิษฐานของข้าสัมฤทธิ์ผลแล้ว"
"[english]dota_chatwheel_message_shadow_shaman_thank"	"My prayers are answered."
"dota_chatwheel_label_shadow_shaman_thank"	"คำอธิษฐานของข้าสัมฤทธิ์ผลแล้ว"
"[english]dota_chatwheel_label_shadow_shaman_thank"	"My prayers are answered."
"dota_chatwheel_message_shadow_shaman_deny"	"กะต๊าก กะต๊าก!"
"[english]dota_chatwheel_message_shadow_shaman_deny"	"Bukaw, bukaw!"
"dota_chatwheel_label_shadow_shaman_deny"	"กะต๊าก กะต๊าก!"
"[english]dota_chatwheel_label_shadow_shaman_deny"	"Bukaw, bukaw!"
"dota_chatwheel_message_shadow_shaman_1"	"ข้าเห็นอนาคตของเจ้าซึ่งเต็มไปด้วยความตาย!"
"[english]dota_chatwheel_message_shadow_shaman_1"	"I see for you a future full of death!"
"dota_chatwheel_label_shadow_shaman_1"	"ข้าเห็นอนาคตของเจ้า..."
"[english]dota_chatwheel_label_shadow_shaman_1"	"I see for you a future..."
"dota_chatwheel_message_shadow_shaman_2"	"เจ้าจะไปไหนไม่ได้ทั้งนั้น"
"[english]dota_chatwheel_message_shadow_shaman_2"	"You're not going anywhere."
"dota_chatwheel_label_shadow_shaman_2"	"เจ้าจะไปไหนไม่ได้ทั้งนั้น"
"[english]dota_chatwheel_label_shadow_shaman_2"	"You're not going anywhere."
"dota_chatwheel_message_shadow_shaman_3"	"ฮ้า ฮะฮ่ะฮ่าา ช่างสดชื่นอะไรเยี่ยงนี้!"
"[english]dota_chatwheel_message_shadow_shaman_3"	"Heh ha ha hah, how refreshing!"
"dota_chatwheel_label_shadow_shaman_3"	"ฮ้า ฮะฮ่ะฮ่าา ช่างสดชื่นอะไรเยี่ยงนี้!"
"[english]dota_chatwheel_label_shadow_shaman_3"	"Heh ha ha hah, how refreshing!"
"dota_chatwheel_message_shadow_shaman_4"	"จงลิ้มรสกับการเป็นไก่ซะเถอะ!"
"[english]dota_chatwheel_message_shadow_shaman_4"	"Tastes like chicken!"
"dota_chatwheel_label_shadow_shaman_4"	"จงลิ้มรสกับการเป็นไก่ซะเถอะ!"
"[english]dota_chatwheel_label_shadow_shaman_4"	"Tastes like chicken!"
"dota_chatwheel_message_shadow_shaman_5"	"อาห์-โมะซู-อติ๊กคานู!"
"[english]dota_chatwheel_message_shadow_shaman_5"	"Au-mosu-atikanu!"
"dota_chatwheel_label_shadow_shaman_5"	"อาห์-โมะซู-อติ๊กคานู!"
"[english]dota_chatwheel_label_shadow_shaman_5"	"Au-mosu-atikanu!"
"dota_chatwheel_message_slardar_laugh"	"ฮื้อ ฮื่ออ ฮื้อ ฮ่าา ฮ่าา ฮ่า ฮ่าา ฮ่าา!"
"[english]dota_chatwheel_message_slardar_laugh"	"Heh heeh heh hah hah ha hah hah!"
"dota_chatwheel_label_slardar_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_slardar_laugh"	"Laugh"
"dota_chatwheel_message_slardar_thank"	"อุดมสมบูรณ์จริง ๆ"
"[english]dota_chatwheel_message_slardar_thank"	"Total spawnage."
"dota_chatwheel_label_slardar_thank"	"อุดมสมบูรณ์จริง ๆ"
"[english]dota_chatwheel_label_slardar_thank"	"Total spawnage."
"dota_chatwheel_message_slardar_deny"	"ขอแสดงความเสียใจอย่างสุดลึกซึ้ง"
"[english]dota_chatwheel_message_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_label_slardar_deny"	"ขอแสดงความเสียใจอย่างสุดลึกซึ้ง"
"[english]dota_chatwheel_label_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_message_slardar_1"	"ข้าเดินทางมาแสนไกล เพียงเพื่อมาดูเจ้าตาย"
"[english]dota_chatwheel_message_slardar_1"	"I came a long way to see you die."
"dota_chatwheel_label_slardar_1"	"ข้าเดินทางมาแสนไกล..."
"[english]dota_chatwheel_label_slardar_1"	"I came a long way..."
"dota_chatwheel_message_slardar_2"	"เจ้ามิอาจหลบหนีไปไหนได้"
"[english]dota_chatwheel_message_slardar_2"	"You won't escape."
"dota_chatwheel_label_slardar_2"	"เจ้ามิอาจหลบหนีไปไหนได้"
"[english]dota_chatwheel_label_slardar_2"	"You won't escape."
"dota_chatwheel_message_slardar_3"	"จบเกม"
"[english]dota_chatwheel_message_slardar_3"	"Jig's up."
"dota_chatwheel_label_slardar_3"	"จบเกม"
"[english]dota_chatwheel_label_slardar_3"	"Jig's up."
"dota_chatwheel_message_slardar_4"	"ความคิดเจ้าตื้นเขินจริง ๆ"
"[english]dota_chatwheel_message_slardar_4"	"You were out of your depth."
"dota_chatwheel_label_slardar_4"	"ความคิดเจ้าตื้นเขินจริง ๆ"
"[english]dota_chatwheel_label_slardar_4"	"You were out of your depth."
"dota_chatwheel_message_slardar_5"	"โอ้ เหล่าชาว Deep One จะได้เฉลิมฉลองกันอย่างสาสม!"
"[english]dota_chatwheel_message_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_label_slardar_5"	"โอ้ เหล่าชาว Deep One จะได้เฉลิมฉลองกันอย่างสาสม!"
"[english]dota_chatwheel_label_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_message_tidehunter_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_tidehunter_laugh"	"Ah ha ha ha!"
"dota_chatwheel_label_tidehunter_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_tidehunter_laugh"	"Laugh"
"dota_chatwheel_message_tidehunter_thank"	"พวกเรามาพลิกวิกฤตนี้ให้เป็นโอกาสกันเหอะ"
"[english]dota_chatwheel_message_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_label_tidehunter_thank"	"พวกเรามาพลิกวิกฤตนี้ให้เป็นโอกาสกันเหอะ"
"[english]dota_chatwheel_label_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_message_tidehunter_deny"	"แกดูเสียหายยับเยินนะ"
"[english]dota_chatwheel_message_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_label_tidehunter_deny"	"แกดูเสียหายยับเยินนะ"
"[english]dota_chatwheel_label_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_message_tidehunter_1"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า แกกลายเป็นอาหารปลาซะแล้วล่ะ"
"[english]dota_chatwheel_message_tidehunter_1"	"Ha ha ha ha ha ha, Now you're fish food."
"dota_chatwheel_label_tidehunter_1"	"แกกลายเป็นอาหารปลาซะแล้วล่ะ"
"[english]dota_chatwheel_label_tidehunter_1"	"Now you're fish food."
"dota_chatwheel_message_tidehunter_2"	"ฮ่า ฮ่า ข้าน่าจะเขมือบช้างทะเลได้ทั้งตัวแล้ว"
"[english]dota_chatwheel_message_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_label_tidehunter_2"	"ฮ่า ฮ่า ข้าน่าจะเขมือบช้างทะเลได้ทั้งตัวแล้ว"
"[english]dota_chatwheel_label_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_message_tidehunter_3"	"หาอะไรมาปิดปากมันหน่อยสิ"
"[english]dota_chatwheel_message_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_label_tidehunter_3"	"หาอะไรมาปิดปากมันหน่อยสิ"
"[english]dota_chatwheel_label_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_message_tidehunter_4"	"แกคิดว่าข้าซื่อบื้องั้นเหรอ? แกคงเข้าใจผิดคิดว่าข้าเป็น Kunkka แล้วแหละ"
"[english]dota_chatwheel_message_tidehunter_4"	"Did you think I'd blunder? You must have mistaken me for Kunkka."
"dota_chatwheel_label_tidehunter_4"	"แกคิดว่าข้าซื่อบื้องั้นเหรอ?..."
"[english]dota_chatwheel_label_tidehunter_4"	"Did you think I'd blunder?..."
"dota_chatwheel_message_tidehunter_5"	"ใครอยากจะมีหัวที่ดี เมื่อแกมีฟันอย่างข้าแล้ว?"
"[english]dota_chatwheel_message_tidehunter_5"	"Who needs a big brain when you've got teeth like mine?"
"dota_chatwheel_label_tidehunter_5"	"ใครอยากจะมีหัวที่ดี...?"
"[english]dota_chatwheel_label_tidehunter_5"	"Who needs a big brain...?"
"dota_chatwheel_message_witch_doctor_laugh"	"โฮ้ว ฮ่าา โฮ้ว โฮ้ว ฮ่าา"
"[english]dota_chatwheel_message_witch_doctor_laugh"	"Hoo hah hoo hoo hah."
"dota_chatwheel_label_witch_doctor_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_witch_doctor_laugh"	"Laugh"
"dota_chatwheel_message_witch_doctor_thank"	"รู้สึกดีจังเลยจ๊ะนายจ๋า"
"[english]dota_chatwheel_message_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_label_witch_doctor_thank"	"รู้สึกดีจังเลยจ๊ะนายจ๋า"
"[english]dota_chatwheel_label_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_message_witch_doctor_deny"	"รออีกเดี๋ยว...รออีกเดี๋ยว..."
"[english]dota_chatwheel_message_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_label_witch_doctor_deny"	"รออีกเดี๋ยว...รออีกเดี๋ยว..."
"[english]dota_chatwheel_label_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_message_witch_doctor_1"	"เละตุ้มเป๊ะไปโม้ด"
"[english]dota_chatwheel_message_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_label_witch_doctor_1"	"เละตุ้มเป๊ะไปโม้ด"
"[english]dota_chatwheel_label_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_message_witch_doctor_2"	"ไหนใครเรียกหาหมอ?"
"[english]dota_chatwheel_message_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_label_witch_doctor_2"	"ไหนใครเรียกหาหมอ?"
"[english]dota_chatwheel_label_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_message_witch_doctor_3"	"โอ้ มองตามที่มันพุ่งไปสิ"
"[english]dota_chatwheel_message_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_label_witch_doctor_3"	"โอ้ มองตามที่มันพุ่งไปสิ"
"[english]dota_chatwheel_label_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_message_witch_doctor_4"	"เตรียมเสียบกระดูกย่างได้เลย เจ้าเสร็จข้าละ"
"[english]dota_chatwheel_message_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_label_witch_doctor_4"	"เตรียมเสียบกระดูกย่างได้เลย เจ้าเสร็จข้าละ"
"[english]dota_chatwheel_label_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_message_witch_doctor_5"	"โอ๊ ยาาาาาห์"
"[english]dota_chatwheel_message_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_label_witch_doctor_5"	"โอ๊ ยาาาาาห์"
"[english]dota_chatwheel_label_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_message_lich_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_lich_laugh"	"Ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_lich_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_lich_laugh"	"Laugh"
"dota_chatwheel_message_lich_thank"	"จงเย็นไว้!"
"[english]dota_chatwheel_message_lich_thank"	"Stay frosty!"
"dota_chatwheel_label_lich_thank"	"จงเย็นไว้!"
"[english]dota_chatwheel_label_lich_thank"	"Stay frosty!"
"dota_chatwheel_message_lich_deny"	"ก้าวระวัง ๆ ล้มแล้วร่วงลึกนะ"
"[english]dota_chatwheel_message_lich_deny"	"Watch your step, it's six feet down."
"dota_chatwheel_label_lich_deny"	"ก้าวระวัง ๆ..."
"[english]dota_chatwheel_label_lich_deny"	"Watch your step..."
"dota_chatwheel_message_lich_1"	"เจ้ามิอาจฆ่าคนตายได้หรอก"
"[english]dota_chatwheel_message_lich_1"	"Can't kill the dead."
"dota_chatwheel_label_lich_1"	"เจ้ามิอาจฆ่าคนตายได้หรอก"
"[english]dota_chatwheel_label_lich_1"	"Can't kill the dead."
"dota_chatwheel_message_lich_2"	"เสียวซ่าไหมจ๊ะ?"
"[english]dota_chatwheel_message_lich_2"	"Does it tingle?"
"dota_chatwheel_label_lich_2"	"เสียวซ่าไหมจ๊ะ?"
"[english]dota_chatwheel_label_lich_2"	"Does it tingle?"
"dota_chatwheel_message_lich_3"	"สัมผัสโอบกอดแห่งความหนาวเหน็บของข้าซะ!"
"[english]dota_chatwheel_message_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_label_lich_3"	"สัมผัสโอบกอดแห่งความหนาวเหน็บของข้าซะ!"
"[english]dota_chatwheel_label_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_message_lich_4"	"รู้หรือยังว่าตอนนี้ใครเป็นที่หนึ่ง?"
"[english]dota_chatwheel_message_lich_4"	"Who's the number one now?"
