"lang"
{ 
	"Language" "polish" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"pkt. zdrowia"					// $health
		"dota_ability_variable_mana"				"pkt. many"						// $mana
		"dota_ability_variable_armor"				"pkt. pancerza"						// $armor
		"dota_ability_variable_damage"				"pkt. obrażeń"					// $damage
		"dota_ability_variable_str"					"pkt. Siły"					// $str
		"dota_ability_variable_int"					"pkt. Inteligencji"				// $int
		"dota_ability_variable_agi"					"pkt. Zręczności"					// $agi
		"dota_ability_variable_all"					"pkt. wszystkich atrybutów"			// $all
		"dota_ability_variable_primary_attribute"	"pkt. głównego atrybutu"			// $primary_attribute
		"dota_ability_variable_attack"				"jedn. szybkości ataku"				// $attack
		"dota_ability_variable_hp_regen"			"pkt. regeneracji zdrowia"			// $hp_regen
"dota_ability_variable_mana_regen"			"pkt. regeneracji many"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"jedn. aury regeneracji many"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"obrażeń od czarów"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"czasu trwanie negatywnych efektów"			// $debuff_amp
		"dota_ability_variable_move_speed"			"szybkości ruchu"			// $move_speed
		"dota_ability_variable_evasion"				"szansy na unik"					// $evasion
		"dota_ability_variable_spell_resist"		"odporności na magię"			// $spell_resist
"dota_ability_variable_spell_lifesteal_creep"	"kradzieży zdrowia z czarów (creepy)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"kradzieży zdrowia z czarów (bohaterowie)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"pkt. wybranego atrybutu"		// $selected_attribute
		"dota_ability_variable_attack_range"		"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko dla dystansowych)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"jedn. zasięgu ataku <font color='#7d7d7d'>(tylko walczący wręcz)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"zasięgu rzutu"				// $cast_range
		"dota_ability_variable_status_resist"		"odporności na statusy"			// $status_resist
		"dota_ability_variable_projectile_speed"	"jedn. szybkości pocisku"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"redukcji kosztów many"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"Skrócenie czasów oczekiwania"		// $cooldown_reduction 

		//ATTRIBUTES
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_damage_per_health"				"OBRAŻENIA NA BRAKUJĄCE ZDROWIE:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_stun_duration"					"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_necrolyte_death_seeker"       			"Death Seeker"
        "DOTA_Tooltip_modifier_necrolyte_death_pulse_counter"				"Death Pulse"
		"DOTA_Tooltip_modifier_necrolyte_death_pulse_counter_Description"		"Regeneracja %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% pkt. zdrowia oraz %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% pkt. many na sekundę."
		"DOTA_Tooltip_modifier_necrolyte_sadist_active"						"Ghost Shroud"
		"DOTA_Tooltip_modifier_necrolyte_sadist_active_Description"			"Spowalnianie pobliskich wrogów. Wzmacnianie swojego leczenia kosztem otrzymywania zwiększonych obrażeń magicznych."
		"DOTA_Tooltip_modifier_necrolyte_sadist_aura_effect"				"Ghost Shroud"
		"DOTA_Tooltip_modifier_necrolyte_sadist_aura_effect_Description"	"Spowolnienie o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura" 		"Heartstopper Aura"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_effect"	"Heartstopper Aura"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_effect_Description" "Jednostki w pobliżu Necrophosa będą traciły pewną część zdrowia z każdą sekundą."
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_counter"	"Heartstopper Aura - regeneracja"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_counter_Description"	"Tymczasowe otrzymywanie %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% pkt. regeneracji zdrowia i %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% pkt. regeneracji many na sekundę."
		"DOTA_Tooltip_modifier_necrolyte_reapers_scythe"	"Reaper's Scythe"
		"DOTA_Tooltip_modifier_necrolyte_reapers_scythe_Description"	"Zamierasz, stojąc twarzą w twarz ze Żniwiarzem."
		"DOTA_Tooltip_modifier_necrophos_death_seeker_ethereal"		"Death Seeker"
		"DOTA_Tooltip_modifier_necrophos_death_seeker_ethereal_Description"		"Otrzymywanie o %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% więcej obrażeń magicznych, nie można atakować ani być atakowanym."
		//SLARDAR
		"DOTA_Tooltip_ability_slardar_sprint"											"Guardian Sprint"
		"DOTA_Tooltip_ability_slardar_sprint_Description"								"Slardar pełznie naprzód, poruszając się znacznie szybciej i przenikając przez jednostki. Slardar zyskuje premię do szybkości ruchu, kiedy przebywa w rzece."
		"DOTA_Tooltip_ability_slardar_sprint_scepter_description"						"Zapewnia dodatkową regenerację zdrowia, pancerz oraz odporność na statusy, kiedy bohater znajduje się w kałuży lub w rzece."
		"DOTA_Tooltip_ability_slardar_sprint_Lore"										"Gdy Slardar opuścił Głębiny, niezbędnym stało się dla niego użycie jego potężnego ogona do biegania zamiast pływania."
		"DOTA_Tooltip_ability_slardar_sprint_Note0"										"Aktywowanie tej umiejętności nie przerywa inkantacji."
		"DOTA_Tooltip_ability_slardar_sprint_bonus_speed"								"%PREMIA DO SZYBKOŚCI RUCHU:"
		"DOTA_Tooltip_ability_slardar_sprint_duration"									"CZAS TRWANIA:"		
		"DOTA_Tooltip_ability_slardar_sprint_river_speed_tooltip"						"%PREMIA DO SZYBKOŚCI RUCHU W RZECE:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush"									"Slithereen Crush"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_scepter_description"				"Za każdym razem, gdy Slardar rzuca Slithereen Crush, tworzy kałużę, która jest uznawana za rzekę na potrzeby rozpatrywania premii."
		"DOTA_Tooltip_ability_slardar_slithereen_crush_Lore"							"Szybkie uderzenie magii i wody przełamie nawet najpotężniejszą obronę."
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_damage"					"OBRAŻENIA:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_stun_duration"					"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_extra_slow"				"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_attack_slow_tooltip"		"SPOWOLNIENIE ATAKU:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_extra_slow_duration"		"CZAS TRWANIA SPOWOLNIENIA:"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_radius"					"PROMIEŃ:"
		"DOTA_Tooltip_ability_slardar_bash"												"Bash of the Deep"
		"DOTA_Tooltip_ability_slardar_bash_Description"									"Po %attack_count% atakach następny spowoduje stłuczenie na celu. Zadaje podwójne obrażenia creepom."
		"DOTA_Tooltip_ability_slardar_bash_Lore"										"Złodzieje bogactw Głębinowców muszą liczyć się z brutalnością Slithereeńskiego Strażnika w walce wręcz."
		"DOTA_Tooltip_ability_slardar_bash_Note0"										"Nie kumuluje się z przedmiotem Skull Basher."
		"DOTA_Tooltip_ability_slardar_bash_abilitydraft_note"							"W trybie Ability Draft efekt <b>kumuluje się</b> ze Skull Basherem."
		"DOTA_Tooltip_ability_slardar_bash_bonus_damage"								"PREMIA DO OBRAŻEŃ:"
		"DOTA_Tooltip_ability_slardar_bash_duration"									"CZAS TRWANIA (STŁUCZENIE):"
		"DOTA_Tooltip_ability_slardar_amplify_damage"									"Corrosive Haze"
		"DOTA_Tooltip_ability_slardar_amplify_damage_Lore"								"Nawet najmocniejszy pancerz nic nie znaczy, jeżeli zostanie poddany niszczącym siłom wody morskiej."
		"DOTA_Tooltip_ability_slardar_amplify_damage_armor_reduction"					"REDUKCJA PANCERZA:"
		"DOTA_Tooltip_ability_slardar_amplify_damage_duration"							"CZAS TRWANIA:"
		
		"DOTA_Tooltip_modifier_slardar_sprint_river"				"Guardian Sprint – rzeka"
		"DOTA_Tooltip_modifier_slardar_sprint_river_Description"		"Zwiększa szybkość ruchu w rzece."

		"DOTA_Tooltip_modifier_slardar_sprint"				"Guardian Sprint"
		"DOTA_Tooltip_modifier_slardar_sprint_Description"	"Zwiększenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_slardar_amplify_damage"		"Corrosive Haze"
		"DOTA_Tooltip_modifier_slardar_amplify_damage_Description"		"Redukcja pancerza o %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% pkt.\nZapewnia efekt True Sight Slardarowi."
		"DOTA_Tooltip_modifier_slithereen_crush"					"Slithereen Crush"
		"DOTA_Tooltip_modifier_slithereen_crush_Description"		"Pod wpływem działania Slithereen Crush Slardara. Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% i ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek."
		
		"DOTA_Tooltip_modifier_slardar_bash_active"	"Bash of the Deep"
		"DOTA_Tooltip_modifier_slardar_bash_active_Description"	"Co czwarty atak powoduje stłuczenie wroga."


		//BEASTMASTER
		"DOTA_Tooltip_ability_beastmaster_wild_axes"									"Wild Axes"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_Description"						"Beastmaster rzuca swoimi toporami, a następnie przywołuje je z powrotem, przecinając po drodze wrogów i drzewa. Każdy topór może trafić danego wroga tylko raz i zwiększa on dalsze obrażenia otrzymywane od Beastmastera i jednostek pod jego kontrolą."
		"DOTA_Tooltip_ability_beastmaster_wild_axes_Lore"								"Ucząc się jak przeżyć na łonie natury, Beastmaster opanował też sztukę posługiwania się parą tomahawków przydatnych zarówno do wycinania drzew, jak i przeciwników."
		"DOTA_Tooltip_ability_beastmaster_wild_axes_Note0"								"Ta umiejętność niszczy drzewa."
		"DOTA_Tooltip_ability_beastmaster_wild_axes_range"								"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_axe_damage"							"OBRAŻENIA NA TOPÓR:"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_damage_amp"							"%WZM. OBRAŻEŃ NA INSTANCJĘ:"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_scepter_cooldown"							"CZAS OCZEKIWANIA (SCEPTER):"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_scepter_description"				"Powoduje, że umiejętność Wild Axes nie ma czasu oczekiwania i może być użyta ponownie od momentu powrotu toporów."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar"						"Call of the Wild Boar"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_Description"				"Beastmaster wzywa swojego dzika, aby wspomagał go na polu walki."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_Lore"						"Po zaprzyjaźnieniu się z dziwną bestią w dzieciństwie Beastmaster nauczył się wzywać zwierzęta w razie potrzeby."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_duration"				"CZAS TRWANIA PRZYZWANYCH BESTII:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_boar_hp_tooltip"				"ZDROWIE DZIKA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_boar_damage_tooltip"			"OBRAŻENIA OD ATAKU DZIKA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_boar_moveslow_tooltip"			"%SPOWOLNIENIE OD DZIKA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_boar_boar_poison_duration_tooltip"	"CZAS TRWANIA TRUCIZNY DZIKA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk"						"Call of the Wild Hawk"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_Description"				"Beastmaster wysyła niewidzialnego jastrzębia, aby wykonał zwiad wskazanego obszaru."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_abilitydraft_note"			"Przyznaje również umiejętność <b>Call of the Wild Boar</b>. Dostępna po włączeniu autorzucania."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_Lore"						"Po zaprzyjaźnieniu się z dziwną bestią w dzieciństwie Beastmaster nauczył się wzywać zwierzęta w razie potrzeby."
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_duration"				"CZAS TRWANIA PRZYZWANYCH BESTII:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_hawk_hp_tooltip"			"ZDROWIE JASTRZĘBIA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_hawk_speed_tooltip"			"SZYBKOŚĆ JASTRZĘBIA:"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_hawk_vision_tooltip"		"ZASIĘG WZROKU JASTRZĘBIA:"
		"DOTA_Tooltip_ability_beastmaster_hawk_dive"									"Dive Bomb"
		"DOTA_Tooltip_ability_beastmaster_hawk_dive_abilitycastrange"					"ZASIĘG RZUTU:"
		"DOTA_Tooltip_ability_beastmaster_hawk_dive_damage"								"OBRAŻENIA:"
		"DOTA_Tooltip_ability_beastmaster_hawk_dive_stun_duration"						"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_beastmaster_inner_beast"									"Inner Beast"
		"DOTA_Tooltip_ability_beastmaster_inner_beast_Description"						"Wyzwala wewnętrzną furię pobliskich sojuszników, pasywnie zwiększając ich szybkość ataku."
		"DOTA_Tooltip_ability_beastmaster_inner_beast_Lore"								"Zdolność Beastmastera do budzenia w zwierzętach ich wrodzonej siły dała się zauważyć, gdy masakrowały króla Slom."
		"DOTA_Tooltip_ability_beastmaster_inner_beast_radius"							"PROMIEŃ:"
		"DOTA_Tooltip_ability_beastmaster_inner_beast_bonus_attack_speed"				"PREMIA DO SZYBKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar"									"Primal Roar"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_Description"						"Beastmaster wydaje z siebie przeraźliwy ryk, który ogłusza cel, jednocześnie odsłaniając drogę między nim a Beastmasterem. Wszystkie jednostki na drodze ryku otrzymają obrażenia, a na jednostki odepchnięte na bok zostanie nałożone spowolnienie ruchu i ataku. Dodatkowo zapewnia Beastmasterowi i jednostkom pod jego kontrolą %movement_speed%%% premii do szybkości ruchu na 3 sekundy."
		"DOTA_Tooltip_ability_beastmaster_primal_roar_shard_description"                "Powoduje, że wszyscy, którzy zaatakują cel Primal Roar, zadawać będą obrażenia krytyczne o 30% wyższe niż zwykle."
		"DOTA_Tooltip_ability_beastmaster_primal_roar_Lore"								"Beastmaster nauczył się skupiać swoje prymitywne instynkty w zwierzęcy ryk, który sieje zniszczenie w szeregach przeciwników."
		"DOTA_Tooltip_ability_beastmaster_primal_roar_duration"							"CZAS TRWANIA OGŁUSZENIA:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_damage"							"OBRAŻENIA:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_duration"					"CZAS TRWANIA SPOWOLNIENIA:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_damage_radius"					"SZEROKOŚĆ RYKU:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_movement_speed_pct"			"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_attack_speed_pct"			"SPOWOLNIENIE ATAKU:"
		"DOTA_Tooltip_ability_beastmaster_hawk_invisibility"							"Invisibility"
		"DOTA_Tooltip_ability_beastmaster_hawk_invisibility_Description"				"Jastrząb staje się niewidzialny po przebywaniu w bezruchu przez jakiś czas."
		"DOTA_Tooltip_ability_beastmaster_hawk_invisibility_fade_tooltip"				"CZAS ZANIKANIA:"
		"DOTA_Tooltip_ability_beastmaster_boar_poison"									"Poison"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_Description"						"Zatruwa cel, spowalniając jego szybkość ataku i ruchu."
		"DOTA_Tooltip_ability_beastmaster_boar_poison_attack_speed"						"SPOWOLNIENIE ATAKU:"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_movement_speed"					"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_duration"							"CZAS TRWANIA:"		
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison"							"Poison"
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_Description"				"Zatruwa cel, spowalniając jego szybkość ataku i ruchu."
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_attack_speed"				"SPOWOLNIENIE ATAKU:"
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_movement_speed"			"%SPOWOLNIENIE RUCHU:"
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_duration"					"CZAS TRWANIA:"

		"DOTA_Tooltip_modifier_beastmaster_axe_stack_counter"	"Instancje Wild Axes"
		"DOTA_Tooltip_modifier_beastmaster_axe_stack_counter_description"	"Otrzymywanie zwiększonych obrażeń od Beasmastera oraz kontrolowanych przez niego jednostek."
		"DOTA_Tooltip_modifier_beastmaster_inner_beast"						"Inner Beast"
		"DOTA_Tooltip_modifier_beastmaster_inner_beast_Description"			"Zwiększenie szybkości ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek"
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_slow"				"Primal Roar – spowolnienie"
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_slow_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% i ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek."
		"DOTA_Tooltip_modifier_beastmaster_hawk_invisibility"				"Niewidzialność"
		"DOTA_Tooltip_modifier_beastmaster_hawk_invisibility_Description"	"Jastrząb nie jest widoczny dla przeciwników."
		"DOTA_Tooltip_modifier_beastmaster_boar_poison_effect"				"Dzik – trucizna"
		"DOTA_Tooltip_modifier_beastmaster_boar_poison_effect_Description"	"Spowolnienie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% i ataku o %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% jednostek."
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_speed"		"Primal Roar"
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_speed_Description"		"Zwiększenie szybkości ruchu o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		
		"DOTA_Tooltip_modifier_beastmaster_call_of_the_wild_hawk"	"Jastrząb"
		"DOTA_Tooltip_modifier_beastmaster_call_of_the_wild_hawk_Description"	"Niewidzialny i niekontrolowany."

		//VENOMANCER
		"DOTA_Tooltip_ability_venomancer_area_poison"									    "Venomancer z Aghanim's Scepter"
		"DOTA_Tooltip_ability_venomancer_area_poison_Description"						    "Tworzy kałużę trucizny o obszarze działania %radius% jednostek w wybranym miejscu, zadając kolejną instancję obrażeń Poison Nova i spowalnia o 20%%. Jeżeli wróg umrze na tym obszarze. przyzwany zostanie Plague Ward."
		"DOTA_Tooltip_ability_venomancer_area_poison_duration"							    "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_venomancer_area_poison_radius"							    "PROMIEŃ:"
		"DOTA_Tooltip_ability_venomancer_venomous_gale"									"Venomous Gale"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Description"						"Wystrzeliwuje w linii prostej kulę z jadem zatruwającą wrogie jednostki, zadając im początkowe obrażenia oraz obrażenia okresowe, jak również spowalniając ich szybkość ruchu. Venomous Gale zadaje obrażenia co 3 sekundy w czasie swojego trwania."
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Lore"							"Mikstura sporządzona z przeróżnych żądeł, trucizn i toksyn zebranych z dżungli na wyspie Jidi. Poddane jej działaniu ofiary rzadko przeżywają."
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Note0"							"Venomous Gale może być zabójcze. Jednostki pod działaniem Venomous Gale mogą zostać dobite, jeśli ich zdrowie spadnie poniżej 25%."
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Note1"							"Obrażenia okresowe zadawane są co %tick_interval% s."
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Note2"							"Spowolnienie początkowo wynosi %movement_slow%%% i jego wartość spada z czasem."
		"DOTA_Tooltip_ability_venomancer_venomous_gale_duration"						"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_strike_damage"					"OBRAŻENIA POCZĄTKOWE:"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_tick_damage"						"OBRAŻENIA NA INSTANCJĘ:"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_movement_slow"					"%SPOWOLNIENIE:"
		"DOTA_Tooltip_ability_venomancer_poison_sting"									"Poison Sting"
		"DOTA_Tooltip_ability_venomancer_poison_sting_Description"						"Dodaje obrażenia od trucizny do normalnych ataków Venomancera i spowalnia szybkość ruchu."
		"DOTA_Tooltip_ability_venomancer_poison_sting_Lore"								"Paraliżujące żądło stwora, który spowodował transformację Venomancera, należy teraz do niego."
		"DOTA_Tooltip_ability_venomancer_poison_sting_Note0"							"Obrażenia od Poison Sting mogą być śmiertelne."
		"DOTA_Tooltip_ability_venomancer_poison_sting_Note1"							"Obrażenia od Poison Sting nie przerywają leczenia z przedmiotów ani nie aktywują czasu odnawiania Blink Dagger."
		"DOTA_Tooltip_ability_venomancer_poison_sting_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_venomancer_poison_sting_damage"							"OBRAŻENIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_venomancer_poison_sting_movement_speed"					"%SPOWOLNIENIE:"
		"DOTA_Tooltip_ability_venomancer_plague_ward"									"Plague Ward"
		"DOTA_Tooltip_ability_venomancer_plague_ward_Description"						"Przyzywa Plague Warda, aby atakował wrogie jednostki oraz budynki. Ward jest odporny na magię. Wardy uzyskują umiejętność Poison Sting o takim poziomie, na jakim ma ją Venomancer i zadają 50% jej obrażeń."
		"DOTA_Tooltip_ability_venomancer_plague_ward_Lore"								"Mieszanka jego starych, zielarskich talentów i nowej wiedzy o toksynach tworzy żywe ucieleśnienie plagi."
		"DOTA_Tooltip_ability_venomancer_plague_ward_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_venomancer_plague_ward_ward_hp_tooltip"					"ZDROWIE WARDA:"
		"DOTA_Tooltip_ability_venomancer_plague_ward_ward_damage_tooltip"				"OBRAŻENIA WARDA:"
		"DOTA_Tooltip_ability_venomancer_poison_nova"									"Poison Nova"
		"DOTA_Tooltip_ability_venomancer_poison_nova_Lore"								"W Toksycznych Dżunglach stwory często używają swoich szkodliwych trucizn przeciwko agresorom. Venomancer rozprzestrzenia tę plagę poza granice Wyspy Jidi."
		"DOTA_Tooltip_ability_venomancer_poison_nova_radius"							"PROMIEŃ:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_duration"							"CZAS TRWANIA:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_damage"							"% MAKS. PZ JAKO OBRAŻENIA:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_base_damage"						"BAZOWE OBRAŻENIA:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_speed"								"SZYBKOŚĆ ROZPRZESTRZENIANIA:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_scepter_description"				"Zwiększa obrażenia i skraca czas oczekiwania."
		

		
		"DOTA_Tooltip_modifier_venomancer_venomous_gale"					"Venomous Gale"
		"DOTA_Tooltip_modifier_venomancer_venomous_gale_Description"		"Spowolnienie i otrzymywanie %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń okresowych."
		"DOTA_Tooltip_modifier_venomancer_poison_sting"						"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_Description"			"Spowolnienie o %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% i otrzymywanie %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń co instancję."
		"DOTA_Tooltip_modifier_venomancer_poison_sting_fake"				"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_ward"				"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_nova"						"Poison Nova"
		"DOTA_Tooltip_modifier_venomancer_poison_nova_Description"			"Otrzymywanie %dMODIFIER_PROPERTY_TOOLTIP% pkt. obrażeń co sekundę."

		//FACELESS VOID
		"DOTA_Tooltip_ability_faceless_void_time_walk"									"Time Walk"
		"DOTA_Tooltip_ability_faceless_void_time_walk_Description"						"Skacze w wyznaczone miejsce, jednocześnie cofając wszelkie obrażenia otrzymane przez ostatnie %backtrack_duration% s."
		"DOTA_Tooltip_ability_faceless_void_time_walk_Lore"								"Mroczny Terror wydziera dziurę w czasie, przechodząc przez Claszureme i natychmiast wracając."
		"DOTA_Tooltip_ability_faceless_void_time_walk_Note0"							"Faceless Void jest nietykalny podczas używania Time Walk."
		"DOTA_Tooltip_ability_faceless_void_time_walk_range"					        "ZASIĘG:"
		"DOTA_Tooltip_ability_faceless_void_time_walk_backtrack_duration"				"COFNIĘTY CZAS:"
		"DOTA_Tooltip_ability_faceless_void_time_walk_reverse"							"Reverse Time Walk"
		"DOTA_Tooltip_ability_faceless_void_time_dilation"								"Time Dilation"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_Description"					"Faceless Void więzi wszystkich pobliskich wrogów w polu dylatacji czasu na %duration% s, wydłużając ich czasy oczekiwania na umiejętności oraz spowalniając ruch i atak trafionych wrogów o %slow%%% za każdy wydłużony czas oczekiwania. Zadaje obrażenia na sekundę za każdy czas oczekiwania."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_lore"							"Dla tych, którzy stają w walce przeciwko Darkterrorowi, każda chwila zdaje się ciągnąć w wieczność."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_Note0"						"Nie wpływa na czasy oczekiwania przedmiotów."
		"DOTA_Tooltip_ability_faceless_void_time_dilation_radius"					    "PROMIEŃ:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_duration"					    "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_slow"					        "%SPOWOLNIENIE NA CZAS TRWANIA:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_cooldown_percentage"			"%SPOWOLNIENIE UPŁYWU CZASÓW OCZEKIWANIA:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_damage_per_stack"					        "OBR./S NA CZAS OCZEKIWANIA:"
		"DOTA_Tooltip_ability_faceless_void_time_lock"									"Time Lock"
		"DOTA_Tooltip_ability_faceless_void_time_lock_Description"						"Dodaje do ataku szansę na zatrzymanie wrogiej jednostki w czasie i wykonanie przeciwko niej drugiego ataku."
		"DOTA_Tooltip_ability_faceless_void_time_lock_Lore"								"Faceless Void uderza z siłą zdolną zmieniać wymiary."
		"DOTA_Tooltip_ability_faceless_void_time_lock_Note1"							"Nie kumuluje się z przedmiotem Skull Basher."
