"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"dota_chatwheel_label_tiny_deny"	"Е, я виж ти."
"[english]dota_chatwheel_label_tiny_deny"	"Well, look at that."
"dota_chatwheel_message_tiny_1"	"Канарите се запращат!"
"[english]dota_chatwheel_message_tiny_1"	"Rock em, sock em!"
"dota_chatwheel_label_tiny_1"	"Канарите се запращат!"
"[english]dota_chatwheel_label_tiny_1"	"Rock em, sock em!"
"dota_chatwheel_message_tiny_2"	"Имате камъни в главата."
"[english]dota_chatwheel_message_tiny_2"	"You got rocks in your head."
"dota_chatwheel_label_tiny_2"	"Имате камъни в главата."
"[english]dota_chatwheel_label_tiny_2"	"You got rocks in your head."
"dota_chatwheel_message_tiny_3"	"Извинете ме."
"[english]dota_chatwheel_message_tiny_3"	"My apologies."
"dota_chatwheel_label_tiny_3"	"Извинете ме."
"[english]dota_chatwheel_label_tiny_3"	"My apologies."
"dota_chatwheel_message_tiny_4"	"Не Ви стиска да пробвате камъните."
"[english]dota_chatwheel_message_tiny_4"	"You haven't got the stones."
"dota_chatwheel_label_tiny_4"	"Не Ви стиска да пробвате камъните."
"[english]dota_chatwheel_label_tiny_4"	"You haven't got the stones."
"dota_chatwheel_message_tiny_5"	"Трудно е да си толкова добър."
"[english]dota_chatwheel_message_tiny_5"	"It's hard to be this good."
"dota_chatwheel_label_tiny_5"	"Трудно е да си толкова добър."
"[english]dota_chatwheel_label_tiny_5"	"It's hard to be this good."
"dota_chatwheel_message_vengefulspirit_laugh"	"Хм-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_vengefulspirit_laugh"	"Hm ha ha ha ha ha ha!"
"dota_chatwheel_label_vengefulspirit_laugh"	"Смях"
"[english]dota_chatwheel_label_vengefulspirit_laugh"	"Laugh"
"dota_chatwheel_message_vengefulspirit_thank"	"Толкова сладко…"
"[english]dota_chatwheel_message_vengefulspirit_thank"	"So sweet..."
"dota_chatwheel_label_vengefulspirit_thank"	"Толкова сладко…"
"[english]dota_chatwheel_label_vengefulspirit_thank"	"So sweet..."
"dota_chatwheel_message_vengefulspirit_deny"	"Какво…?"
"[english]dota_chatwheel_message_vengefulspirit_deny"	"What...?"
"dota_chatwheel_label_vengefulspirit_deny"	"Какво…?"
"[english]dota_chatwheel_label_vengefulspirit_deny"	"What...?"
"dota_chatwheel_message_vengefulspirit_1"	"Вече се чувствам по-добре."
"[english]dota_chatwheel_message_vengefulspirit_1"	"I feel better already."
"dota_chatwheel_label_vengefulspirit_1"	"Вече се чувствам по-добре."
"[english]dota_chatwheel_label_vengefulspirit_1"	"I feel better already."
"dota_chatwheel_message_vengefulspirit_2"	"Менкане!"
"[english]dota_chatwheel_message_vengefulspirit_2"	"Swapsies!"
"dota_chatwheel_label_vengefulspirit_2"	"Менкане!"
"[english]dota_chatwheel_label_vengefulspirit_2"	"Swapsies!"
"dota_chatwheel_message_vengefulspirit_3"	"Муа-хах-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_vengefulspirit_3"	"Mwahahhahahahahahaha!"
"dota_chatwheel_label_vengefulspirit_3"	"Муа-хах-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_label_vengefulspirit_3"	"Mwahahhahahahahahaha!"
"dota_chatwheel_message_vengefulspirit_4"	"Подгответе се за вълната от терор… бу!"
"[english]dota_chatwheel_message_vengefulspirit_4"	"Prepare for the wave of terror: boo!"
"dota_chatwheel_label_vengefulspirit_4"	"Подгответе се за вълната от терор… бу!"
"[english]dota_chatwheel_label_vengefulspirit_4"	"Prepare for the wave of terror: boo!"
"dota_chatwheel_message_vengefulspirit_5"	"Болката на моите враговете е единството удоволствие, което ми е останало."
"[english]dota_chatwheel_message_vengefulspirit_5"	"The pain of my enemies is the only pleasure left to me."
"dota_chatwheel_label_vengefulspirit_5"	"Болката на моите враговете…"
"[english]dota_chatwheel_label_vengefulspirit_5"	"The pain of my enemies..."
"dota_chatwheel_message_windrunner_laugh"	"Хах-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_windrunner_laugh"	"Hah-ha-ha-ha-ha!"
"dota_chatwheel_label_windrunner_laugh"	"Смях"
"[english]dota_chatwheel_label_windrunner_laugh"	"Laugh"
"dota_chatwheel_message_windrunner_thank"	"Леко и безгрижно"
"[english]dota_chatwheel_message_windrunner_thank"	"Easy breezy"
"dota_chatwheel_label_windrunner_thank"	"Леко и безгрижно"
"[english]dota_chatwheel_label_windrunner_thank"	"Easy breezy"
"dota_chatwheel_message_windrunner_deny"	"Не мисля така."
"[english]dota_chatwheel_message_windrunner_deny"	"I don't think so."
"dota_chatwheel_label_windrunner_deny"	"Не мисля така."
"[english]dota_chatwheel_label_windrunner_deny"	"I don't think so."
"dota_chatwheel_message_windrunner_1"	"Би могло да е по-зле. О, я почакайте, не би могло да е."
"[english]dota_chatwheel_message_windrunner_1"	"Could be worse. Oh, wait, no it couldn't."
"dota_chatwheel_label_windrunner_1"	"Би могло да е по-зле…"
"[english]dota_chatwheel_label_windrunner_1"	"Could be worse..."
"dota_chatwheel_message_windrunner_2"	"Никъде няма да ходите."
"[english]dota_chatwheel_message_windrunner_2"	"You're not going anywhere."
"dota_chatwheel_label_windrunner_2"	"Никъде няма да ходите."
"[english]dota_chatwheel_label_windrunner_2"	"You're not going anywhere."
"dota_chatwheel_message_windrunner_3"	"Проклятие, ако не бяхте толкова мъртви, бих Ви простреляла отново."
"[english]dota_chatwheel_message_windrunner_3"	"If you weren't so damned dead, I'd shoot you again."
"dota_chatwheel_label_windrunner_3"	"Проклятие, ако не бяхте толкова мъртви…"
"[english]dota_chatwheel_label_windrunner_3"	"If you weren't so damned dead..."
"dota_chatwheel_message_windrunner_4"	"Кажете ми, че това не се случи току-що."
"[english]dota_chatwheel_message_windrunner_4"	"Tell me this did not just happen."
"dota_chatwheel_label_windrunner_4"	"Кажете ми, че това не се случи току-що."
"[english]dota_chatwheel_label_windrunner_4"	"Tell me this did not just happen."
"dota_chatwheel_message_windrunner_5"	"Ще Ви пратя въздушна целувка."
"[english]dota_chatwheel_message_windrunner_5"	"I blow you a kiss."
"dota_chatwheel_label_windrunner_5"	"Ще Ви пратя въздушна целувка."
"[english]dota_chatwheel_label_windrunner_5"	"I blow you a kiss."
"dota_chatwheel_message_zuus_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_zuus_laugh"	"Ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_zuus_laugh"	"Смях"
"[english]dota_chatwheel_label_zuus_laugh"	"Laugh"
"dota_chatwheel_message_zuus_thank"	"Мустаците ми се накъдриха, това е нещо хубаво!"
"[english]dota_chatwheel_message_zuus_thank"	"By my whiskers, that's good stuff!"
"dota_chatwheel_label_zuus_thank"	"Това е нещо хубаво!"
"[english]dota_chatwheel_label_zuus_thank"	"That's good stuff!"
"dota_chatwheel_message_zuus_deny"	"Ха-ха-ха-ха-ха. Е, какво очаквахте?"
"[english]dota_chatwheel_message_zuus_deny"	"Ha ha ha ha ha. Well what did you expect?"
"dota_chatwheel_label_zuus_deny"	"Е, какво очаквахте?"
"[english]dota_chatwheel_label_zuus_deny"	"Well what did you expect?"
"dota_chatwheel_message_zuus_1"	"Изчакайте!"
"[english]dota_chatwheel_message_zuus_1"	"Wait for it!"
"dota_chatwheel_label_zuus_1"	"Изчакайте!"
"[english]dota_chatwheel_label_zuus_1"	"Wait for it!"
"dota_chatwheel_message_zuus_2"	"Само това ли е нужно, за да бъдете убити?"
"[english]dota_chatwheel_message_zuus_2"	"That's all it takes to kill you?"
"dota_chatwheel_label_zuus_2"	"Само това ли е нужно…?"
"[english]dota_chatwheel_label_zuus_2"	"That's all it takes..?"
"dota_chatwheel_message_zuus_3"	"О… Това не може да е добре."
"[english]dota_chatwheel_message_zuus_3"	"Oh...this can't be good."
"dota_chatwheel_label_zuus_3"	"Това не може да е добре"
"[english]dota_chatwheel_label_zuus_3"	"This can't be good"
"dota_chatwheel_message_zuus_4"	"Гръмки аплодисменти!"
"[english]dota_chatwheel_message_zuus_4"	"Thund'rous applause!"
"dota_chatwheel_label_zuus_4"	"Гръмки аплодисменти!"
"[english]dota_chatwheel_label_zuus_4"	"Thund'rous applause!"
"dota_chatwheel_message_zuus_5"	"Нима си помислихте, че можете да скриете от бог?"
"[english]dota_chatwheel_message_zuus_5"	"Did you think you could hide from a god?"
"dota_chatwheel_label_zuus_5"	"Нима си помислихте, че можете да скриете?"
"[english]dota_chatwheel_label_zuus_5"	"Did you think you could hide?"
"dota_chatwheel_message_kunkka_laugh"	"Хе-ху-ху-ху-ху-хух-ху-ха!"
"[english]dota_chatwheel_message_kunkka_laugh"	"He-hu-hu-hu-hu-huhhuha!"
"dota_chatwheel_label_kunkka_laugh"	"Смях"
"[english]dota_chatwheel_label_kunkka_laugh"	"Laugh"
"dota_chatwheel_message_kunkka_thank"	"Вие сте надеждни другари!"
"[english]dota_chatwheel_message_kunkka_thank"	"You're a trusty mate!"
"dota_chatwheel_label_kunkka_thank"	"Вие сте надеждни другари!"
"[english]dota_chatwheel_label_kunkka_thank"	"You're a trusty mate!"
"dota_chatwheel_message_kunkka_deny"	"Отправяйте се директно към дъното!"
"[english]dota_chatwheel_message_kunkka_deny"	"Straight to the bottom with ya!"
"dota_chatwheel_label_kunkka_deny"	"Отправяйте се директно към дъното!"
"[english]dota_chatwheel_label_kunkka_deny"	"Straight to the bottom with ya!"
"dota_chatwheel_message_kunkka_1"	"Не Ви стиска."
"[english]dota_chatwheel_message_kunkka_1"	"You don't have the sand."
"dota_chatwheel_label_kunkka_1"	"Не Ви стиска."
"[english]dota_chatwheel_label_kunkka_1"	"You don't have the sand."
"dota_chatwheel_message_kunkka_2"	"Хех! Човек зад борда!"
"[english]dota_chatwheel_message_kunkka_2"	"Heh! Man overboard!"
"dota_chatwheel_label_kunkka_2"	"Хех! Човек зад борда!"
"[english]dota_chatwheel_label_kunkka_2"	"Heh! Man overboard!"
"dota_chatwheel_message_kunkka_3"	"Всички сте гола вода!"
"[english]dota_chatwheel_message_kunkka_3"	"You're all washed up!"
"dota_chatwheel_label_kunkka_3"	"Всички сте гола вода!"
"[english]dota_chatwheel_label_kunkka_3"	"You're all washed up!"
"dota_chatwheel_message_kunkka_4"	"Просто за да сме наясно, ако Ви нарека друже, не го казвам буквално."
"[english]dota_chatwheel_message_kunkka_4"	"Just to be clear, if I call you mate, I don't mean it literally."
"dota_chatwheel_label_kunkka_4"	"Просто за да сме наясно…"
"[english]dota_chatwheel_label_kunkka_4"	"Just to be clear..."
"dota_chatwheel_message_kunkka_5"	"Бяхте отплавали към провала."
"[english]dota_chatwheel_message_kunkka_5"	"You set sail for fail."
"dota_chatwheel_label_kunkka_5"	"Бяхте отплавали към провала."
"[english]dota_chatwheel_label_kunkka_5"	"You set sail for fail."
"dota_chatwheel_message_lina_laugh"	"Ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_lina_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_lina_laugh"	"Смях"
"[english]dota_chatwheel_label_lina_laugh"	"Laugh"
"dota_chatwheel_message_lina_thank"	"Това беше пламенно!"
"[english]dota_chatwheel_message_lina_thank"	"That was hot!"
"dota_chatwheel_label_lina_thank"	"Това беше пламенно!"
"[english]dota_chatwheel_label_lina_thank"	"That was hot!"
"dota_chatwheel_message_lina_deny"	"Пари, нали?"
"[english]dota_chatwheel_message_lina_deny"	"Burns, doesn't it?"
"dota_chatwheel_label_lina_deny"	"Пари, нали?"
"[english]dota_chatwheel_label_lina_deny"	"Burns, doesn't it?"
"dota_chatwheel_message_lina_1"	"Това не беше особено блестящо."
"[english]dota_chatwheel_message_lina_1"	"That wasn't too bright."
"dota_chatwheel_label_lina_1"	"Това не беше особено блестящо."
"[english]dota_chatwheel_label_lina_1"	"That wasn't too bright."
"dota_chatwheel_message_lina_2"	"Искате ли да си поиграете с огъня?"
"[english]dota_chatwheel_message_lina_2"	"Wanna play with fire?"
"dota_chatwheel_label_lina_2"	"Искате ли да си поиграете с огъня?"
"[english]dota_chatwheel_label_lina_2"	"Wanna play with fire?"
"dota_chatwheel_message_lina_3"	"Що за балама."
"[english]dota_chatwheel_message_lina_3"	"What a punk."
"dota_chatwheel_label_lina_3"	"Що за балама."
"[english]dota_chatwheel_label_lina_3"	"What a punk."
"dota_chatwheel_message_lina_4"	"Мътните да ме вземат?"
"[english]dota_chatwheel_message_lina_4"	"What in the blazes?"
"dota_chatwheel_label_lina_4"	"Мътните да ме вземат?"
"[english]dota_chatwheel_label_lina_4"	"What in the blazes?"
"dota_chatwheel_message_lina_5"	"Елате при мама!"
"[english]dota_chatwheel_message_lina_5"	"Come to mama!"
"dota_chatwheel_label_lina_5"	"Елате при мама!"
"[english]dota_chatwheel_label_lina_5"	"Come to mama!"
"dota_chatwheel_message_lion_laugh"	"Уха-ха-ха-ха-ха-ха-ха-хе-хаа-ха!"
"[english]dota_chatwheel_message_lion_laugh"	"Who-ha-ha-ha-ha-ha-ha-he-hawha!"
"dota_chatwheel_label_lion_laugh"	"Смях"
"[english]dota_chatwheel_label_lion_laugh"	"Laugh"
"dota_chatwheel_message_lion_thank"	"О, да, по дяволите."
"[english]dota_chatwheel_message_lion_thank"	"Oh, hell yes."
"dota_chatwheel_label_lion_thank"	"О, да, по дяволите."
"[english]dota_chatwheel_label_lion_thank"	"Oh, hell yes."
"dota_chatwheel_message_lion_deny"	"Ах, съжалявам, че Ви разочаровам."
"[english]dota_chatwheel_message_lion_deny"	"Ah, sorry to disappoint you."
"dota_chatwheel_label_lion_deny"	"Ах, съжалявам, че Ви разочаровам."
"[english]dota_chatwheel_label_lion_deny"	"Ah, sorry to disappoint you."
"dota_chatwheel_message_lion_1"	"Помислихте си, че ще опитомите лъва?"
"[english]dota_chatwheel_message_lion_1"	"You thought to tame the lion?"
"dota_chatwheel_label_lion_1"	"Помислихте си, че ще опитомите лъва?"
"[english]dota_chatwheel_label_lion_1"	"You thought to tame the lion?"
"dota_chatwheel_message_lion_2"	"Почувствайте яростта на магьосника!"
"[english]dota_chatwheel_message_lion_2"	"Feel the rage of a mage!"
"dota_chatwheel_label_lion_2"	"Почувствайте яростта на магьосника!"
"[english]dota_chatwheel_label_lion_2"	"Feel the rage of a mage!"
"dota_chatwheel_message_lion_3"	"Дяволите да Ви вземат!"
"[english]dota_chatwheel_message_lion_3"	"To hell with you!"
"dota_chatwheel_label_lion_3"	"Дяволите да Ви вземат!"
"[english]dota_chatwheel_label_lion_3"	"To hell with you!"
"dota_chatwheel_message_lion_4"	"Имам магическия допир."
"[english]dota_chatwheel_message_lion_4"	"I've got the magic touch."
"dota_chatwheel_label_lion_4"	"Имам магическия допир."
"[english]dota_chatwheel_label_lion_4"	"I've got the magic touch."
"dota_chatwheel_message_lion_5"	"Бил съм до ада и обратно… А след това пак в ада… и отново обратно."
"[english]dota_chatwheel_message_lion_5"	"I've been to hell and back, and back to hell...and back."
"dota_chatwheel_label_lion_5"	"Бил съм до ада и обратно…"
"[english]dota_chatwheel_label_lion_5"	"I've been to hell and back..."
"dota_chatwheel_message_shadow_shaman_laugh"	"Ха-ха-ха!"
"[english]dota_chatwheel_message_shadow_shaman_laugh"	"Ha ha ha!"
"dota_chatwheel_label_shadow_shaman_laugh"	"Смях"
"[english]dota_chatwheel_label_shadow_shaman_laugh"	"Laugh"
"dota_chatwheel_message_shadow_shaman_thank"	"Молитвите ми получиха отговор."
"[english]dota_chatwheel_message_shadow_shaman_thank"	"My prayers are answered."
"dota_chatwheel_label_shadow_shaman_thank"	"Молитвите ми получиха отговор."
"[english]dota_chatwheel_label_shadow_shaman_thank"	"My prayers are answered."
"dota_chatwheel_message_shadow_shaman_deny"	"Кудкудяк, кудкудяк!"
"[english]dota_chatwheel_message_shadow_shaman_deny"	"Bukaw, bukaw!"
"dota_chatwheel_label_shadow_shaman_deny"	"Кудкудяк, кудкудяк!"
"[english]dota_chatwheel_label_shadow_shaman_deny"	"Bukaw, bukaw!"
"dota_chatwheel_message_shadow_shaman_1"	"За Вас виждам бъдеще, изпълнено със смърт!"
"[english]dota_chatwheel_message_shadow_shaman_1"	"I see for you a future full of death!"
"dota_chatwheel_label_shadow_shaman_1"	"За Вас виждам бъдеще…"
"[english]dota_chatwheel_label_shadow_shaman_1"	"I see for you a future..."
"dota_chatwheel_message_shadow_shaman_2"	"Никъде няма да ходите."
"[english]dota_chatwheel_message_shadow_shaman_2"	"You're not going anywhere."
"dota_chatwheel_label_shadow_shaman_2"	"Никъде няма да ходите."
"[english]dota_chatwheel_label_shadow_shaman_2"	"You're not going anywhere."
"dota_chatwheel_message_shadow_shaman_3"	"Хех-ха-ха-хах, колко ободрително!"
"[english]dota_chatwheel_message_shadow_shaman_3"	"Heh ha ha hah, how refreshing!"
"dota_chatwheel_label_shadow_shaman_3"	"Хех-ха-ха-хах, колко ободрително!"
"[english]dota_chatwheel_label_shadow_shaman_3"	"Heh ha ha hah, how refreshing!"
"dota_chatwheel_message_shadow_shaman_4"	"Има вкус на пилешко!"
"[english]dota_chatwheel_message_shadow_shaman_4"	"Tastes like chicken!"
"dota_chatwheel_label_shadow_shaman_4"	"Има вкус на пилешко!"
"[english]dota_chatwheel_label_shadow_shaman_4"	"Tastes like chicken!"
"dota_chatwheel_message_shadow_shaman_5"	"Ау-мосу-атикану!"
"[english]dota_chatwheel_message_shadow_shaman_5"	"Au-mosu-atikanu!"
"dota_chatwheel_label_shadow_shaman_5"	"Ау-мосу-атикану!"
"[english]dota_chatwheel_label_shadow_shaman_5"	"Au-mosu-atikanu!"
"dota_chatwheel_message_slardar_laugh"	"Хех-хеех-хех-хах-хах-ха-хах-хах!"
"[english]dota_chatwheel_message_slardar_laugh"	"Heh heeh heh hah hah ha hah hah!"
"dota_chatwheel_label_slardar_laugh"	"Смях"
"[english]dota_chatwheel_label_slardar_laugh"	"Laugh"
"dota_chatwheel_message_slardar_thank"	"Пълен погром."
"[english]dota_chatwheel_message_slardar_thank"	"Total spawnage."
"dota_chatwheel_label_slardar_thank"	"Пълен погром."
"[english]dota_chatwheel_label_slardar_thank"	"Total spawnage."
"dota_chatwheel_message_slardar_deny"	"Дълбоко Ви съчувствам."
"[english]dota_chatwheel_message_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_label_slardar_deny"	"Дълбоко Ви съчувствам."
"[english]dota_chatwheel_label_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_message_slardar_1"	"Изминал съм дълъг път, за да видя как умирате."
"[english]dota_chatwheel_message_slardar_1"	"I came a long way to see you die."
"dota_chatwheel_label_slardar_1"	"Изминал съм дълъг път…"
"[english]dota_chatwheel_label_slardar_1"	"I came a long way..."
"dota_chatwheel_message_slardar_2"	"Няма да избягате."
"[english]dota_chatwheel_message_slardar_2"	"You won't escape."
"dota_chatwheel_label_slardar_2"	"Няма да избягате."
"[english]dota_chatwheel_label_slardar_2"	"You won't escape."
"dota_chatwheel_message_slardar_3"	"Спипах Ви."
"[english]dota_chatwheel_message_slardar_3"	"Jig's up."
"dota_chatwheel_label_slardar_3"	"Спипах Ви."
"[english]dota_chatwheel_label_slardar_3"	"Jig's up."
"dota_chatwheel_message_slardar_4"	"Не бяхте в свои води."
"[english]dota_chatwheel_message_slardar_4"	"You were out of your depth."
"dota_chatwheel_label_slardar_4"	"Не бяхте в свои води."
"[english]dota_chatwheel_label_slardar_4"	"You were out of your depth."
"dota_chatwheel_message_slardar_5"	"О, как ще се гощават дълбоките!"
"[english]dota_chatwheel_message_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_label_slardar_5"	"О, как ще се гощават дълбоките!"
"[english]dota_chatwheel_label_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_message_tidehunter_laugh"	"Ах-ха-ха-ха!"
"[english]dota_chatwheel_message_tidehunter_laugh"	"Ah ha ha ha!"
"dota_chatwheel_label_tidehunter_laugh"	"Смях"
"[english]dota_chatwheel_label_tidehunter_laugh"	"Laugh"
"dota_chatwheel_message_tidehunter_thank"	"Ще обърнем този прилив в наша полза."
"[english]dota_chatwheel_message_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_label_tidehunter_thank"	"Ще обърнем този прилив в наша полза."
"[english]dota_chatwheel_label_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_message_tidehunter_deny"	"Изглеждате опустошени."
"[english]dota_chatwheel_message_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_label_tidehunter_deny"	"Изглеждате опустошени."
"[english]dota_chatwheel_label_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_message_tidehunter_1"	"Ха-ха-ха-ха-ха-ха. Вече сте храна за рибите."
"[english]dota_chatwheel_message_tidehunter_1"	"Ha ha ha ha ha ha, Now you're fish food."
"dota_chatwheel_label_tidehunter_1"	"Вече сте храна за рибите."
"[english]dota_chatwheel_label_tidehunter_1"	"Now you're fish food."
"dota_chatwheel_message_tidehunter_2"	"Ха-ха, бих могъл да изям морж."
"[english]dota_chatwheel_message_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_label_tidehunter_2"	"Ха-ха, бих могъл да изям морж."
"[english]dota_chatwheel_label_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_message_tidehunter_3"	"Затапете това."
"[english]dota_chatwheel_message_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_label_tidehunter_3"	"Затапете това."
"[english]dota_chatwheel_label_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_message_tidehunter_4"	"Нима си помислихте, че ще допусна груба грешка? Сигурно погрешно сте ме взели за Kunkka."
"[english]dota_chatwheel_message_tidehunter_4"	"Did you think I'd blunder? You must have mistaken me for Kunkka."
"dota_chatwheel_label_tidehunter_4"	"Нима си помислихте, че ще допусна груба грешка…?"
"[english]dota_chatwheel_label_tidehunter_4"	"Did you think I'd blunder?..."
"dota_chatwheel_message_tidehunter_5"	"Кому е нужен голям мозък, когато имате зъби като моите?"
"[english]dota_chatwheel_message_tidehunter_5"	"Who needs a big brain when you've got teeth like mine?"
"dota_chatwheel_label_tidehunter_5"	"Кому е нужен голям мозък…?"
"[english]dota_chatwheel_label_tidehunter_5"	"Who needs a big brain...?"
"dota_chatwheel_message_witch_doctor_laugh"	"Хоо-хах-хоо-хоо-хах."
"[english]dota_chatwheel_message_witch_doctor_laugh"	"Hoo hah hoo hoo hah."
"dota_chatwheel_label_witch_doctor_laugh"	"Смях"
"[english]dota_chatwheel_label_witch_doctor_laugh"	"Laugh"
"dota_chatwheel_message_witch_doctor_thank"	"Чувствам се добре, човече."
"[english]dota_chatwheel_message_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_label_witch_doctor_thank"	"Чувствам се добре, човече."
"[english]dota_chatwheel_label_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_message_witch_doctor_deny"	"Изчакайте… изчакайте…"
"[english]dota_chatwheel_message_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_label_witch_doctor_deny"	"Изчакайте… изчакайте…"
"[english]dota_chatwheel_label_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_message_witch_doctor_1"	"Т'ва ще направи голяма бъркотия."
"[english]dota_chatwheel_message_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_label_witch_doctor_1"	"Т'ва ще направи голяма бъркотия."
"[english]dota_chatwheel_label_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_message_witch_doctor_2"	"Някой повика ли доктора?"
"[english]dota_chatwheel_message_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_label_witch_doctor_2"	"Някой повика ли доктора?"
"[english]dota_chatwheel_label_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_message_witch_doctor_3"	"О, я виж ти."
"[english]dota_chatwheel_message_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_label_witch_doctor_3"	"О, я виж ти."
"[english]dota_chatwheel_label_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_message_witch_doctor_4"	"Само кокали останаха. Това е то, дотук сте."
"[english]dota_chatwheel_message_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_label_witch_doctor_4"	"Само кокали останаха. Това е то, дотук сте."
"[english]dota_chatwheel_label_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_message_witch_doctor_5"	"О, дааааааа."
"[english]dota_chatwheel_message_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_label_witch_doctor_5"	"О, дааааааа."
"[english]dota_chatwheel_label_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_message_lich_laugh"	"Ха-ха-ха-ха-ха-ха-ха-ха!"
"[english]dota_chatwheel_message_lich_laugh"	"Ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_lich_laugh"	"Смях"
"[english]dota_chatwheel_label_lich_laugh"	"Laugh"
"dota_chatwheel_message_lich_thank"	"Бъдете хладнокръвни!"
"[english]dota_chatwheel_message_lich_thank"	"Stay frosty!"
"dota_chatwheel_label_lich_thank"	"Бъдете хладнокръвни!"
"[english]dota_chatwheel_label_lich_thank"	"Stay frosty!"
"dota_chatwheel_message_lich_deny"	"Внимавайте къде ходите, следващото стъпало е на два метра дълбочина."
"[english]dota_chatwheel_message_lich_deny"	"Watch your step, it's six feet down."
"dota_chatwheel_label_lich_deny"	"Внимавайте къде ходите…"
"[english]dota_chatwheel_label_lich_deny"	"Watch your step..."
"dota_chatwheel_message_lich_1"	"Не можете да убиете мъртвите."
"[english]dota_chatwheel_message_lich_1"	"Can't kill the dead."
"dota_chatwheel_label_lich_1"	"Не можете да убиете мъртвите."
"[english]dota_chatwheel_label_lich_1"	"Can't kill the dead."
"dota_chatwheel_message_lich_2"	"Изтръпвате ли?"
"[english]dota_chatwheel_message_lich_2"	"Does it tingle?"
"dota_chatwheel_label_lich_2"	"Изтръпвате ли?"
"[english]dota_chatwheel_label_lich_2"	"Does it tingle?"
"dota_chatwheel_message_lich_3"	"Почувствайте хладната ми прегръдка!"
"[english]dota_chatwheel_message_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_label_lich_3"	"Почувствайте хладната ми прегръдка!"
"[english]dota_chatwheel_label_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_message_lich_4"	"Кой сега е номер едно?"
"[english]dota_chatwheel_message_lich_4"	"Who's the number one now?"
"dota_chatwheel_label_lich_4"	"Кой сега е номер едно?"
"[english]dota_chatwheel_label_lich_4"	"Who's the number one now?"
"dota_chatwheel_message_lich_5"	"A, Ice Frog!"
"[english]dota_chatwheel_message_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_label_lich_5"	"A, Ice Frog!"
"[english]dota_chatwheel_label_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_message_riki_laugh"	"Хоо-хоо-хоо-хоо-хоо-хоо-хоо."
"[english]dota_chatwheel_message_riki_laugh"	"hoo hoo hoo hoo hoo hoo hoo."
"dota_chatwheel_label_riki_laugh"	"Смях"
"[english]dota_chatwheel_label_riki_laugh"	"Laugh"
"dota_chatwheel_message_riki_thank"	"Договорът е завършен."
"[english]dota_chatwheel_message_riki_thank"	"Contract complete."
"dota_chatwheel_label_riki_thank"	"Договорът е завършен."
"[english]dota_chatwheel_label_riki_thank"	"Contract complete."
"dota_chatwheel_message_riki_deny"	"Хех-хо, това не го очаквахте."
"[english]dota_chatwheel_message_riki_deny"	"Heh-ho, you didn't see that coming."
"dota_chatwheel_label_riki_deny"	"Това не го очаквахте."
"[english]dota_chatwheel_label_riki_deny"	"You didn't see that coming."
