"lang"
{ 
	"Language" "japanese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"HP"					// $health
		"dota_ability_variable_mana"				"マナ"						// $mana
		"dota_ability_variable_armor"				"アーマー"						// $armor
		"dota_ability_variable_damage"				"ダメージ"					// $damage
		"dota_ability_variable_str"					"Strength"					// $str
		"dota_ability_variable_int"					"Intelligence"				// $int
		"dota_ability_variable_agi"					"Agility"					// $agi
		"dota_ability_variable_all"					"すべての属性"			// $all
		"dota_ability_variable_attack"				"攻撃速度"				// $attack
		"dota_ability_variable_mana_regen"			"マナ自然回復"			// $mana_regen
		"dota_ability_variable_spell_amp"			"スペルダメージ"				// $spell_amp
		"dota_ability_variable_move_speed"			"移動速度"			// $move_speed
		"dota_ability_variable_evasion"				"回避"					// $evasion
		"dota_ability_variable_selected_attrib"		"選択中の属性"		// $selected_attribute
		"dota_ability_variable_attack_range"		"攻撃範囲 <font color='#7d7d7d'>(Ranged のみ)</font>"	// $attack_range
		"dota_ability_variable_cast_range"			"キャスト範囲"				// $cast_range
//ATTRIBUTES
		"DOTA_Tooltip_ability_attribute_bonus"											"属性値ボーナス"
		"DOTA_Tooltip_modifier_tinker_laser_blind"					"Laser Blind"
		"DOTA_Tooltip_modifier_tinker_laser_blind_Description"		"通常攻撃が%dMODIFIER_PROPERTY_MISS_PERCENTAGE%%%の確率でミスする。"
		"DOTA_Tooltip_modifier_tinker_rearm"						"Rearm"
		"DOTA_Tooltip_modifier_tinker_rearm_Description"			"アビリティのクールダウンをリセットしている。"
		//SNIPER
		"DOTA_Tooltip_ability_sniper_shrapnel"											"Shrapnel"
		"DOTA_Tooltip_ability_sniper_shrapnel_radius"									"範囲:"
		"DOTA_Tooltip_ability_sniper_shrapnel_duration"									"持続時間："
		"DOTA_Tooltip_ability_sniper_shrapnel_shrapnel_damage"							"ダメージ:"
		"DOTA_Tooltip_ability_sniper_headshot"											"Headshot"
		"DOTA_Tooltip_ability_sniper_headshot_proc_chance"								"%確率:"
		"DOTA_Tooltip_ability_sniper_take_aim"											"Take Aim"
		"DOTA_Tooltip_ability_sniper_take_aim_bonus_attack_range"						"ボーナス射程:"
		"DOTA_Tooltip_ability_sniper_assassinate"										"Assassinate"
		"DOTA_Tooltip_modifier_sniper_shrapnel_charge_counter"	"Shrapnel チャージ"
		"DOTA_Tooltip_modifier_sniper_shrapnel_slow"				"Shrapnel Slow"
		"DOTA_Tooltip_modifier_sniper_shrapnel_slow_Description"		"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下する。"	
		"DOTA_Tooltip_modifier_sniper_assassinate"					"Assassinate"
		"DOTA_Tooltip_modifier_sniper_assassinate_Description"		"Sniperがあなたの頭を狙っている！"
		"DOTA_Tooltip_modifier_sniper_headshot_slow"		"Headshot 停止"
		"DOTA_Tooltip_modifier_sniper_headshot_slow_Description" "Sniper のヘッドショットで足止めされた！"
		//NECROLYTE
		"DOTA_Tooltip_ability_necrolyte_death_pulse"									"Death Pulse"
		"DOTA_Tooltip_ability_necrolyte_death_pulse_Lore"								"Rotund'jereの疫病に苦しむ哀れな魂は、将来のためにリサイクルされる。"
		"DOTA_Tooltip_ability_necrolyte_death_pulse_Note0"								"Death Pulse は分離できない。"
		"DOTA_Tooltip_ability_necrolyte_death_pulse_area_of_effect"						"範囲:"
		"DOTA_Tooltip_ability_necrolyte_death_pulse_heal"								"回復:"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura"								"Heartstopper Aura"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_Lore"							"Necrophos の間近に来れば、空気中の疫病を感じられる。"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_Note0"						"Blink Dagger のようにダメージが無効化されることはない。"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_Note1"						"エンシェントクリープには影響しない。"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_aura_radius"					"範囲:"
		"DOTA_Tooltip_ability_necrolyte_heartstopper_aura_aura_damage"					"%HEALTH DECAY:"
		"DOTA_Tooltip_ability_necrolyte_sadist"											"Ghost Shroud"
		"DOTA_Tooltip_ability_necrolyte_sadist_Description"								"死と生を分ける領域に入り込み、攻撃することもされることもできなくなる。周囲の敵を減速させるオーラを放つ。この状態では追加の魔法ダメージを受けるが、回復力は増幅されている。"
		"DOTA_Tooltip_ability_necrolyte_sadist_Lore"									"Rotund'jere はこの世からあの世への橋渡しとして犠牲者の魂を使う。"
		"DOTA_Tooltip_ability_necrolyte_sadist_duration"								"持続時間:"
		"DOTA_Tooltip_ability_necrolyte_sadist_heal_bonus"							    "%自然回復増幅:"
		"DOTA_Tooltip_ability_necrolyte_sadist_movement_speed"							"%移動減速:"
		"DOTA_Tooltip_ability_necrolyte_sadist_slow_aoe"							    "減速範囲:"
		"DOTA_Tooltip_ability_necrolyte_sadist_bonus_damage"							"%魔法ダメージ上昇:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe"									"Reaper's Scythe"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_Lore"							"大気中の死と犠牲が Necrophos の疫病魔法を増幅させる。"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_Note0"							"スタン終了時にダメージを与える。"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_damage_per_health"				"失っているHPごとのダメージ:"
		"DOTA_Tooltip_ability_necrolyte_reapers_scythe_stun_duration"					"スタン持続時間："
		"DOTA_Tooltip_modifier_necrolyte_death_pulse_counter"				"Death Pulse"
		"DOTA_Tooltip_modifier_necrolyte_death_pulse_counter_Description"		"毎秒ごとにヘルスを%dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% とマナを %dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%自然回復する。"
		"DOTA_Tooltip_modifier_necrolyte_sadist_active"						"Ghost Shroud"
		"DOTA_Tooltip_modifier_necrolyte_sadist_active_Description"			"周囲の敵を減速させる。受ける魔法ダメージが増えるものの、自身の回復を増幅する。"
		"DOTA_Tooltip_modifier_necrolyte_sadist_aura_effect"				"Ghost Shroud"
		"DOTA_Tooltip_modifier_necrolyte_sadist_aura_effect_Description"	"Necrophos の Ghost Shroud によって %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 減速されている。"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura" 		"Heartstopper オーラ"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_effect"	"Heartstopper Aura"
		"DOTA_Tooltip_modifier_necrolyte_heartstopper_aura_effect_Description" "Necrophos の近くにいるとHPの一定割合を毎秒失う。"
		"DOTA_Tooltip_ability_slardar_sprint_duration"									"持続時間："		
		"DOTA_Tooltip_ability_slardar_slithereen_crush"									"Slithereen Crush"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_Lore"							"エネルギーと水を素早く叩きつけて、最も強固な防御さえも破壊する。"
		"DOTA_Tooltip_ability_slardar_slithereen_crush_stun_duration"					"スタン持続時間："
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_extra_slow"				"%移動減速："
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_extra_slow_duration"		"減速持続時間："
		"DOTA_Tooltip_ability_slardar_slithereen_crush_crush_radius"					"範囲:"
		"DOTA_Tooltip_ability_slardar_bash"												"Bash of the Deep"
		"DOTA_Tooltip_ability_slardar_bash_Lore"										"Deep Ones の財宝を盗もうとする者は、近接戦で Slithereen Guard の残忍さを目の当たりにする。"
		"DOTA_Tooltip_ability_slardar_bash_bonus_damage"								"ボーナスダメージ:"
		"DOTA_Tooltip_ability_slardar_amplify_damage_armor_reduction"					"アーマー低下:"
		"DOTA_Tooltip_ability_slardar_amplify_damage_duration"							"持続時間："
		"DOTA_Tooltip_modifier_slardar_amplify_damage_Description"		"アーマーが%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%低下する。\nSlardarにTrue Sightを与える。"
		"DOTA_Tooltip_modifier_slithereen_crush"					"Slithereen Crush"
		//BEASTMASTER
		"DOTA_Tooltip_ability_beastmaster_wild_axes"									"Wild Axes"
		"DOTA_Tooltip_ability_beastmaster_wild_axes_Lore"								"1人で自然に溶け込む術を身に付ける間、彼は2本のトマホークを使い、木々や敵を切りつける方法も学んだ。"
		"DOTA_Tooltip_ability_beastmaster_call_of_the_wild_hawk_duration"				"召喚の持続時間："
		"DOTA_Tooltip_ability_beastmaster_inner_beast"									"Inner Beast"
		"DOTA_Tooltip_ability_beastmaster_inner_beast_Lore"								"動物達の生まれながらの力を引き出すことができる Beastmaster の能力はSlom 王からの酷評にも見られた。"
		"DOTA_Tooltip_ability_beastmaster_inner_beast_radius"							"範囲:"
		"DOTA_Tooltip_ability_beastmaster_inner_beast_bonus_attack_speed"				"ボーナス攻撃速度："

		"DOTA_Tooltip_ability_beastmaster_primal_roar"									"Primal Roar"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_Lore"								"原始的本能を野獣のような咆哮に込め、敵の隊列に打撃を与える。"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_duration"							"スタン持続時間："
		"DOTA_Tooltip_ability_beastmaster_primal_roar_damage"							"ダメージ:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_duration"					"減速持続時間："
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_movement_speed_pct"			"%移動減速:"
		"DOTA_Tooltip_ability_beastmaster_primal_roar_slow_attack_speed_pct"			"攻撃減速："
		"DOTA_Tooltip_ability_beastmaster_hawk_invisibility"							"Invisibility"
		"DOTA_Tooltip_ability_beastmaster_hawk_invisibility_fade_tooltip"				"透明化にかかる時間:"
		"DOTA_Tooltip_ability_beastmaster_boar_poison"									"Poison"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_Description"						"毒を与え、攻撃速度と移動速度を低下させる。"
		"DOTA_Tooltip_ability_beastmaster_boar_poison_attack_speed"						"攻撃減速："
		"DOTA_Tooltip_ability_beastmaster_boar_poison_movement_speed"					"%移動減速："
		"DOTA_Tooltip_ability_beastmaster_boar_poison_duration"							"持続時間："		
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison"							"Poison"
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_Description"				"毒を与え、攻撃速度と移動速度を低下させる。"
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_attack_speed"				"攻撃減速："
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_movement_speed"			"%移動減速："
		"DOTA_Tooltip_ability_beastmaster_greater_boar_poison_duration"					"持続時間："

		"DOTA_Tooltip_modifier_beastmaster_inner_beast"						"Inner Beast"
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_slow"				"Primal Roar Slow"
		"DOTA_Tooltip_modifier_beastmaster_primal_roar_slow_Description"	"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下し、攻撃速度が%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%低下する。"
		"DOTA_Tooltip_modifier_beastmaster_hawk_invisibility"				"Invisibility"
		"DOTA_Tooltip_modifier_beastmaster_hawk_invisibility_Description"	"敵から見えなくなる。"
		"DOTA_Tooltip_modifier_beastmaster_boar_poison_effect"				"Boar Poison"
		"DOTA_Tooltip_modifier_beastmaster_boar_poison_effect_Description"	"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下し、攻撃速度が%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%低下する。"
		"DOTA_Tooltip_ability_venomancer_venomous_gale"									"Venomous Gale"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_Description"						"毒の球を前方に発射し、敵ユニットを毒に冒して初期ダメージとDoTを与え、移動速度を低下させる。Venomous Galeは効果時間中、3秒おきにダメージを与える。"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_duration"						"持続時間："
		"DOTA_Tooltip_ability_venomancer_venomous_gale_strike_damage"					"初期ダメージ:"
		"DOTA_Tooltip_ability_venomancer_venomous_gale_movement_slow"					"%減速："
		"DOTA_Tooltip_ability_venomancer_poison_sting"									"Poison Sting"
		"DOTA_Tooltip_ability_venomancer_poison_sting_duration"							"持続時間："
		"DOTA_Tooltip_ability_venomancer_poison_sting_damage"							"ダメージ／秒："
		"DOTA_Tooltip_ability_venomancer_poison_sting_movement_speed"					"%減速："
		"DOTA_Tooltip_ability_venomancer_plague_ward"									"Plague Ward"
		"DOTA_Tooltip_ability_venomancer_plague_ward_duration"							"持続時間："
		"DOTA_Tooltip_ability_venomancer_plague_ward_ward_hp_tooltip"					"WARD HP："
		"DOTA_Tooltip_ability_venomancer_plague_ward_ward_damage_tooltip"				"WARD ダメージ:"
		"DOTA_Tooltip_ability_venomancer_poison_nova"									"Poison Nova"
		"DOTA_Tooltip_ability_venomancer_poison_nova_radius"							"範囲:"
		"DOTA_Tooltip_ability_venomancer_poison_nova_duration"							"持続時間："
		"DOTA_Tooltip_modifier_venomancer_venomous_gale"					"Venomous Gale"
		"DOTA_Tooltip_modifier_venomancer_venomous_gale_Description"		"移動速度が低下し、3秒ごとに%dMODIFIER_PROPERTY_TOOLTIP%ダメージを受ける。"
		"DOTA_Tooltip_modifier_venomancer_poison_sting"						"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_fake"				"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_sting_ward"				"Poison Sting"
		"DOTA_Tooltip_modifier_venomancer_poison_nova"						"Poison Nova"
		"DOTA_Tooltip_modifier_venomancer_poison_nova_Description"			"毎秒%dMODIFIER_PROPERTY_TOOLTIP%ダメージを受ける。"

		//FACELESS VOID
		"DOTA_Tooltip_ability_faceless_void_time_walk"									"Time Walk"
		"DOTA_Tooltip_ability_faceless_void_time_walk_Description"						"指定した地点へ突撃し、過去 %backtrack_duration% 秒間に受けたダメージを無かったことにする。"
		"DOTA_Tooltip_ability_faceless_void_time_walk_Lore"								"時空に亀裂を発生させ、Claszureme を通り抜け、一瞬の内に再び現れる。"
		"DOTA_Tooltip_ability_faceless_void_time_walk_Note0"							"Time Walk　使用中は無敵状態となる。"
		"DOTA_Tooltip_ability_faceless_void_time_walk_range"					        "範囲:"
		"DOTA_Tooltip_ability_faceless_void_time_walk_backtrack_duration"				"BACKTRACK 持続時間:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation"								"Time Dilation"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_radius"					    "範囲:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_duration"					    "持続時間:"
		"DOTA_Tooltip_ability_faceless_void_time_dilation_slow"					        "クールダウン毎に%減速："
		"DOTA_Tooltip_ability_faceless_void_time_lock"									"Time Lock"
		"DOTA_Tooltip_ability_faceless_void_time_lock_Lore"								"その一撃は、次元変性力を押し付ける"
		"DOTA_Tooltip_ability_faceless_void_time_lock_Note1"							"Skull Basher とは重ならない。"
		"DOTA_Tooltip_ability_faceless_void_time_lock_chance_pct"						"%確率:"
		"DOTA_Tooltip_ability_faceless_void_time_lock_duration"							"持続時間："
		"DOTA_Tooltip_ability_faceless_void_time_lock_bonus_damage"						"ボーナスダメージ:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere"								"Chronosphere"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Lore"							"Claszureme への裂け目が現れるとき、捕らえられた哀れな魂が戻ってくることは無い。"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Note0"							"Faceless Void によって支配されていない全てのユニットと建造物を、敵味方に関わらず停止状態にする。"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_Note1"							"他者によって操られたChronospheres によって Faceless Void が影響を受けることは無い。"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_radius"						"範囲:"
		"DOTA_Tooltip_ability_faceless_void_chronosphere_duration"						"持続時間："
		"DOTA_Tooltip_modifier_faceless_void_time_walk_slow"					"Time Walk Slow"
		"DOTA_Tooltip_modifier_faceless_void_time_walk_slow_Description"		"移動速度が%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下する。"
		"DOTA_Tooltip_modifier_faceless_void_time_dilation_slow"				"Time Dilation 減速"
		"DOTA_Tooltip_modifier_faceless_void_time_dilation_Description"		    "移動速度が %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%、攻撃速度が %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% 減少する。"
		"DOTA_Tooltip_modifier_faceless_void_timelock_freeze"					"Time Lock"
		"DOTA_Tooltip_modifier_faceless_void_timelock_freeze_Description"		"Faceless Voidによって時間を止められている！"
		"DOTA_Tooltip_modifier_faceless_void_chronosphere_freeze"				"Chronosphere"
		"DOTA_Tooltip_modifier_faceless_void_chronosphere_freeze_Description"	"時空に捕らえられている。移動も行動もできない。"
	
		//DEATH PROPHET
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm"								"Crypt Swarm"
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Description"					"有翼獣の群れを送り、前方の敵ユニットを破壊する。"
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Lore"							"何度も墓場に足を運んだことにより、忌まわしき集団を集めた。"
		"DOTA_Tooltip_ability_death_prophet_carrion_swarm_Note0"						"最大で半径1110 内のユニットを攻撃できる。"
		"DOTA_Tooltip_ability_death_prophet_silence"									"Silence"
		"DOTA_Tooltip_ability_death_prophet_silence_Lore"								"敵の死のベールを覗き込み、静かな未来を見すえる。"
		"DOTA_Tooltip_ability_death_prophet_silence_Note0"								"アイテムの使用は阻まない。"
		"DOTA_Tooltip_ability_death_prophet_silence_radius"								"範囲:"
		"DOTA_Tooltip_ability_death_prophet_silence_duration"							"持続時間："
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon"								"Spirit Siphon"
		"DOTA_Tooltip_ability_death_prophet_spirit_siphon_Note0"                        "一つのターゲットには同時に複数回キャストできない。"
		//"DOTA_Tooltip_ability_death_prophet_spirit_siphon_movement_steal"                "%SPEED STEAL:"
	    "DOTA_Tooltip_ability_death_prophet_spirit_siphon_haunt_duration"                "持続時間:"
		"DOTA_Tooltip_ability_death_prophet_exorcism"									"Exorcism"
		"DOTA_Tooltip_ability_death_prophet_exorcism_Lore"								"前世のバンシーの残党が、現世を悩ませるために時間をかけて帰ってくる。"
		"DOTA_Tooltip_ability_death_prophet_exorcism_Note0"								"範囲は、精霊がDeath Prophet の周りで標的を得られるエリアを表す。"
		"DOTA_Tooltip_ability_death_prophet_exorcism_Note1"								"精霊のダメージはダメージブロックアビリティでは減少しない。"
		"DOTA_Tooltip_ability_death_prophet_exorcism_radius"							"範囲:"
		"DOTA_Tooltip_ability_death_prophet_exorcism_spirits"							"精霊の数："
		"DOTA_Tooltip_ability_death_prophet_exorcism_heal_percent"						"%ライフ流出："
		"DOTA_Tooltip_ability_death_prophet_exorcism_average_damage"					"精霊のダメージ："
		"DOTA_Tooltip_modifier_death_prophet_exorcism"					                "Exorcism"
		//PUGNA
		"DOTA_Tooltip_ability_pugna_nether_blast"										"Nether Blast"
		"DOTA_Tooltip_ability_pugna_nether_blast_Description"							"爆発する波動が範囲内の敵と建造物にダメージを与える。建造物には半分のダメージを与える。"
		"DOTA_Tooltip_ability_pugna_nether_blast_Lore"									"Arts of Oblivion の一つとしてNether Reaches からの耳をつんざくようなエメラルドの爆発があげられる。"
		"DOTA_Tooltip_ability_pugna_nether_blast_radius"								"範囲:"
		"DOTA_Tooltip_ability_pugna_nether_blast_delay"									"BLAST 遅延："
		"DOTA_Tooltip_ability_pugna_decrepify"											"Decrepify"
		"DOTA_Tooltip_ability_pugna_decrepify_Lore"										"幼少期からの名残として、Pugna　は善悪に関わらず、また理由もなく他者を Nether Realm に追いやることに喜びを見つける。"
		"DOTA_Tooltip_ability_pugna_decrepify_Note0"									"魔法ダメージあるいはピュアダメージだけがDecrepify の影響下にあるユニットに影響する。"
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_spell_damage_pct"					"%敵魔法ダメージ上昇："
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_spell_damage_pct_allies"			"%味方の魔法ダメージ上昇："
		"DOTA_Tooltip_ability_pugna_decrepify_bonus_movement_speed"						"%敵の移動減速:"
		"DOTA_Tooltip_ability_pugna_nether_ward"										"Nether Ward"
		"DOTA_Tooltip_ability_pugna_nether_ward_Lore"									"Arts of Oblivion の寺で、 Pugna はNether 魔法でみなぎらせたワードを使ってクラスメイトの優位に立つことを学んだ。"
		"DOTA_Tooltip_ability_pugna_nether_ward_Note0"									"Nether Ward は実際のスペルがキャストされる前にダメージを与えるため、キャスターが死んだ場合にはそのスペルは無効となる。"
		"DOTA_Tooltip_ability_pugna_nether_ward_Note1"									"Nether Ward を衰えさせることは可能だ。"
		"DOTA_Tooltip_ability_pugna_nether_ward_radius"									"ワードの攻撃範囲:"
		"DOTA_Tooltip_ability_pugna_nether_ward_mana_multiplier"						"マナ毎のダメージ:"
		"DOTA_Tooltip_ability_pugna_life_drain"											"Life Drain"
		"DOTA_Tooltip_ability_pugna_life_drain_Lore"									"Pugna はOblivion の師範よりもはるかに 強くなった。"
		"DOTA_Tooltip_ability_pugna_life_drain_Note1"									"最初のダメージの作用によってイリュージョンは破壊される。"
		"DOTA_Tooltip_ability_pugna_life_drain_health_drain"							"毎秒の流出："
		"DOTA_Tooltip_modifier_pugna_decrepify"							"Decrepify"
		"DOTA_Tooltip_modifier_pugna_decrepify_Description"				"移動速度が %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 減少し、魔法ダメージが%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%%上昇する。"
		"DOTA_Tooltip_modifier_pugna_nether_ward_aura"					"Nether Ward"
		"DOTA_Tooltip_modifier_pugna_life_drain"						"Life Drain"
		"DOTA_Tooltip_modifier_pugna_life_drain_Description"			"ライフを吸収する。"

		//TEMPLAR ASSASSIN
		"DOTA_Tooltip_ability_templar_assassin_refraction"								"Refraction"
		"DOTA_Tooltip_ability_templar_assassin_refraction_instances"					"回数："
		"DOTA_Tooltip_ability_templar_assassin_refraction_bonus_damage"					"ボーナスダメージ:"
		"DOTA_Tooltip_ability_templar_assassin_refraction_duration"						"持続時間："
		"DOTA_Tooltip_ability_templar_assassin_meld"									"Meld"
		"DOTA_Tooltip_ability_templar_assassin_meld_bonus_damage"						"ボーナスダメージ:"
		"DOTA_Tooltip_ability_templar_assassin_meld_bonus_armor"						"アーマー低下:"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades"								"Psi Blades"
		"DOTA_Tooltip_ability_templar_assassin_psi_blades_bonus_attack_range"			"ボーナス攻撃範囲:"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap"							"Psionic Trap"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_max_traps"					"最大罠数:"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_trap_duration_tooltip"					"減速持続時間："
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_movement_speed_min"					"%最小移動減速:"
		"DOTA_Tooltip_ability_templar_assassin_psionic_trap_movement_speed_max"					"%最大移動減速:"
		"DOTA_Tooltip_ability_templar_assassin_trap"									"Trap"
		"DOTA_Tooltip_ability_templar_assassin_trap_Description"						"最も近くにあるトラップを発動し、周囲の敵の移動速度を低下させる。"
		"DOTA_Tooltip_ability_templar_assassin_self_trap"								"Trap"
		"DOTA_Tooltip_ability_templar_assassin_self_trap_Description"					"トラップを発動し、周囲の敵の移動速度を低下させる。"

        "DOTA_Tooltip_modifier_templar_assassin_refraction_damage"				"Refraction - ダメージ"
		"DOTA_Tooltip_modifier_templar_assassin_refraction_damage_Description"	"攻撃力が%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%上昇する。"
		"DOTA_Tooltip_modifier_templar_assassin_refraction_absorb"				"Refraction - 吸収"
		"DOTA_Tooltip_modifier_templar_assassin_refraction_absorb_Description"	"受けるダメージを吸収する。"
		"DOTA_Tooltip_modifier_templar_assassin_meld"							"Meld"
		"DOTA_Tooltip_modifier_templar_assassin_meld_Description"				"不可視状態となり、攻撃時にボーナスダメージが与えられる。"
		"DOTA_Tooltip_modifier_templar_assassin_meld_armor"						"Meld Armor Reduction"
		"DOTA_Tooltip_modifier_templar_assassin_meld_armor_Description"			"アーマーが%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%低下する。"
		"DOTA_Tooltip_modifier_templar_assassin_trap_slow"						"Trap"
		//VIPER
		"DOTA_Tooltip_ability_viper_poison_attack"										"Poison Attack"
		"DOTA_Tooltip_ability_viper_poison_attack_duration"								"持続時間："
		"DOTA_Tooltip_ability_viper_nethertoxin"										"Nethertoxin"
		"DOTA_Tooltip_ability_viper_corrosive_skin"										"Corrosive Skin"
		"DOTA_Tooltip_ability_viper_corrosive_skin_duration"							"持続時間："
		"DOTA_Tooltip_ability_viper_corrosive_skin_damage"								"ダメージ／秒："
		"DOTA_Tooltip_ability_viper_corrosive_skin_bonus_attack_speed"					"攻撃減速："
		"DOTA_Tooltip_ability_viper_corrosive_skin_bonus_magic_resistance"				"%魔法耐性："
		"DOTA_Tooltip_ability_viper_viper_strike"										"Viper Strike"
		"DOTA_Tooltip_ability_viper_viper_strike_duration"								"持続時間："
		"DOTA_Tooltip_ability_viper_viper_strike_damage"								"ダメージ／秒："
		"DOTA_Tooltip_ability_viper_viper_strike_bonus_movement_speed"					"%移動減速："
		"DOTA_Tooltip_ability_viper_viper_strike_bonus_attack_speed"					"攻撃減速："
		"DOTA_Tooltip_modifier_viper_poison_attack_slow"						"Poison Attack"
		"DOTA_Tooltip_modifier_viper_corrosive_skin_slow"						"Corrosive Skin Slow"
		"DOTA_Tooltip_modifier_viper_viper_strike_slow"							"Viper Strike Slow"
		"DOTA_Tooltip_modifier_viper_viper_strike_slow_Description"				"移動速度が%fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%低下し、攻撃速度が%fMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%低下する。"
		//LUNA
		"DOTA_Tooltip_ability_luna_lucent_beam"											"Lucent Beam"
		"DOTA_Tooltip_ability_luna_lucent_beam_Description"								"敵に、月のエネルギーを集中させた光線を照射し、短いスタンとダメージを与える。"
		"DOTA_Tooltip_ability_luna_lucent_beam_Lore"									"Selemene は Nightsilver の森への侵入者を攻撃する。"
		"DOTA_Tooltip_ability_luna_lucent_beam_stun_duration"							"スタン持続時間："
		"DOTA_Tooltip_ability_luna_moon_glaive_Lore"									"慎重に研ぎ澄まされたブーメランのような武器は、敵の間を通って広い範囲を切りつける。"
		"DOTA_Tooltip_ability_luna_moon_glaive_range"									"跳ねる範囲："
		"DOTA_Tooltip_ability_luna_moon_glaive_bounces"									"跳ねる回数:"
		"DOTA_Tooltip_ability_luna_moon_glaive_damage_reduction_percent"				"%跳ねる毎のダメージ低下:"
		"DOTA_Tooltip_ability_luna_lunar_blessing"										"Lunar Blessing"
		"DOTA_Tooltip_ability_luna_lunar_blessing_Lore"									"月の女神が血族に微笑みかける。"
		"DOTA_Tooltip_ability_luna_lunar_blessing_radius"								"範囲:"
		"DOTA_Tooltip_ability_luna_eclipse"												"Eclipse"
		"DOTA_Tooltip_ability_luna_eclipse_Lore"										"窮地の際には、Selemene 自身が世界に降り立ち、反対勢力の光と希望を遮断する。"
		"DOTA_Tooltip_ability_luna_eclipse_Note0"										"Lucent Beam にポイントが無い状態において Eclipse は発動しない。"
		"DOTA_Tooltip_ability_luna_eclipse_Note1"										"Luna が死ぬと Beam は止まる。"
