"lang"
{ 
	"Language" "schinese" 
	"Tokens" 
	{

		"DOTA_ItemOnSale"		"特价！"
		"Comp_223_PG_schedule4textcustom2_text"   "这可不是落水狗"
		"Comp_223_PG_schedule4textcustom3_text"   "Team Dog战队是最后才晋级到联赛中的战队之一，最近状态非常神勇。赢下了EG和Cloud 9这样的战队，Team Dog已经证明了他们并不只是5个开黑的好兄弟，而是有力的竞争者。"
		"Comp_223_PG_schedule4textcustom4_text"   "Liquid本周要证明很多事情。如今一场未胜，他们在本周还有四次机会。随着Brian 'FLUFFNSTUFF' Lee本周的离队，他们需要找到合适的人选帮助他们东山再起。"
		"Comp_223_PG_schedule4textcustom5_text"   "MYM则与Liquid相似，在联赛的前半赛季已经尽力了。现在他们基本上是无望出线参加线下决赛，但是他们将会证明自己能够进步，争取到下个赛季的名额。"
		"Comp_223_PG_schedule4textcustom6_text"   "Liquid在本周将进行4场比赛，MYM打3场，Cloud9,，Alliance，Rox.KIS和Fnatic打2场，VP，Dog和Sigma将进行1场。"
		"Comp_223_PG_schedule3textcustom2_text"   "无敌主宰"
		"Comp_223_PG_schedule3textcustom3_text"   "经过整整3周的比赛，Empire看样子势头无人能挡。本周即使是在面对Cloud 9和Fnatic这样的劲敌，感觉也是会是碾压节奏。"
		"Comp_223_PG_schedule3textcustom4_text"   "另一方面，Evil Geniuses现在则是战绩平平，但是周三他们3场比赛所面对的对手有不小的胜算（Rox.KIS，Team Dog和Virtus Pro），他们现在有机会向世人证明自己是大神还是菜鸡。而且他们不用依靠Fear。"
		"Comp_223_PG_schedule3textcustom5_text"   "这周也是短暂的一周，只有2天有比赛。对比下周则有4天的比赛日，所以到了下周的比赛结束后我们就能好好地松一口气，因为整个赛季即将过去大半。"
		"Comp_223_PG_schedule3textcustom6_text"   "Fnatic是本周其余战队中唯一会打1场以上的。"
		"Comp_223_PG_schedule2textcustom2_text"   "这里容不下失败"
		"Comp_223_PG_schedule2textcustom3_text"   "经过18场比赛后，比赛的局势分成了3个方面，部分战队已经遥遥领先，部分战队需要再赢比赛才能稳住阵脚，而部分战队需要摆脱落后的困境。"
		"Comp_223_PG_schedule2textcustom4_text"   "Cloud 9，本周已经打了3场比赛，在本周将有机会走向世界巅峰，但是他们将面对有可能拿到5胜的战队：Alliance。这比赛怎能错过！其他的竞争者：Empire只有一场比赛，而Na'Vi接下来要休息了。"
		"Comp_223_PG_schedule2textcustom5_text"   "Liquid和Dog正面交锋，Sigma和MYM也相互抗衡，都想取得自己的第一场胜利。本周Liquid只有一场比赛，而MYM和Dog都有三场，Sigma则有两场比赛。如果这周的比赛不打好，很有可能引发连锁反应，导致他们最终无法出线。"
		"Comp_223_PG_schedule2textcustom6_text"   "Rox.KIS，EG和VP本周分别有2场，1场以及1场比赛。"
		"Comp_223_PG_predictionstextcustom2_text"   "每周预测"
		"Comp_223_PG_predictionstextcustom3_text"   "未卜先知的感觉真好"
		"Comp_223_PG_predictionstextcustom5_text"   "目前得分总计："
		"Comp_223_PG_day021_match1selectionsselection1_description"   "谁将赢得比赛？"
		"Comp_223_PG_day021_match1selectionsselection1_choices_1"   "Navi"
		"Comp_223_PG_day021_match1selectionsselection1_choices_2"   "Dog"
		"Comp_223_PG_day021_match1selectionsselection3_description"   "哪位选手将囊获一血？"
		"Comp_223_PG_day021_match1selectionsselection3_choices_1"   "Na'vi - XBOCT"
		"Comp_223_PG_day021_match1selectionsselection3_choices_2"   "Na'vi - Dendi"
		"Comp_223_PG_day021_match1selectionsselection3_choices_3"   "Na'vi - Funn1k"
		"Comp_223_PG_day021_match1selectionsselection3_choices_4"   "Na'vi - Puppey"
		"Comp_223_PG_day021_match1selectionsselection3_choices_5"   "Na'vi - Kuroky"
		"Comp_223_PG_day021_match1selectionsselection3_choices_6"   "Team Dog - Pajkatt"
		"Comp_223_PG_day021_match1selectionsselection3_choices_7"   "Team Dog - Fata"
		"Comp_223_PG_day021_match1selectionsselection3_choices_8"   "Team Dog - MSS"
		"Comp_223_PG_day021_match1selectionsselection3_choices_9"   "Team Dog - Pas"
		"Comp_223_PG_day021_match1selectionsselection3_choices_10"   "Team Dog - Misery"
		"Comp_223_PG_day021_match1selectionsselection5_description"   "哪位选手最终的死亡次数将为最多？"
		"Comp_223_PG_day021_match2selectionsselection1_choices_1"   "Sigma"
		"Comp_223_PG_day021_match2selectionsselection3_description"   "哪位选手将拿到最多的人头？"
		"Comp_223_PG_day021_match2selectionsselection3_choices_1"   "Fnatic - Era"
		"Comp_223_PG_day021_match2selectionsselection3_choices_2"   "Fnatic - H4nni"
		"Comp_223_PG_day021_match2selectionsselection3_choices_3"   "Fnatic - Trixi"
		"Comp_223_PG_day021_match2selectionsselection3_choices_4"   "Fnatic - N0tail"
		"Comp_223_PG_day021_match2selectionsselection3_choices_5"   "Fnatic - Fly"
		"Comp_223_PG_day021_match2selectionsselection3_choices_6"   "Sigma - Sockhska"
		"Comp_223_PG_day021_match2selectionsselection3_choices_7"   "Sigma - 中路选手（替补）"
		"Comp_223_PG_day021_match2selectionsselection3_choices_8"   "Sigma - miGGel"
		"Comp_223_PG_day021_match2selectionsselection3_choices_9"   "Sigma - 7ckngmad"
		"Comp_223_PG_day021_match2selectionsselection3_choices_10"   "Sigma - 二号辅助（替补）"
		"Comp_223_PG_day021_match2selectionsselection5_description"   "哪位选手最终的净资产将为最高？"
		"Comp_223_PG_day021_match3selectionsselection3_description"   "哪位选手将获得最多的助攻？"
		"Comp_223_PG_day021_match3selectionsselection3_choices_6"   "Alliance - Loda"
		"Comp_223_PG_day021_match3selectionsselection3_choices_7"   "Alliance - S4"
		"Comp_223_PG_day021_match3selectionsselection3_choices_8"   "Alliance - AdmiralBulldog"
		"Comp_223_PG_day021_match3selectionsselection3_choices_9"   "Alliance - Akke"
		"Comp_223_PG_day021_match3selectionsselection3_choices_10"   "Alliance - EGM"
		"Comp_223_PG_day021_match3selectionsselection5_description"   "H4nni将拿到多少个人头？"
		"Comp_223_PG_day021_match3selectionsselection5_choices_1"   "不大于3"
		"Comp_223_PG_day021_match3selectionsselection5_choices_2"   "4-6"
		"Comp_223_PG_day021_match3selectionsselection5_choices_3"   "7-9"
		"Comp_223_PG_day021_match3selectionsselection5_choices_4"   "10-12"
		"Comp_223_PG_day021_match3selectionsselection5_choices_5"   "不少于13"
		"Comp_223_PG_day22_match1selectionsselection3_description"   "哪位选手将送出第一滴血？"
		"Comp_223_PG_day22_match1selectionsselection3_choices_6"   "Rox.KIS - BZZisPerfect"
		"Comp_223_PG_day22_match1selectionsselection3_choices_7"   "Rox.KIS - Solo"
		"Comp_223_PG_day22_match1selectionsselection3_choices_8"   "Rox.KIS - Sedoy"
		"Comp_223_PG_day22_match1selectionsselection3_choices_9"   "Rox.KIS - yol"
		"Comp_223_PG_day22_match1selectionsselection3_choices_10"   "Rox.KIS - Goblak"
		"Comp_223_PG_day22_match1selectionsselection5_description"   "这场比赛中光之守卫将会被禁用或上场吗？"
		"Comp_223_PG_day22_match1selectionsselection5_choices_1"   "禁用"
		"Comp_223_PG_day22_match1selectionsselection5_choices_2"   "挑选"
		"Comp_223_PG_day22_match1selectionsselection5_choices_3"   "毫无提及"
		"Comp_223_PG_day22_match2selectionsselection1_choices_2"   "Empire"
		"Comp_223_PG_day22_match2selectionsselection3_description"   "哪位选手将拿到场上最后一个人头？"
		"Comp_223_PG_day22_match2selectionsselection3_choices_6"   "Empire - Silent"
		"Comp_223_PG_day22_match2selectionsselection3_choices_7"   "Empire - Resolut1on"
		"Comp_223_PG_day22_match2selectionsselection3_choices_8"   "Empire - Mag"
		"Comp_223_PG_day22_match2selectionsselection3_choices_9"   "Empire - Vanskor"
		"Comp_223_PG_day22_match2selectionsselection3_choices_10"   "Empire - ALWAYSWANNAFLY"
		"Comp_223_PG_day22_match2selectionsselection5_description"   "场上最高的连杀纪录将达到多少连杀？"
		"Comp_223_PG_day22_match2selectionsselection5_choices_1"   "大杀特杀（3）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_2"   "主宰比赛（4）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_3"   "杀人如麻（5）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_4"   "无人能挡（6）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_5"   "变态杀戮（7）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_6"   "妖怪般的杀戮（8）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_7"   "如同神一般（9）"
		"Comp_223_PG_day22_match2selectionsselection5_choices_8"   "超越神的杀戮（10+）"
		"Comp_223_PG_day22_match3selectionsselection3_description"   "哪位选手的死亡次数将会是最高的？"
		"Comp_223_PG_day22_match3selectionsselection5_description"   "哪位选手将最先达到20个补刀？"
		"Comp_223_PG_day23_match1selectionsselection3_description"   "哪位选手最终的每分钟金钱最高？"
		"Comp_223_PG_day23_match1selectionsselection3_choices_6"   "Cloud 9 - EternalEnvy"
		"Comp_223_PG_day23_match1selectionsselection3_choices_7"   "Cloud 9 - Singsing"
		"Comp_223_PG_day23_match1selectionsselection3_choices_8"   "Cloud 9 - Bone7"
		"Comp_223_PG_day23_match1selectionsselection3_choices_9"   "Cloud 9 - Aui_2000"
		"Comp_223_PG_day23_match1selectionsselection3_choices_10"   "Cloud 9 - PieLieDie"
		"Comp_223_PG_day23_match1selectionsselection5_description"   "肉山将被击杀几次？"
		"Comp_223_PG_day23_match1selectionsselection5_choices_1"   "0"
		"Comp_223_PG_day23_match1selectionsselection5_choices_2"   "1"
		"Comp_223_PG_day23_match1selectionsselection5_choices_3"   "2"
		"Comp_223_PG_day23_match1selectionsselection5_choices_4"   "3"
		"Comp_223_PG_day23_match1selectionsselection5_choices_5"   "4次以上"
		"Comp_223_PG_day23_match2selectionsselection3_description"   "哪位选手的最终每分钟经验将为最高？"
		"Comp_223_PG_day23_match2selectionsselection5_description"   "这场比赛中信使将被击杀多少次？"
		"Comp_223_PG_day23_match2selectionsselection5_choices_4"   "不少于3"
		"Comp_223_PG_day23_match3selectionsselection1_choices_1"   "VP"
		"Comp_223_PG_day23_match3selectionsselection1_choices_2"   "Na'vi"
		"Comp_223_PG_day23_match3selectionsselection3_description"   "哪位选手将是比赛中最后一个阵亡的？"
		"Comp_223_PG_day23_match3selectionsselection3_choices_1"   "VP - Illidan"
		"Comp_223_PG_day23_match3selectionsselection3_choices_2"   "VP - God"
		"Comp_223_PG_day23_match3selectionsselection3_choices_3"   "VP - Ars-Art"
		"Comp_223_PG_day23_match3selectionsselection3_choices_4"   "VP - JotM"
		"Comp_223_PG_day23_match3selectionsselection3_choices_5"   "VP - NS"
		"Comp_223_PG_day23_match3selectionsselection5_description"   "这场比赛的比赛时长将为多少？"
		"Comp_223_PG_day23_match3selectionsselection5_choices_1"   "少于30分钟"
		"Comp_223_PG_day23_match3selectionsselection5_choices_2"   "多于30分钟"
		"Comp_223_PG_day23_match3selectionsselection5_choices_3"   "正好30:00"
		"Comp_223_PG_day024_match1selectionsselection1_choices_1"   "MYM"
		"Comp_223_PG_day024_match1selectionsselection3_choices_1"   "MYM - Unicorn"
		"Comp_223_PG_day024_match1selectionsselection3_choices_2"   "MYM - Ryze"
		"Comp_223_PG_day024_match1selectionsselection3_choices_3"   "MYM - Ace"
		"Comp_223_PG_day024_match1selectionsselection3_choices_4"   "MYM - Cr1t"
		"Comp_223_PG_day024_match1selectionsselection3_choices_5"   "MYM - Link"
		"Comp_223_PG_day024_match3selectionsselection5_description"   "Era将拿到多少个人头？"
		"Comp_223_PG_day024_match5selectionsselection1_choices_1"   "EG"
		"Comp_223_PG_day024_match5selectionsselection3_choices_1"   "EG - Fear"
		"Comp_223_PG_day024_match5selectionsselection3_choices_2"   "EG - Arteezy"
		"Comp_223_PG_day024_match5selectionsselection3_choices_3"   "EG - Universe"
		"Comp_223_PG_day024_match5selectionsselection3_choices_4"   "EG - zai"
		"Comp_223_PG_day024_match5selectionsselection3_choices_5"   "EG - ppd"
		"Comp_223_PG_day024_match6selectionsselection5_description"   "Arteezy将获得多少个人头？"
		"Comp_223_PG_day25_match3selectionsselection1_choices_2"   "RoX.KIS"
		"Comp_223_PG_day018_match3selectionsselection1_choices_1"   "Liquid"
		"Comp_223_PG_day018_match3selectionsselection3_choices_1"   "EG - Mason"
		"Comp_223_PG_day018_match3selectionsselection3_choices_6"   "Liquid - TC"
		"Comp_223_PG_day018_match3selectionsselection3_choices_7"   "Liquid - Bulba"
		"Comp_223_PG_day018_match3selectionsselection3_choices_8"   "Liquid - Qojqva"
		"Comp_223_PG_day018_match3selectionsselection3_choices_9"   "Liquid - Demon"
		"Comp_223_PG_day018_match3selectionsselection3_choices_10"   "Liquid - waytosexy"
		"Comp_223_PG_day19_match1selectionsselection3_choices_3"   "Team Dog - Smulgullig（或替补）"
		"Comp_223_PG_day19_match1selectionsselection3_choices_4"   "Team Dog - Fogged（或替补）"
		"Comp_223_PG_day19_match1selectionsselection5_description"   "在这场比赛中冥魂大帝是否会被禁用或上场呢？"
		"Comp_223_PG_day19_match2selectionsselection3_choices_7"   "Sigma - FATA（或替补）"
		"Comp_223_PG_day19_match2selectionsselection3_choices_10"   "Sigma - Pas（或替补）"
		"Comp_223_PG_day20_match3selectionsselection1_choices_1"   "Cloud"
		"Comp_223_PG_day015_match2selectionsselection1_choices_2"   "DOG"
		"Comp_223_PG_day015_match2selectionsselection3_choices_3"   "Team Dog - Smulgullig"
		"Comp_223_PG_day015_match2selectionsselection3_choices_4"   "Team Dog - Fogged"
		"Comp_223_PG_day015_match2selectionsselection3_choices_7"   "Sigma - FATA"
		"Comp_223_PG_day015_match2selectionsselection3_choices_10"   "Sigma - Pas"
		"Comp_223_PG_day015_match3selectionsselection5_description"   "S4将拿到多少个人头？"
		"Comp_223_PG_day16_match1selectionsselection5_description"   "这场比赛中灰烬之灵会被禁用或上场吗？"
		"Comp_223_PG_day16_match2selectionsselection3_choices_7"   "MYM - Exist"
		"Comp_223_PG_day16_match2selectionsselection3_choices_10"   "MYM - Mini"
		"Comp_223_PG_day011_match1selectionsselection3_choices_7"   "Team Dog - Demon"
		"Comp_223_PG_day011_match3selectionsselection1_choices_2"   "Team Liquid"
		"Comp_223_PG_day011_match3selectionsselection3_choices_9"   "Liquid - FLUFFNSTUFF"
		"Comp_223_PG_day011_match3selectionsselection5_description"   "Bulba将会拿到多少个人头？"
		"Comp_223_PG_day12_match1selectionsselection5_description"   "在这场比赛中是否会禁用或挑选祈求者，还是完全没提及？"
		"Comp_223_PG_day15_match3selectionsselection3_choices_1"   "Sigma - Sockshka"
		"Comp_223_PG_day15_match3selectionsselection3_choices_5"   "Sigma - pas"
		"Comp_223_PG_day10_match1selectionsselection1resultinfo_dialog_info"   "Empire在31分钟内赢得了比赛"
		"Comp_223_PG_day10_match1selectionsselection3resultinfo_dialog_info"   "Fly拿下了比赛的第一滴血。"
		"Comp_223_PG_day10_match1selectionsselection5resultinfo_dialog_info"   "Trixi以8次死亡意外赢得此项"
		"Comp_223_PG_day10_match2selectionsselection1resultinfo_dialog_info"   "Cloud 9在33分整的时候拿下了比赛。"
		"Comp_223_PG_day10_match2selectionsselection3resultinfo_dialog_info"   "Envy拿到了10个人头。"
		"Comp_223_PG_day10_match2selectionsselection5resultinfo_dialog_info"   "Envy又一次每分钟金钱数达到了792。"
		"Comp_223_PG_day10_match3selectionsselection5_description"   "Loda总共将拿到多少个人头？"
		"Comp_223_PG_day11_match1selectionsselection1resultinfo_dialog_info"   "EG在40分钟后赢得了比赛。"
		"Comp_223_PG_day11_match1selectionsselection3resultinfo_dialog_info"   "NS是比赛中首位挂掉的选手。"
		"Comp_223_PG_day11_match1selectionsselection5_description"   "在这场比赛中是否会禁用或挑选维萨吉，还是完全没提及？"
		"Comp_223_PG_day11_match1selectionsselection5resultinfo_dialog_info"   "本场比赛中维萨吉被EG挑选了。"
		"Comp_223_PG_day11_match2selectionsselection1resultinfo_dialog_info"   "汪汪！"
		"Comp_223_PG_day11_match2selectionsselection3resultinfo_dialog_info"   "Fogged走了狗屎运"
		"Comp_223_PG_day11_match2selectionsselection5resultinfo_dialog_info"   "出人意料的是没人超过主宰比赛。"
		"Comp_223_PG_day11_match3selectionsselection1resultinfo_dialog_info"   "EG在不到25分钟的时间内打败了Rox.KIS。"
		"Comp_223_PG_day11_match3selectionsselection3resultinfo_dialog_info"   "Yol的死亡次数达到了4次。"
		"Comp_223_PG_day11_match3selectionsselection5resultinfo_dialog_info"   "Mason做到了，不过他不在选项中，接下来达到20个补刀的是Universe。"
		"Comp_223_PG_day7_match1selectionsselection1resultinfo_dialog_info"   "经过读档重赛后，Rox.KIS在接近50分钟时打败了Sigma"
		"Comp_223_PG_day7_match1selectionsselection3resultinfo_dialog_info"   "7ckngmad在上路击杀了yol，拿到了第一滴血。"
		"Comp_223_PG_day7_match1selectionsselection5resultinfo_dialog_info"   "yol的死亡次数最多，达到7次。"
		"Comp_223_PG_day7_match2selectionsselection1resultinfo_dialog_info"   "Empire在26:26赢得了比赛。"
		"Comp_223_PG_day7_match2selectionsselection3resultinfo_dialog_info"   "Silent拿到了最多人头，8个。"
		"Comp_223_PG_day7_match2selectionsselection5resultinfo_dialog_info"   "Silent获得了最高的每分钟金钱，610。"
		"Comp_223_PG_day7_match3selectionsselection1resultinfo_dialog_info"   "Team Dog在34分钟时赢得比赛。"
		"Comp_223_PG_day7_match3selectionsselection3resultinfo_dialog_info"   "Smulgullig获得了10个助攻。MSS和Pajkatt也是10个，但是三人中Smulgullig更接近于核心。"
		"Comp_223_PG_day7_match3selectionsselection5_description"   "EE Sama将会拿到多少人头？"
		"Comp_223_PG_day7_match3selectionsselection5resultinfo_dialog_info"   "Envy大发慈悲，只拿了2个人头。"
		"Comp_223_PG_day8_match1selectionsselection1resultinfo_dialog_info"   "C9在28分钟时赢得比赛。"
		"Comp_223_PG_day8_match1selectionsselection3resultinfo_dialog_info"   "Envy-sama送出了一血！"
		"Comp_223_PG_day8_match1selectionsselection5resultinfo_dialog_info"   "Visage在第一轮就被禁用。"
		"Comp_223_PG_day8_match2selectionsselection1resultinfo_dialog_info"   "EG在53分钟时赢得比赛。"
		"Comp_223_PG_day8_match2selectionsselection3resultinfo_dialog_info"   "Universe拿到了最后一个人头。"
		"Comp_223_PG_day8_match2selectionsselection5resultinfo_dialog_info"   "变态杀戮。"
		"Comp_223_PG_day8_match3selectionsselection1resultinfo_dialog_info"   "Cloud9在40:48时打败Alliance。"
		"Comp_223_PG_day8_match3selectionsselection3resultinfo_dialog_info"   "s4的死亡次数为10次。"
		"Comp_223_PG_day8_match3selectionsselection5resultinfo_dialog_info"   "Singsing做到了！"
		"Comp_223_PG_day9_match1selectionsselection1resultinfo_dialog_info"   "Rox.Kis在53分钟时击败了MYM。"
		"Comp_223_PG_day9_match1selectionsselection3resultinfo_dialog_info"   "BZZ (633) 的每分钟金钱为792。"
		"Comp_223_PG_day9_match1selectionsselection5resultinfo_dialog_info"   "肉山被杀了4次。"
		"Comp_223_PG_day9_match2selectionsselection1resultinfo_dialog_info"   "狗狗队在24:20时赢得比赛。"
		"Comp_223_PG_day9_match2selectionsselection3resultinfo_dialog_info"   "Pajkatt最终的每分钟经验达到508。"
		"Comp_223_PG_day9_match2selectionsselection5resultinfo_dialog_info"   "这场比赛中没有信使遭到杀害。"
		"Comp_223_PG_day9_match3selectionsselection1resultinfo_dialog_info"   "Sigma在65分12秒时拿下比赛。"
		"Comp_223_PG_day9_match3selectionsselection3resultinfo_dialog_info"   "Exist拿到了比赛中最后一个人头。"
		"Comp_223_PG_day5_match1selectionsselection1resultinfo_dialog_info"   "VP在短短26分钟内就拿下了对手。"
		"Comp_223_PG_day5_match1selectionsselection3resultinfo_dialog_info"   "既然问题是最后一个人头，而且并不需要发生在打出GG前，所以是Era在游戏结束前1秒击杀了Illidan。"
		"Comp_223_PG_day5_match1selectionsselection5_description"   "哪位选手最终的助攻数最多？"
		"Comp_223_PG_day5_match1selectionsselection5resultinfo_dialog_info"   "Jotm的助攻数最多，达到8个。"
		"Comp_223_PG_day5_match2selectionsselection1resultinfo_dialog_info"   "Alliance在21分钟内几乎将liquid完全碾压了。"
		"Comp_223_PG_day5_match2selectionsselection3_description"   "比赛中最高的每分钟经验（GPM）将是？"
		"Comp_223_PG_day5_match2selectionsselection3_choices_1"   "低于399"
		"Comp_223_PG_day5_match2selectionsselection3_choices_2"   "400至499"
		"Comp_223_PG_day5_match2selectionsselection3_choices_3"   "500至599"
		"Comp_223_PG_day5_match2selectionsselection3_choices_4"   "600至699"
		"Comp_223_PG_day5_match2selectionsselection3_choices_5"   "700至799"
		"Comp_223_PG_day5_match2selectionsselection3_choices_6"   "高于800"
		"Comp_223_PG_day5_match2selectionsselection3resultinfo_dialog_info"   "S4在这场比赛中的GPM为578，"
		"Comp_223_PG_day5_match2selectionsselection5_description"   "哪位选手最终的每分钟经验将位列第一？"
		"Comp_223_PG_day5_match2selectionsselection5resultinfo_dialog_info"   "S4以523的每分钟经验位列第一"
		"Comp_223_PG_day5_match3selectionsselection1resultinfo_dialog_info"   "Fnatic落后了1万金钱后在49分钟时完成了翻盘。"
		"Comp_223_PG_day5_match3selectionsselection3_description"   "比赛中人头最多的选手获得人头是多少？"
		"Comp_223_PG_day5_match3selectionsselection3_choices_1"   "低于4"
		"Comp_223_PG_day5_match3selectionsselection3_choices_2"   "5至7"
		"Comp_223_PG_day5_match3selectionsselection3_choices_3"   "8至10"
		"Comp_223_PG_day5_match3selectionsselection3_choices_4"   "11至13"
		"Comp_223_PG_day5_match3selectionsselection3_choices_5"   "14至16"
		"Comp_223_PG_day5_match3selectionsselection3_choices_6"   "高于17"
		"Comp_223_PG_day5_match3selectionsselection3resultinfo_dialog_info"   "3名英雄都有11个人头"
		"Comp_223_PG_day5_match3selectionsselection5_description"   "哪位选手最终的补刀数将位列第一？"
		"Comp_223_PG_day5_match3selectionsselection5resultinfo_dialog_info"   "TC的露娜达到了425的补刀数。"
		"Comp_223_PG_day6_match1selectionsselection1resultinfo_dialog_info"   "EG经历约40分钟后拿下了比赛。"
		"Comp_223_PG_day6_match1selectionsselection3_description"   "哪位选手将摧毁第一座防御塔？"
		"Comp_223_PG_day6_match1selectionsselection3_choices_11"   "无人做到"
		"Comp_223_PG_day6_match1selectionsselection3resultinfo_dialog_info"   "第一座防御塔是小兵拿下的。大家都输了。下次我在选项里加上“小兵”。"
		"Comp_223_PG_day6_match1selectionsselection5_description"   "哪位选手最终的每分钟金钱最少？"
		"Comp_223_PG_day6_match1selectionsselection5resultinfo_dialog_info"   "Pas的每分钟金钱仅有190。"
		"Comp_223_PG_day6_match2selectionsselection1resultinfo_dialog_info"   "Cloud 9在这北美内战中42分钟内就拿下了比赛。"
		"Comp_223_PG_day6_match2selectionsselection3_description"   "输的一方打出GG时他们被摧毁了几座兵营呢？"
		"Comp_223_PG_day6_match2selectionsselection3_choices_5"   "4"
		"Comp_223_PG_day6_match2selectionsselection3_choices_6"   "5"
		"Comp_223_PG_day6_match2selectionsselection3_choices_7"   "6"
		"Comp_223_PG_day6_match2selectionsselection3resultinfo_dialog_info"   "打出GG时上下路兵营都未被摧毁。"
		"Comp_223_PG_day6_match2selectionsselection5resultinfo_dialog_info"   "Eternal Envy在被击杀之前已经连杀了8人（在死后的半秒不到又击杀了第九人）。"
		"Comp_223_PG_day6_match3selectionsselection1resultinfo_dialog_info"   "Empire在18分钟内就势如破竹，拿下比赛。"
		"Comp_223_PG_day6_match3selectionsselection3_description"   "哪位选手的补刀数将最先达到20个？"
		"Comp_223_PG_day6_match3selectionsselection3resultinfo_dialog_info"   "Illidan在3:38时补刀数达到20。"
		"Comp_223_PG_day6_match3selectionsselection5_description"   "肉山将会被击杀几次？"
		"Comp_223_PG_day6_match3selectionsselection5_choices_5"   "超过4次"
		"Comp_223_PG_day6_match3selectionsselection5resultinfo_dialog_info"   "比赛中只有Empire击杀了一次肉山。"
		"Comp_223_PG_day6_match3selectionsselection6_description"   "测试"
		"Comp_223_PG_highlightstextcustom2_text"   "高能视频"
		"Comp_223_PG_highlightstextcustom3_text"   "还有些没那么精彩的"
		"Comp_223_PG_mad_interviewtextcustom1_text"   "Sigma.7ckngmad采访视频"
		"Comp_223_PG_aui_interviewtextcustom1_text"   "C9.Aui_2000采访视频"
		"Comp_223_PG_misery_interviewtextcustom1_text"   "Dog.Misery采访视频"
		"Comp_223_PG_mag_interviewtextcustom1_text"   "Empire.Mag采访视频"
		"Comp_223_PG_pyrion_interviewtextcustom1_text"   "Pyrion Flax采访视频"
		"Comp_223_PG_tc_interviewtextcustom1_text"   "Liquid.TC采访视频"
		"Comp_223_PG_xboct_interviewtextcustom1_text"   "Na'vi.XBOCT采访视频"
		"Comp_223_PG_notail_interviewtextcustom1_text"   "Fnatic.Notail采访视频"
		"Comp_223_PG_s4_interviewtextcustom1_text"   "Alliance.S4采访视频"
		"Comp_223_PG_lumi_covertextcustom2_text"   "LUMI的观看列表"
		"Comp_223_PG_lumi_covertextcustom3_text"   "这周忘了？LUMI会告诉你亮点都在哪！"
		"Comp_223_PG_lumi_1textcustom1_text"   "Na'vi - Fnatic：米波回来了！"
		"Comp_223_PG_lumi_1textcustom2_text"   "第1周"
		"Comp_223_PG_lumi_1textcustom3_text"   "Dota中最令人印象深刻的莫过于在这款已经有10年历史的游戏玩出新花样。在梦幻联赛公开赛Na'Vi对阵Fnatic时，N0tail使用了辅助地卜师，这可是前无古人的。其他辅助英雄或许在推线上有一定作用，然而没有任何一个英雄有着地卜师这样的全地图推进能力，同时还能保持自身稳定的经济和经验增长。N0tail在那场比赛展示了精彩的全图游走抓人，闪烁匕首先手等操作。由于地卜师很少被选，所以其他队伍应该也不太会去尝试用这个英雄辅助；然而，这场比赛让我们对地卜师这个英雄的强大还是有了一定的了解。"
		"Comp_223_PG_lumi_2textcustom1_text"   "Fnatic对阵Liquid：有人会选斧王！"
		"Comp_223_PG_lumi_2textcustom3_text"   "在第二周Fnatic对阵Liquid的比赛中，我们看到了斧王在职业比赛中亮相。这场比赛很好的展示了斧王的强大之处和弱点所在。在比赛前期，Bulba的斧王四处攻城掠地，在面对两三名敌方英雄时仍然能取敌首级。然而，由于其后期的弱势，随着比赛世间的推进，斧王的作用很快就降低了。这是一场少有的斧王教学赛，喜欢斧王的玩家不可错过。"
		"Comp_223_PG_lumi_3textcustom1_text"   "Sigma - Rox.KIS：跪求再战！"
		"Comp_223_PG_lumi_3textcustom3_text"   "围绕比赛的非议暂且不论，Sigma vs Rox.kis这场比赛绝对是Dota历史上最为别具一格的比赛之一。Rox.kis在前期拿下了多个外塔还有肉山，局势已经形成了一边倒，不到20分钟就开始上对面高地。面对肥得流油的狼人和先知，Sigma的核心英雄影魔和斯拉达可谓是毫无装备可言。但是接下来的防守战是我解说Dota以来见过最为精彩的。Fata使用的影魔正如Draskyl所说的，完全挑起了大梁，他的出装可以说是极为颠覆。尽管Fata不是梦幻联赛第3周的MVP，他绝对是俘获了我的芳心。这场非看不可。"
		"Comp_223_PG_hot_for_meta_covertextcustom2_text"   "热门英雄"
		"Comp_223_PG_hot_for_meta_covertextcustom3_text"   "你觉得今年的版本热门会是哪些英雄？"
		"Comp_223_PG_hot_for_meta_3textcustom3_text"   "第4周"
		"Comp_223_PG_hot_for_meta_3textcustom30_text"   "3月24 - 30日"
		"Comp_223_PG_hot_for_meta_3textcustom4_text"   "耗子滚粗"
		"Comp_223_PG_hot_for_meta_3textcustom5_text"   "各大战队的战术打法看样子都已经成型了。但是本周有些胜率很高的英雄非常出人意料地遭遇了滑铁卢。"
