"lang"
{ 
	"Language" "italian" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"di salute"					// $health
		"dota_ability_variable_mana"				"di mana"						// $mana
		"dota_ability_variable_armor"				"di armatura"						// $armor
		"dota_ability_variable_damage"				"di danno"					// $damage
		"dota_ability_variable_str"					"di Forza"					// $str
		"dota_ability_variable_int"					"di Intelligenza"				// $int
		"dota_ability_variable_agi"					"di Agilità"					// $agi
		"dota_ability_variable_all"					"a tutti gli attributi"			// $all
		"dota_ability_variable_primary_attribute"	"all'attributo primario"			// $primary_attribute
		"dota_ability_variable_attack"				"di velocità di attacco"				// $attack
		"dota_ability_variable_hp_regen"			"di rigenerazione della salute"		// $hp_regen
		"dota_ability_variable_lifesteal"			"di prosciugamento della salute"					// $lifesteal
		"dota_ability_variable_mana_regen"			"di rigen. del mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"di rigen. del mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"di danno degli incantesimi"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"alla durata degli effetti negativi"			// $debuff_amp
		"dota_ability_variable_move_speed"			"di velocità di movimento"			// $move_speed
		"dota_ability_variable_evasion"				"di elusività"					// $evasion
		"dota_ability_variable_spell_resist"		"di resistenza alla magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"di prosciugamento dagli incantesimi"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"di prosciugamento dagli incantesimi (creep)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"di prosciugamento dagli incantesimi (Eroi)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"all'attributo selezionato"		// $selected_attribute
		"dota_ability_variable_attack_range"		"di gittata d'attacco <font color='#7d7d7d'>(solo a distanza)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"di gittata d'attacco <font color='#7d7d7d'>(solo da mischia)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"di gittata di lancio"				// $cast_range
		"dota_ability_variable_status_resist"		"di resistenza agli stati"			// $status_resist
		"dota_ability_variable_projectile_speed"	"di velocità dei proiettili"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"di riduzione dei costi in mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"di riduzione dei tempi di ricarica"		// $cooldown_reduction 

		"dota_ability_variable_damage_int_hero"	"di danno (Eroi Intelligenza)"
		"DOTA_Tooltip_ability_lich_frost_aura_movespeed_slow"							"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_lich_frost_aura_duration"						"DURATA:"
		"DOTA_Tooltip_ability_lich_frost_aura_aura_radius"						"RAGGIO:"
		"DOTA_Tooltip_ability_lich_frost_armor"											"Armatura di ghiaccio"
		"DOTA_Tooltip_ability_lich_frost_armor_Description"								"Nome in inglese: <b><font color='#F2A93E'>Ice Armor</font></b>\n \nCrea uno scudo intorno all'Unità o alla struttura alleata bersagliata che ne aumenta l'armatura e rallenta gli attacchi delle Unità nemiche. Ha una durata di %abilityduration% secondi."
		"DOTA_Tooltip_ability_lich_frost_armor_Lore"									"Una magia creata precedentemente per autodifesa durante l'imboscata tesagli, il Lich può usarla per incantare il prossimo con una formidabile difesa dovuta alla magia del gelo."
		"DOTA_Tooltip_ability_lich_frost_armor_Note0"									"Se l'opzione di Lancio automatico è attiva, Lich userà questa abilità sugli alleati vicini che sono sotto attacco."
		"DOTA_Tooltip_ability_lich_frost_armor_armor_bonus"								"ARMATURA AGGIUNTIVA FORNITA AGLI ALLEATI:"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_movement_speed"						"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO (NEMICI):"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_attack_speed"						"RIDUZIONE DELLA VELOCITÀ DI ATTACCO (NEMICI):"
		"DOTA_Tooltip_ability_lich_frost_armor_slow_duration"							"DURATA DEL RALLENTAMENTO:"
		"DOTA_Tooltip_ability_lich_frost_shield"											"Scudo di ghiaccio"
		"DOTA_Tooltip_ability_lich_frost_shield_Description"								"Nome in inglese: <b><font color='#F2A93E'>Frost Shield</font></b>\n\nAttiva uno scudo di ghiaccio magico intorno al bersaglio che riduce il danno degli attacchi subiti. Mentre lo scudo è attivo, la magia del ghiaccio colpirà le Unità nemiche vicine ogni %interval% secondi, danneggiandole lievemente e rallentandole."
		"DOTA_Tooltip_ability_lich_frost_shield_Lore"									"Concepita inizialmente per proteggerlo durante la sua vita da mortale, la magia glaciale che avvolge Ethreain è diventata sempre più fredda con il passare del tempo."
		"DOTA_Tooltip_ability_lich_frost_shield_attack_count"							"NUMERO DI ATTACCHI:"
		"DOTA_Tooltip_ability_lich_frost_shield_damage_reduction"						"%RIDUZIONE DEL DANNO:"
		"DOTA_Tooltip_ability_lich_frost_shield_damage"									"DANNO:"
		"DOTA_Tooltip_ability_lich_frost_shield_movement_slow"							"%RALLENTAMENTO:"
		"DOTA_Tooltip_ability_lich_frost_shield_range"									"GITTATA:"
		"DOTA_Tooltip_ability_lich_frost_shield_slow_duration"							"DURATA DEL RALLENTAMENTO:"
		"DOTA_Tooltip_ability_lich_frost_shield_duration"								"DURATA DELL'EFFETTO POSITIVO:"
		"DOTA_Tooltip_ability_lich_frost_shield_Note0"									"I nemici immuni agli incantesimi non sono affetti dal danno o dal rallentamento."
		"DOTA_Tooltip_ability_lich_frost_shield_Note1"									"Scudo di ghiaccio può essere usato sulle strutture."
		"DOTA_Tooltip_ability_lich_chain_frost"											"Congelamento a catena"
		"DOTA_Tooltip_ability_lich_chain_frost_Description"								"Nome in inglese: <b><font color='#F2A93E'>Chain Frost</font></b>\n \nRilascia una sfera di gelo che rimbalza fino a %jumps% volte tra le Unità nemiche che le si trovano vicino, rallentandole e danneggiandole ad ogni colpo. Ogni rimbalzo aumenta il danno inflitto dai successivi."
		"DOTA_Tooltip_ability_lich_chain_frost_Lore"									"Considerata quasi universalmente la migliore magia del gelo, il globo di gelo mortale di Ethreain incute timore in coloro che osano opporglisi."
		"DOTA_Tooltip_ability_lich_chain_frost_Note0"									"Congelamento a catena non può essere evitato."
		"DOTA_Tooltip_ability_lich_chain_frost_Note1"									"La sfera di Congelamento a catena ha una velocità di movimento pari a %projectile_speed%."
		"DOTA_Tooltip_ability_lich_chain_frost_Note2"									"Congelamento a catena non rimbalza contro gli Zombi."
		"DOTA_Tooltip_ability_lich_chain_frost_damage"									"DANNO PER RIMBALZO:"
		"DOTA_Tooltip_ability_lich_chain_frost_jumps"									"RIMBALZI:"
		"DOTA_Tooltip_ability_lich_chain_frost_jump_range"								"GITTATA DEI RIMBALZI:"
		"DOTA_Tooltip_ability_lich_chain_frost_slow_movement_speed"						"%RIDUZIONE DELLA VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_lich_chain_frost_slow_attack_speed"						"RIDUZIONE DELLA VELOCITÀ DI ATTACCO:"
		"DOTA_Tooltip_ability_lich_chain_frost_slow_duration"							"DURATA DEL RALLENTAMENTO:"		
		"DOTA_Tooltip_ability_lich_chain_frost_bonus_jump_damage"						"DANNO INCREMENTALE:"

		"DOTA_Tooltip_ability_lich_ice_spire"						"Spuntone di ghiaccio"
		"DOTA_Tooltip_ability_lich_ice_spire_Description"			"Nome in inglese: <b><font color='#F2A93E'>Ice Spire</font></b>\n\nCrea uno spuntone di ghiaccio nel punto bersagliato che rallenta i nemici nell'area. Lo spuntone ha 800 punti salute.<br><br>Congelamento a catena può rimbalzare sullo spuntone se non ci sono altri nemici a portata.<br><br>È possibile usare Scudo di ghiaccio sullo spuntone."
		"DOTA_Tooltip_ability_lich_ice_spire_duration"				"DURATA:"
		"DOTA_Tooltip_ability_lich_ice_spire_aura_radius"			"RAGGIO D'EFFETTO:"
		"DOTA_Tooltip_ability_lich_ice_spire_impact_damage"			"DANNO D'IMPATTO:"
		"DOTA_Tooltip_ability_lich_ice_spire_impact_radius"			"RAGGIO DELL'IMPATTO:"

		"DOTA_Tooltip_modifier_lich_frostnova_slow"						"Esplosione di gelo - Rallentamento"
		"DOTA_Tooltip_modifier_lich_frostnova_slow_Description"			"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, velocità d'attacco ridotta di %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"
		"DOTA_Tooltip_modifier_lich_chainfrost_slow"						"Rallentamento (Congelamento a catena)"
		"DOTA_Tooltip_modifier_lich_chainfrost_slow_Description"			"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, velocità d'attacco ridotta del %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%"
		"DOTA_Tooltip_modifier_lich_frostarmor_slow"						"Congelamento"
		"DOTA_Tooltip_modifier_lich_frostarmor_slow_Description"			"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, velocità di attacco ridotta di %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_lich_frost_armor"				"Armatura di ghiaccio"
		"DOTA_Tooltip_modifier_lich_frost_armor_Description"	"Aumenta l'armatura di %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% e rallenta le Unità che attaccano questa Unità."
		"DOTA_Tooltip_modifier_lich_attack_slow_debuff"						"Congelamento"
		"DOTA_Tooltip_modifier_lich_attack_slow_debuff_Description"			"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, velocità di attacco ridotta del %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_lich_frost_shield"	"Scudo di ghiaccio"
		"DOTA_Tooltip_modifier_lich_frost_shield_Description"	"Riduce il danno degli attacchi subiti."
		"DOTA_Tooltip_modifier_lich_frost_shield_slow"	"Scudo di ghiaccio"
		"DOTA_Tooltip_modifier_lich_frost_shield_slow_Description"	"Velocità movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_lich_sinister_gaze"	"Sguardo sinistro"
		"DOTA_Tooltip_modifier_lich_sinister_gaze_Description"	"Nessuno può resistere allo sguardo sinistro di Lich!"
		"DOTA_Tooltip_modifier_lich_ice_spire_debuff"	"Spuntone di ghiaccio"
		"DOTA_Tooltip_modifier_lich_ice_spire_debuff_Description"	"Velocità di movimento ridotta del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

		//TIDEHUNTER
		"DOTA_Tooltip_ability_tidehunter_gush"											"Getto d'acqua"
		"DOTA_Tooltip_ability_tidehunter_gush_Description"								"Nome in inglese: <b><font color='#F2A93E'>Gush</font></b>\n \nSputa un getto d'acqua che danneggia l'Unità nemica bersagliata, riducendone l'armatura e la velocità di movimento."
		"DOTA_Tooltip_ability_tidehunter_gush_Lore"										"Durante il torneo nelle Isole Sommerse, Leviathan ha acquisito padronanza del mare aperto."
		"DOTA_Tooltip_ability_tidehunter_gush_movement_speed"							"%RALLENTAMENTO:"
		"DOTA_Tooltip_ability_tidehunter_gush_negative_armor"							"RIDUZIONE DELL'ARMATURA:"
		"DOTA_Tooltip_ability_tidehunter_gush_gush_damage"								"DANNO:"
		"DOTA_Tooltip_ability_tidehunter_gush_abilityduration"							"DURATA DELL'EFFETTO NEGATIVO:"
		"DOTA_Tooltip_ability_tidehunter_gush_cast_range_scepter"  						"PORTATA SCETTRO:"
		"DOTA_Tooltip_ability_tidehunter_gush_aoe_scepter"  						"RAGGIO CON SCETTRO:"
		"DOTA_Tooltip_ability_tidehunter_gush_cooldown_scepter"  						"TEMPO DI RICARICA CON SCETTRO:"
		"DOTA_Tooltip_ability_tidehunter_gush_scepter_description"						"Getto d'acqua diventa un'abilità senza bersaglio che genera un'onda in grado di colpire tutte le Unità nemiche in linea retta. Diminuisce il tempo di ricarica."
		"DOTA_Tooltip_ability_tidehunter_kraken_shell"									"Guscio del kraken"
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_Description"						"Nome in inglese: <b><font color='#F2A93E'>Kraken Shell</font></b>\n \nRafforza le squame di Tidehunter per bloccare passivamente una parte dei danni fisici subiti. Rimuove gli effetti negativi quando il danno subito raggiunge la soglia massima.\n\nNon è cumulabile con altri oggetti che permettono di bloccare i danni.\n\nTIPO DI DISSIPAZIONE: Dissipazione potente"
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_Lore"								"I marinai di Cladd raccontano la leggenda di una possente bestia che faceva tremare i sette mari e, per quanto trafitta da innumerevoli lance e spade, continuava a devastare la loro flotta."
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_Note0"							"Solo i danni provenienti dai giocatori contano per la rimozione degli effetti negativi."
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_Note1"							"Il contatore viene azzerato se non viene subito nessun danno da un giocatore entro %damage_reset_interval% secondi."
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_Note2"							"Guscio del kraken rimuove la maggior parte degli effetti negativi, anche se generalmente non sono dissipabili."
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_damage_reduction"					"DANNI BLOCCATI:"
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_damage_cleanse"					"SOGLIA DEI DANNI:"
		"DOTA_Tooltip_ability_tidehunter_kraken_shell_damage_reset_interval"			"TEMPO DELLA SOGLIA:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash"									"Colpo d'ancora"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_Description"						"Nome in inglese: <font color='#F2A93E'><b>Anchor Smash</b></font>\n \nTidehunter fa oscillare la sua possente ancora per attaccare e infliggere danni aggiuntivi ai nemici vicini, riducendo contemporaneamente il danno inflitto dai loro attacchi."
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_shard_description"				"Colpo d'ancora ha effetto sulle strutture, infligge un danno maggiore e ha un tempo di ricarica più breve."
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_Lore"								"Rubata da una delle navi ammiraglie dell'Ammiraglio Kunkka, l'ancora pesante di Leviathan si rivela utile come arma da mischia."
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_attack_damage"					"DANNO D'ATTACCO AGGIUNTIVO:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_damage_reduction"					"%RIDUZIONE DEL DANNO:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_reduction_duration"				"DURATA:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_radius"							"RAGGIO:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_shard_bonus_damage"				"DANNO AGGIUNTIVO:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_shard_cooldown_reduction"				"RIDUZIONE DEL TEMPO DI RICARICA:"
		"DOTA_Tooltip_ability_tidehunter_anchor_smash_Note0"							"Il Colpo d'ancora ha effetto sui creep antichi, ma non su Roshan."
		"DOTA_Tooltip_ability_tidehunter_ravage"										"Devastazione"
		"DOTA_Tooltip_ability_tidehunter_ravage_Description"							"Nome in inglese: <font color='#F2A93E'>Ravage</font>\n \nColpisce il terreno, facendo eruttare tentacoli in tutte le direzioni che danneggiano e stordiscono tutte le Unità nemiche nell'area."
		"DOTA_Tooltip_ability_tidehunter_ravage_Lore"									"La chiamata del dio degli abissi Maelrawn ha causato la scomparsa in mare di intere flotte."
		"DOTA_Tooltip_ability_tidehunter_ravage_Note0"									"La Devastazione può colpire le Unità invisibili."
		"DOTA_Tooltip_ability_tidehunter_ravage_Note1"									"Le onde di Devastazione si propagano verso l'esterno ad una velocità di %speed%."
		"DOTA_Tooltip_ability_tidehunter_ravage_radius"									"RAGGIO:"
		"DOTA_Tooltip_ability_tidehunter_ravage_duration"								"DURATA:"
	
		"DOTA_Tooltip_modifier_tidehunter_gush"					"Getto d'acqua"
		"DOTA_Tooltip_modifier_tidehunter_gush_Description"		"Rallentato del %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, armatura ridotta di %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_tidehunter_ravage"				"Devastazione"
		"DOTA_Tooltip_modifier_tidehunter_ravage_Description"	"È stato stordito dalla Devastazione."
		"DOTA_Tooltip_modifier_tidehunter_anchor_smash"			"Colpo d'ancora"
		"DOTA_Tooltip_modifier_tidehunter_anchor_smash_Description" "Danno d'attacco ridotto del %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%."

		//SHADOWSHAMAN
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock"								"Shock etereo"
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock_Description"					"Nome in inglese: <font color='#F2A93E'>Ether Shock</font>\n \nCrea un cono di energia eterea che colpisce molteplici Unità nemiche."
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock_Lore"							"Originariamente usato come trucco di apertura del suo spettacolo insieme al ciarlatano viaggiatore, il fulmine di Rhasta lascia gli avversari letteralmente folgorati."
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock_Note0"							"Può colpire bersagli secondari fino ad una gittata di 1000 unità."
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock_targets"						"BERSAGLI:"
		"DOTA_Tooltip_ability_shadow_shaman_ether_shock_damage"							"DANNO:"
		"DOTA_Tooltip_ability_shadow_shaman_voodoo"										"Maledizione"
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_Description"							"Nome in inglese: <font color='#F2A93E'>Hex</font>\n \nTrasforma l'Unità nemica bersagliata in una creatura innocua, disabilitandone le abilità e la possibilità di attaccare."
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_Lore"								"Rhasta spesso finiva i suoi spettacoli trasformandosi in una gallina; ora, l'umiliazione è condivisa."
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_Note0"								"Distrugge istantaneamente le illusioni."
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_Note1"								"Il bersaglio avrà una velocità di movimento di base pari a %movespeed%, ma gli effetti che aumentano la velocità di movimento al massimo non verranno disabilitati."
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_Note2"								"La Maledizione disabilita il blocco dei danni."
		"DOTA_Tooltip_ability_shadow_shaman_voodoo_duration"							"DURATA:"
		"DOTA_Tooltip_ability_shadow_shaman_shackles"									"Catene"
		"DOTA_Tooltip_ability_shadow_shaman_shackles_Description"						"Nome in inglese: <font color='#F2A93E'>Shackles</font>\n \nCANALIZZATA - Incatena magicamente un'Unità nemica, impedendole sia di muoversi che di attaccare e prosciugandone l'energia vitale nel corso del tempo."
		"DOTA_Tooltip_ability_shadow_shaman_shackles_shard_description"					"Catene evoca %shard_ward_count% Guardiani serpenti che attaccano il bersaglio. Aumenta di %shard_bonus_cast_range% la gittata di lancio di Catene. I Guardiani serpenti scompaiono dopo %shard_ward_duration% secondi."
		"DOTA_Tooltip_ability_shadow_shaman_shackles_Lore"								"Come sortilegio per autodifesa, Rhasta ha sviluppato queste catene dopo che il suo maestro fu ucciso sulle Colline Sanguinanti."
		"DOTA_Tooltip_ability_shadow_shaman_shackles_total_damage"						"DANNO/CURA TOTALE:"
		"DOTA_Tooltip_ability_shadow_shaman_shackles_channel_time"				"DURATA MASSIMA:"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward"							"Guardiani serpenti"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Description"				"Nome in inglese: <b><font color='#F2A93E'>Mass Serpent Ward</font></b>\n \nEvoca %ward_count% Guardiani serpenti per attaccare le Unità e le strutture nemiche. I Guardiani sono immuni alle magie."
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_scepter_description"		"I colpi dei Guardiani serpenti si dividono, bersagliando due Unità contemporaneamente senza ridurre il danno inflitto. Aumenta la gittata d'attacco dei Guardiani serpenti."
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_Lore"						"Incantare serpenti rappresentava una grande parte nello spettacolo dello Sciamano dell'Ombra. Adesso Rhasta può comandare i serpenti a suo piacimento."
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_duration"					"DURATA:"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_damage_tooltip"			"DANNO D'ATTACCO:"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip"	"ATTACCHI PER DISTRUGGERE:"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_hits_to_destroy_tooltip_creeps"	"ATTACCHI PER DISTRUGGERE (CREEP):"
		"DOTA_Tooltip_ability_shadow_shaman_mass_serpent_ward_scepter_range"	"GITTATA AGGIUNTIVA:"
		
		"DOTA_Tooltip_ability_shadow_shaman_serpentine"							"Serpentina"
		"DOTA_Tooltip_ability_shadow_shaman_serpentine_Description"				"Nome in inglese: <b><font color='#F2A93E'>Serpentine</font></b>\n\nCrea uno schieramento di %count% Guardiani serpenti."
		
		"DOTA_Tooltip_modifier_shadow_shaman_voodoo"				"Maledetto"
		"DOTA_Tooltip_modifier_shadow_shaman_voodoo_Description"	"È stato gallinato. Non può attaccare o usare abilità."
		"DOTA_Tooltip_modifier_shadow_shaman_shackles"				"Catene"
		"DOTA_Tooltip_modifier_shadow_shaman_shackles_Description"	"È incantenato. Non può muoversi o attaccare."
	

		//RIKI
		"DOTA_Tooltip_ability_riki_smoke_screen"										"Cortina di fumo"
		"DOTA_Tooltip_ability_riki_smoke_screen_Description"							"Nome in inglese: <b><font color='#F2A93E'>Smoke Screen</font></b>\n \nLancia una bomba fumogena che silenzia le Unità nemiche e non fa andare a segno i loro attacchi."
		"DOTA_Tooltip_ability_riki_smoke_screen_Lore"									"Sin dalla sua fuga durante la notte in cui è stato tradito, Riki è ricorso all'uso di una semplice cortina di fumo per confondere gli avversari."
		"DOTA_Tooltip_ability_riki_smoke_screen_Note0"									"Può essere lanciata durante l'utilizzo di Trucchi del mestiere."
		"DOTA_Tooltip_ability_riki_smoke_screen_Note1"									"Non impedisce l'uso degli oggetti attivi."
		"DOTA_Tooltip_ability_riki_smoke_screen_radius"									"RAGGIO:"
		"DOTA_Tooltip_ability_riki_smoke_screen_miss_rate"								"%TASSO DI FALLIMENTO:"
		"DOTA_Tooltip_ability_riki_smoke_screen_duration"								"DURATA:"
		"DOTA_Tooltip_ability_riki_backstab"								"Cappa e spada"
		"DOTA_Tooltip_ability_riki_backstab_Description"					"Nome in inglese: <b><font color='#F2A93E'>Cloak and Dagger</font></b>\n \nRiki scompare tra le ombre, diventando completamente invisibile. Ogni volta che Riki attacca un nemico alle spalle, infliggerà danni maggiori in base alla sua Agilità. Riki tornerà visibile ogni volta che attacca."
		"DOTA_Tooltip_ability_riki_backstab_damage_multiplier"			"MOLTIPLICATORE DEL DANNO PER AGILITÀ:"
		"DOTA_Tooltip_ability_riki_backstab_fade_delay"			"TEMPO DI SPARIZIONE:"
		"DOTA_Tooltip_ability_riki_backstab_Lore"							"Riki sta venendo a prenderti."
		"DOTA_Tooltip_ability_riki_backstab_Note0"						"Le illusioni di Riki eseguono le animazioni della pugnalata alle spalle, ma non infliggono danni aggiuntivi."
		"DOTA_Tooltip_ability_riki_backstab_Note1"						"I danni aggiuntivi della pugnalata alle spalle non possono essere evitati."
		"DOTA_Tooltip_ability_riki_permanent_invisibility"								"Invisibilità permanente"
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Description"					"Nome in inglese: <b><font color='#F2A93E'>Permanent Invisibility</font></b>\n \nRiki scompare tra le ombre, diventando completamente invisibile. Riki tornerà visibile ogni volta che attacca. Aumenta la velocità di movimento."
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Lore"							"Riki sta venendo a prenderti."
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Note0"						"Riki non attaccherà automaticamente i nemici mentre è invisibile."
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Note1"						"Le illusioni di Riki eseguono Pugnalata alle spalle, ma non infliggono alcun danno aggiuntivo."
		"DOTA_Tooltip_ability_riki_permanent_invisibility_Note2"						"Il danno bonus da Pugnalata alle spalle non può essere evitato."
		"DOTA_Tooltip_ability_riki_permanent_invisibility_fade_delay"					"TEMPO DI SPARIZIONE:"
		"DOTA_Tooltip_ability_riki_permanent_invisibility_movement_speed"				"VELOCITÀ DI MOVIMENTO:"
		"DOTA_Tooltip_ability_riki_poison_dart"										    "Dardo sonnifero"
		"DOTA_Tooltip_ability_riki_poison_dart_Description"							    "Nome in inglese: <b><font color='#F2A93E'>Sleeping Dart</font></b>\n\nSpara un dardo contro il nemico bersagliato, facendolo addormentare. Il bersaglio si sveglierà al termine dell'effetto o dopo aver subito una certa quantità di danno. Dopo essersi svegliato, il bersaglio viene danneggiato e subisce un rallentamento."
		"DOTA_Tooltip_ability_riki_poison_dart_duration"							    "DURATA DEL SONNO:"
		"DOTA_Tooltip_ability_riki_poison_dart_debuff_duration"					        "DURATA DEL RALLENTAMENTO AL RISVEGLIO:"
		"DOTA_Tooltip_ability_riki_poison_dart_wake_damage_limit"						"LIMITE DI DANNO PER IL RISVEGLIO:"
		"DOTA_Tooltip_ability_riki_poison_dart_movement_slow"							"%RALLENTAMENTO AL RISVEGLIO:"
		"DOTA_Tooltip_ability_riki_blink_strike"										"Colpo lampo"
		"DOTA_Tooltip_ability_riki_blink_strike_Description"							"Nome in inglese: <font color='#F2A93E'>Blink Strike</font>\n \nTi teletrasporta dietro l'Unità bersagliata, rallentandola per breve tempo e infliggendo danni aggiuntivi se si tratta di un nemico."
		"DOTA_Tooltip_ability_riki_blink_strike_Lore"									"Grazie alla sua agilità, è impossibile sfuggire all'Assassino Furtivo."
		"DOTA_Tooltip_ability_riki_blink_strike_Note0"									"Il primo attacco di Riki dopo aver usato il Colpo lampo sarà una Pugnalata alle spalle."
		"DOTA_Tooltip_ability_riki_blink_strike_Note1"									"Il danno del Colpo lampo viene inflitto prima dell'attacco successivo."
		"DOTA_Tooltip_ability_riki_blink_strike_Note2"									"Puoi usare il Colpo lampo sugli alleati senza danneggiarli."
		"DOTA_Tooltip_ability_riki_blink_strike_abilitycastrange"							"GITTATA DI LANCIO:"
		"DOTA_Tooltip_ability_riki_blink_strike_bonus_damage"							"DANNO AGGIUNTIVO:"
		"DOTA_Tooltip_ability_riki_blink_strike_slow"									"DURATA DEL RALLENTAMENTO:"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade"									"Trucchi del mestiere"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_Description"						"Nome in inglese: <b><font color='#F2A93E'>Tricks of the Trade</font></b>\n\nRiki svanisce dal mondo, per poi colpire casualmente alle spalle le Unità nemiche in una determinata area intorno a lui."
        "DOTA_Tooltip_ability_riki_tricks_of_the_trade_scepter_description"				"Aumenta la gittata di lancio e il numero di attacchi, permettendoti inoltre di bersagliare un Eroe alleato e nasconderti al suo interno per tutta la durata. Ogni attacco colpisce un bersaglio aggiuntivo."
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_Lore"							"L'Assassino furtivo non ha paura di combattere sporco, ed è specializzato nel colpire i suoi avversari alle spalle."
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_Note0"							"L'abilità viene annullata se ti muovi dopo essere svanito."
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_radius"							"RAGGIO:"
		"DOTA_Tooltip_ability_riki_tricks_of_the_trade_attack_count"					"NUMERO DI ATTACCHI:"
