"dota"
{
"DOTA_Accept"	"Godta"
"DOTA_Custom_Game_Spectate"	"Se på"
"DOTA_Custom_Game_Friends_Playing"	"Venner som spiller tilpassede spill"
"DOTA_Custom_Game_Friends_In_Lobbies"	"{d:friends_in_open_lobbies} i åpne lobbyer"
"DOTA_Custom_Game_Friends_In_Game"	"{d:friends_in_game} venner i tilpassede spill"
"DOTA_Custom_Games_Friends_Play"	"Tilpassede spill dine venner spiller"
"DOTA_Custom_Game_Invite_Friend"	"Inviter en venn"
"DOTA_Custom_Game_Tooltip_Subscribers"	"{d:subscriber_count} abonnementer"
"DOTA_Custom_Game_Tooltip_Subscriber"	"{d:subscriber_count} abonnement"
"DOTA_Custom_Game_Most_Popular"	"Mest populært"
"DOTA_Custom_Game_Installed_Games"	"Installerte spill"
"DOTA_Custom_Game_Favorite_Games"	"Vis bare favoritter"
"DOTA_Custom_Game_Add_Favorite"	"Merk som favoritt"
"DOTA_Custom_Game_Vote_Start"	"Start avstemning"
"DOTA_Custom_Game_Vote_PrevLabel"	"Forrige spill"
"DOTA_Custom_Game_Vote_NextLabel"	"Neste spill"
"DOTA_Custom_Game_Leave_Lobby"	"Forlat denne lobbyen"
"DOTA_Custom_Game_Suggested_Title"	"Anbefalte spill"
"DOTA_Custom_Lobby_Settings_Title"	"Opprett lobby"
"DOTA_Custom_Lobby_Settings_Mode"	"Spillmodus"
"DOTA_Custom_Lobby_Settings_Map"	"Kart"
"DOTA_Custom_Lobby_LobbyName"	"Valgfri beskrivelse"
"DOTA_Custom_Lobby_Public"	"Offentlig"
"DOTA_Custom_Lobby_Join_Failed_Reason"	"{s:join_error}"
"DOTA_Custom_Lobby_Create_Private_Button"	"Opprett privat lobby"
"DOTA_Custom_Lobby_Find_Private_Title"	"Finn privat lobby"
"DOTA_Custom_Lobby_List_Game_Header"	"Spill"
"DOTA_Custom_Lobby_List_Name_Header"	"Beskrivelse"
"DOTA_Custom_Lobby_List_Players_Header"	"Spillere"
"DOTA_Custom_Lobby_List_Map_Header"	"Kart"
"DOTA_Custom_Lobby_List_Region_Header"	"Region"
"DOTA_Custom_Lobby_List_Connection_Header"	"Forbindelse"
"DOTA_Custom_Lobby_List_Status_Header"	"Lokal status"
"DOTA_Custom_Lobby_List_Game"	"{g:dota_filtered_string:lobby_game}"
"DOTA_Custom_Lobby_List_Lobby_Name"	"{g:dota_filtered_string:lobby_name}"
"DOTA_Custom_Lobby_List_Players"	"{s:lobby_players} / {s:lobby_max_players}"
"DOTA_Custom_Lobby_List_Map"	"{g:dota_filtered_string:lobby_map}"
"DOTA_Custom_Lobby_List_Region"	"{s:lobby_region}"
"DOTA_Custom_Lobby_List_Connection"	"..."
"DOTA_Custom_Lobby_List_Status"	"{s:lobby_status}"
"DOTA_Custom_Lobby_List_Connect"	"{s:connect_button_text}"
"DOTA_Custom_Lobby_Game_Name"	"{g:dota_filtered_string:game_name}"
"DOTA_Custom_Lobby_Map_Name"	"Kart: {g:dota_filtered_string:map_name}"
"DOTA_Custom_Lobby_Player_Count"	"Spillere: {d:player_count} / {d:max_player_count}"
"DOTA_Custom_Lobby_Player_Count_Short"	"{d:player_count} / {d:max_player_count}"
"DOTA_Custom_Join_Chat_Member_Count"	"({d:ChatMemberCount})"
"DOTA_TabName_ModsOverview"	"Oversikt"
"DOTA_TabName_ModsSubscribed"	"Bibliotek"
"DOTA_TabName_ModsBrowse"	"Bla gjennom"
"DOTA_WatchTabName_Live"	"Direkte"
"DOTA_WatchTabName_Replays"	"Repriser"
"DOTA_WatchTabName_Tournaments"	"Turneringer"
"DOTA_WatchTabName_Downloads"	"Nedlastinger"
"DOTA_WatchLive_CountSpec"	"{i:num_spectating} ser på"
"DOTA_WatchLive_CountSpecFriend"	"{i:num_friends_spectating} venn og {i:num_spectating} ser på"
"DOTA_WatchLive_CountSpecFriends"	"{i:num_friends_spectating} venner og {i:num_spectating} ser på"
"DOTA_WatchLive_CountFriends"	"{i:num_friends_playing} venner spiller"
"DOTA_WatchLive_Participants1"	"{s:friend_1}"
"DOTA_WatchLive_Participants2"	"{s:friend_1} og {s:friend_2}"
"DOTA_WatchLive_Participants3"	"{s:friend_1}, {s:friend_2} og {s:friend_3}"
"DOTA_WatchLive_Participants4Plus"	"{s:friend_1}, {s:friend_2}, {s:friend_3} og {i:friend_count_over_3} andre..."
"DOTA_WatchLive_MatchType_MM_Kills"	"{s:game_mode}"
"DOTA_WatchLive_MatchType_MM"	"{s:game_mode}"
"DOTA_WatchLiveSpectatorFriends1"	"{g:dota_persona:spectator_friend_1} ser på"
"DOTA_WatchLiveSpectatorFriends2"	"{g:dota_persona:spectator_friend_1} og {g:dota_persona:spectator_friend_2} ser på"
"DOTA_WatchLiveSpectatorFriends3"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2} og {g:dota_persona:spectator_friend_3} ser på"
"DOTA_WatchLiveSpectatorFriends4Plus"	"{g:dota_persona:spectator_friend_1}, {g:dota_persona:spectator_friend_2}, {g:dota_persona:spectator_friend_3} og {i:spectator_friend_count_over_3} andre venner ser på"
"DOTA_WatchLiveSpectatorCount"	"{i:spectator_count} ser på"
"DOTA_WatchReplays_ParticipantsVs"	"{s:team_1} vs. {s:team_2}"
"DOTA_WatchReplays_MatchType_League"	"{s:league_name}"
"DOTA_WatchReplays_Recommendations"	"{i:recommendations}"
"DOTA_WatchReplays_Recommendations1"	"{g:dota_persona:friend_1} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations2"	"{g:dota_persona:friend_1}, {g:dota_persona:friend_2} + {i:recommendations}"
"DOTA_WatchReplays_Recommendations3Plus"	"{g:dota_persona:friend_1} + {i:friend_count_over_1} andre venner + {i:recommendations}"
"DOTA_WatchReplays_Friends1"	"{g:dota_persona:b:friend_1} spilte"
"DOTA_WatchReplays_Friends2"	"{g:dota_persona:b:friend_1} og {g:dota_persona:friend_2} spilte"
"DOTA_WatchReplays_Friends3Plus"	"{g:dota_persona:b:friend_1}, {g:dota_persona:b:friend_2} og {i:friend_count_over_2} andre venner"
"DOTA_WatchReplays_Views"	"{i:views} visninger"
"DOTA_WatchReplays_Price"	"{g:dota_item_price:ticket_itemdef}"
"DOTA_WatchReplays_SharedMatch"	"{g:dota_persona:shared_by} delte – «{s:shared_text}»"
"DOTA_WatchReplays_SharedHighlight"	"{g:dota_persona:shared_by} delte et høydepunkt"
"DOTA_WatchReplays_Duration"	"{s:minutes}:{s:seconds}"
"DOTA_WatchTournaments_FeaturedTitle"	"{s:tournament_featured_title}"
"DOTA_WatchTournaments_FeaturedDates"	"{s:tournament_featured_start} – {s:tournament_featured_end}"
"DOTA_WatchTournaments_FeaturedDescription"	"{s:tournament_featured_description}"
"DOTA_WatchTournaments_FeaturedTeams"	"Lag"
"DOTA_WatchTournaments_PrizePoolAmt"	"{s:tournament_featured_prize_pool}"
"DOTA_WatchTournament_TournamentName"	"{s:tournament_name}"
"DOTA_WatchTournament_Price"	"{s:price}"
"DOTA_Watch_GameStatus"	"Se kampstatus"
"DOTA_Watch_LobbyNotFound"	"Lobby ikke funnet."
"dota_matchmaking_language_primary"	"{s:environment_language}"
"dota_matchmaking_language_english"	"Engelsk"
"dota_matchmaking_language_russian"	"Russisk"
"dota_matchmaking_language_chinese"	"Kiniesisk"
"dota_matchmaking_language_schinese"	"Kinesisk"
"dota_matchmaking_language_korean"	"Koreansk"
"dota_matchmaking_language_koreana"	"Koreansk"
"dota_matchmaking_language_spanish"	"Spansk"
"dota_matchmaking_language_portuguese"	"Portugisisk"
"GameUI_Language_English"	"Engelsk"
"GameUI_Language_German"	"Tysk"
"GameUI_Language_French"	"Fransk"
"GameUI_Language_Italian"	"Italiensk"
"GameUI_Language_Korean"	"Koreansk"
"GameUI_Language_Spanish"	"Spansk"
"GameUI_Language_Simplified_Chinese"	"Forenklet kinesisk"
"GameUI_Language_Traditional_Chinese"	"Tradisjonell kinesisk"
"GameUI_Language_Russian"	"Russisk"
"GameUI_Language_Thai"	"Thai"
"GameUI_Language_Japanese"	"Japansk"
"GameUI_Language_Portuguese"	"Portugisisk"
"GameUI_Language_Polish"	"Polsk"
"GameUI_Language_Danish"	"Dansk"
"GameUI_Language_Dutch"	"Nederlandsk"
"GameUI_Language_Finnish"	"Finsk"
"GameUI_Language_Norwegian"	"Norsk"
"GameUI_Language_Swedish"	"Svensk"
"GameUI_Language_Hungarian"	"Ungarsk"
"GameUI_Language_Czech"	"Tsjekkisk"
"GameUI_Language_Romanian"	"Rumensk"
"GameUI_Language_Turkish"	"Tyrkisk"
"GameUI_Language_Brazilian"	"Brasiliansk-portugisisk"
"GameUI_Language_Bulgarian"	"Bulgarsk"
"GameUI_Language_Greek"	"Gresk"
"GameUI_Language_Ukrainian"	"Ukrainsk"
"client_version_out_of_date_title"	"Oppdatering påkrevd"
"dota_abandon_dialog_title"	"Forlat spill"
"dota_abandon_dialog_confirm"	"Er du sikker på at du vil forlate dette spillet?"
"dota_abandon_dialog_yes"	"Ja, forlat kamp."
"dota_leave_dialog_title"	"Forlat kamp"
"dota_leave_dialog_confirm"	"Er du sikker på at du vil forlate denne kampen?"
"dota_leave_dialog_yes"	"Ja, forlat kamp."
"dota_accept_match_title"	"Kampen din er klar"
"dota_accept_match_readyup_title"	"Venter på spillere"
"dota_accept_match_accept"	"Godta"
"dota_accept_match_accept_button"	"{s:accept}"
"dota_accept_match_decline"	"Avslå kamp"
"dota_accept_match_subtitle"	"{s:subtitle}"
"dota_finding_match_generic"	"Normal kamp"
"dota_match_connected"	"Koblet til spillet"
"dota_match_connecting"	"Kobler til spill..."
"dota_match_in_progress"	"Spill pågår"
"dota_match_finished"	"Spill ferdig"
"matchmaking_waiting_for_players"	"Venter på andre spillere"
"matchmaking_player_declined"	"En spiller avslo kampen"
"dota_match_find_server"	"Finner tjener"
"ranked_mmr_solo_value"	"{i:solo_mmr}"
"ranked_mmr_party_label"	"Gruppe"
"ranked_mmr_party_value"	"{i:party_mmr}"
"dota_ready_up_count"	"{s:ready_up_ready} / {s:ready_up_lobby_members}"
"dota_play_practice_1v1"	"Tren 1v1"
"dota_play_practice_1v1_playtab"	"TREN 1v1"
"dota_play_button_label"	"{s:play_button_label}"
"dota_play"	"Spill Dota"
"dota_reconnect"	"Koble til igjen"
"dota_abandon_game"	"Forlat"
"dota_safe_leave_game"	"Forlat kamp"
"dota_disconnect"	"Koble fra"
"dota_play_unavailable"	"Ikke tilgjengelig"
"dota_leaver_consequence_tooltip_header"	"Konskvenser"
"dota_leaver_consequences"	"{s:leaver_consequences}"
"dota_leaver_consequences_details"	"{s:leaver_consequences_details}"
"dota_leaver_view_tooltip"	"Vis detaljer"
"dota_reconnect_popup_title"	"Koble til igjen?"
"dota_matchmaking_region_ping"	"{s:region_ping}"
"dota_matchmaking_region_offline"	"Frakoblet for vedlikehold"
"DOTA_VAC_Verification_Button1"	"Mer informasjon"
"DOTA_VAC_Verification_Button2"	"Lukk"
"dota_matchmaking_regions_button"	"{s:regions_selected}"
"dota_region_automatic"	"Region: automatisk"
"dota_regions_selected"	"Regioner: "
"dota_lobby_region_invalid"	"Ingen"
"dota_play_no_language_selected"	"VELG SPRÅK"
"dota_play_language"	"{s:match_language}"
"dota_ready_fail"	"GJORDE DEG IKKE KLAR"
"dota_ready_fail_desc"	"Kampen din var klar, men du svarte ikke i tide og har blitt fjernet fra matchmaking-køen."
"dota_chatwheel_label_Ok"	"Okay"
"dota_chatwheel_label_GetBack"	"Trekk tilbake"
"dota_chatwheel_label_Help"	"Hjelp"
"dota_chatwheel_label_GoodJob"	"Bra spilt"
"dota_chatwheel_label_Missing"	"Borte"
"dota_chatwheel_label_Follow"	"Følg meg"
"dota_chatwheel_label_OMW"	"Jeg er på vei"
"dota_chatwheel_label_Bait"	"Lokk dem"
"dota_chatwheel_label_Enemy_Incoming"	"Innkommende"
"dota_chatwheel_label_Fight_Under_Tower"	"Under tårn"
"dota_chatwheel_label_Deny_Tower"	"Deny tårn"
"dota_chatwheel_label_Wait"	"Vent"
"dota_chatwheel_label_Current_Time"	"Nåværende tid"
"dota_chatwheel_label_GLHF"	"Lykke til"
"dota_chatwheel_label_Nice"	"Bra"
"dota_chatwheel_label_Thanks"	"Takk"
"dota_chatwheel_label_Sorry"	"Beklager"
"dota_chatwheel_label_No_Give_Up"	"Gi ikke opp"
"dota_chatwheel_label_Regret"	"Angrer"
"dota_chatwheel_label_GG"	"GG"
"dota_chatwheel_header_enemy"	"Fiende"
"dota_chatwheel_header_items"	"Gjenstander"
"dota_chatwheel_header_neutrals"	"Nøytrale"
"dota_chatwheel_header_flavor"	"Stemning"
"dota_chatwheel_message_Ok"	"Okay."
"dota_chatwheel_message_Care"	"Forsiktig!"
"dota_chatwheel_message_GetBack"	"Tilbake!"
"dota_chatwheel_message_Help"	"Hjelp!"
"dota_chatwheel_message_GoodJob"	"Bra spilt!"
"dota_chatwheel_message_Missing"	"Borte!"
"dota_chatwheel_message_Go"	"Gå!"
"dota_chatwheel_message_Follow"	"Følg meg"
"dota_chatwheel_message_Attack"	"Angrip nå!"
"dota_chatwheel_message_BRB"	"Straks tilbake"
"dota_chatwheel_message_Dive"	"Dykk!"
"dota_chatwheel_message_Invis_Enemy"	"Usynlig fiende i nærheten!"
"dota_chatwheel_message_Wait"	"Vent"
"dota_chatwheel_message_Thanks"	"Takk!"
"dota_chatwheel_message_Sorry"	"Beklager"
"dota_settings_options"	"Innstillinger"
"dota_settings_audio"	"Lyd"
"dota_settings_voice"	"Stemme"
"dota_settings_volume"	"Volum"
"dota_settings_video"	"Video"
"dota_settings_abilities"	"Evner"
"dota_settings_abilities_hero"	"Helt"
"dota_settings_abilities_neutrals"	"Nøytrale"
"dota_settings_abilities_primary1"	"1"
"dota_settings_abilities_primary2"	"2"
"dota_settings_abilities_primary3"	"3"
"dota_settings_abilities_secondary1"	"4"
"dota_settings_abilities_secondary2"	"5"
"dota_settings_abilities_neutral1"	"1"
"dota_settings_abilities_neutral2"	"2"
"dota_settings_abilities_neutral3"	"3"
"dota_settings_abilities_neutral4"	"4"
"dota_settings_abilities_courier1"	"1"
"dota_settings_abilities_courier2"	"2"
"dota_settings_abilities_courier3"	"3"
"dota_settings_abilities_courier4"	"4"
"dota_settings_abilities_courier5"	"5"
"dota_settings_abilities_courier6"	"6"
"dota_settings_abilities_ultimate"	"U"
"dota_settings_upgradestats"	"Oppgrader attributt"
"dota_settings_move"	"Bevegelse"
"dota_settings_stop"	"Avbryt gjeldende handling"
"dota_settings_holdposition"	"Hold posisjon"
"dota_settings_selecthero"	"Velg helt"
"dota_settings_selectall"	"Velg alle kontrollerte enheter"
"dota_settings_selectallothers"	"Velg alle andre enheter"
"dota_settings_items"	"Gjenstander"
"dota_settings_camera"	"Kamera"
"dota_settings_cameraup"	"Kamera opp"
"dota_settings_scoreboardtoggle"	"Resultattavle"
"dota_settings_console"	"Konsoll"
"dota_settings_group1"	"Gruppe 1"
"dota_settings_group2"	"Gruppe 2"
"dota_settings_group3"	"Gruppe 3"
"dota_settings_group4"	"Gruppe 4"
"dota_settings_group5"	"Gruppe 5"
"dota_settings_group6"	"Gruppe 6"
"dota_settings_group7"	"Gruppe 7"
"dota_settings_group8"	"Gruppe 8"
"dota_settings_group9"	"Gruppe 9"
"dota_settings_group10"	"Gruppe 10"
"dota_settings_advancedpanel_goto"	"Avansert"
"dota_settings_spectatordropdown_sort"	"Endre sortering"
"dota_settings_spectatordropdown_kda"	"Drap/Dødsfall/Assister"
"dota_settings_spectatordropdown_xp_per_min"	"XP per minutt"
"dota_settings_spectatordropdown_gold_per_min"	"Gull per minutt"
"dota_settings_or"	"Eller"
"dota_settings_cancel"	"Avbryt"
"dota_settings_apply"	"Bruk"
"dota_settings_game"	"Spill"
"dota_settings_profile"	"Profil"
"dota_settings_trade_friends"	"Bare venner"
"dota_settings_network"	"Nettverk"
"dota_settings_networkquality_low"	"Jeg har et svakt nettverk"
"dota_settings_networkquality_high"	"Jeg har et sterkt nettverk"
"dota_settings_customresolution"	"Bruk avanserte innstillinger"
"dota_settings_resolution"	"Oppløsning"
"dota_settings_aspectratio43"	"4:3"
"dota_settings_aspectratio169"	"16:9"
"dota_settings_aspectratio1610"	"16:10"
"dota_settings_resolution_size"	"Størrelse:"
"dota_settings_window"	"I vindu"
"dota_settings_fastestvideo"	"Raskest"
"dota_settings_shadowquality_low"	"Lav"
"dota_settings_musicvolume"	"Musikk"
"dota_settings_voicevolume"	"Stemme"
"dota_settings_defaultaudio"	"Standard"
"dota_settings_sounddevice"	"Lydenhet:"
"dota_settings_headphones"	"Hodetelefoner"
"dota_settings_2speakers"	"2 Høytalere"
"dota_settings_4speakers"	"4 Høytalere"
"dota_settings_unitspeech_off"	"Av"
"dota_settings_unitspeech_all"	"Alle"
"DOTA_Keybind_WASD"	"WASD"
"DOTA_Keybind_MMO"	"MMO"
"DOTA_Hotkeys_Tooltip_HeroSelect"	"Velg helten din."
"DOTA_Hotkeys_Tooltip_ShopToggle"	"Åpne butikkvinduet."
"DOTA_Hotkeys_Tooltip_Autocast"	"Skru på for å automatisk bruke en egenskap når den er klar. Gjelder bare enkelte egenskaper."
"DOTA_Hotkeys_Tooltip_ItemCast"	"Hurtigtaster for å bruke en gjenstand i lagret ditt."
"DOTA_Settings_Tooltip_Autoattack"	"Du vil automatisk bevege deg mot og angripe fiender i nærheten."
"DOTA_Settings_Tooltip_AutoattackAfterSpell"	"Angrip ethvert mål i nærheten med mindre du nettopp har beveget deg, denied et creep, eller trykt på knappen for \"Avbryt gjeldende handling\" eller \"Hold posisjon\"."
"DOTA_Lobby_BotDifficulty"	"BOT-vanskelighetsgrad"
"DOTA_Lobby_BotDifficulty_passive"	"Passiv"
"DOTA_Lobby_BotDifficulty_easy"	"Lett"
"DOTA_Lobby_BotDifficulty_medium"	"Medium"
"DOTA_Lobby_BotDifficulty_hard"	"Vanskelig"
"DOTA_Lobby_BotDifficulty_unfair"	"Urettferdig"
"DOTA_Lobby_BotTeam"	"Velg lag"
"dota_lobby_title"	"{g:dota_filtered_string:lobby_name}"
"dota_lobby_title_local_game"	"Lokal lobby"
"lobby_row_player_name"	"{s:player_name}"
"dota_lobby_row_game_name"	"{s:game_name}"
"dota_lobby_row_slots"	"{s:slots}"
"dota_lobby_row_game_mode"	"{s:game_mode}"
"dota_lobby_row_join"	"Bli med"
"dota_lobby_row_leave"	"Forlat"
"dota_lobby_browser_all_game_modes"	"Alle spillmoduser"
"dota_lobby_browser_refresh"	"Oppdater"
"dota_lobby_submit_filter"	"Send"
"DOTA_Items_SetEquipped_Label"	"Utstyrt"
"DOTA_EquippedItem_Label"	"Utstyrt"
"DOTA_EquippedItem_Rarity"	"{s:equipped_econ_set_rarity}"
"DOTA_EquippedItem_SetName"	"{s:equipped_econ_set_name}"
"DOTA_EquippedItem_Style"	"{i:equipped_econ_set_style_count} stil(er)"
"DOTA_EquippedItem_Button_Details"	"{s:equipped_details_button_text}"
"DOTA_EquippedItem_Customize"	"Tilpass"
"DOTA_EquippedItem_Equip"	"Utstyr"
"DOTA_EquippedItem_Details"	"Detaljer om {s:equipped_econ_set_type_name}"
"DOTA_EquippedItem_Purchase_Button"	"Kjøp"
"DOTA_EquippedItem_Marketplace_Button"	"Marked"
"DOTA_EquippedItem_RegularSetPrice"	"{s:equipped_econ_regular_set_price}"
"DOTA_EquippedItem_SetPrice"	"{s:equipped_econ_set_price}"
"DOTA_EquippedItem_TreasurePrice"	"{s:equipped_econ_treasure_price}"
"DOTA_EquippedItem_Item"	"Gjenstand"
"DOTA_EconItemSet_Name"	"{s:econ_set_name}"
"DOTA_EconItemSet_Rarity"	"{s:econ_set_rarity}"
"DOTA_EconItemSet_Status"	"{s:econ_set_status}"
"DOTA_EconItemSet_Price"	"{s:econ_set_price}"
"DOTA_EconItemSet_SaleAmount"	"-{i:econ_sale_amount}%"
"DOTA_EconItemSet_DeveloperOnly"	"Ikke offentlig"
"DOTA_HeroGrid_OptionCategory_Role"	"Roller:"
"DOTA_HeroGrid_OptionCategory_Attributes"	"Egenskaper:"
"DOTA_HeroLoadout_PreviousHeroName"	"{s:previous_hero_name}"
"DOTA_HeroLoadout_NextHeroName"	"{s:next_hero_name}"
"DOTA_HeroLoadout_CurrentHeroName"	"{s:hero_name}"
"DOTA_HeroLoadout_AttackType"	"{s:hero_attack_type}"
"DOTA_HeroLoadout_HeroFilterName"	"Helt"
"DOTA_HeroCustomize_OwnedItems"	"Eide gjenstander"
"DOTA_HeroCustomize_Slot"	"Plass"
"DOTA_HeroCustomize_SlotName"	"{s:slot_name}"
"DOTA_HeroCustomize_SlotEquippedItemName"	"{s:equipped_item_name}"
"DOTA_HeroCustomize_PreviewItemName"	"{s:preview_item_name}"
"DOTA_HeroCustomize_PreviewStyle"	"{s:preview_style_name}"
"DOTA_HeroCustomize_PreviewItemSlot"	"{s:preview_item_slot}"
"DOTA_HeroCustomize_Rarity"	"{s:preview_item_rarity}"
"DOTA_UIEconItem_StyleIndex"	"{i:style_index}"
"dota_ready_up_num_accepted"	"{i:num_accepted} / {i:total_players} aksepterte"
"returning_top_of_queue"	"Går tilbake til matchmaking med høy prioritet"
"GC_nosteam"	"Mistet tilkobling til Steam"
"GC_Wait_Time_Unknown"	"Ukjent"
"DOTA_CurrentTime"	"{t:t:current_time}"
"DOTA_MonthlyPlayers"	"{s:users_last_month}"
"DOTA_CurrentPlayers"	"{s:current_users}"
"join_error_generic"	"

"
"join_error_lobby_full"	"Lobbyen er full."
"DOTA_Friends_Ready_To_Play"	"Åpne spill"
"DOTA_Friend_Finding_Match"	"Finner kamp..."
"DOTA_Friend_In_Match"	"I kamp"
"DOTA_Friend_Solo_Open_Party"	"{s:player_name} ønsker å spille"
"DOTA_Friend_In_Party_Open"	"{s:player_name} er i en åpen gruppe"
"DOTA_Friend_Solo_Open_Party_Self"	"Du ser etter gruppemedlemmer"
"DOTA_Friend_In_Open_Party_Self"	"Du er i en åpen gruppe"
"DOTA_Friends_In_Party_Open"	"{d:num_friends} venner i åpen gruppe"
"DOTA_Friend_Lobby_Mode_1_Friend"	"{s:player_name} i {s:game_mode}-lobby"
"DOTA_Friend_Lobby_Mode_N_Friends"	"{d:num_friends} venner i {s:game_mode}-lobby"
"DOTA_Friend_Lobby_Mode_Small"	"{s:game_mode}-lobby"
"DOTA_Friend_Lobby_Players"	"{d:player_count} / {d:max_player_count}"
"DOTA_Friend_Lobby_Join_Button"	"{s:join_button_text}"
"DOTA_Friend_Lobby_Friend_Count"	"+{d:extra_friend_count}"
"DOTA_Friend_Invite_To_Party"	"Inviter til gruppe"
"DOTA_Friend_JoinParty"	"Bli med i gruppe"
"DOTA_Friend_Watch"	"Se på"
"DOTA_PartyVisTooltip_SoloTitleOpen"	"Ønsker å spille"
"DOTA_Feed_Timestamp_Recently"	"Nå nettopp"
"DOTA_Feed_Timestamp_MinutesAgo"	"{i:value} minutter siden"
"DOTA_Feed_Timestamp_HourAgo"	"{i:value} time siden"
"DOTA_Feed_Timestamp_HoursAgo"	"{i:value} timer siden"
"DOTA_Feed_Timestamp_Date"	"{s:day} {s:month}"
"dota_lobby_type_general"	"Urangert"
"dota_lobby_type_practice"	"Trening"
"dota_lobby_type_tournament"	"Turnering"
"dota_lobby_unknown"	"Ukjent"
"dota_match_result_none"	"???"
"DOTA_LoadingPlayerUnknown"	"-"
"DOTA_LoadingPlayerFullyConnected"	"Klar"
"DOTA_LoadingPlayerFailed"	"Mislyktes"
"LoadingScreenTimer"	"{t:d:countdown_timer_seconds}"
"HeroSelectionTimer"	"{i:timer_seconds}"
"LoadingScreenMapInfo"	"Kart: {s:map_name}"
"custom_end_screen_victory_message"	"{s:winning_team_name} vant!"
"custom_end_screen_legend_player"	"Spiller"
"custom_end_screen_legend_level"	"Nivå"
"custom_end_screen_legend_hero"	"Helt"
"custom_end_screen_legend_kills"	"K"
"custom_end_screen_legend_deaths"	"D"
"custom_end_screen_legend_assists"	"A"
"custom_end_screen_legend_items"	"Gjenstander"
"custom_end_screen_legend_gold"	"Gull"
"custom_end_screen_legend_team_score"	"Poeng"
"CustomEndScreenClose"	"Lukk"
"DOTA_Armory_Category_Heroes"	"Helter"
"DOTA_Armory_Category_World"	"Verden"
"DOTA_Armory_Category_Emoticons"	"Uttrykksikon"
"DOTA_Armory_Category_Audio"	"Lyd"
"DOTA_Armory_Category_Music"	"Musikk"
"DOTA_Armory_Category_All"	"Alle"
"DOTA_Armory_SortBy_Rarity"	"Sjeldenhet"
"DOTA_Armory_SortBy_Quality"	"Kvalitet"
"DOTA_Armory_SortBy_Name"	"Navn"
"DOTA_Armory_ContextMenu_Equip"	"Utstyr gjenstand"
"DOTA_Armory_ContextMenu_Delete"	"Slett"
"dota_page_match_details_loading"	"Laster kamp..."
"dota_page_match_details_victory"	"Vinner: {s:winner}"
"dota_page_match_details_legend_player"	"Spiller"
"dota_page_match_details_legend_level"	"Nivå"
"dota_page_match_details_legend_hero"	"Helt"
"dota_page_match_details_legend_kills"	"K"
"dota_page_match_details_legend_deaths"	"D"
"dota_page_match_details_legend_assists"	"A"
"dota_page_match_details_legend_items"	"Gjenstander"
"dota_page_match_details_legend_gold"	"Gull"
"dota_page_match_details_legend_denies"	"DN"
"dota_page_match_details_legend_gold_per_min"	"GPM"
"dota_page_match_details_legend_xp_per_min"	"XPM"
"dota_page_match_details_legend_winner_tooltip"	"Vinnerlag"
"dota_page_match_details_legend_kills_tooltip"	"Drap"
"dota_page_match_details_legend_deaths_tooltip"	"Dødsfall"
"dota_page_match_details_legend_assists_tooltip"	"Assister"
"dota_page_match_details_legend_gold_per_min_tooltip"	"Gull per minutt"
"dota_page_match_details_header_game_mode"	"Spillmodus"
"dota_page_match_details_header_duration"	"Varighet"
"dota_page_match_details_voting_votes"	"{i:num_votes} stemmer"
"dota_page_match_details_comment_placeholder"	"Skriv en kommentar.."
"dota_page_match_details_comment_loading_comments"	"Laster inn kommentarer..."
"dota_page_match_details_replay_existence_cdn_found"	"Last ned reprise"
"dota_page_match_details_replay_existence_downloading"	"Laster ned..."
"dota_page_match_details_replay_existence_disk_found_highlights"	"Se høydepunkter"
"dota_profile_content_tab_activity_feed"	"Aktivitetsfeed"
"dota_profile_recent_game_header_timestamp"	"Dato / Tid"
"dota_profile_recent_game_header_result"	"Resultat"
"dota_profile_recent_game_header_duration"	"Varighet"
"dota_profile_recent_game_result_abandon"	"Forlat"
"dota_profile_recent_game_icon_source1"	"S1"
"dota_profile_hero_with_index"	"{d:hero_index} {s:hero_name}"
"dota_profile_hero"	"{s:hero_name}"
"DOTA_tooltip_econ_item_name"	"{g:dota_filtered_string:item_name}"
"DOTA_tooltip_econ_item_description"	"{g:dota_filtered_string:item_description}"
"DOTA_tooltip_econ_item_rarity_label"	"Sjeldenhet: "
"DOTA_tooltip_econ_item_rarity"	"{s:item_rarity}"
"DOTA_tooltip_econ_item_gifter"	"{g:dota_persona:gifter_name}"
"DOTA_tooltip_econ_item_market_restriction_permanent"	"Ikke omsettelig"
"DOTA_tooltip_econ_item_gem_type"	"{s:gem_type}"
"DOTA_tooltip_econ_item_gem_strange_count"	"{d:strange_count}"
"DOTA_tooltip_econ_item_gem_description"	"{s:gem_description}"
"DOTA_tooltip_econ_item_partner"	"{s:partner}"
"DOTA_econ_item_details_item_name"	"{g:dota_filtered_string:item_name}"
"DOTA_econ_item_details_rarity_label"	"Sjeldenhet: "
"DOTA_econ_item_details_item_rarity"	"{s:item_rarity}"
"DOTA_econ_item_details_item_description"	"{g:dota_filtered_string:item_description}"
"DOTA_econ_item_details_gem_type"	"{s:gem_type}"
"DOTA_econ_item_details_gem_strange_count"	"{d:strange_count}"
"DOTA_econ_item_details_gem_description"	"{s:gem_description}"
