"dota"
{
"DOTA_Accept"	"Αποδοχή"
"npc_dota_hero_puck_hype"	"Ο Puck έχει ταλέντο στο να μπερδεύει τους εχθρούς του προκαλώντας αναστάτωση. Με το να τηλεμεταφέρεται στη σφαίρα του για να μεταπηδήσει μικρές αποστάσεις, επιτίθεται σε αντιπάλους με εκρήξεις σκόνης. Όταν οι εχθροί μπορούν επιτέλους να αντιδράσουν, ο Puck έχει ξεφύγει προ πολλού."
"npc_dota_hero_pudge_hype"	"Κάθε προσεκτικά στοχευμένη ρίψη του γάντζου του Pudge φοβίζει τους αντιπάλους του. Τραβάει τους εχθρούς του κοντά για να τους χαράξει με τους μπαλτάδες του, κερδίζει επιπλέον ζωή και ζημιά με κάθε σκοτωμό και σύντομα γίνεται ένας ασταμάτητος φονιάς."
"npc_dota_hero_pugna_hype"	"Ένας δαιμόνιος κατεργάρης, ο Pugna χρησιμοποιεί τη δύναμη των εχθρών εναντίον τους καθώς καταστρέφει τις άμυνές τους. Όσο το nether ward του χτυπάει κοντινούς αντιπάλους που τολμούν να εκτελέσουν ένα ξόρκι, αυτός απορροφά τη ζωή από τους εχθρούς για να σιγουρέψει ότι θα είναι έτοιμος για την επόμενη επίθεση."
"npc_dota_hero_queenofpain_hype"	"Η Queen of Pain επιτίθεται χωρίς προειδοποίηση, καταστρέφοντας συγκεντρωμένους ήρωες με εκκωφαντικές κραυγές. Σε περίπτωση που ένας εχθρός επιβιώσει επίθεσή της, τον επιβραδύνει με το ξιφίδιό της μέχρι να τον αποτελειώσει."
"npc_dota_hero_razor_hype"	"Με μια θανάσιμη καταιγίδα κεραυνών στη διάθεσή του, ο Razor ορμά μέσα στη μάχη. Εξαπολύει ένα σαρωτικό δακτύλιο ηλεκτρισμένου πλάσματος για να ψήσει τους εχθρούς του και συνδέεται με τους αντιπάλους του για να κλέψει τη δύναμή τους."
"npc_dota_hero_riki_hype"	"Ο Riki παραμονεύει στο πεδίο της μάχης, αόρατος από τους εχθρούς. Επιλέγει πότε να δράσει προσεκτικά και ξεπετάγεται μέσα από ένα σύννεφο καπνού, μαχαιρώνοντας τους αντιπάλους του πριν ακόμα καταλάβουν ότι είναι εκεί."
"npc_dota_hero_rubick_hype"	"Ψάχνοντας πάντα μια νέα μαγεία να κλέψει, ο Rubick είναι πρόθυμος να στρέψει το πιο μοναδικό πλεονέκτημα ενός εχθρού εναντίον του. Αρπάζοντας τους εχθρούς του στον αέρα για να τους εκτοξεύσει όπου θέλει, δεν έχει κανένα πρόβλημα να σπείρει το χάος μεταξύ των απρόσεκτων εχθρών."
"npc_dota_hero_sand_king_hype"	"Δεν είναι πολλοί αυτοί που μπορούν να επιβιώσουν από μια ενέδρα του Sand King. Καταστρέφει τα πάντα τριγύρω του με κύματα θανάσιμων δονήσεων από την απόλυτή του, αποφεύγει αντεπιθέσεις με το να κρύβεται σε μια αμμοθύελλα και προκαλεί σάστιση στους εχθρούς χτυπώντας τους από κάτω."
"npc_dota_hero_shadow_demon_hype"	"Λίγοι τολμούν να πλησιάσουν τον Shadow Demon καθώς εκλύει σύννεφα δαιμονικού δηλητηρίου για να προκαλέσει ζημιά ή για να ανιχνεύσει στο πεδίο της μάχης. Εξορίζει έναν εχθρό όσο οι σύμμαχοί του πλησιάζουν για το σκοτωμό και μπορεί να ρίξει δαιμονικές κατάρες όσο κλητεύει ψευδαισθήσεις για να στρέψει την εχθρική δύναμη εναντίον στους εχθρούς του."
"npc_dota_hero_nevermore_hype"	"Παγιδεύοντας ψυχές με κάθε σκοτωμό, ο Shadow Fiend πάντα δυναμώνει. Κάθε επίθεση, κάθε προσεκτικά στοχευμένη ισοπέδωση που σκοτώνει έναν εχθρό, τον φέρνει πιο κοντά στην απελευθέρωση των συλλεγμένων ψυχών σε μια θανάσιμη έκρηξη."
"npc_dota_hero_shadow_shaman_hype"	"Ο Shadow Shaman καθαρίζει γρήγορα το δρόμο για να παρελάσουν στη βάση των εχθρών οι σύμμαχοί του. Χτυπάει τους εχθρούς με ηλεκτρικές μαγείες και σταματάει τους επιτιθέμενους με κατάρες, ενώ τα πανίσχυρα φιδίσια ραβδιά του καταστρέφουν τις εχθρικές άμυνες με ευκολία."
"npc_dota_hero_silencer_hype"	"Ο Silencer αλλάζει τη δυναμική κάθε μάχης όταν αφαιρεί την ικανότητα εκτέλεσης ξορκιών από τους εχθρούς. Όσο κόβει σε κορδέλες τους εχθρούς του με τη ρομφαία του, κλέβει την ευφυΐα τους και την προσθέτει στη δική του, σιγουρεύοντας ότι οι αντίπαλοι πάντα έχουν μειονέκτημα."
"npc_dota_hero_skywrath_mage_hype"	"Εξίσου θανάσιμος και εύθραυστος, ο Skywrath Mage καταστρέφει γρήγορα τους εχθρούς του με έναν βομβαρδισμό ισχυρής μαγείας. Κάνει τους εχθρούς ανίκανους να εκτελέσουν ικανότητες ενώ ταυτόχρονα τους κάνει πιο ευάλωτους στα ξόρκια, το οποίο σημαίνει ότι δεν ταλαιπωρείται καθόλου όταν εξατμίζει οποιονδήποτε σταθεί εναντίον του."
"npc_dota_hero_slardar_hype"	"Έτοιμος να βρει και να συντρίψει τους εχθρούς του, ο Slardar έρπεται γρήγορα στη μάχη. Αφού εκθέσει την θέση ενός εχθρού και του θρυμματίσει την άμυνά του, μειώνει την απόσταση ώστε να τον κρατήσει σε ένα σημείο με συντριπτικά πλήγματα και ισχυρά χτυπήματα από την τρίαινά του."
"npc_dota_hero_slark_hype"	"Το να ορμά μέσα στη μάχη και μετά να ξεγλιστράει είναι αυτό που κάνει καλύτερα ο Slark. Τρέχει στην πρώτη ευκαιρία για να ακινητοποιήσει ή να περικυκλώσει έναν αντίπαλο, κλέβει την ουσία του με κάθε κοπή του ξιφιδίου του, και είναι πάντα έτοιμος να εξαφανιστεί πριν χάσει το πλεονέκτημα."
"npc_dota_hero_sniper_hype"	"Ο θάνατος από μακριά είναι ειδικότητα του Sniper. Κρατάει τους εχθρούς του σε απόσταση με μια σταθερή ομοβροντία από πυροβολισμούς και όταν έρθει η κατάλληλη στιγμή τους αποτελειώνει με μια θανάσιμη βολή."
"npc_dota_hero_spectre_hype"	"Η Spectre κυνηγά τους εχθρούς της οπουδήποτε και αν βρίσκονται. Ικανή να καταστρέψει με ευκολία το μοναχικό θύμα της, εξαπλώνει την παρουσία της σε όλο το πεδίο της μάχης για να επιλέξει τον στόχο της. Μόλις μαζέψει τη δύναμή της, κανείς δεν μπορεί να ξεφύγει από την τρομερή οργή της."
"npc_dota_hero_spirit_breaker_hype"	"Εξαιρετικά ευκίνητος και πάντα επιθετικός, ο Spirit Breaker ορμά κατά μήκος του χάρτη για να φέρει τη μάχη στους εχθρούς του. Με κάθε χτύπημα του βαριού φαναριού του, ρίχνει τους εχθρούς του αναίσθητους. Οι εχθροί του μπορεί να τρέξουν, αλλά με τη βοήθεια μερικών ραβδιών, δεν μπορούν να κρυφτούν."
"npc_dota_hero_storm_spirit_hype"	"Ο Storm Spirit ποτέ δε θα λείψει από μάχη. Μεταφέρεται κατά μήκος του πεδίου μάχης πάνω σε έναν κεραυνό, χτυπάει τους εχθρούς του από κάθε κατεύθυνση με εκρηκτικά απομεινάρια και φορτισμένες επιθέσεις, και μετά εξαφανίζεται όσο οι εχθροί προσπαθούν να αντιδράσουν."
"npc_dota_hero_sven_hype"	"Ο Sven ανυπομονεί πάντα να ορμήσει μέσα στη μάχη. Σαστίζει ομαδοποιημένους εχθρούς καθώς προχωράει στη μάχη, και μόλις ενεργοποιήσει την απόλυτη ικανότητά του, μερικά χτυπήματα του ογκώδους σπαθιού του είναι αρκετά πολλές φορές για να σφάξει τους εχθρούς του."
"npc_dota_hero_techies_hype"	"Για τους Techies, η μάχη είναι θέμα σκανδαλιάς. Γελάνε καθώς τοποθετούν τις παγίδες τους στο πεδίο της μάχης και οι εκρηκτικές νάρκες τους, οι παγίδες σαστισμού τους, και οι τηλε-ενεργοποιούμενες βόμβες τους είναι συχνά υπέρ αρκετές για να αιφνιδιάσουν τους απρόσεκτους αντιπάλους ή για να διαλύσουν μια εχθρική επίθεση."
"npc_dota_hero_templar_assassin_hype"	"Προετοιμάζοντας το πεδίο της μάχης με παγίδες επιβράδυνσης, η Templar Assassin κρύβεται αόρατη, έτοιμη να στήσει ενέδρα στο θήραμά της. Μόλις ξεκινήσει την επίθεσή της, πετσοκόβει τους εχθρούς της με διατρητικές ψυχικές λεπίδες, και εκτρέπει τις αντεπιθέσεις με την ασπίδα της."
"npc_dota_hero_terrorblade_hype"	"Με τον Terrorblade, τίποτα δεν είναι όπως φαίνεται. Δημιουργεί ισχυρές ψευδαισθήσεις για να μπερδέψει εχθρούς και να διαλύσει τις άμυνές τους, ενώ μπορεί να εναλλάξει τι ζωή του με εχθρούς και φίλους για να κρατήσει μακριά το θάνατο ή να αποδυναμώσει τους εχθρούς του."
"npc_dota_hero_tidehunter_hype"	"Παραμονεύοντας μπροστά από την ομάδα του, ο Tidehunter πάντα ψάχνει για την κατάλληλη στιγμή για να χτυπήσει. Όταν έρθει αυτή, εξαπολύει την καταστροφική απόλυτη ικανότητά του, στρώνοντας το δρόμο στους συμμάχους του ώστε να σφάξουν τους σαστισμένους εχθρούς τους."
"npc_dota_hero_shredder_hype"	"Άπιαστος και απρόβλεπτος, ο Timbersaw κόβει το δάσος για να αντιμετωπίσει τους αντιπάλους του. Εξαπολύει ένα οπλοστάσιο από πριονωτές λεπίδες για να τεμαχίσει τους εχθρούς του, ενώ μεταφέρεται με την αλυσίδα του σε κοντινά δέντρα και λιώνει τους αντιπάλους που είναι στο δρόμο του."
"npc_dota_hero_tinker_hype"	"Ο Tinker καταστρέφει εχθρούς με σμήνη από μηχανές και μια γκάμα θανάσιμων συσκευών. Αν μπορέσει να μαζέψει τις προμήθειες που χρειάζεται, η δύναμη που ανανεώνει επιτόπου τις ικανότητές του του επιτρέπει να οδηγήσει την ομάδα του σε κάθε μέτωπο."
"npc_dota_hero_tiny_hype"	"Μεγαλώνοντας σε τεράστια μεγέθη και δύναμη καθώς εξελίσσεται η μάχη, η δύναμη του Tiny μπορεί να γίνει γρήγορα τρομακτική. Ρίχνει ήρωες και μονάδες στους εχθρούς του, ή τους σαστίζει κάτω από μια κατολίσθηση. Αν φτάσει στο μέγιστο της δύναμής του, μπορεί να διαλύσει τη βάση του εχθρού με ευκολία."
"npc_dota_hero_treant_hype"	"Ο Treant Protector είναι πάντα ο καλοκάγαθος σύμμαχος, που δημιουργεί αναζωογονητικές άμυνες για τους ακολούθους του και τις οχυρώσεις τους. Προβάλει αόρατος ανάμεσα από τα δέντρα, και παγιδεύει τους εχθρούς του με βλάστηση όσο κλέβει τη ζωή τους και τη μεταβιβάζει στους κοντινούς συμμάχους του."
"npc_dota_hero_troll_warlord_hype"	"Ικανός να εναλλάξει επιτόπου μεταξύ μακρινών και κοντινών επιθέσεων, ο Troll Warlord είναι μια τρομερή δύναμη ανεξάρτητα αποστάσεως. Με τα τσεκούρια στα χέρια, μπορεί να επιτεθεί με μια καταιγίδα περιστρεφόμενων λεπίδων. Σκοτώνει εχθρούς με όλο συχνότερες επιθέσεις, και μπορεί να επιταχύνει τις επιθέσεις των συμμάχων του όπου και αν βρίσκονται."
"npc_dota_hero_tusk_hype"	"Ο Tusk είναι πάντα ανυπόμονος να αρχίσει έναν καυγά. Ικανός να περικυκλώσει αμέσως έναν εχθρό με έναν τοίχο πάγου, συλλέγει τους συμμάχους του και κυλάει προς τους εχθρούς του μέσα σε μια τεράστια χιονόμπαλα, και πλησιάζει αρκετά ώστε να πετύχει την φημισμένη γροθιά του."
"npc_dota_hero_undying_hype"	"Τρικλίζοντας στη μάχη, ο Undying αναγκάζει τους εχθρούς να αποφασίσουν αν θα τρέξουν για να σωθούν από την οργή του ή αν θα μείνουν για να διαλυθούν από αυτή. Κλέβει τη δύναμη των εχθρών του, και κλητεύει μια ορδή απέθαντων. Όταν επιτέλους γίνει ένα ογκώδες γκόλεμ σάρκας, οι εχθροί του μπορεί να είναι ήδη κατατροπωμένοι."
"npc_dota_hero_ursa_hype"	"Με κάθε χτύπημα των νυχιών του, ο Ursa αυξάνει την ευπάθεια του στόχου του στην επόμενη επίθεσή του. Ικανός να αυξήσει προσωρινά το πόσο γρήγορα μπορεί να επιτεθεί, και ικανός να επιβραδύνει το κοντινό του θήραμα, ξεσκίζει γρήγορα τους εχθρούς του."
"npc_dota_hero_vengefulspirit_hype"	"Η παρουσία της Vengeful Spirit είναι διαρκώς ορατή, είτε είναι ζωντανή είτε νεκρή. Ικανή να εναλλάσει θέσεις με οποιονδήποτε κοντινό ήρωα, να σαστίζει τους εχθρούς και να μειώνει την αποτελεσματικότητα του φονιά της καθώς εκείνη πέσει, συνεχώς προκαλεί σύγχυση και χάος στους αντιπάλους της."
"npc_dota_hero_venomancer_hype"	"Ο Venomancer φέρνει αργό θάνατο στους εχθρούς του. Παράγοντας μια ατέλειωτη στρατιά από παρατηρητές που φτύνουν τοξίνες για να υπερασπίσουν το έδαφός του, πλησιάζει τους εχθρούς του και απελευθερώνει ένα τεράστιο σύννεφο από δηλητήριο για να τους αποδυναμώσει."
"npc_dota_hero_viper_hype"	"Εκτοξεύοντας θανάσιμο δηλητήριο από απόσταση, ο Viper αποτελεί μια σοβαρή απειλή τάφο σε όποιον στοχεύει. Καθώς οι διάφορες τοξίνες ροκανίζουν τη ζωή του εχθρού, ταυτόχρονα επιβραδύνει την κίνησή τους. Ο Viper κάνει απλά αυτό που ξέρει να κάνει καλύτερα: προσθέτει περισσότερο δηλητήριο."
"npc_dota_hero_visage_hype"	"Καθώς οι θανατηφόροι ακόλουθοί του σαρώνουν το πεδίο, o Visage καλύπτει τον εαυτό του με πανοπλία και επιδιώκει την επόμενη μάχη. Μόλις είναι κοντά σε μια αψιμαχία, συγκεντρώνει ψυχική για να αποδεσμεύσει μια καταστροφική επίθεση."
"npc_dota_hero_warlock_hype"	"Κλητεύοντας εμπρός το δαιμονικό γκόλεμ του, ο Warlock φέρνει το χαμό στους εχθρούς και να καταστρέφει τις άμυνες τους. Ωστόσο, ακόμη και χωρίς γκόλεμ του, τα σκοτεινά ξόρκια του να εξακολουθούν να σπέρνουν τον όλεθρο."
"npc_dota_hero_weaver_hype"	"Ο Weaver δεν έχει κανένα πρόβλημα να αποφεύγει τους εχθρούς του. Η ολίσθηση του μέσα και έξω από το οπτικό πεδίο των εχθρών, τον βοηθάει ώστε να αποφεύγει πάντα το θάνατο. Το οπλοστάσιο των δεξιοτήτων του διασφαλίζει ότι είναι πάντα μια κρίσιμη ενόχληση στους εχθρούς του."
"npc_dota_hero_windrunner_hype"	"Γρήγορη και ευκίνητη, η Windranger επιδιώκει πάντα τη σωστή γωνία όταν επιτίθεται. Είτε αυτή είναι ανοίγοντας το δρόμο με την πανίσχυρη βολή της, είτε με το σάστισμα πολλαπλών εχθρών μαζί. Πάντα βρίσκεται σε κίνηση."
"npc_dota_hero_winter_wyvern_hype"	"Η Winter Wyvern καταδιώκει τους ουρανούς, επιβραδύνοντας εχθρούς με καυτερό κρύο καθώς πετά στα ύψη πάνω από το πεδίο της μάχης. Σε περίπτωση που οι εχθροί είναι τόσο ανόητοι ώστε να συγκεντρωθούν, τότε τους καταριέται ώστε να επιτεθούν μεταξύ τους."
"npc_dota_hero_witch_doctor_hype"	"Ο Witch Doctor είναι ό, τι η ομάδα του χρειάζεται να είναι. Βοηθάει την ομάδα του με σταδιακή θεραπεία και σαστίζοντας τους εχθρούς τους οποίους μπορεί να καταριέται. Λίγοι μπορούν να φτάσουν την ευελιξία Witch Doctor."
"npc_dota_hero_skeleton_king_hype"	"Δρασκελίζοντας άφοβα προς τους εχθρούς του, ο Wraith King σαστίζει τους εχθρούς του και να κατακόβει μέχρι να υποταχθούν. Σε περίπτωση που οι εχθροί του πάρουν το πάνω χέρι, η απόλυτη ικανότητά του είναι η ανάσταση, οπότε και θα έχουν άλλη μια ευκαιρία για να δοκιμάσουν το σπαθί του."
"npc_dota_hero_zuus_hype"	"Κανείς δεν μπορεί να κρυφτεί από τον Zeus, ο οποίος είτε καλεί ένα αστροπελέκι για να αποκαλύψει τον περίγυρο, είτε στέλνει μια αλυσιδωτή αστραπή στους κοντινότερους εχθρούς του. Όπου και να είναι οι εχθροί του, ο Zeus θα τους βρει."
"DOTA_AbilityTooltip_Name"	"{s:name}"
"DOTA_AbilityTooltip_Level"	"Επίπεδο {s:level}"
"DOTA_AbilityTooltip_TargetType"	"ΕΠΗΡΕΑΖΕΙ: {s:targettype}"
"DOTA_AbilityTooltip_CastType"	"ΙΚΑΝΟΤΗΤΑ: {s:casttype}"
"DOTA_AbilityTooltip_DamageType"	"ΤΥΠΟΣ ΖΗΜΙΑΣ: {s:damagetype}"
"DOTA_AbilityTooltip_SpellImmunityType"	"ΔΙΑΠΕΡΑΣΗ ΜΑΓΙΚΗΣ ΑΠΡΟΣΒΛΗΤΟΤΗΤΑΣ: {s:spellimmunity}"
"DOTA_AbilityTooltip_Description"	"{s:description}"
"DOTA_AbilityTooltip_ScepterDescription"	"{s:scepterdescription}"
"DOTA_AbilityTooltip_ExtraDescription"	"{s:extradescription}"
"DOTA_AbilityTooltip_Attributes"	"{s:attributes}"
"DOTA_AbilityTooltip_Cooldown"	"{s:cooldown}"
"DOTA_AbilityTooltip_ManaCost"	"{s:manacost}"
"DOTA_AbilityTooltip_Lore"	"{s:lore}"
"DOTA_AbilityTooltip_UpgradeLevel"	"Αναβάθμιση σε επίπεδο ήρωα {d:upgradelevel}"
"DOTA_AbilityTooltip_BuildHeader"	"Οδηγός ικανοτήτων"
"DOTA_AbilityTooltip_BuildComment"	"{s:buildcomment}"
"DOTA_PersonaTooltip_Title"	"{g:dota_persona:account_id}"
"DOTA_PersonaTooltip_TitlePro"	"{g:dota_persona_pro:account_id}"
"DOTA_PendingInvites"	"Προσκλήσεις παρέας"
"DOTA_PendingInvitesTooltip_None"	"Καμία πρόσκληση σε εκκρεμότητα"
"DOTA_PendingInvitesTooltip_1"	"1 πρόσκληση σε εκκρεμότητα"
"DOTA_PendingInvitesTooltip_N"	"{d:pending_invite_count} προσκλήσεις σε εκκρεμότητα"
"DOTA_PendingInvitesTooltip_Leader"	"Πατήστε για διαχείριση των προσκλήσεων."
"DOTA_PendingInvitesTooltip_NonLeader"	"Πατήστε για προβολή των προσκλήσεων."
"DOTA_PendingInvitesCancelAll"	"Ακύρωση όλων των προσκλήσεων"
"DOTA_PendingInvitesNotPartyLeader"	"Μόνο ο αρχηγός της παρέας μπορεί να διαχειριστεί τις προσκλήσεις"
"DOTA_ChatTab_NotInChannelMessage"	"Κανείς δεν σας ακούει."
"DOTA_ChatTab_ToggleGlobal"	"Εμφάνιση μηνυμάτων από αυτό το κανάλι σε όλες τις καρτέλες."
"DOTA_ChatTab_Close"	"Κλείσιμο καρτέλας."
"DOTA_ChatTab_Leave"	"Αποχώρηση από κανάλι."
"DOTA_JoinChatChannel_Title"	"Σύνδεση σε κανάλι"
"DOTA_JoinChatChannel_Description"	"Δημιουργία ή σύνδεση σε κανάλι συνομιλίας."
"DOTA_JoinChatChannel_AddToCurrentTab"	"Προσθήκη στην τρέχουσα καρτέλα «{s:current_tab_name}»"
"DOTA_JoinChatChannel_CreateNewTab"	"Δημιουργία νέας καρτέλας:"
"DOTA_Chat_ChannelName"	"{s:channel_name}"
"DOTA_Chat_ChannelMemberCount_Singular"	"1 Μέλος"
"DOTA_Chat_ChannelMemberCount_Plural"	"{d:channel_member_count} μέλη"
"DOTA_EditChatTab_Title"	"Τροποποίηση καρτέλας συνομιλίας"
"DOTA_EditChatTab_Description"	"Επιλέξτε ποια μηνύματα θέλετε να εμφανίζονται σε αυτή την καρτέλα."
"DOTA_EditChatTab_AddNewChannel"	"Προσθήκη νέου καναλιού..."
"DOTA_EditChatTab_TabName"	"Όνομα καρτέλας:"
"DOTA_EditChatTab_ChannelToggleDisabled"	"Το {s:target} πρέπει να είναι τουλάχιστον σε μια καρτέλα."
"DOTA_EditChatTab_Target"	"{s:target}"
"DOTA_Chat_TimestampFormat"	"{t:t:timestamp}"
"DOTA_Chat_Autocomplete_Title"	"{s:autocomplete_title}"
"DOTA_Chat_Autocomplete_NoMatches"	"Χωρίς αγώνες"
"DOTA_Chat_Autocomplete_WhisperFriends"	"Αποστολή ιδιωτικού μηνύματος σε φίλο"
"DOTA_Chat_Autocomplete_InviteFriends"	"Πρόσκληση φίλου"
"DOTA_Chat_Autocomplete_Channels"	"ΚΑΝΑΛΙΑ"
"DOTA_Chat_Autocomplete_Commands"	"Εντολές"
"DOTA_Chat_Autocomplete_CommandName"	"/{s:command_name}"
"DOTA_Chat_Autocomplete_CommandDescription"	"{s:command_description}"
"dota_suggest_invite_format"	"Προσκαλέστε τον {s:invite_persona} στην παρέα."
"dota_suggest_invite_format_leader"	"Προσκαλέστε τον {s:invite_persona} στην παρέα. ( <a href=\"event:DOTAInviteToParty({s:invite_persona_steamid})\" class=\"InviteButton\">Αποστολή πρόσκλησης</a> )"
"dota_suggest_invite_format_lobby"	"Προσκαλέστε τον {s:invite_persona} στο λόμπι."
"dota_suggest_invite_format_lobby_leader"	"Προσκαλέστε τον {s:invite_persona} στο λόμπι. ( <a href=\"event:DOTAInviteToLobby({s:invite_persona_steamid})\" class=\"InviteButton\">Αποστολή πρόσκλησης</a> )"
"DOTA_ChatMessage_Default"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">[{s:target}]</span> <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperTo"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">Προς <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_WhisperFrom"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\">Από <span class=\"ChatPersona\">{s:event_crest}{s:battle_cup_icon}{s:persona}</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatMessage_System"	"<span class=\"{s:target_class} {s:sender_class} {s:visitor_class}\"><span class=\"ChatTarget\">({s:target})</span>: {g:dota_filtered_string:message}</span>"
"DOTA_ChatTarget_Format_Default"	"{s:target}"
"DOTA_ChatTarget_Prompt_Default"	"Προς ({s:target}):"
"DOTA_ChatTarget_Format_Whisper"	"{s:persona}"
"DOTA_ChatTarget_Prompt_Whisper"	"Προς [{s:persona}]:"
"DOTA_ChatTarget_Party"	"Παρέα"
"DOTA_ChatTarget_Lobby"	"Λόμπι"
"DOTA_ChatTarget_Team"	"Ομάδα"
"DOTA_ChatTarget_Guild"	"Σύλλογος"
"DOTA_ChatTarget_Fantasy"	"Εικονικό"
"DOTA_ChatTarget_Console"	"Κονσόλα"
"DOTA_ChatTarget_Whisper"	"Ιδιωτικό μήνυμα"
"DOTA_ChatTarget_Invalid"	"Χωρίς κανάλι"
"DOTA_ChatTarget_GameAll"	"Όλοι"
"DOTA_ChatTarget_GameAllies"	"Σύμμαχοι"
"DOTA_ChatTarget_GameCoaching"	"Καθοδήγηση"
"DOTA_ChatTarget_GameSpectator"	"Θεατής"
"DOTA_ChatTargetMenu_Title"	"{s:target}"
"DOTA_ChatTargetMenu_ToggleEnabled"	"{s:toggle_enabled}"
"DOTA_ChatTargetMenu_NotActive"	"(Μη ενεργό)"
"DOTA_Chat_Placeholder"	"Πληκτρολογήστε εδώ για να μιλήσετε. Χρησιμοποιήστε το «/» για εντολές."
"DOTA_Chat_MissedMessages"	"{s:missed_message_count}"
"DOTA_ChatCommand_Party"	"p"
"DOTA_ChatCommand_Party_Name"	"Παρέα"
"DOTA_ChatCommand_Party_Description"	"Συνομιλία με την τρέχουσα παρέα σας."
"DOTA_ChatCommand_Lobby"	"l"
"DOTA_ChatCommand_Lobby_Name"	"Λόμπι"
"DOTA_ChatCommand_Lobby_Description"	"Συνομιλία με το τρέχον λόμπι."
"DOTA_ChatCommand_Channel"	"c"
"DOTA_ChatCommand_Channel_Name"	"Κανάλι"
"DOTA_ChatCommand_Channel_Description"	"Συνομιλία με ένα συγκεκριμένο κανάλι."
"DOTA_ChatCommand_Whisper"	"w"
"DOTA_ChatCommand_Whisper_Name"	"Ιδιωτικό μήνυμα"
"DOTA_ChatCommand_Whisper_Description"	"Αποστολή ιδιωτικού μηνύματος σε φίλο."
"DOTA_ChatCommand_Reply"	"r"
"DOTA_ChatCommand_Reply_Name"	"Απάντηση"
"DOTA_ChatCommand_Reply_Description"	"Απαντήστε σε ένα ιδιωτικό μήνυμα που στάλθηκε από έναν φίλο."
"DOTA_ChatCommand_Help"	"?"
"DOTA_ChatCommand_Help_Name"	"Βοήθεια"
"DOTA_ChatCommand_Help_Description"	"Προβολή βοήθειας για τις εντολές συνομιλίας."
"DOTA_ChatCommand_InviteToParty"	"partyinvite"
"DOTA_ChatCommand_InviteToParty_Name"	"Πρόσκληση σε παρέα"
"DOTA_ChatCommand_InviteToParty_Description"	"Προσκαλέστε έναν φίλο να συνδεθεί στην παρέα σας."
"DOTA_ChatCommand_LeaveParty"	"leaveparty"
"DOTA_ChatCommand_LeaveParty_Name"	"Έξοδος από παρέα"
"DOTA_ChatCommand_LeaveParty_Description"	"Αποχώρηση από την τρέχουσα παρέα σας."
"DOTA_ChatCommand_JoinChannel"	"joinchannel"
"DOTA_ChatCommand_JoinChannel_Name"	"Σύνδεση σε κανάλι"
"DOTA_ChatCommand_JoinChannel_Description"	"Συνδεθείτε ή δημιουργήστε κανάλι συνομιλίας."
"DOTA_ChatCommand_LeaveChannel"	"leavechannel"
"DOTA_ChatCommand_LeaveChannel_Name"	"ΑΠΟΧΩΡΗΣΗ"
"DOTA_ChatCommand_LeaveChannel_Description"	"Αποχώρηση από συγκεκριμένο κανάλι συνομιλίας."
"DOTA_ChatCommand_GameAll"	"all"
"DOTA_ChatCommand_GameAll_Name"	"Όλοι"
"DOTA_ChatCommand_GameAll_Description"	"Συνομιλήστε με όλους τους παίκτες στο παιχνίδι."
"DOTA_ChatCommand_GameAllies"	"allies"
"DOTA_ChatCommand_GameAllies_Name"	"Σύμμαχοι"
"DOTA_ChatCommand_GameAllies_Description"	"Συνομιλήστε με τους συμμάχους σας."
"DOTA_ChatCommand_GameCoaching"	"καθοδηγητής"
"DOTA_ChatCommand_GameCoaching_Name"	"Καθοδήγηση"
"DOTA_ChatCommand_GameCoaching_Description"	"Συνομιλήστε με τον μαθητή ή τον καθοδηγητή σας."
"DOTA_ChatCommand_GameSpectator"	"θεατής"
"DOTA_ChatCommand_GameSpectator_Name"	"Θεατής"
"DOTA_ChatCommand_GameSpectator_Description"	"Συνομιλήστε με τους άλλους θεατές."
"DOTA_ChatCommand_Clear"	"clear"
"DOTA_ChatCommand_Clear_Name"	"Εκκαθάριση"
"DOTA_ChatCommand_Clear_Description"	"Εκκαθάριση της ορατής συνομιλίας στην καρτέλα."
"DOTA_Chat_UnknownCommandMessage"	"Άγνωστη εντολή «{s:chat_command}»"
"DOTA_ChatHelp_Targets"	"Στόχοι"
"DOTA_ChatHelp_Commands"	"Εντολές"
"DOTA_ChatHelp_NameFormat"	"{s:command_name}:"
"DOTA_ChatHelp_CommandFormat"	"/{s:command}"
"DOTA_Chat_JoinedParty"	"Συνδεθήκατε σε παρέα: {s:party_members}"
"DOTA_Chat_LeftParty"	"Η παρέα διαλύθηκε."
"DOTA_Chat_MemberJoinedParty"	"Παίκτης συνδέθηκε στην παρέα: {s:party_members}"
"DOTA_Chat_MemberLeftParty"	"Παίκτης αποχώρησε από την παρέα: {s:party_members}"
"DOTA_Chat_InvitedToJoinParty"	"Προσκλήθηκαν: {s:party_members}"
