"dota"
{
"DOTA_Accept"	"Accepter"
"DOTA_GiftWrap_Error_RateLimitedCharge"	"À votre niveau de points de bataille, vous ne pouvez offrir que {d:gift_limit_count} objets non échangeables dans les {d:gift_limit_hours} heures. Ce cadeau ne peut pas être envoyé pour le moment."
"DOTA_GiftWrap_Error_RateLimitedChargeNone"	"À votre niveau de points de bataille, vous ne pouvez offrir que des objets non échangeables. Ce cadeau ne peut pas être envoyé pour le moment."
"DOTA_Custom_Game_Sort_Most_Played"	"Les plus populaires (cette semaine)"
"dota_settings_about"	"À propos"
"dota_settings_fullscreen_focus_behavior"	"Le plein écran fenêtré se minimise lors de la perte du focus"
"DOTA_EquippedItem_AddToShuffle"	"Ajouter au mélange"
"DOTA_EquippedItem_RemoveFromShuffle"	"Supprimer du mélange"
"DOTA_EquippedItem_Unpack_And_AddToShuffle"	"Déballer et ajouter au mélange"
"DOTA_ClientVersion"	"Version : <span class=\"VersionNumber\">{d:client_version_number}</span>"
"DOTA_GameplayVersion"	"Version du jeu : <span class=\"VersionNumber\">{s:gameplay_version_number}</span>"
"DOTA_Credits_DefaultAnnouncer_Extra"	"et l'annonceur par défaut"
"DOTA_Credits_SecretShopkeeper_Extra"	"et le Secret Shopkeeper"
"DOTA_Credits_WarlockGolem_Extra"	"et le Golem du Warlock"
"DOTA_Recycling"	"Recyclage"
"DOTA_Recycling_Action"	"Recycler"
"DOTA_Recycling_DragItems"	"Déposez vos objets indésirables ici"
"DOTA_Recycling_Outputs"	"Recevoir"
"DOTA_Recycling_Confirm"	"Voulez-vous vraiment recycler ces objets ?"
"DOTA_RecyclingCharm_Name"	"Charme des joyaux du creuset II"
"DOTA_RecyclingCharm_Bonus"	"+25 pièces de Compendium"
"custom_game_file_error"	"Erreur d'accès aux fichiers de jeu personnalisés."
"DOTA_Previous"	"Précédent"
"DOTA_PreviousShort"	"Précédent"
"DOTA_Next"	"Suivant"
"DOTA_Friends_Add_Friend_Tooltip"	"Ajouter à votre liste d'amis"
"DOTA_Friends_Add_Friend_Entry_Placeholder"	"Saisissez l'ID d'un ami pour faire une recherche"
"DOTA_Friends_Add_Friend_Your_ID"	"Votre ID ami est : "
"dota_settings_voice_always_sample_mic"	"Push To Talk simplifié"
"dota_settings_voice_always_sample_mic_tooltip"	"Garde le périphérique d'enregistrement vocal actif pour éviter que le jeu ne se fige sur certains ordinateurs."
"DOTA_EconItemSet_Tooltip_MultipleTeams"	"Possède des styles différents pour Radiant et Dire"
"DOTA_HeroLoadout_Shuffle_Count"	"Objet(s) dans le mélange : ({i:loadout_items_in_shuffle})"
"DOTA_HeroLoadout_Add_All_To_Shuffle"	"Tout ajouter au mélange"
"DOTA_HeroLoadout_Clear_Shuffle"	"Changer l'équipement"
"DOTA_Armory_ActiveFilter"	"{s:filter_field} {s:filter_op} {s:filter_value}"
"DOTA_Treasure_Purchase"	"Acheter un trésor"
"DOTA_Treasure_CharmPurchase"	"Acheter un porte-bonheur"
"DOTA_Treasure_SearchPlaceholder"	"Rechercher des trésors"
"DOTA_Treasure_ViewAll"	"Voir tous les trésors"
"DOTA_Treasure_QuantityOption"	"Qté : {d:quantity}"
"DOTA_Treasure_Gift"	"Cadeau"
"DOTA_Treasure_Open"	"Ouvrir"
"DOTA_Treasure_OpenQuantity"	"{d:owned_quantity}"
"DOTA_Treasure_Owned"	"Possédé"
"DOTA_Treasure_Received"	"Reçu"
"DOTA_Treasure_Autographed"	"Dédicace"
"DOTA_Treasure_AutographName"	"{s:treasure_autograph_name}"
"DOTA_OpenTreasureTooltip_NormalTitle"	"Contient les objets suivants :"
"DOTA_OpenTreasureTooltip_NoDupeDescription"	"Vous ne recevrez pas de doublons jusqu'à ce que vous en possédiez un de chaque."
"DOTA_OpenTreasureTooltip_DupeDescription"	"Il est possible que vous receviez des doublons avant d'en avoir un de chaque."
"DOTA_OpenTreasureTooltip_RareTitle"	"Et la chance de recevoir des récompenses bonus"
"DOTA_OpenTreasureTooltip_UnitName"	"{s:unit_name}"
"DOTA_OpenTreasureTooltip_ItemName"	" - {g:dota_item_name:item_def}"
"dota_profile_content_tab_official_info"	"Infos pro"
"dota_profile_oi_player_name"	"PSEUDO"
"dota_profile_oi_player_name_sub"	"Il doit être reconnaissable par les joueurs à travers le monde, et ne doit contenir aucune affiliation à une équipe ou à un sponsor quelconque."
"dota_profile_oi_team"	"ÉQUIPE"
"dota_profile_oi_team_sub"	"Si vous jouez pour une équipe Dota de façon officielle, veuillez la sélectionner. Le tag de l'équipe sera ajouté à votre nom en tant que préfixe. Les joueurs professionnels seront assignés à leurs équipes automatiquement."
"dota_profile_oi_sponsor"	"SPONSOR"
"dota_profile_oi_sponsor_sub"	"Ces sponsors seront ajoutés à votre nom."
"dota_profile_oi_country"	"PAYS"
"dota_profile_oi_role"	"RÔLE"
"dota_profile_oi_role_sub"	"Si vous jouez un rôle spécifique, sélectionnez-le. Core comprend des joueurs jouant en tant que carry, mid et off-lane."
"dota_profile_oi_preview"	"C'est ainsi que votre nom sera affiché sur les tableaux de score et dans les parties de ligue :"
"dota_profile_oi_preview_warning"	"Cette information ne peut être éditée qu'une fois toutes les deux semaines, assurez-vous donc qu'elle soit correcte avant de mettre à jour !"
"dota_profile_oi_submit_info"	"Envoyer"
"dota_profile_oi_submit_pending"	"Envoi..."
"dota_profile_oi_submit_success"	"Succès !"
"dota_profile_oi_submit_failure"	"Erreur - Veuillez réessayer."
"dota_role_core"	"Core"
"dota_role_support"	"Support"
"Compendium_GenerateFail"	"Échec lors de la génération du fichier de ressources '{s:s1}'."
"Compendium_PreparePublish"	"Préparer pour publier"
"Compendium_PublishError"	"Échec lors de la copie du répertoire compendium '{s:s1}' vers '{s:s2}'."
"Compendium_PublishFinishedTitle"	"Publication réussie"
"Compendium_PublishFinished"	"Les fichiers compilés ont été copiés vers le répertoire « fichier de données » .\n\nTéléchargez tous les fichiers .vxml_c, .vtex_c, et .vcss_c lorsque vous envoyez votre Compendium à la page web de la ligue."
"DOTA_Treasure"	"Trésor"
"DOTA_Blog"	"Nouveau dans Dota 2"
"DOTA_SortBy"	"Trier par"
"DOTA_SortOption_Newest"	"Plus récent"
"DOTA_SortOption_Owned"	"Possedé"
"DOTA_SortOption_Price"	"Prix"
"DOTA_SortOption_Alphabetical"	"Ordre alphabétique"
"Action_Use"	"Utiliser"
"DOTA_BadgeLevel"	"{d:badge_level}"
"DOTA_AHC_CurrentHero"	"Héros actuel"
"DOTA_AHC_CurrentHeroName"	"{s:current_hero_name}"
"DOTA_AHC_InProgress"	"Progression"
"DOTA_AHC_CurrentHeroAttempts"	"{s:current_hero_attempts} tentatives"
"DOTA_AHC_CurrentHeroAverage"	"Moyenne mondiale"
"DOTA_AHC_CurrentHeroAverageAttempts"	"{s:current_hero_average_attempts} tentatives"
"DOTA_AHC_NextHero"	"Héros suivant"
"DOTA_AHC_NextHeroName"	"{s:next_hero_name}"
"DOTA_AHC_ChallengeProgress"	"Progression du défi ({d:challenge_progress_percent}%)"
"DOTA_AHC_HeroesCompleted"	"Héros joués"
"DOTA_AHC_HeroesCompletedValue"	"{d:heroes_completed} / {d:heroes_total}"
"DOTA_AHC_TotalAttempts"	"Tentatives totales"
"DOTA_AHC_TotalAttemptsValue"	"{d:challenge_total_attempts} parties"
"DOTA_AHC_EquivalentWorldAverage"	"Équivalent de la moyenne mondiale"
"DOTA_AHC_EquivalentWorldAverageValue"	"{d:challenge_average_total_attempts} parties"
"DOTA_AHC_LifetimeStats"	"Statistiques des défis depuis le début"
"DOTA_AHC_FullChallengesCompleted"	"Défis complets accomplis"
"DOTA_AHC_FullChallengesCompletedValue"	"{d:full_challenges_completed}"
"DOTA_AHC_BestFullChallenge"	"Meilleur défi complet"
"DOTA_AHC_BestFullChallengeValueNone"	"N/A"
"DOTA_AHC_BestFullChallengeValue"	"{d:best_full_challenge} parties"
"DOTA_AHC_FullChallengeAverage"	"Moyenne mondiale de défi complet"
"DOTA_AHC_FullChallengeAverageValue"	"{s:full_challenge_average} parties"
"DOTA_AHC_ChallengeReward"	"Récompense de défi"
"DOTA_AHC_ChallengeTrophyName"	"{s:challenge_trophy_name}"
"DOTA_AHC_ChallengeTrophyLevel"	"Niveau {d:challenge_trophy_level}"
"DOTA_Trophies_ViewEarned"	"Remporté"
"DOTA_Party_Add_Friends"	"Ajouter des amis pour créer un groupe"
"DOTA_ItemSet_Count_text"	"{d:item_current_group} / {d:item_group_count}"
"DOTA_Custom_Game_Map_AnyNumbered"	"Toutes ({d:map_choices})"
"dota_settings_enable_console"	"Activer la console"
"dota_settings_enable_console_tooltip"	"Ce paramètre ne sera pris en compte qu'après le redémarrage du jeu.\nSi vous avez ajouté des options de lancement comme -dev ou -console activant la console, ce paramètre sera annulé."
"dota_settings_binding_options"	"Options de configuration"
"dota_settings_allow_gui_key_to_bind"	"Permettre aux touches Windows / Commande de pouvoir être associées"
"DOTA_HeroLoadout_Loadout"	"Équipement"
"DOTA_HeroLoadout_About"	"À propos"
"DOTA_HeroLoadout_Guides"	"Guides"
"DOTA_HeroLoadout_Roles"	"Rôles"
"DOTA_HeroLoadout_Biography"	"Biographie"
"DOTA_Feed_Say_Something"	"Exprimez-vous sur votre flux. . ."
"DOTA_Armory_ClearFilter"	"Supprimer les filtres"
"DOTA_Armory_ContextMenu_Tags"	"Tags..."
"DOTA_Armory_ContextMenu_EffigyPose"	"Pose..."
"DOTA_Armory_ContextMenu_EffigyReforge"	"Reforger..."
"DOTA_EffigyEditor_CreateEffigy"	"Créer une effigie"
"DOTA_EffigyEditor_PoseEffigy"	"Pose de l'effigie"
"DOTA_EffigyEditor_ReforgeEffigy"	"Reforger l'effigie"
"DOTA_EffigyEditor_Model"	"Héros"
"DOTA_EffigyEditor_Loadout"	"Aller à l'équipement"
"DOTA_EffigyEditor_Inscription"	"Inscription :"
"DOTA_EffigyEditor_Animation"	"Animation :"
"DOTA_EffigyEditor_Frame"	"Sélectionnez une image :"
"DOTA_EffigyEditor"	"Éditeur d'effigie"
"DOTA_EffigyEditor_ConfirmCreate"	"Créer une effigie héroïque consommera le bloc à effigie. Après sa création, elle ne sera modifiable qu'avec un reforgeur d'effigie. Êtes-vous sûr de vouloir poursuivre ?"
"DOTA_EffigyEditor_ConfirmReforge"	"Reforger une effigie héroïque consommera un reforgeur d'effigie. Êtes-vous sûr de vouloir continuer ?"
"DOTA_EffigyEditor_Error"	"Impossible de générer une effigie héroïque."
"DOTA_EffigyEditor_ErrorReforge"	"Impossible de reforger une effigie héroïque."
"DOTA_EffigyEditor_ErrorPose"	"Impossible de poser l'effigie héroïque glorieuse."
"DOTA_EffigyEditor_Success"	"Votre effigie héroïque a été créée."
"DOTA_EffigyEditor_SuccessReforge"	"Votre effigie héroïque a été reforgée."
"DOTA_EffigyEditor_SuccessPose"	"Votre effigie héroïque a bien été posée."
"dota_profile_content_tab_all_hero_challenge"	"Défi All-Hero"
"DOTA_tooltip_econ_item_delete_restriction"	"Non supprimable"
"DOTA_tooltip_econ_item_modifiers"	"Modificateurs"
"DOTA_tooltip_econ_item_modifier_animation"	"Animation"
"DOTA_tooltip_econ_item_modifier_announcer"	"Annonceur"
"DOTA_tooltip_econ_item_modifier_HUD"	"HUD"
"DOTA_tooltip_econ_item_modifier_health_bar"	"Barre de vie"
"DOTA_tooltip_econ_item_modifier_ability_name"	"Nom de la capacité"
"DOTA_tooltip_econ_item_modifier_loading_screen"	"Écran de chargement"
"DOTA_tooltip_econ_item_modifier_cursor_pack"	"Pack de curseurs"
"DOTA_tooltip_econ_item_modifier_portrait"	"Portrait"
"DOTA_tooltip_econ_item_modifier_ambient_effects"	"Effets ambiants"
"DOTA_tooltip_econ_item_modifier_kill_effects"	"Effets d'élimination"
"DOTA_tooltip_econ_item_modifier_spell_effects"	"Effets personnalisés"
"DOTA_tooltip_econ_item_modifier_model"	"Modèle"
"DOTA_tooltip_econ_item_modifier_scale"	"Échelle"
"DOTA_tooltip_econ_item_modifier_wearable"	"Équipements"
"DOTA_tooltip_econ_item_modifier_courier"	"Coursier"
"DOTA_tooltip_econ_item_modifier_flying_courier"	"Coursier volant"
"DOTA_tooltip_econ_item_modifier_pet"	"Mascotte"
"DOTA_tooltip_econ_item_modifier_weather"	"Météo"
"DOTA_tooltip_econ_item_modifier_sound"	"Son"
"DOTA_tooltip_econ_item_modifier_soundscape"	"Ambiance sonore"
"DOTA_tooltip_econ_item_modifier_voice"	"Voix"
"DOTA_tooltip_econ_item_modifier_icon"	"Icône"
"DOTA_econ_item_details_style_label"	"Styles :"
"DOTA_econ_item_details_gift_label"	"Cadeau de :"
"Compendium_Downloading"	"Téléchargement du Compendium..."
"Compendium_DLFailed"	"Échec du téléchargement"
"Compendium_DLFailed_Desc"	"Impossible de télécharger le Compendium.\n\nVeuillez réessayer ultérieurement."
"Compendium_Error"	"Erreur du Compendium"
"Compendium_Error_Desc"	"Il y a un problème avec le Compendium. Nous y travaillons actuellement.\n\nVeuillez réessayer ultérieurement."
"Compendium_Retry"	"Réessayer"
"Compendium_preview_mode"	"APERÇU UNIQUEMENT"
"Compendium_preview_click"	"Plus d'informations"
"Compendium_level"	"NIVEAU"
"Compendium_to_next_level"	"PROCHAIN NIVEAU"
"Compendium_LevelupPts_Singular"	"1 Pt"
"Compendium_LevelupPts_Plural"	"{d:next_comp_level} Pts"
"DOTA_GlobalItems_MegaKill"	"Packs Mega-Kill"
"DOTA_Treasure_BonusReward"	"Récompense bonus"
"DOTA_OpenTreasureTooltip_ExtraItems"	"... et {d:extra_items_count} en plus !"
"DOTA_AASystem_Green"	"Temps de jeu en ligne accumulé : {s:playtime}. Vous jouez actuellement dans des délais raisonnables pour votre santé. Amusez-vous bien !"
"DOTA_AASystem_Yellow"	"Temps de jeu en ligne accumulé : {s:playtime}. Vous avez dépassé le temps de jeu raisonnable pour votre santé. Veuillez prendre le temps de faire une pause !"
"DOTA_AASystem_Red"	"Temps de jeu en ligne accumulé : {s:playtime}. Vous avez dépassé le temps de jeu raisonnable pour votre santé. Nous vous recommandons de vous déconnecter et de faire une pause !"
"DOTA_AntiAddiction_Initial_With_ID_18Plus"	"Dernière connexion : %s1\nDernière adresse IP : %s2"
"DOTA_AntiAddiction_Initial_With_ID_Under_18"	"Vous avez moins de 18 ans. Le système anti-addiction est en vigueur.\nDernière connexion : %s1\nDernière adresse IP : %s2"
"DOTA_AntiAddiction_Initial_No_ID"	"Votre compte n'est pas enregistré.\nDernière connexion : %s1\nDrenière adresse IP : %s2"
"DOTA_AntiAddiction_Blocked_Time_Exceeded"	"Dépassement du temps de jeu permit à cause du système anti-addiction. Fermeture."
"DOTA_AntiAddiction_Initial_No_ID_Popup"	"Les informations fournies sont incomplètes. Souhaitez-vous fournir ces informations maintenant ?"
"DOTA_AntiAddiction_CompleteInfoNow"	"Entrez vos informations"
"DOTA_AntiAddiction_CompleteInfoNotNow"	"Pas maintenant"
"DOTA_AntiAddiction_Initial_DateFormat"	"%s1Y%s2M%s3D %s4:%s5:%s6"
"DOTA_AntiAddiction_Label_Green"	"Temps de jeu : {s:playtime} (En bonne santé)"
"DOTA_AntiAddiction_Label_Yellow"	"Temps de jeu : {s:playtime} (Peut contrevenir à une bonne santé)"
"DOTA_AntiAddiction_Label_Red"	"Temps de jeu : {s:playtime} (Dépassé)"
"DOTA_Workshop_Browse"	"Parcourir"
"DOTA_Workshop_TextureName_color"	"Couleur"
"DOTA_Workshop_MaterialName_MetalnessTexture"	"Métallisé"
"DOTA_Workshop_MaterialName_NormalTexture"	"Normal map"
"DOTA_Workshop_MaterialName_RimMaskTexture"	"Masque du rim"
"DOTA_Workshop_TextureName_selfillummask"	"Masque Auto-illumination"
"DOTA_Workshop_MaterialName_SpecMaskTexture"	"Masque spéculaire"
"DOTA_Workshop_MaterialDetail_ColorTexture"	"Il s'agit de la couleur de la texture."
"DOTA_Workshop_MaterialDetail_MetalnessTexture"	"Il s'agit de la texture métallisée."
"DOTA_Workshop_MaterialDetail_NormalTexture"	"Il s'agit de la texture normale."
"DOTA_Workshop_MaterialDetail_RimMaskTexture"	"C'est la texture rim mask ! C'est le rim mask."
"DOTA_Workshop_MaterialDetail_SelfIllumTexture"	"C'est la texture self illum ! C'est le self illum."
"DOTA_Workshop_MaterialDetail_SpecMaskTexture"	"C'est la texture spec mask ! C'est le spec mask."
"DOTA_Workshop_Model"	"Modèle"
"DOTA_Workshop_Animations"	"Animations"
"DOTA_Workshop_Misc"	"Divers/Attachments"
"DOTA_Workshop_SubmissionType_Ward"	"Ward"
"DOTA_Workshop_ImportP4"	"Importer (P4)"
"DOTA_Workshop_ImportNoP4"	"Importer (Sans P4)"
"DOTA_Workshop_SaveSettings"	"Enregistrer les paramètres"
"DOTA_Workshop_LoadSettings"	"Charger les paramètres"
"DOTA_Workshop_Ready"	"Prêt"
"DOTA_Workshop_Optional"	"Facultatif"
"DOTA_Workshop_Required"	"Exigé"
"DOTA_Workshop_Required_Texture"	"Exigé (Les textures seront redimensionnées en %s1)"
"DOTA_Workshop_Required_Geometry"	"Exigé (Nombre de triangles maximum : %s1)"
"DOTA_Workshop_NotRequired_Geometry"	"(Nombre de triangles maximum : %s1)"
"DOTA_Workshop_NotRequired_Texture"	"(Les textures seront redimensionnées en %s1)"
"DOTA_Workshop_ItemName"	"Nom de l'objet"
"DOTA_Workshop_ItemName_Desc"	"Ceci est le nom du fichier crée pour votre objet. Il n'est pas vu par les joueurs et doit faire moins de 50 caractères."
"DOTA_Workshop_GenericModelName_Desc"	"Ceci est le nom du contenu que vous avez importé. Il est utilisé de manière interne par Valve, veuillez donc utiliser un nom unique ou détaillé. Il n'est pas vu par les joueurs et doit faire moins de 50 caractères."
"DOTA_Workshop_UnknownLOD"	"Fichier de géométrie inconnu"
"DOTA_Workshop_LOD0Title"	"Géométrie du portrait"
"DOTA_Workshop_LOD0Desc"	"Voici le fichier .DMX ou .FBX facultatif utilisant la résolution la plus élevée du modèle skinné de votre item. Il sera utilisé pour les portraits, l'équipement et la vue showcase. Veuillez auparavant vérifier la modélisation afin de trouver et corriger les éventuels backfaces (ceux-ci peuvent se trouver dans l'équipement ou les portraits). Si vous laissez cette option vide, les géométries du jeu seront utilisées à la place."
"DOTA_Workshop_LOD1Title"	"Géométrie en jeu"
"DOTA_Workshop_LOD1Desc"	"Il s'agit du fichier .DMX ou .FBX qui contient la géométrie de votre objet. Il sera utilisé en jeu. Le modèle doit être exporté en pouces. S'il est modélisé avec le squelette de Valve, le modèle doit être en bind pose par défaut (celle de Valve), sans animation, et les joints doivent correspondre à l'échelle, aux positions et aux rotations de la bind pose de Valve."
"DOTA_Workshop_Texture_Title"	"Fichiers textures"
"DOTA_Workshop_Texture_Desc"	"Il s'agit de l'ensemble des quatre fichiers .TGA qui se combinent pour texturer ce fichier de géométrie. Parcourez et sélectionnez n'importe quel fichier _color, _normal, _mask1 ou _mask2 (.TGA) et nous chercherons les autres dans le même répertoire."
"DOTA_Workshop_Texturing"	"Aide au texturage"
"DOTA_Workshop_Modelling"	"Aide à la modélisation"
"DOTA_Workshop_Animation"	"Aide à l'animation"
"DOTA_Workshop_AbilityIconsHelp"	"Icônes d'aide des capacités"
"DOTA_Workshop_DisableNICE"	"Désactiver le filtrage des textures"
"DOTA_Workshop_DisableNICE_Desc"	"Sur certaines textures, le 'joli' filtre que nous utilisons peut entraîner des mipmaps qui n'affichent pas certains détails de la texture. Si vous voyez cela apparaître sur vos textures, essayez d'activer cette option pour voir si les textures sont plus lisibles."
"DOTA_Workshop_Reimport"	"Mettre à jour"
"DOTA_Workshop_Models_Title"	"Modèles"
"DOTA_Workshop_Materials_Title"	"Matériels"
"DOTA_Workshop_Attachments_Title"	"Attachments"
"DOTA_Workshop_Marketing_Title"	"Marketing"
"DOTA_Workshop_Marketing_Desc"	"Un fichier .PSD contenant une sélection d'images marketing à utiliser lors de la promotion de votre soumission. Cliquez sur le lien Aide au marketing afin de voir les exigences et la présentation suggérées, pour votre fichier .PSD."
"DOTA_Workshop_Marketing_Help"	"Aide au marketing"
"DOTA_Workshop_Particles_Title"	"Particules"
"DOTA_Workshop_Particles_Desc"	"Ce modèle aura un système de particules attaché à lui dans le jeu à des fins de gameplay. Il s'agit d'un fichier .DMX, .SMD ou .FBX qui contient les vertex précisant comment le système de particules doit être attaché."
"DOTA_Workshop_Images_Title"	"Images"
"DOTA_Workshop_AbilityIcons_Title"	"Icônes de capacité"
"DOTA_Workshop_HudSkin_Intro"	"Les skins HUD sont des ensembles d'images qui se combinent pour remplacer le HUD du jeu."
"DOTA_Workshop_HudSkin_Desc"	"Un ensemble de fichiers .PNG réalisé à partir de l'outil d'exportation de Skin HUD de Photoshop. Parcourez et sélectionnez l'un des fichiers .PNG et nous trouverons le reste. Ils doivent se trouver dans l'arborescence créée par l'outil d'exportation."
"DOTA_Workshop_HudSkin_Help"	"Aide à la création du HUD"
"DOTA_Workshop_CursorPack_Intro"	"Les Packs de curseurs sont un ensemble d'images qui se combinent pour remplacer les curseurs en jeu."
"DOTA_Workshop_CursorPack_Desc"	"Un ensemble de fichiers .BMP et .ANI représentant une variété de curseurs pour l'interface. Les fichiers de base .PNG bruts seront également nécessaires pour ces mêmes curseurs. Sélectionnez le fichier icon.png qui sera l'icône d'inventaire de votre pack et nous détecterons les autres fichiers."
"DOTA_Workshop_CursorPack_Help"	"Aide à la création de pack de curseurs"
"DOTA_Workshop_ImportLoadingScreen"	"IMPORTER UN ÉCRAN DE CHARGEMENT"
"DOTA_Workshop_LoadingScreen_Intro"	"Une image qui remplace l'écran de chargement par défaut de Dota 2"
"DOTA_Workshop_LoadingScreen_Desc"	"Parcourir les loadingscreen.png."
"DOTA_Workshop_LoadScreen_Preview_Title"	"Aperçu recadré du format d'image"
"DOTA_UI_LoadScreen_16_9"	"Format d'image 16:9"
"DOTA_UI_LoadScreen_16_10"	"Format d'image 16:10"
"DOTA_UI_LoadScreen_4_3"	"Format d'image 4:3"
"DOTA_Workshop_ImportChatEmoticon"	"IMPORTER UNE ÉMOTICÔNE DE CHAT"
"DOTA_Workshop_ChatEmoticon_Intro"	"Une émoticône de chat animée"
"DOTA_Workshop_ChatEmoticon_Help"	"Aide pour les émoticônes de chat"
"DOTA_Workshop_ChatEmoticon_Title"	"Dossier de l'image source"
"DOTA_Workshop_ChatEmoticon_ItemName"	"Mot-clé d'émoticône"
"DOTA_Workshop_ChatEmoticon_ItemName_Desc"	"Mot-clé d'émoticône de chat proposé"
"DOTA_Workshop_ChatEmoticon_AnimationSpeed"	"Durée d'une image"
"DOTA_Workshop_ChatEmoticon_AnimationSpeed_Desc"	"Durée d'une image en millisecondes. La plupart des émoticônes utilisent 100 millisecondes par image."
"DOTA_Workshop_ChatEmoticon_DefaultFrame"	"Image par défaut"
"DOTA_Workshop_ChatEmoticon_DefaultFrame_Desc"	"L'image à afficher lorsque l’émoticône n'est pas animée. De 0 à nombre d'images moins un. Utiliser -1 pour automatiquement choisir la dernière image. Si rien n'est spécifié, la première image (0) sera utilisée."
"DOTA_Workshop_ChatEmoticon_Preview_Title"	"Aperçu de l'émoticône de chat"
"DOTA_Workshop_ImportChatEmoticon_Preview"	"Prévisualisation"
"DOTA_Workshop_File_ChatEmoticon"	"Image source (fichiers .png)"
"DOTA_Workshop_Attachments_Desc"	"Les Attachment points sont des points sur le modèle que le jeu peut utiliser pour positionner certains effets. Chaque attachment point possède à la fois une position et un angle, qui provient d'un bone de votre modèle. Pour chaque attachment point nécessaire, spécifiez le nom du bone. Une fois que nous avons construit le modèle importé, l'aperçu vous montrera l'attachment point afin que vous puissiez vérifier sa position."
"DOTA_Workshop_Attachments_UIBlock"	"Attachments %s1"
"DOTA_Workshop_Attachment_HitLocation"	"Hit Location Bone"
"DOTA_Workshop_Attachment_HitLocation_Desc"	"Indique où les projectiles ennemis doivent se rendre sur le modèle. La bonne position est au-dessus du centre du modèle, comme le centre de la tête pour un humanoïde."
"DOTA_Workshop_Attachment_LeftEye"	"Left Eye Bone"
"DOTA_Workshop_Attachment_LeftEye_Desc"	"Indique où se place les effets de particules inhabituels du modèle destinés à l'œil gauche d'une créature. Faites l'attachement seulement à la jointure de l’œil non animée ou à la jointure de la tête. Positionnez sur l’œil gauche avec la flèche rouge tx pointée vers l'avant."
"DOTA_Workshop_Attachment_RightEye"	"Right Eye Bone"
"DOTA_Workshop_Attachment_RightEye_Desc"	"Indique où se place les effets de particules inhabituels du modèle destinés à l'œil droit d'une créature. Faites l'attachement seulement à la jointure de l’œil non animée ou à la jointure de la tête. Positionnez sur l’œil droit avec la flèche rouge tx pointée vers l'avant."
"DOTA_Workshop_Attachment_AttackPoint"	"Attack Point Bone"
"DOTA_Workshop_Attachment_AttackPoint_Desc"	"Pour les unités d'attaque à distance, ceci indique l'emplacement de départ des projectiles. Pour les unités d'attaque au corps à corps, il s'agit de l'emplacement des effets de frappe, comme des éclaboussures de sang."
"DOTA_Workshop_Attachment_AttackPoint2"	"Offhand Attack Point Bone"
"DOTA_Workshop_Attachment_AttackPoint2_Desc"	"Lorsqu'une animation ATTAQUE MAIN SECONDAIRE est utilisée au lieu de l'animation de base (ATTAQUE), cet attack point sera utilisé pour produire les effets de frappes et les projectiles."
"DOTA_Workshop_Attachment_Mouth"	"Mouth Bone"
"DOTA_Workshop_Attachment_Mouth_Desc"	"Indique où sont placés, pour la gueule de l'unité, les effets de particules sur le modèle."
"DOTA_Workshop_Attachment_BowTop"	"Point d'attache supérieur de la corde d'arc"
"DOTA_Workshop_Attachment_BowTop_Desc"	"Spécifie où l'effet de particule de la partie supérieur de la corde de l'arc s'attache sur le modèle."
"DOTA_Workshop_Attachment_BowMid"	"Point d'attache médian de la corde d'arc"
"DOTA_Workshop_Attachment_BowMid_Desc"	"Spécifie où l'effet de particule de la partie médiane de la corde de l'arc doit être situé sur le modèle. Est utilisé lorsque la corde est tendue pour tirer."
"DOTA_Workshop_Attachment_BowBot"	"Point d'attache inférieur de la corde d'arc"
"DOTA_Workshop_Attachment_BowBot_Desc"	"Spécifie où l'effet de particule de la partie inférieure de la corde de l'arc s'attache sur le modèle."
"DOTA_Workshop_Attachment_LowerStaff"	"Point d'attachement du bâton inférieur de l'Earth Spirit"
"DOTA_Workshop_Attachment_LowerStaff_Desc"	"Spécifie l'emplacement où les particules basses doivent être attachées sur le modèle du bâton."
"DOTA_Workshop_Attachment_UpperStaff"	"Point d'attachement du bâton supérieur de l'Earth Spirit"
"DOTA_Workshop_Attachment_UppperStaff_Desc"	"Spécifie l'emplacement où les particules hautes doivent être attachées sur le modèle du bâton."
"DOTA_Workshop_Animation_Title"	"Animations"
"DOTA_Workshop_Animation_Desc"	"Les animations sont des fichiers .DMX ou .FBX contenant chacun une seule animation pour votre modèle."
"DOTA_Workshop_Animation_UIBlock"	"Animations %s1"
"DOTA_Workshop_Preview_Anim"	"Animation :"
"DOTA_Workshop_Preview_Gesture"	"Overlay :"
"DOTA_Workshop_Preview_Skin"	"Texture :"
"DOTA_Workshop_Preview_Model"	"Modèle :"
"DOTA_Workshop_Preview_Attachment"	"Afficher un Attachment :"
"DOTA_Workshop_Preview_NoAttachment"	"Aucun"
"DOTA_Workshop_Preview_ShowReference"	"Afficher le modèle de référence"
"DOTA_Workshop_Preview_ToggleLOD"	"Afficher le modèle faible résolution"
"DOTA_Workshop_Preview_TogglePedestal"	"Activer le piédestal"
"DOTA_Workshop_Preview_ToggleUI"	"Activer interface"
"DOTA_Workshop_ImportError_Validation"	"Échec de la validation"
"DOTA_Workshop_Error_TooManyBones"	"%1 comporte %2 bones. Seul un maximum de %3 bones est permis."
"DOTA_Workshop_ImportError"	"Erreur d'importation"
