"dota"
{
"DOTA_Accept"	"Приемане"
"dota_settings_spectatorstatsitem"	"Наблюдателска статистика на предметите"
"dota_settings_spectatorstatsgold"	"Наблюдателска графика на златото"
"dota_settings_spectatorstatsxp"	"Наблюдателска графика за опита"
"dota_settings_spectatorstatsfantasy"	"Въображаеми статистики за наблюдателите"
"dota_settings_spectatorfowboth"	"Наб. FOW за двата отбора"
"dota_settings_spectatorfowradient"	"Наб. FOW за Radiant"
"dota_settings_spectatorfowdire"	"Наб. FOW за Dire"
"dota_settings_statsdropdown"	"Падащо меню за статистики"
"dota_settings_spectatordropdown_sort"	"Промяна на сортирането"
"dota_settings_spectatordropdown_close"	"Изчистване на категорията"
"dota_settings_spectatordropdown_kda"	"Убийства/Умирания/Асистенции"
"dota_settings_spectatordropdown_lasthits_denies"	"Последни удари/откази"
"dota_settings_spectatordropdown_level"	"Ниво на героя"
"dota_settings_spectatordropdown_xp_per_min"	"Опит в минута"
"dota_settings_spectatordropdown_gold"	"Текущо злато"
"dota_settings_spectatordropdown_totalgold"	"Капитал"
"dota_settings_spectatordropdown_gold_per_min"	"Злато в минута"
"dota_settings_spectatordropdown_buyback"	"Статус на откупуване"
"dota_settings_spectatordropdown_fantasy"	"Въображаеми резултати"
"dota_settings_coaching"	"Обучаване"
"dota_settings_spectatorcoach_viewtoggle"	"Треньор — превключване към перспективата на ученика"
"dota_settings_keyboardtemplate"	"Избиране на шаблон за клавиатурата"
"dota_settings_or"	"или"
"dota_settings_cancel"	"Отказ"
"dota_settings_apply"	"Прилагане"
"dota_settings_game"	"Игра"
"dota_settings_autoattack"	"Автоматична атака:"
"dota_settings_attackafterspell"	"Авт. атака след заклинание"
"dota_settings_autopurchase"	"Авт. купуване на предмети"
"dota_settings_autoselect"	"Авт. избор на призованите единици"
"dota_settings_doubletapself"	"Двойно почукване на умение, за да го изпълните в/у Вас"
"dota_settings_unifiedorders"	"Уеднаквени контролни заповеди с CTRL"
"dota_settings_teleportrequireshalt"	"Телепортирането изисква задържане/спиране"
"dota_settings_herofinder"	"Задържането на ALT отличава героя"
"dota_settings_alwaysshownames"	"Имена на играчите"
"dota_settings_showhitpoints"	"Да се показват щетите на играчите над лентата за здравето"
"dota_settings_forceshophotkeys"	"Магазинът винаги използва клавишни комбинации"
"dota_settings_usebroadcastermenu"	"Използване на коментаторските статистики"
"dota_settings_colorblind"	"Режим за далтонисти"
"dota_settings_reducedflash"	"Понижено проблясване"
"dota_settings_minimap"	"Мини карта"
"dota_settings_minimapsimplecolors"	"Използване на прости цветове в мини картата"
"dota_settings_minimaphidebackground"	"Скриване на фона за картата"
"dota_settings_minimapshowheroicon"	"Използвайте ALT, така че да покажете икони за героите"
"dota_settings_minimapalwaysshowname"	"Обръщане на превключването с ALT"
"dota_settings_minimapflip"	"Показване на мини картата вдясно"
"dota_settings_cameradecel"	"Намаляване скоростта на камерата"
"dota_settings_cameraspeed"	"Скорост на камерата"
"dota_settings_camerareversegrip"	"Обратен контрол над камерата"
"dota_settings_cameraedgepan"	"Движение чрез краищата на екрана"
"dota_settings_camerascreenshake"	"Разтрисане на екрана"
"dota_settings_cameraresetonspawn"	"Центриране на камерата върху героя при прераждане"
"dota_settings_cameradeadcolorshift"	"Изменяне на цвета за камерата, когато сте мъртви"
"dota_settings_profile"	"Профил"
"dota_settings_hideprofile"	"Скриване на Dota и Steam профилите"
"dota_settings_exposematchdata"	"Разкриване на данните за публични мачове"
"dota_settings_ignorenonfriendparties"	"Блокиране на екипни покани, които не са от приятели"
"dota_settings_ignorenonfriendguilds"	"Блокиране на поканите за гилдии, които не са от прители"
"dota_settings_allowtradeinvitesheader"	"Покани за търгуване от:"
"dota_settings_trade_guildandfriends"	"Другари от гилдии и приятели"
"dota_settings_trade_friends"	"Само приятели"
"dota_settings_trade_anyone"	"Всеки"
"dota_settings_network"	"Мрежа"
"dota_settings_networkquality"	"Качество на мрежата:"
"dota_settings_networkquality_low"	"Имам нискокачествена мрежа"
"dota_settings_networkquality_high"	"Имам висококачествена мрежа"
"dota_settings_usenativeresolution"	"Да се използва текущата резолюция на монитора ми"
"dota_settings_customresolution"	"Използване на разширени настройки"
"dota_settings_resolution"	"Резолюция"
"dota_settings_rendering"	"Рендиране"
"dota_settings_aspectratio"	"Съотношение"
"dota_settings_aspectratio43"	"4:3"
"dota_settings_aspectratio169"	"16:9"
"dota_settings_aspectratio1610"	"16:10"
"dota_settings_resolution_size"	"Размер"
"dota_settings_resolution_display_mode"	"Режим на екрана"
"dota_settings_fullscreen"	"Ексклузивно на цял екран"
"dota_settings_window"	"В прозорец"
"dota_settings_borderless"	"Прозорец без рамка"
"dota_settings_videodefaults"	"По подразбиране"
"dota_settings_basicvideosettings"	"Използване на основните настройки"
"dota_settings_fastestvideo"	"Най-бързо"
"dota_settings_appearancevideo"	"Най-добро качество"
"dota_settings_advancedvideosettings"	"Използване на разширени настройки"
"dota_settings_antialiasing"	"Режим на приглаждане"
"dota_settings_specular"	"Отражения"
"dota_settings_bloom"	"Отражения и светлинен блум"
"dota_settings_waterquality"	"Висококачествена вода"
"dota_settings_fog"	"Атмосферна мъгла"
"dota_settings_animateportrait"	"Анимиран портрет"
"dota_settings_additivelight"	"Доп. филтри за осв."
"dota_settings_worldlight"	"Осветление на света"
"dota_settings_ambientocclusion"	"Околна оклузия"
"dota_settings_ambientcreatures"	"Обкръжаващи създания"
"dota_settings_normal_maps"	"Листове със светлосенки"
"dota_settings_vsync"	"Верт. синхронизация"
"dota_settings_renderquality"	"Качество на рендиране за игралния екран"
"dota_settings_shadowquality"	"Качество на сенките"
"dota_settings_shadowquality_low"	"Ниско"
"dota_settings_shadowquality_med"	"Средно"
"dota_settings_shadowquality_high"	"Високо"
"dota_settings_texturequality"	"Качество на текстурите"
"dota_settings_texturequality_low"	"Ниско"
"dota_settings_texturequality_med"	"Средно"
"dota_settings_texturequality_high"	"Високо"
"dota_settings_mastervolume"	"Основна сила на звука"
"dota_settings_gamevolume"	"Звуци на играта"
"dota_settings_musicvolume"	"Музика"
"dota_settings_voicevolume"	"Говор"
"dota_settings_gamevoicevolume"	"Говор на единиците"
"dota_settings_openmic"	"Вкл. на отворен микрофон за комуникация с членовете от екипа"
"dota_settings_openmicthreshold"	"Праг на отворения микрофон"
"dota_settings_audiodefaults"	"Звук по подразбиране"
"dota_settings_defaultaudio"	"По подразбиране"
"dota_settings_sounddevice"	"Звуково устройство:"
"dota_settings_speakerconfig"	"Тип говорители:"
"dota_settings_headphones"	"Слушалки"
"dota_settings_2speakers"	"2 говорителя"
"dota_settings_4speakers"	"4 говорителя"
"dota_settings_5speakers"	"5.1 говорителя"
"dota_settings_7speakers"	"7.1 говорителя"
"dota_settings_captions"	"Използване на субтитри"
"dota_settings_playsoundinbackground"	"Изпълняване на звук в десктопа"
"dota_settings_chatsounds"	"Звук за чат съобщение"
"dota_settings_mutecobroadcasters"	"Заглушаване на съкоментаторите"
"dota_settings_highqualityaudio"	"Висококачествен звук"
"dota_settings_enhancestereo"	"Подсилено стерео"
"dota_settings_unitspeeh"	"Говор на единиците"
"dota_settings_unitspeech_off"	"Изкл."
"dota_settings_unitspeech_events"	"Събития"
"dota_settings_unitspeech_all"	"Всички"
"OS_Default_Device"	"Стандартно устройство"
"DOTA_Keybind_ARROW"	"Стрела (по подразбиране)"
"DOTA_Keybind_WASD"	"WASD"
"DOTA_Keybind_MMO"	"MMO"
"DOTA_Keybind_LEGACY"	"Класически клавиши"
"DOTA_Keybind_LOL"	"League of Legends"
"DOTA_Keybind_HON"	"Heroes of Newerth"
"DOTA_Keybind_SMITE"	"Smite"
"DOTA_Hotkeys_Tooltip_LearnAbility"	"Влезте в режим „Научаване на умение“, когато разполагате с достатъчно точки за умения, които да похарчите."
"DOTA_Hotkeys_Tooltip_LearnStats"	"Отворете панела за дървото с таланти."
"DOTA_Hotkeys_Tooltip_HeroAttack"	"Придвижвате се до място, но атакувате всякакви вражески единици, които видите по пътя натам / атакувате приятелски единици, ако така ще бъдат отказани."
"DOTA_Hotkeys_Tooltip_HeroMove"	"Придвижвате се до място или следвате единица, без да я атакувате."
"DOTA_Hotkeys_Tooltip_HeroStop"	"Прекъсвате текущото си действие."
"DOTA_Hotkeys_Tooltip_HeroHold"	"Прекъсвате текущото си действие и задържате позицията."
"DOTA_Hotkeys_Tooltip_HeroSelect"	"Изберете героя си."
"DOTA_Hotkeys_Tooltip_SelectAll"	"Изберете всички единици под Ваш контрол."
"DOTA_Hotkeys_Tooltip_SelectAllOthers"	"Изберете всички други единици, които Вие контролирате. (Героият Ви няма да бъде избран.)"
"DOTA_Hotkeys_Tooltip_CourierSelect"	"Изберете куриера."
"DOTA_Hotkeys_Tooltip_CourierDeliver"	"Нека куриерът да достави предметите от скривалището до Вас."
"DOTA_Hotkeys_Tooltip_CourierHaste"	"Активирайте подсилването на скоростта, когато е достъпно."
"DOTA_Hotkeys_Tooltip_UseActionItem"	"Използване на предмета с действие."
"DOTA_Hotkeys_Tooltip_HeroTaunt"	"Използвайте присмеха на героя си. Достъпен е като предмет за екипиране."
"DOTA_Hotkeys_Tooltip_ShopToggle"	"Отваряне на панела за магазина."
"DOTA_Hotkeys_Tooltip_PurchaseQuickbuy"	"Закупуване на следващия предмет в площта за бърза покупка, ако можете да си го позволите."
"DOTA_Hotkeys_Tooltip_PurchaseSticky"	"Закупуване на предмет, който е в площта за закрепени, ако можете да си го позволите."
"DOTA_Hotkeys_Tooltip_GrabStashItems"	"Прехвърлете всички предмети от скривалището си Вашия герой."
"DOTA_Hotkeys_Tooltip_RecentEvent"	"Преместване на камерата към най-скорошното игрално събитие."
"DOTA_Hotkeys_Tooltip_InspectHeroInWorld"	"Прегледайте единица от близка перспектива."
"DOTA_Hotkeys_Tooltip_ChatTeam"	"Изпращане на съобщение до всички в отбора Ви."
"DOTA_Hotkeys_Tooltip_ChatGlobal"	"Изпращане на съобщение до всички в текущата Ви игра. (Ще добави клавиша SHIFT като модификатор към контрола за отборния чат)"
"DOTA_Hotkeys_Tooltip_ChatVoiceParty"	"Използвайте своя микрофон, за да комуникирате с всички членове на екипа. Ако е зададен като отворен, това също ще работи и в таблото."
"DOTA_Hotkeys_Tooltip_ChatVoiceTeam"	"Използвайте своя микрофон, за да комуникирате с всички съотборници."
"DOTA_Hotkeys_Tooltip_ChatWheel"	"Отваряне на чат рулетката за лесна комуникация чрез често използвани фрази."
"DOTA_Hotkeys_Tooltip_CameraGrip"	"Задръжте и провлечете по земята, за да преместите камерата."
"DOTA_Hotkeys_Tooltip_ActivateGlyph"	"Активиране на Glyph of Fortification, така че структурите на отбора Ви да станат неуязвими за 5 секунди."
"DOTA_Hotkeys_Tooltip_ScoreboardToggle"	"Отваряне на таблото с резултати в играта."
"DOTA_Hotkeys_Tooltip_Pause"	"Пауза и пускане на вече започнала игра."
"DOTA_Hotkeys_Tooltip_ScreenshotSettings"	"Направете снимка на текущия изглед в играта."
"DOTA_Hotkeys_Tooltip_Console"	"Отваряне на конзолата. (Само за напреднали потребители)"
"DOTA_Hotkeys_Tooltip_ControlGroupCycle"	"Преминаване през всяка единица в избраната група."
"DOTA_Hotkeys_Tooltip_Group"	"Изберете предварително зададена контролна група от единици. За да дефинирате такава, изберете желаните единици и задръжте CTRL + един от тези групови бързи клавиши."
"DOTA_Hotkeys_Tooltip_Legacy"	"Използвайте контролите от Dota 1. Контролите за уменията ще се различават за всеки герой."
"DOTA_Hotkeys_Tooltip_Quickcast"	"Бързото изпълняване на умения ще се задейства веднага, щом контролът е натиснат. То ще бъде изпълнено спрямо текущата позиция на курсора.<br><br>Може да се включи интерфейс за задаване на специфични клавиши за „Бързо изпълняване“ от опциите — „Контроли за напреднали“."
"DOTA_Hotkeys_Tooltip_Autocast"	"Превключване за автоматичното изпълняване на умение, когато е готово. Приложимо е за ограничен брой умения."
"DOTA_Hotkeys_Tooltip_Cast"	"Контроли за изпълняване на умение от герой."
"DOTA_Hotkeys_Tooltip_ItemCast"	"Контроли за използване на предмет от инвентара Ви."
"DOTA_Hotkeys_Tooltip_ItemQuickcast"	"Бързото използване на премет ще се задейства веднага, щом контролът е натиснат. То ще бъде изпълнено спрямо текущата позиция на курсора."
"DOTA_Settings_Tooltip_Autoattack"	"Автоматично придвижване до и атакуване на врагове, които са наблизо."
"DOTA_Settings_Tooltip_AutoattackAfterSpell"	"Атакува всяка близка цел, освен ако току-що сте се придвижили, отказали сте крийп или клавишът за спиране/задържане е бил натиснат."
"DOTA_Settings_Tooltip_AutoPurchase"	"Закупуване на следващия предмет от списъка с предложени такива, когато можете да си го позволите."
"DOTA_Settings_Tooltip_AutoSelectSummons"	"Когато бъдат призовани нови единици от героя, те се добавят към групата Ви за подбор."
"DOTA_Settings_Tooltip_DoubleTap"	"Двойното кликване, както и двойното почукване на контрола, върху умение или предмет, ще го изпълни върху Вас, когато е достъпно."
"DOTA_Settings_Tooltip_UnifiedOrders"	"Задържайки CTRL, когато издавате команда ще я изпратите до всички единици, които управлявате."
"DOTA_Settings_Tooltip_TeleportStop"	"Придвижването или изпълняването на заклинание няма да отмени започната телепортация. Приложимо е само за Teleport Scrolls или Boots of Travel."
"DOTA_Settings_Tooltip_BroadcasterStats"	"Когато наблюдавате игра, да се показва падащото меню със статистики, което коментатора използва."
"DOTA_Settings_Tooltip_Deceleration"	"Скоростта, при която камерата стига до покой след придвижване. По-високите стойности са еквивалентни на по-бързо спиране."
"DOTA_Settings_Tooltip_Screenshake"	"Някои заклинание и зашеметявания разтърсват камерата."
"DOTA_Settings_Tooltip_CameraRespawn"	"Пренасочване на камерата, веднага щом героят Ви се прероди."
"DOTA_Settings_Tooltip_HideProfile"	"Dota 2 профилът Ви ще бъде недостъпен за всекиго. Steam профилът Ви няма да бъде достъпен от Dota 2."
"DOTA_Settings_Tooltip_ShareMatchData"	"Разкриване на данните за мачове от публичните Ви игри до трети лица."
"DOTA_Settings_Tooltip_NetworkQuality"	"Ако имате мрежова връзка от нисък клас, задаването на тази настройка към „НИСКО“ може да помогне за нейната производителност."
"DOTA_Settings_Tooltip_MinimapSimple"	"Цветовете в мини картата се определят спрямо отбора, вместо от отделните играчи."
"DOTA_Settings_Tooltip_MinimapDrawHeroes"	"Когато задържате ALT, да се показва икона на героя в мини картата, вместо името му."
"DOTA_Settings_Tooltip_MinimapNamesIcon"	"Винаги да се показва иконата или името на героя в мини картата. Задържането на ALT временно ще показва „X“ и „O“."
"DOTA_Settings_Tooltip_ShopHotkeys"	"Контролите в магазина ще отменя всякакви клавиши, които са били определени за други функции, когато той е отворен."
"DOTA_Settings_LegacyKeysActive"	"В момента класическите клавиши от Dota 1 са включени. За да персонализирате отделни клавиши, първо изключете „Класически клавиши“ под „Контроли за напреднали“."
"DOTA_create_bot_practice_desc"	"Използвайте търсенето на мачове, за да намерите съотборници и пуснете игра срещу ботове."
"DOTA_Lobby_BotDifficulty"	"Трудност на бот"
"DOTA_Lobby_BotDifficulty_no_bot"	"Без ботове"
"DOTA_Lobby_BotDifficulty_passive"	"Пасивна"
"DOTA_Lobby_BotDifficulty_easy"	"Лесна"
"DOTA_Lobby_BotDifficulty_medium"	"Средна"
"DOTA_Lobby_BotDifficulty_hard"	"Трудна"
"DOTA_Lobby_BotDifficulty_unfair"	"Нечестна"
"DOTA_Lobby_BotTeam"	"Избиране на отбор"
"DOTA_create_bot_practice_solo"	"Самостоятелно"
"DOTA_create_bot_practice_solo_desc"	"Тренирайте самостоятелно срещу ботове в локална игра. Не се използва търсенето на мачове и можете да напуснете по всяко време."
"DOTA_create_bot_practice_coop"	"Кооперативна игра"
"DOTA_create_bot_practice_coop_desc"	"Използвайте търсенето на мачове, за да играете с други хора срещу ботове. <font color='#dd6666'>ЗАБЕЛЕЖКА:</font> Изоставянето на тази игра с ботове ще доведе до наказание."
"DOTA_Lobby_BotDifficulty_bot_passive"	"Пасивен бот"
"DOTA_Lobby_BotDifficulty_bot_easy"	"Лесен бот"
"DOTA_Lobby_BotDifficulty_bot_medium"	"Среден бот"
"DOTA_Lobby_BotDifficulty_bot_hard"	"Труден бот"
"DOTA_Lobby_BotDifficulty_bot_unfair"	"Нечестен бот"
"dota_lobby_title"	"{s:lobby_name}"
"dota_lobby_title_local_game"	"Локално лоби"
"dota_lobby_title_default"	"Лоби"
"lobby_row_player_name"	"{s:player_name}"
"dota_lobby_row_game_name"	"{s:game_name}"
"dota_lobby_row_slots"	"{s:slots}"
"dota_lobby_row_game_mode"	"{s:game_mode}"
"dota_lobby_row_join"	"Присъединяване"
"dota_lobby_row_leave"	"Напускане"
"dota_lobby_coaches_title"	"Треньори"
"dota_lobby_browser_all_game_modes"	"Всички игрални режими"
"dota_lobby_browser_title"	"Преглед на Dota лобита"
"dota_lobby_browser_num_available"	"( {d:lobbies_available} достъпни )"
"dota_lobby_browser_no_lobbies"	"Няма намерени лобита"
"dota_lobby_browser_no_matching_lobbies"	"Няма лобита, които да отговарят на търсенето Ви"
"dota_lobby_browser_updating"	"Обновяване на списъка с лобита…"
"dota_lobby_browser_search_placeholder"	"Търсене на лобита"
"dota_lobby_browser_game_mode"	"Игрален режим"
"dota_lobby_browser_refresh"	"Опресняване"
"dota_lobby_browser_filter_title"	"Филтриране на лобита"
"dota_lobby_submit_filter"	"Изпращане"
"dota_popup_lobby_password_title"	"Въведете парола на лобито"
"DOTA_AttackCapability_Melee"	"Ръкопашни"
"DOTA_AttackCapability_Ranged"	"Далекобойни"
"DOTA_Item_OnMarket"	"Пазар"
"DOTA_Items_DefaultSet"	"Стандартен комплект"
"DOTA_Items_SetEquipped_Label"	"Екипиран"
"DOTA_EquippedItem_Label"	"Екипиран"
"DOTA_PreviewingItem_Label"	"Преглеждане"
"DOTA_EquippedItem_Rarity"	"{s:equipped_econ_set_rarity}"
"DOTA_EquippedItem_SetName"	"{s:equipped_econ_set_name}"
"DOTA_EquippedItem_DefaultSet"	"Стандартен комплект"
"DOTA_EquippedItem_PartialSet"	"Частичен комплект"
"DOTA_EquippedItem_Style"	"{i:equipped_econ_set_style_count} стил(ове)"
"DOTA_EquippedItem_Button_Details"	"{s:equipped_details_button_text}"
"DOTA_EquippedItem_Customize"	"Персонализиране"
"DOTA_EquippedItem_CustomSet"	"Персонализиран комплект"
"DOTA_EquippedItem_Equip"	"Екипиране"
"DOTA_EquippedItem_Unpack_And_Equip"	"Разопаковане и екипиране"
"DOTA_EquippedItem_Details"	"{s:equipped_econ_set_type_name} подробности"
"DOTA_EquippedItem_Purchase_Button"	"Закупуване"
"DOTA_EquippedItem_Marketplace_Button"	"Пазар"
"DOTA_EquippedItem_BundleName"	"В пакет „{s:equipped_econ_set_bundle}“"
"DOTA_EquippedItem_FilterText"	"Преглеждане"
"DOTA_EquippedItem_SaleAmount"	"—{i:equipped_econ_set_sale_amount}%"
"DOTA_EquippedItem_RegularSetPrice"	"{s:equipped_econ_regular_set_price}"
"DOTA_EquippedItem_SetPrice"	"{s:equipped_econ_set_price}"
"DOTA_EquippedItem_TreasurePrice"	"{s:equipped_econ_treasure_price}"
"DOTA_HeroDemo_Button"	"Демо {s:econ_item_category_name}"
"DOTA_HeroDemo_Button_Tooltip"	"Пускане на демо режим, за да изпробвате този комплект или уменията на героя"
"DOTA_HeroDemo_Button_Return"	"Връщане към демото"
"DOTA_HeroDemo_Button_Return_Tooltip"	"Връщане към режима за демо и зареждане на комплекта предмети или героя, който сте избрали"
"DOTA_HeroDemo_Button_DBQuit"	"Изход от демото"
"DOTA_EquippedItem_Bundle"	"Пакет"
"DOTA_EquippedItem_ItemSet"	"Комплект"
"DOTA_EquippedItem_Item"	"Предмет"
"DOTA_EconItemSet_Name"	"{s:econ_set_name}"
"DOTA_EconItemSet_Rarity"	"{s:econ_set_rarity}"
"DOTA_EconItemSet_Status"	"{s:econ_set_status}"
"DOTA_EconItemSet_Price"	"{s:econ_set_price}"
"DOTA_EconItemSet_SaleAmount"	"—{i:econ_sale_amount}%"
"DOTA_EconItemSet_DeveloperOnly"	"Не е публичен"
"DOTA_EconItemSet_Tooltip_InBundle"	"Този комплект се съдържа в пакет"
"DOTA_EconItemSet_Tooltip_PartialSet"	"Това съдържа само част от пълния комплект предмети"
"DOTA_EconItemSet_Tooltip_MultipleStyles"	"Има няколко стила"
"DOTA_HeroRole_Carry"	"Carry"
"DOTA_HeroRole_Support"	"Support"
"DOTA_HeroRole_Nuker"	"Nuker"
"DOTA_HeroRole_Disabler"	"Disabler"
"DOTA_HeroRole_Jungler"	"Jungler"
"DOTA_HeroRole_Durable"	"Durable"
"DOTA_HeroRole_Escape"	"Escape"
"DOTA_HeroRole_LaneSupport"	"Lane Support"
"DOTA_HeroRole_Pusher"	"Pusher"
"DOTA_HeroRole_Initiator"	"Initiator"
"DOTA_HeroRole_Description_Carry"	"Става по-полезен в късния етап на играта, ако натрупа предимство от значително количество злато."
"DOTA_HeroRole_Description_Support"	"Може да се съсредоточи по-малко над събирането на злато или предмети, и повече върху използването на собствените си умения. Така че да придобие предимство за своя отбор."
"DOTA_HeroRole_Description_Nuker"	"Може бързо да убие вражеските герои, използвайки заклинания нанасящи много щети с малко време за изчакване."
"DOTA_HeroRole_Description_Disabler"	"Разполага с гарантирано преустановяване чрез едно или повече от своите заклинания."
"DOTA_HeroRole_Description_Jungler"	"Може ефективно да фарми неутралните крийпове от вътрешността на джунглата в началото на играта."
"DOTA_HeroRole_Description_Durable"	"Умее да издържа по-дълго в отборни битки."
"DOTA_HeroRole_Description_Escape"	"Умее бързо да избягва смъртта."
"DOTA_HeroRole_Description_LaneSupport"	"Полезен при защитата на отборното Carry в началото на играта, позволявайки му да фарми."
"DOTA_HeroRole_Description_Pusher"	"Може бързо да обсади и унищожи кули или бараки по всяко време на играта."
"DOTA_HeroRole_Description_Initiator"	"Добър в започването на отборна битка."
"DOTA_HeroGrid_OptionCategory_Role"	"Роли:"
"DOTA_HeroGrid_OptionCategory_Attributes"	"Атрибути:"
"DOTA_HeroGrid_OptionCategory_AttackType"	"Тип на атаката:"
"DOTA_HeroLoadout_PreviousHeroName"	"{s:previous_hero_name}"
"DOTA_HeroLoadout_NextHeroName"	"{s:next_hero_name}"
"DOTA_HeroLoadout_CurrentHeroName"	"{s:hero_name}"
"DOTA_HeroLoadout_AttackType"	"{s:hero_attack_type}"
"DOTA_HeroLoadout_HeroFilterName"	"Герой"
"DOTA_HeroLoadout_Search"	"Търсене за предмети на {s:hero_name}"
"DOTA_HeroCustomize_Title"	"Персонализиране на герой"
"DOTA_HeroCustomize_OwnedItems"	"Притежавани предмети"
"DOTA_HeroCustomize_Slot"	"Слот"
"DOTA_HeroCustomize_SlotName"	"{s:slot_name}"
"DOTA_HeroCustomize_SlotEquippedItemName"	"{s:equipped_item_name}"
"DOTA_HeroCustomize_DefaultItemName"	"Предмет по подразбиране"
"DOTA_HeroCustomize_PreviewItemName"	"{s:preview_item_name}"
"DOTA_HeroCustomize_PreviewStyle"	"{s:preview_style_name}"
"DOTA_HeroCustomize_PreviewItemSlot"	"{s:preview_item_slot}"
"DOTA_HeroCustomize_Rarity"	"{s:preview_item_rarity}"
"DOTA_HeroCustomize_StyleLocked"	"Необходима е предпоставка за екипиране"
"DOTA_UIEconItem_StyleIndex"	"{i:style_index}"
"dota_ready_up_num_accepted"	"{i:num_accepted} от {i:total_players} са приели"
"returning_top_of_queue"	"Връщане към търсене на мач с висок приоритет"
"returning_to_lobby"	"Връщане към лобито, за да се намерят още играчи…"
"GC_reconnecting"	"Възстановяване на връзката с игралния координатор на Dota 2…"
"GC_nosteam"	"Връзката към Steam бе загубена"
"GC_searching"	"Търсене за игралния координатор на Dota 2…"
"GC_noconnection"	"Не сте свързани към игралния координатор на Dota 2."
"GC_connecting"	"Свързване към игралния координатор на Dota 2…"
"GC_connected"	"Свързани сте към игралния координатор на Dota 2."
"GC_down"	"Игралният координатор на Dota 2 е временно извън линия."
"GC_Network_Full"	"Понастоящем игралният координатор на Dota 2 е пълен."
"GC_Queue_Position"	"В момента игралният координатор на Dota 2 е пълен. Позиция в опашката: {i:gc_queue_position}"
"GC_Queue_Wait_Time"	"В момента игралният координатор на Dota 2 е пълен. Позиция в опашката: {i:gc_queue_position}, приблизително време за изчакване: {s:gc_queue_wait_time}"
"GC_Wait_Time"	"Приблизително време за изчакване: %s1"
"GC_Wait_Time_Unknown"	"Неизвестно"
"GC_suspended"	"Акаунтът е преустановен, след като бяха засечени външни инструменти, прикачени към Dota 2 от Valve Anti-Cheat системата."
"dota_practice_vs_bots"	"Започнете тренировка срещу ботове"
"dota_practice_vs_bots_desc"	"Играйте тренировъчен мач срещу ботове. Това не използва търсенето на мачове и можете да напуснете мача по всяко време."
"dota_practice_vs_bots_difficulty"	"Трудност на бот"
"dota_practice_vs_bots_team"	"В кой отбор ще играете?"
"DOTA_practice_vs_bots_team_radiant"	"Radiant"
"DOTA_practice_vs_bots_team_dire"	"Dire"
"DOTA_practice_vs_bots_team_random"	"Произволен"
"DOTA_EmoticonUpsell"	"Емотиконите се отключват при покупката на определени предмети за герои или билети към лиги."
"DOTA_CurrentTime"	"{t:t:current_time}"
"DOTA_MonthlyPlayers"	"{s:users_last_month}"
"DOTA_MonthlyPlayersLabel"	"Уникални играчи през изминалия месец"
"DOTA_CurrentPlayers"	"{s:current_users}"
"DOTA_CurrentPlayersLabel"	"Активни играчи в момента"
"DOTA_Search_NoResults"	"Няма резултати"
"DOTA_Search_ItemShortDescription"	"<span class=\"ItemRarityColor\">{s:item_rarity}</span> {s:item_slot}"
"join_error_already_in_game"	"Неуспешно присъединяване към тренировъчното лоби, защото вече сте в игра."
"join_error_invalid_lobby"	"Лобито, което сте определили, вече не съществува."
"join_error_incorrect_password"	"Грешна парола."
"join_error_access_denied"	"Достъпът е отказан."
"join_error_generic"	" "
"join_error_in_team_party"	"Неуспешно присъединяване към тренировъчното лоби. Трябва да разпуснете отборния си екип парти, преди да се присъедините в тренировъчни игри."
"join_error_lobby_full"	"Лобито е пълно."
"join_error_timed_out"	"Времето за заявката изтече."
"DOTA_Friends_Ready_To_Play"	"Отворени игри"
"DOTA_Friend_Finding_Match"	"Намиране на мач…"
"DOTA_Friend_In_Match"	"В мач"
"DOTA_Friend_Solo_Open_Party"	"{s:player_name} иска да играе"
"DOTA_Friend_In_Party_Open"	"{s:player_name} е в отворен екип"
"DOTA_Friend_Solo_Open_Party_Self"	"Търсите за екипни членове"
"DOTA_Friend_In_Open_Party_Self"	"Вие сте в отворен екип"
"DOTA_Friends_In_Party_Open"	"{d:num_friends} приятели в отворен екип"
"DOTA_Friend_Lobby_Mode_Self"	"Вие сте в лоби за {s:game_mode}"
"DOTA_Friend_Lobby_Mode_1_Friend"	"{s:player_name} в лоби за {s:game_mode}"
"DOTA_Friend_Lobby_Mode_N_Friends"	"{d:num_friends} приятели в лоби за {s:game_mode}"
"DOTA_Friend_Lobby_Mode_Small"	"Лоби за {s:game_mode}"
"DOTA_Friend_Lobby_Players"	"{d:player_count} / {d:max_player_count}"
"DOTA_Friend_Lobby_Join_Button"	"{s:join_button_text}"
"DOTA_Friend_Lobby_Friend_Count"	"+{d:extra_friend_count}"
"DOTA_Friend_Invite_To_Party"	"Покана в екип"
"DOTA_Friend_SuggestInviteToParty"	"Пускане на покана за екип"
"DOTA_Request_Join_Party"	"Заявка за присъединяване към екип"
"DOTA_Request_Merge_Parties"	"Заявка за сливане на екипите"
"DOTA_Request_Merge_Parties_NotLeader"	"Лидерът на екипа може да заяви сливане."
"DOTA_Friend_PartyInvitePending"	"Висяща екипна покана"
"DOTA_Friend_PartyInvitePending_Leader"	"Висяща екипна покана<br/>Кликнете, за да я откажете"
"DOTA_Friend_PartyMergeRequestPending"	"Висяща заявка за присъединяване към екип"
