"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"dota_chatwheel_message_slardar_thank"	"完虐不解释。"
"[english]dota_chatwheel_message_slardar_thank"	"Total spawnage."
"dota_chatwheel_label_slardar_thank"	"完虐不解释。"
"[english]dota_chatwheel_label_slardar_thank"	"Total spawnage."
"dota_chatwheel_message_slardar_deny"	"请接受来自海洋深处的同情。"
"[english]dota_chatwheel_message_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_label_slardar_deny"	"来自海洋深处的同情。"
"[english]dota_chatwheel_label_slardar_deny"	"My deepest sympathies."
"dota_chatwheel_message_slardar_1"	"我长途跋涉来看你扑街。"
"[english]dota_chatwheel_message_slardar_1"	"I came a long way to see you die."
"dota_chatwheel_label_slardar_1"	"我长途跋涉……"
"[english]dota_chatwheel_label_slardar_1"	"I came a long way..."
"dota_chatwheel_message_slardar_2"	"你是跑不掉的。"
"[english]dota_chatwheel_message_slardar_2"	"You won't escape."
"dota_chatwheel_label_slardar_2"	"你是跑不掉的。"
"[english]dota_chatwheel_label_slardar_2"	"You won't escape."
"dota_chatwheel_message_slardar_3"	"游戏结束了。"
"[english]dota_chatwheel_message_slardar_3"	"Jig's up."
"dota_chatwheel_label_slardar_3"	"游戏结束了。"
"[english]dota_chatwheel_label_slardar_3"	"Jig's up."
"dota_chatwheel_message_slardar_4"	"你的能力也就这么点深度。"
"[english]dota_chatwheel_message_slardar_4"	"You were out of your depth."
"dota_chatwheel_label_slardar_4"	"你的能力也就这么点深度。"
"[english]dota_chatwheel_label_slardar_4"	"You were out of your depth."
"dota_chatwheel_message_slardar_5"	"哦，深海的居民们会怎样庆祝呢！"
"[english]dota_chatwheel_message_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_label_slardar_5"	"哦，深海的居民们会怎样庆祝呢！"
"[english]dota_chatwheel_label_slardar_5"	"Oh, how the deep ones will feast!"
"dota_chatwheel_message_tidehunter_laugh"	"啊哈哈哈！"
"[english]dota_chatwheel_message_tidehunter_laugh"	"Ah ha ha ha!"
"dota_chatwheel_label_tidehunter_laugh"	"[大笑]"
"[english]dota_chatwheel_label_tidehunter_laugh"	"[Laugh]"
"dota_chatwheel_message_tidehunter_thank"	"我会让潮汐为我们所用。"
"[english]dota_chatwheel_message_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_label_tidehunter_thank"	"我会让潮汐为我们所用。"
"[english]dota_chatwheel_label_tidehunter_thank"	"We'll turn this tide to our advantage."
"dota_chatwheel_message_tidehunter_deny"	"你看着被毁灭了。"
"[english]dota_chatwheel_message_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_label_tidehunter_deny"	"你看着被毁灭了。"
"[english]dota_chatwheel_label_tidehunter_deny"	"You look ravaged."
"dota_chatwheel_message_tidehunter_1"	"哈哈哈哈哈哈，你现在是鱼虾的大餐了。"
"[english]dota_chatwheel_message_tidehunter_1"	"Ha ha ha ha ha ha, Now you're fish food."
"dota_chatwheel_label_tidehunter_1"	"你现在是鱼虾的大餐了。"
"[english]dota_chatwheel_label_tidehunter_1"	"Now you're fish food."
"dota_chatwheel_message_tidehunter_2"	"呵呵呵，我还能吃下一头海象。"
"[english]dota_chatwheel_message_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_label_tidehunter_2"	"呵呵呵，我还能吃下一头海象。"
"[english]dota_chatwheel_label_tidehunter_2"	"Ha ha I could eat a walrus."
"dota_chatwheel_message_tidehunter_3"	"把瓶子先塞上。"
"[english]dota_chatwheel_message_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_label_tidehunter_3"	"把瓶子先塞上。"
"[english]dota_chatwheel_label_tidehunter_3"	"Put a cork in it."
"dota_chatwheel_message_tidehunter_4"	"你以为我会犯错？你肯定以为我是昆卡。"
"[english]dota_chatwheel_message_tidehunter_4"	"Did you think I'd blunder? You must have mistaken me for Kunkka."
"dota_chatwheel_label_tidehunter_4"	"你以为我会犯错？……"
"[english]dota_chatwheel_label_tidehunter_4"	"Did you think I'd blunder?..."
"dota_chatwheel_message_tidehunter_5"	"如果有我的牙，干嘛还要那么大的脑袋？"
"[english]dota_chatwheel_message_tidehunter_5"	"Who needs a big brain when you've got teeth like mine?"
"dota_chatwheel_label_tidehunter_5"	"如果有我的牙……？"
"[english]dota_chatwheel_label_tidehunter_5"	"Who needs a big brain...?"
"dota_chatwheel_message_witch_doctor_laugh"	"呵呵呵呵呵。"
"[english]dota_chatwheel_message_witch_doctor_laugh"	"Hoo hah hoo hoo hah."
"dota_chatwheel_label_witch_doctor_laugh"	"[大笑]"
"[english]dota_chatwheel_label_witch_doctor_laugh"	"[Laugh]"
"dota_chatwheel_message_witch_doctor_thank"	"这感觉太棒了。"
"[english]dota_chatwheel_message_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_label_witch_doctor_thank"	"这感觉太棒了。"
"[english]dota_chatwheel_label_witch_doctor_thank"	"Feeling good, man."
"dota_chatwheel_message_witch_doctor_deny"	"等等……再等等……"
"[english]dota_chatwheel_message_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_label_witch_doctor_deny"	"等等……再等等……"
"[english]dota_chatwheel_label_witch_doctor_deny"	"Wait for it...wait for it..."
"dota_chatwheel_message_witch_doctor_1"	"那会引起大混乱的。"
"[english]dota_chatwheel_message_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_label_witch_doctor_1"	"那会引起大混乱的。"
"[english]dota_chatwheel_label_witch_doctor_1"	"Dat make a big mess."
"dota_chatwheel_message_witch_doctor_2"	"有人叫了医生？"
"[english]dota_chatwheel_message_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_label_witch_doctor_2"	"有人叫了医生？"
"[english]dota_chatwheel_label_witch_doctor_2"	"Someone call de doctor?"
"dota_chatwheel_message_witch_doctor_3"	"看，过去了。"
"[english]dota_chatwheel_message_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_label_witch_doctor_3"	"看，过去了。"
"[english]dota_chatwheel_label_witch_doctor_3"	"Oh, look at it go."
"dota_chatwheel_message_witch_doctor_4"	"让我给你接根骨头。不过你得先死去。"
"[english]dota_chatwheel_message_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_label_witch_doctor_4"	"让我给你接根骨头。不过你得先死去。"
"[english]dota_chatwheel_label_witch_doctor_4"	"Stick a bone in it. You're done."
"dota_chatwheel_message_witch_doctor_5"	"哦呀~~~~"
"[english]dota_chatwheel_message_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_label_witch_doctor_5"	"哦呀。"
"[english]dota_chatwheel_label_witch_doctor_5"	"Oyeaaaaah."
"dota_chatwheel_message_lich_laugh"	"哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_lich_laugh"	"Ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_lich_laugh"	"[大笑]"
"[english]dota_chatwheel_label_lich_laugh"	"[Laugh]"
"dota_chatwheel_message_lich_thank"	"保持冰霜状态！"
"[english]dota_chatwheel_message_lich_thank"	"Stay frosty!"
"dota_chatwheel_label_lich_thank"	"保持冰霜状态！"
"[english]dota_chatwheel_label_lich_thank"	"Stay frosty!"
"dota_chatwheel_message_lich_deny"	"注意脚下，你的头掉下去了。"
"[english]dota_chatwheel_message_lich_deny"	"Watch your step, it's six feet down."
"dota_chatwheel_label_lich_deny"	"注意脚下……"
"[english]dota_chatwheel_label_lich_deny"	"Watch your step..."
"dota_chatwheel_message_lich_1"	"亡灵永生。"
"[english]dota_chatwheel_message_lich_1"	"Can't kill the dead."
"dota_chatwheel_label_lich_1"	"亡灵永生。"
"[english]dota_chatwheel_label_lich_1"	"Can't kill the dead."
"dota_chatwheel_message_lich_2"	"Does it tingle?"
"[english]dota_chatwheel_message_lich_2"	"Does it tingle?"
"dota_chatwheel_label_lich_2"	"刺痛你了吗？"
"[english]dota_chatwheel_label_lich_2"	"Does it tingle?"
"dota_chatwheel_message_lich_3"	"感受我冰冷的拥抱吧！"
"[english]dota_chatwheel_message_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_label_lich_3"	"感受我冰冷的拥抱吧！"
"[english]dota_chatwheel_label_lich_3"	"Feel my cold embrace!"
"dota_chatwheel_message_lich_4"	"现在谁是第一？"
"[english]dota_chatwheel_message_lich_4"	"Who's the number one now?"
"dota_chatwheel_label_lich_4"	"现在谁是第一？"
"[english]dota_chatwheel_label_lich_4"	"Who's the number one now?"
"dota_chatwheel_message_lich_5"	"啊，冰蛙！"
"[english]dota_chatwheel_message_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_label_lich_5"	"啊，冰蛙！"
"[english]dota_chatwheel_label_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_message_riki_laugh"	"呵呵呵呵呵呵呵呵。"
"[english]dota_chatwheel_message_riki_laugh"	"hoo hoo hoo hoo hoo hoo hoo."
"dota_chatwheel_label_riki_laugh"	"[大笑]"
"[english]dota_chatwheel_label_riki_laugh"	"[Laugh]"
"dota_chatwheel_message_riki_thank"	"任务完成。"
"[english]dota_chatwheel_message_riki_thank"	"Contract complete."
"dota_chatwheel_label_riki_thank"	"任务完成。"
"[english]dota_chatwheel_label_riki_thank"	"Contract complete."
"dota_chatwheel_message_riki_deny"	"呵呵，你没想到吧。"
"[english]dota_chatwheel_message_riki_deny"	"Heh-ho, you didn't see that coming."
"dota_chatwheel_label_riki_deny"	"呵呵，你没想到吧。"
"[english]dota_chatwheel_label_riki_deny"	"You didn't see that coming."
"dota_chatwheel_message_riki_1"	"不要做无谓的挣扎了！"
"[english]dota_chatwheel_message_riki_1"	"Why prolong the inevitable?"
"dota_chatwheel_label_riki_1"	"不要做无谓的挣扎了！"
"[english]dota_chatwheel_label_riki_1"	"Why prolong the inevitable?"
"dota_chatwheel_message_riki_2"	"我在你后面。"
"[english]dota_chatwheel_message_riki_2"	"Peek-a-boo."
"dota_chatwheel_label_riki_2"	"我在你后面。"
"[english]dota_chatwheel_label_riki_2"	"Peek-aboo."
"dota_chatwheel_message_riki_3"	"如果你能看见我，说明你死期到了。"
"[english]dota_chatwheel_message_riki_3"	"If you can see me, you're already dead."
"dota_chatwheel_label_riki_3"	"如果你能看见我……"
"[english]dota_chatwheel_label_riki_3"	"If you can see me..."
"dota_chatwheel_message_riki_4"	"我一直在你身旁从未走远。"
"[english]dota_chatwheel_message_riki_4"	"I've been here the whole time."
"dota_chatwheel_label_riki_4"	"我一直在你身旁从未走远。"
"[english]dota_chatwheel_label_riki_4"	"I've been here the whole time."
"dota_chatwheel_message_riki_5"	"哦，你已经死了，有点出乎意料啊。"
"[english]dota_chatwheel_message_riki_5"	"Oh you're dead. What a surprise."
"dota_chatwheel_label_riki_5"	"哦，你已经死了，有点出乎意料啊。"
"[english]dota_chatwheel_label_riki_5"	"Oh you're dead. What a surprise."
"dota_chatwheel_message_enigma_laugh"	"呵呵呵呵呵。"
"[english]dota_chatwheel_message_enigma_laugh"	"He-he-huh-heh-heh."
"dota_chatwheel_label_enigma_laugh"	"[大笑]"
"[english]dota_chatwheel_label_enigma_laugh"	"[Laugh]"
"dota_chatwheel_message_enigma_thank"	"好吧，这是一个悖论。"
"[english]dota_chatwheel_message_enigma_thank"	"Well, this is a paradox."
"dota_chatwheel_label_enigma_thank"	"好吧，这是一个悖论。"
"[english]dota_chatwheel_label_enigma_thank"	"Well, this is a paradox."
"dota_chatwheel_message_enigma_deny"	"真是个天文数字。"
"[english]dota_chatwheel_message_enigma_deny"	"An astronomical price."
"dota_chatwheel_label_enigma_deny"	"真是个天文数字。"
"[english]dota_chatwheel_label_enigma_deny"	"An astronomical price."
"dota_chatwheel_message_enigma_1"	"凝视深渊吧。"
"[english]dota_chatwheel_message_enigma_1"	"Stare into the abyss."
"dota_chatwheel_label_enigma_1"	"凝视深渊吧。"
"[english]dota_chatwheel_label_enigma_1"	"Stare into the abyss."
"dota_chatwheel_message_enigma_2"	"沉默是金。"
"[english]dota_chatwheel_message_enigma_2"	"Silence is golden."
"dota_chatwheel_label_enigma_2"	"沉默是金。"
"[english]dota_chatwheel_label_enigma_2"	"Silence is golden."
"dota_chatwheel_message_enigma_3"	"你的地位在我之下。"
"[english]dota_chatwheel_message_enigma_3"	"You are beneath me."
"dota_chatwheel_label_enigma_3"	"你的地位在我之下。"
"[english]dota_chatwheel_label_enigma_3"	"You are beneath me."
"dota_chatwheel_message_enigma_4"	"欢迎来到无序的世界。"
"[english]dota_chatwheel_message_enigma_4"	"A welcome manifestation of randomness."
"dota_chatwheel_label_enigma_4"	"欢迎来到无序的世界。"
"[english]dota_chatwheel_label_enigma_4"	"A welcome manifestation of randomness."
"dota_chatwheel_message_enigma_5"	"如果光都不能逃脱我的掌控，你还有什么希望呢？"
"[english]dota_chatwheel_message_enigma_5"	"If light cannot escape me, what hope have you?"
"dota_chatwheel_label_enigma_5"	"如果光都不能逃脱我的掌控……"
"[english]dota_chatwheel_label_enigma_5"	"If light cannot escape me..."
"dota_chatwheel_message_tinker_laugh"	"啊哈哈哈哈！"
"[english]dota_chatwheel_message_tinker_laugh"	"Ah ha ha ha ha!"
"dota_chatwheel_label_tinker_laugh"	"[大笑]"
"[english]dota_chatwheel_label_tinker_laugh"	"[Laugh]"
"dota_chatwheel_message_tinker_thank"	"你不仅可爱，还很有天赋。"
"[english]dota_chatwheel_message_tinker_thank"	"Your talents surpass your loveliness."
"dota_chatwheel_label_tinker_thank"	"你不仅可爱，还很有天赋。"
"[english]dota_chatwheel_label_tinker_thank"	"Your talents surpass your loveliness."
"dota_chatwheel_message_tinker_deny"	"是不是很了不起啊！"
"[english]dota_chatwheel_message_tinker_deny"	"Well isn't that something!"
"dota_chatwheel_label_tinker_deny"	"是不是很了不起啊！"
"[english]dota_chatwheel_label_tinker_deny"	"Well isn't that something!"
"dota_chatwheel_message_tinker_1"	"哔哔哔哔哔！"
"[english]dota_chatwheel_message_tinker_1"	"Pew, pew, pew pew pew!"
"dota_chatwheel_label_tinker_1"	"哔哔哔哔哔！"
"[english]dota_chatwheel_label_tinker_1"	"Pew, pew, pew pew pew!"
"dota_chatwheel_message_tinker_2"	"知道吗，我已经预料到这一切，一切！"
"[english]dota_chatwheel_message_tinker_2"	"I predicted all of this you know, all of it!"
"dota_chatwheel_label_tinker_2"	"我已经预料到这一切……"
"[english]dota_chatwheel_label_tinker_2"	"I predicted all of this you know..."
"dota_chatwheel_message_tinker_3"	"这就是天赋！"
"[english]dota_chatwheel_message_tinker_3"	"That was genius!"
"dota_chatwheel_label_tinker_3"	"这就是天赋！"
"[english]dota_chatwheel_label_tinker_3"	"That was genius!"
"dota_chatwheel_message_tinker_4"	"我要正式宣布，刚才的试验失败呢。"
"[english]dota_chatwheel_message_tinker_4"	"I'm going to call that experiment, a failure."
"dota_chatwheel_label_tinker_4"	"我要正式宣布……"
"[english]dota_chatwheel_label_tinker_4"	"I'm going to call that experiment..."
"dota_chatwheel_message_tinker_5"	"你用你的魔法，我有我的激光！"
"[english]dota_chatwheel_message_tinker_5"	"You can keep your magic, I have laser beams!"
"dota_chatwheel_label_tinker_5"	"你用你的魔法……"
"[english]dota_chatwheel_label_tinker_5"	"You can keep your magic..."
"dota_chatwheel_message_sniper_laugh"	"呵呵呵呵呵呵呵呵呵呵！"
"[english]dota_chatwheel_message_sniper_laugh"	"Hee hee hee hee hee hee hee hee hee hee!"
"dota_chatwheel_label_sniper_laugh"	"[大笑]"
"[english]dota_chatwheel_label_sniper_laugh"	"[Laugh]"
"dota_chatwheel_message_sniper_thank"	"打靶训练取得成功！"
"[english]dota_chatwheel_message_sniper_thank"	"Target practice, payin' off!"
"dota_chatwheel_label_sniper_thank"	"打靶训练取得成功！"
"[english]dota_chatwheel_label_sniper_thank"	"Target practice, payin' off!"
"dota_chatwheel_message_sniper_deny"	"这怎么……？"
"[english]dota_chatwheel_message_sniper_deny"	"What the---?"
"dota_chatwheel_label_sniper_deny"	"这怎么……？"
"[english]dota_chatwheel_label_sniper_deny"	"What the---?"
"dota_chatwheel_message_sniper_1"	"给你的脑袋说拜拜吧！"
"[english]dota_chatwheel_message_sniper_1"	"Say goodbye to your head!"
"dota_chatwheel_label_sniper_1"	"给你的脑袋说拜拜吧！"
"[english]dota_chatwheel_label_sniper_1"	"Say goodbye to your head!"
"dota_chatwheel_message_sniper_2"	"跳舞吧！哈哈哈哈！跳吧！"
"[english]dota_chatwheel_message_sniper_2"	"Dance! Ha ha ha ha! Dance!"
"dota_chatwheel_label_sniper_2"	"跳舞吧！哈哈哈哈！跳吧！"
"[english]dota_chatwheel_label_sniper_2"	"Dance! Ha ha ha ha! Dance!"
"dota_chatwheel_message_sniper_3"	"我为什么笑？因为我笑起来就像一个快乐的扳机。"
"[english]dota_chatwheel_message_sniper_3"	"Why am I smiling? This is what trigger-happy looks like."
"dota_chatwheel_label_sniper_3"	"我为什么笑？……"
"[english]dota_chatwheel_label_sniper_3"	"Why am I smiling?..."
"dota_chatwheel_message_sniper_4"	"简直就是个蠢材。"
"[english]dota_chatwheel_message_sniper_4"	"What a dum-dum!"
"dota_chatwheel_label_sniper_4"	"简直就是个蠢材。"
"[english]dota_chatwheel_label_sniper_4"	"What a dumb dumb"
"dota_chatwheel_message_sniper_5"	"呵呵哈哈！"
"[english]dota_chatwheel_message_sniper_5"	"Ho ho ha ha!"
"dota_chatwheel_label_sniper_5"	"呵呵哈哈！"
"[english]dota_chatwheel_label_sniper_5"	"Ho ho ha ha!"
"dota_chatwheel_message_necrolyte_laugh"	"哈哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_necrolyte_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_necrolyte_laugh"	"[大笑]"
"[english]dota_chatwheel_label_necrolyte_laugh"	"[Laugh]"
"dota_chatwheel_message_necrolyte_thank"	"快吸进去。"
"[english]dota_chatwheel_message_necrolyte_thank"	"Breathe it in."
"dota_chatwheel_label_necrolyte_thank"	"快吸进去。"
"[english]dota_chatwheel_label_necrolyte_thank"	"Breathe it in."
"dota_chatwheel_message_necrolyte_deny"	"着实不菲。"
"[english]dota_chatwheel_message_necrolyte_deny"	"That was costly."
"dota_chatwheel_label_necrolyte_deny"	"着实不菲。"
"[english]dota_chatwheel_label_necrolyte_deny"	"That was costly."
"dota_chatwheel_message_necrolyte_1"	"恶臭的尸体将是你的下场。"
"[english]dota_chatwheel_message_necrolyte_1"	"The stench of death is upon you."
"dota_chatwheel_label_necrolyte_1"	"恶臭的尸体将是你的下场。"
"[english]dota_chatwheel_label_necrolyte_1"	"The stench of death is upon you."
"dota_chatwheel_message_necrolyte_2"	"你的意思是我高兴一点？可我非常开心。"
"[english]dota_chatwheel_message_necrolyte_2"	"What do you mean, cheer up? I'm quite cheerful."
"dota_chatwheel_label_necrolyte_2"	"你的意思是我高兴一点？……"
"[english]dota_chatwheel_label_necrolyte_2"	"What do you mean, cheer up?..."
"dota_chatwheel_message_necrolyte_3"	"一切都烂掉了。"
"[english]dota_chatwheel_message_necrolyte_3"	"It's all gone rotten."
"dota_chatwheel_label_necrolyte_3"	"一切都烂掉了。"
"[english]dota_chatwheel_label_necrolyte_3"	"It's all gone rotten."
"dota_chatwheel_message_necrolyte_4"	"为健康干杯。哈哈哈哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_necrolyte_4"	"To your health. Ha ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_necrolyte_4"	"为健康干杯……"
"[english]dota_chatwheel_label_necrolyte_4"	"To your health..."
"dota_chatwheel_message_necrolyte_5"	"我就是坏掉那锅汤的老鼠屎。"
"[english]dota_chatwheel_message_necrolyte_5"	"I am the rotten apple that spoils the bunch."
"dota_chatwheel_label_necrolyte_5"	"我就是坏掉……"
"[english]dota_chatwheel_label_necrolyte_5"	"I am the rotten apple..."
"dota_chatwheel_message_warlock_laugh"	"呵呵呵呵哈哈哈哈哈！"
"[english]dota_chatwheel_message_warlock_laugh"	"Ho ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_warlock_laugh"	"[大笑]"
"[english]dota_chatwheel_label_warlock_laugh"	"[Laugh]"
"dota_chatwheel_message_warlock_thank"	"混沌统治一切！"
"[english]dota_chatwheel_message_warlock_thank"	"Let chaos reign!"
"dota_chatwheel_label_warlock_thank"	"混沌统治一切！"
"[english]dota_chatwheel_label_warlock_thank"	"Let chaos reign!"
"dota_chatwheel_message_warlock_deny"	"真的？是你干的？"
"[english]dota_chatwheel_message_warlock_deny"	"Really? You just did that?"
"dota_chatwheel_label_warlock_deny"	"真的？是你干的？"
"[english]dota_chatwheel_label_warlock_deny"	"Really? You just did that?"
"dota_chatwheel_message_warlock_1"	"我手下恶魔的美餐。"
"[english]dota_chatwheel_message_warlock_1"	"I feed you to my fiends."
"dota_chatwheel_label_warlock_1"	"我手下恶魔的美餐。"
"[english]dota_chatwheel_label_warlock_1"	"I feed you to my fiends."
"dota_chatwheel_message_warlock_2"	"[魔咒]"
"[english]dota_chatwheel_message_warlock_2"	"Zan korobos kor koramord!"
"dota_chatwheel_label_warlock_2"	"[魔咒]"
"[english]dota_chatwheel_label_warlock_2"	"Zan korobos kor koramord!"
"dota_chatwheel_message_warlock_3"	"我的魔典里又多了个名字。"
"[english]dota_chatwheel_message_warlock_3"	"Another name in my grimoire."
"dota_chatwheel_label_warlock_3"	"我的魔典里又多了个名字。"
"[english]dota_chatwheel_label_warlock_3"	"Another name in my grimoire."
"dota_chatwheel_message_warlock_4"	"小东西。"
"[english]dota_chatwheel_message_warlock_4"	"Pipsqueak."
"dota_chatwheel_label_warlock_4"	"小东西。"
"[english]dota_chatwheel_label_warlock_4"	"Pipsqueak."
"dota_chatwheel_message_warlock_5"	"你相信吗？啊哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_warlock_5"	"Can you believe this? Ah ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_warlock_5"	"你相信吗？……"
"[english]dota_chatwheel_label_warlock_5"	"Can you believe this?..."
"dota_chatwheel_message_beastmaster_laugh"	"哈哈哈哈哈哈。"
"[english]dota_chatwheel_message_beastmaster_laugh"	"Howeh heh heh eh hah heh heh heh."
"dota_chatwheel_label_beastmaster_laugh"	"[大笑]"
"[english]dota_chatwheel_label_beastmaster_laugh"	"[Laugh]"
"dota_chatwheel_message_beastmaster_thank"	"恶心！"
"[english]dota_chatwheel_message_beastmaster_thank"	"Sic 'em!"
"dota_chatwheel_label_beastmaster_thank"	"恶心！"
"[english]dota_chatwheel_label_beastmaster_thank"	"Sic 'em!"
"dota_chatwheel_message_beastmaster_deny"	"千万不要掉以轻心。"
"[english]dota_chatwheel_message_beastmaster_deny"	"I'll be creeping while you are sleeping."
"dota_chatwheel_label_beastmaster_deny"	"千万不要掉以轻心。"
"[english]dota_chatwheel_label_beastmaster_deny"	"I'll be creeping..."
"dota_chatwheel_message_beastmaster_1"	"你的尸体会成为虫子的食物。"
"[english]dota_chatwheel_message_beastmaster_1"	"The worms will have you."
"dota_chatwheel_label_beastmaster_1"	"你的尸体会成为虫子的食物。"
"[english]dota_chatwheel_label_beastmaster_1"	"The worms will have you."
"dota_chatwheel_message_beastmaster_2"	"休想对野兽们构成威胁。"
"[english]dota_chatwheel_message_beastmaster_2"	"A strict no-kill policy."
"dota_chatwheel_label_beastmaster_2"	"休想对野兽们构成威胁。"
"[english]dota_chatwheel_label_beastmaster_2"	"A strict no-kill policy."
"dota_chatwheel_message_beastmaster_3"	"啊呜啊呜！"
"[english]dota_chatwheel_message_beastmaster_3"	"Aroo arooew!"
"dota_chatwheel_label_beastmaster_3"	"啊呜啊呜！"
"[english]dota_chatwheel_label_beastmaster_3"	"Aroo arooew!"
"dota_chatwheel_message_beastmaster_4"	"啊，希望我能掌握如何阅读死灵书。"
"[english]dota_chatwheel_message_beastmaster_4"	"Hmm, wish I'd learned how to read."
"dota_chatwheel_label_beastmaster_4"	"啊，希望我能掌握如何阅读死灵书。"
"[english]dota_chatwheel_label_beastmaster_4"	"Hmm, wish I'd learned how to read."
"dota_chatwheel_message_beastmaster_5"	"呵呵呵。"
"[english]dota_chatwheel_message_beastmaster_5"	"Hoo hoo hoo."
"dota_chatwheel_label_beastmaster_5"	"呵呵呵。"
"[english]dota_chatwheel_label_beastmaster_5"	"Hoo hoo hoo."
"dota_chatwheel_message_queenofpain_laugh"	"啊哈哈哈哈哈哈哈哈哈哈哈！"
"[english]dota_chatwheel_message_queenofpain_laugh"	"Uh ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_queenofpain_laugh"	"[大笑]"
"[english]dota_chatwheel_label_queenofpain_laugh"	"[Laugh]"
"dota_chatwheel_message_queenofpain_thank"	"痛苦总是伴随着尖叫。"
"[english]dota_chatwheel_message_queenofpain_thank"	"There will be pain, there will be screaming."
"dota_chatwheel_label_queenofpain_thank"	"痛苦总是……"
"[english]dota_chatwheel_label_queenofpain_thank"	"There will be pain..."
"dota_chatwheel_message_queenofpain_deny"	"你伤害了你的爱人。"
"[english]dota_chatwheel_message_queenofpain_deny"	"You hurt the ones you love."
"dota_chatwheel_label_queenofpain_deny"	"你伤害了你的爱人。"
"[english]dota_chatwheel_label_queenofpain_deny"	"You hurt the ones you love."
"dota_chatwheel_message_queenofpain_1"	"刚刚太赞了。"
"[english]dota_chatwheel_message_queenofpain_1"	"That was perfect."
"dota_chatwheel_label_queenofpain_1"	"刚刚太赞了。"
"[english]dota_chatwheel_label_queenofpain_1"	"That was perfect."
"dota_chatwheel_message_queenofpain_2"	"疼吗？"
"[english]dota_chatwheel_message_queenofpain_2"	"Does this hurt?"
"dota_chatwheel_label_queenofpain_2"	"疼吗？"
"[english]dota_chatwheel_label_queenofpain_2"	"Does this hurt?"
"dota_chatwheel_message_queenofpain_3"	"我喜欢你抵抗的样子。"
"[english]dota_chatwheel_message_queenofpain_3"	"I love it when you resist."
"dota_chatwheel_label_queenofpain_3"	"我喜欢你抵抗的样子。"
"[english]dota_chatwheel_label_queenofpain_3"	"I love it when you resist."
"dota_chatwheel_message_queenofpain_4"	"想抓到我？有本事就来啊。"
"[english]dota_chatwheel_message_queenofpain_4"	"You want me? Come get me."
"dota_chatwheel_label_queenofpain_4"	"想抓到我？有本事就来啊。"
"[english]dota_chatwheel_label_queenofpain_4"	"You want me? Come get me."
"dota_chatwheel_message_queenofpain_5"	"我知道我是痛苦的化身，但尽管如此你也仍然爱我。"
"[english]dota_chatwheel_message_queenofpain_5"	"I know I'm a pain, but you love me anyway."
"dota_chatwheel_label_queenofpain_5"	"我知道我是痛苦的化身……"
"[english]dota_chatwheel_label_queenofpain_5"	"I know I'm a pain..."
"dota_chatwheel_message_venomancer_laugh"	"呃呵呵呵呵呵。"
"[english]dota_chatwheel_message_venomancer_laugh"	"Sss eh he he he he."
"dota_chatwheel_label_venomancer_laugh"	"[大笑]"
"[english]dota_chatwheel_label_venomancer_laugh"	"[Laugh]"
"dota_chatwheel_message_venomancer_thank"	"折磨我们的敌人！"
"[english]dota_chatwheel_message_venomancer_thank"	"Plague our enemies!"
"dota_chatwheel_label_venomancer_thank"	"折磨我们的敌人！"
"[english]dota_chatwheel_label_venomancer_thank"	"Plague our enemies!"
"dota_chatwheel_message_venomancer_deny"	"哦，真贵。"
"[english]dota_chatwheel_message_venomancer_deny"	"Oh, costly."
"dota_chatwheel_label_venomancer_deny"	"哦，真贵。"
"[english]dota_chatwheel_label_venomancer_deny"	"Oh, costly."
"dota_chatwheel_message_venomancer_1"	"我的毒液也能毒心。"
"[english]dota_chatwheel_message_venomancer_1"	"Nothing touches the heart like my venom."
"dota_chatwheel_label_venomancer_1"	"我的毒液……"
